Symbol,AK홀딩스_시가(원),AK홀딩스_종가(원),AK홀딩스_거래량(주),AK홀딩스_PER(IFRS-연결),AK홀딩스_순매수수량(개인)(주),AK홀딩스_순매수수량(기관계)(주),AK홀딩스_순매수수량(외국인계)(주)
2000-01-04,31200,32700,11830,9.41,900,-900,0
2000-01-05,31500,32650,9810,9.39,5390,-5390,0
2000-01-06,32800,32900,31620,9.47,15400,-15400,0
2000-01-07,32000,35000,50840,10.07,-7760,5200,0
2000-01-10,36100,38900,80250,11.19,-28780,3340,0
2000-01-11,38900,41000,107310,11.8,-16560,25760,0
2000-01-12,43000,40900,226150,11.77,-121640,88280,0
2000-01-13,39000,40000,27090,11.51,20,-20,0
2000-01-14,40000,41500,151060,11.94,-74520,86820,-10
2000-01-17,40100,38800,35540,11.16,570,-570,0
2000-01-18,38800,33000,184970,9.49,32410,-32410,0
2000-01-19,32450,33400,44170,9.61,0,0,0
2000-01-20,33400,30000,22130,8.63,-4420,4420,0
2000-01-21,28150,32950,31870,9.48,2200,-2200,0
2000-01-24,30000,31350,10300,9.02,1450,-1380,0
2000-01-25,30100,29400,17540,8.46,1080,-1080,0
2000-01-26,28500,28300,51700,8.14,42460,-42460,0
2000-01-27,28400,29000,13490,8.34,2480,-2480,0
2000-01-28,29800,28700,23340,8.26,1110,-1110,0
2000-01-31,28750,29100,11420,8.37,0,0,0
2000-02-01,29700,29950,17690,8.62,5120,-5120,0
2000-02-02,30300,29300,22050,8.43,10630,-10630,0
2000-02-03,29950,30700,26890,8.83,5000,-5000,0
2000-02-07,30250,30600,16730,8.8,4780,-5030,0
2000-02-08,29700,29000,17470,8.34,8230,-8230,0
2000-02-09,29500,28400,13700,8.17,320,-320,0
2000-02-10,28400,28000,23970,8.06,7030,-2030,0
2000-02-11,26500,27200,13110,7.83,1160,-1160,0
2000-02-14,25300,30000,39100,8.63,3080,-13080,0
2000-02-15,29900,28200,43130,8.11,-18770,-7230,0
2000-02-16,27000,29500,43900,8.49,14170,-18170,0
2000-02-17,28400,31300,61130,9,-33140,3060,0
2000-02-18,30550,26650,48630,7.67,7010,-2010,0
2000-02-21,28900,28000,22400,8.06,-8000,8000,0
2000-02-22,27500,26800,34690,7.71,12760,-12760,0
2000-02-23,26000,27000,59230,7.77,-260,260,0
2000-02-24,27000,27800,37820,8,620,-620,0
2000-02-25,27800,26500,30980,7.62,10380,-10380,0
2000-02-28,25500,25400,15000,7.31,1270,-1270,0
2000-02-29,26000,25500,14400,7.34,820,-820,0
2000-03-02,25500,26500,20570,7.62,-7250,7250,0
2000-03-03,26300,25650,10000,7.38,1590,-1590,0
2000-03-06,25800,26400,19810,7.6,2960,-2960,0
2000-03-07,26100,26800,17100,7.71,-5580,5580,0
2000-03-08,26350,26000,9940,7.48,1200,-1200,0
2000-03-09,26000,26500,10110,7.62,-1370,1360,0
2000-03-10,26100,26750,18940,7.7,-6400,5400,0
2000-03-13,28000,28250,34600,8.13,11100,-10100,0
2000-03-14,27500,28300,18470,8.14,-1060,1060,0
2000-03-15,28450,28000,21110,8.06,-2000,2000,0
2000-03-16,25600,28050,20340,8.07,-2980,2980,0
2000-03-17,27500,28500,16680,8.2,-6990,6990,0
2000-03-20,29000,28600,21010,8.23,-2450,2450,0
2000-03-21,28300,28200,23840,8.11,-15000,15000,0
2000-03-22,27500,28200,16970,8.11,-10300,9000,0
2000-03-23,27550,28000,27230,8.06,-16500,16500,0
2000-03-24,27200,26900,14330,7.74,3340,-3340,0
2000-03-27,26100,26100,10060,7.51,50,-50,0
2000-03-28,26300,25700,13670,7.39,4240,-2940,0
2000-03-29,25800,25650,16240,7.38,-50,50,0
2000-03-30,25450,24900,22750,7.16,7090,-7090,0
2000-03-31,24500,25500,36240,7.34,2630,-2630,0
2000-04-03,25350,23500,17980,6.76,-4990,5000,0
2000-04-04,22700,23450,30970,6.75,8000,-8000,0
2000-04-06,23450,24000,33490,6.9,0,0,0
2000-04-07,24000,24300,22800,6.99,5580,-5590,0
2000-04-10,23700,25000,24430,7.19,4710,-4710,0
2000-04-11,24500,24800,17700,7.13,1000,-1000,0
2000-04-12,24800,25200,47230,7.25,-500,500,0
2000-04-14,24800,25500,11650,7.34,-3020,0,0
2000-04-17,24300,22450,13160,6.46,0,0,0
2000-04-18,21500,23850,60050,6.86,1930,-10,0
2000-04-19,24000,24500,54760,7.05,0,0,0
2000-04-20,24200,26200,28840,7.54,0,0,0
2000-04-21,26600,30100,86780,8.66,3550,-5170,0
2000-04-24,30800,31800,159140,9.15,5230,-5610,1000
2000-04-25,31500,31800,129660,9.15,3010,-4010,2000
2000-04-26,31000,30300,85470,8.72,-12990,11990,1000
2000-04-27,31200,31000,57860,8.92,1740,-2310,0
2000-04-28,29550,32000,82820,9.21,3310,-4010,1000
2000-05-02,32000,31900,54050,9.18,7950,-6190,0
2000-05-03,31000,31800,60120,9.15,390,-390,0
2000-05-04,31800,33500,252740,9.64,18220,-18220,0
2000-05-08,33000,33000,65820,9.49,9790,-9790,0
2000-05-09,33000,32500,114990,9.35,-17010,17010,0
2000-05-10,30000,30000,75330,8.63,0,0,0
2000-05-12,28200,28500,33910,8.2,-2000,2000,0
2000-05-15,29000,25500,45810,7.34,330,-2700,0
2000-05-16,23600,23700,144840,6.82,45300,-44300,-1000
2000-05-17,23050,23050,53820,6.63,-16680,17180,0
2000-05-18,22500,21000,66210,6.04,-23220,25390,0
2000-05-19,19800,21000,50670,6.04,-15240,15240,0
2000-05-22,21500,21400,38200,6.16,-14350,13060,0
2000-05-23,20800,21000,11850,6.04,10,0,0
2000-05-24,20650,21000,15760,6.04,-2000,2000,0
2000-05-25,20400,21500,31580,6.19,5380,-4190,0
2000-05-26,20650,20700,30470,5.96,0,0,0
2000-05-29,19750,19600,36910,5.64,50,1950,0
2000-05-30,19500,19700,23520,5.67,1000,-1000,0
2000-05-31,20000,20550,47380,5.91,9810,-10810,1000
2000-06-01,20550,20100,27660,5.78,7820,-7820,0
2000-06-02,21300,21000,45410,6.04,15000,-13000,-2000
2000-06-05,21300,23700,35280,6.82,-640,0,0
2000-06-07,25000,23350,44380,6.72,21000,0,-19950
2000-06-08,22400,22500,26100,6.47,180,-180,0
2000-06-09,22500,21500,19230,6.19,-500,500,0
2000-06-12,20000,21000,32520,6.04,500,0,-500
2000-06-13,21500,21500,27680,6.19,1500,0,-1500
2000-06-14,21000,21050,11400,6.06,-2000,2000,0
2000-06-15,21500,20200,13840,5.81,-3030,3000,0
2000-06-16,19100,19800,27980,5.7,0,-1000,0
2000-06-19,19500,19100,11430,5.49,-100,0,0
2000-06-20,18600,19400,17040,5.58,-10400,11500,-1000
2000-06-21,19150,19200,32930,5.52,15570,-15570,0
2000-06-22,19200,19500,19260,5.61,-6640,6640,0
2000-06-23,19650,19200,13690,5.52,-4780,4780,0
2000-06-26,18750,19000,26030,5.47,-7740,7740,0
2000-06-27,19200,19300,36720,5.55,-9000,10000,0
2000-06-28,19300,19000,32540,5.47,-5030,5030,0
2000-06-29,19250,19050,20150,5.48,-3000,3000,0
2000-06-30,18800,19900,52900,5.73,-3000,3000,0
2000-07-03,20500,20200,45380,5.81,-1500,1500,0
2000-07-04,20200,20200,22750,5.81,-5370,5370,0
2000-07-05,19700,19700,11320,5.67,-2500,2500,0
2000-07-06,19400,19400,44510,5.58,-19020,19000,0
2000-07-07,19500,19700,24020,5.67,-6140,6140,0
2000-07-10,19600,20000,24800,5.75,-4040,4040,0
2000-07-11,20000,19650,14490,5.65,-1500,1500,0
2000-07-12,19700,19800,21590,5.7,-9210,9250,0
2000-07-13,19550,19800,5260,5.7,-2170,2170,0
2000-07-14,19550,19650,14310,5.65,-9040,9040,0
2000-07-18,19900,19500,11570,5.61,-5000,5000,0
2000-07-19,19000,19500,12970,5.61,-9720,9720,0
