Symbol,CJ_시가(원),CJ_종가(원),CJ_거래량(주),CJ_PER(IFRS-연결),CJ_순매수수량(개인)(주),CJ_순매수수량(기관계)(주),CJ_순매수수량(외국인계)(주)
2000-01-04,99000,112000,174470,11.84,-36810,17400,-820
2000-01-05,100000,99000,108320,10.47,18110,7730,-26220
2000-01-06,105000,89000,137719,9.41,17170,-39100,21990
2000-01-07,89000,89000,181850,9.41,20415,12705,-65140
2000-01-10,93000,91500,98210,9.67,-2960,8880,-4640
2000-01-11,96000,95000,277648,10.04,-33696,26530,-8424
2000-01-12,100000,99500,240205,10.52,-51670,-58680,110400
2000-01-13,101000,97700,80520,10.33,558,-22320,21272
2000-01-14,98300,104000,213560,11,-48430,-16970,76460
2000-01-17,100000,104000,115020,11,3220,32440,-31860
2000-01-18,104000,99800,126340,10.55,16470,13360,4220
2000-01-19,109000,99700,289940,10.54,-16560,-170320,99380
2000-01-20,95000,98000,156520,10.36,34950,29070,-69020
2000-01-21,94500,96000,106755,10.15,-13311,17640,4770
2000-01-24,92000,94900,94282,10.03,2402,10678,-9950
2000-01-25,91100,89000,89002,9.41,1590,-10160,11320
2000-01-26,86200,83200,180190,8.8,31580,58030,-99760
2000-01-27,82000,85700,120856,9.06,12982,5310,-15612
2000-01-28,85700,86400,122344,9.13,-4410,29080,-23160
2000-01-31,84600,84400,102612,8.92,14390,-13400,-330
2000-02-01,86000,84200,169700,8.9,24860,-12980,-7980
2000-02-02,84200,85100,251504,9,63854,39670,-103014
2000-02-03,85100,85000,151223,8.99,11282,48370,-60652
2000-02-07,85000,90000,272713,9.52,5150,10400,-8440
2000-02-08,90000,87400,125994,9.24,-15950,20360,-9770
2000-02-09,87400,86400,233620,9.13,53506,36728,-104104
2000-02-10,85000,82000,230178,8.67,93870,-21160,-71770
2000-02-11,82000,81000,241755,8.56,45745,-28835,-20100
2000-02-14,77700,70500,276246,7.45,118230,39390,-110140
2000-02-15,68000,69000,287652,7.29,106900,-23710,-93940
2000-02-16,70000,69500,227336,7.35,51920,11430,-69530
2000-02-17,70100,79900,332446,8.45,-45572,25280,13012
2000-02-18,83300,78800,317066,8.33,-15810,25750,-1850
2000-02-21,74000,74300,187198,7.86,-12907,43767,-65700
2000-02-22,74300,77100,159034,8.15,-8250,49400,-36030
2000-02-23,88500,81000,240997,8.56,-22293,41923,-13810
2000-02-24,81000,82800,195405,8.75,-59664,92634,-25800
2000-02-25,83000,80300,102342,8.49,-18560,31260,-5100
2000-02-28,75400,72900,207826,7.71,-36200,120700,-86800
2000-02-29,72000,72900,211579,7.71,-47090,32580,14260
2000-03-02,73500,76400,178347,8.08,-29270,44510,-15240
2000-03-03,76500,72200,187216,7.63,53196,13510,-70406
2000-03-06,75800,75500,401766,7.98,52812,81788,-174770
2000-03-07,75000,75500,310956,7.98,-42660,71420,-46170
2000-03-08,75000,78900,259258,8.34,-73094,45564,2020
2000-03-09,79500,78000,284488,8.25,150,22150,-51240
2000-03-10,79400,77500,149124,8.19,-20550,16140,-240
2000-03-13,77700,78500,196710,8.3,-28048,-2382,36820
2000-03-14,78000,77000,88160,8.14,-7140,16790,-9300
2000-03-15,74500,76600,104706,8.1,-20700,44630,-21870
2000-03-16,78000,76000,99710,8.04,6360,-2190,-2950
2000-03-17,78000,75100,108654,7.94,11120,-10740,-8480
2000-03-20,73000,70800,167470,7.49,53710,52110,-106810
2000-03-21,71100,70700,138800,7.47,32160,820,-31410
2000-03-22,71100,71900,171747,7.6,19180,-2490,-15490
2000-03-23,71100,71000,184716,7.51,66158,-300,-53608
2000-03-24,70500,72000,157290,7.61,7440,25590,-20530
2000-03-27,71700,71100,111430,7.52,9270,-22000,29360
2000-03-28,71500,73000,201495,7.72,-22280,37580,-1940
2000-03-29,73500,73600,208102,7.78,180,-43320,51450
2000-03-30,75100,75500,383993,7.98,9960,16950,17600
2000-03-31,76000,72700,132795,7.69,11210,9620,-4700
2000-04-03,73500,67900,178095,7.18,19380,-34760,19200
2000-04-04,67500,61400,299734,6.49,89174,-11950,-85704
2000-04-06,61000,59500,148130,6.29,68510,-56930,-17540
2000-04-07,59000,57100,440309,6.04,183230,-105100,-82910
2000-04-10,59700,62000,368300,6.55,39810,-62160,16540
2000-04-11,62000,59000,167952,6.24,3146,-9240,-11146
2000-04-12,59000,60200,237960,6.36,4478,-5408,-70
2000-04-14,59000,59500,103558,6.29,720,-6560,-1990
2000-04-17,51500,53000,238129,5.6,-27500,43860,-17730
2000-04-18,59000,57000,171584,6.03,-5080,-16220,22930
2000-04-19,57600,57000,160068,6.03,24528,-47060,22692
2000-04-20,57000,57800,107037,6.11,-21793,44863,-23060
2000-04-21,58000,60500,111030,6.4,-19460,20150,-550
2000-04-24,60000,57600,70362,6.09,10160,-9590,-1140
2000-04-25,58100,58000,58470,6.13,-10070,7640,3350
2000-04-26,58500,57000,120895,6.03,-24178,46980,-22902
2000-04-27,55200,55000,90170,5.81,-18620,41780,-23170
2000-04-28,57000,57000,104270,6.03,-45840,5530,40430
2000-05-02,57000,58500,93142,6.18,11080,-37420,29370
2000-05-03,58500,60700,132438,6.42,-5750,-13670,-2870
2000-05-04,61100,58500,150390,6.18,31970,-30500,-1170
2000-05-08,60700,61100,164834,6.46,-70270,1990,71720
2000-05-09,61500,62500,140565,6.61,-18060,10900,10510
2000-05-10,62400,60700,111228,6.42,19068,21852,-42320
2000-05-12,60000,58500,79020,6.18,20050,-4050,-16170
2000-05-15,57700,56700,54418,5.99,-8440,16670,-8230
2000-05-16,56500,54200,149668,5.73,68170,20640,-83110
2000-05-17,54400,46800,442874,4.95,206594,61160,-254704
2000-05-18,46000,41800,357208,4.42,133598,-15090,-54738
2000-05-19,41800,41000,175037,4.33,30230,-48600,7170
2000-05-22,39200,38400,142110,4.06,6500,-8890,5290
2000-05-23,36000,34500,266030,3.65,42620,22300,-32570
2000-05-24,34500,36400,448740,3.85,86794,-15760,-51524
2000-05-25,37100,41850,511680,4.42,33480,-38990,7170
2000-05-26,41000,39500,277512,4.18,-90722,36810,53912
2000-05-29,37500,41200,226350,4.36,8350,-39760,10000
2000-05-30,42000,43000,221754,4.55,2070,-2360,3510
2000-05-31,45000,42700,363466,4.51,110310,-47230,-48280
2000-06-01,43000,41600,226810,4.4,56630,-44210,-10710
2000-06-02,43000,43400,394130,4.59,-20306,-16080,35046
2000-06-05,44100,48500,590806,5.13,-21350,-31060,52970
2000-06-07,48500,49650,530996,5.25,178050,-184080,-6970
2000-06-08,49700,45700,370734,4.83,72080,-57980,-9190
2000-06-09,46100,48500,502562,5.13,-31100,-24970,94280
2000-06-12,49600,49800,411241,5.26,60800,-81980,20420
2000-06-13,49500,47000,239130,4.97,-29810,11700,17340
2000-06-14,47000,47000,259649,4.97,-8980,-74050,113840
2000-06-15,47000,44500,132529,4.7,-5980,-17100,38420
2000-06-16,42000,43900,185522,4.64,-6870,-6630,23650
2000-06-19,44200,45000,182800,4.76,-48210,-31300,76810
2000-06-20,45900,44700,92574,4.73,33650,-34260,400
2000-06-21,44850,45000,176822,4.76,16740,-53090,41570
2000-06-22,46300,47500,308466,5.02,-46384,49210,-3326
2000-06-23,47700,49000,340048,5.18,-64100,46520,10980
2000-06-26,49800,49650,543700,5.25,-8300,5630,4880
2000-06-27,49950,49700,186569,5.25,-39880,37010,280
2000-06-28,48500,50000,198305,5.29,-47206,8050,26126
2000-06-29,50200,51000,348970,5.39,-7922,-23318,14710
2000-06-30,51500,51100,160054,5.4,6030,-17950,110
2000-07-03,51500,57000,367322,6.03,-31450,15620,20950
2000-07-04,57100,54600,315022,5.77,30830,-1750,-26610
2000-07-05,56000,59700,1084066,6.31,138340,-112010,24640
2000-07-06,59000,59000,498251,6.24,21580,-2420,-18130
2000-07-07,59000,56300,414937,5.95,45040,-11060,-25450
2000-07-10,55900,55200,267651,5.84,41790,-58570,18200
2000-07-11,55500,55200,297350,5.84,37780,-41120,2390
2000-07-12,55000,56200,188583,5.94,-58860,6810,53380
2000-07-13,56700,58500,351136,6.18,-17240,-22670,43130
2000-07-14,59000,57800,534273,6.11,59860,-119520,55590
2000-07-18,58000,56900,255400,6.02,-66300,15140,52630
2000-07-19,56000,52200,247060,5.52,27240,15940,-44430
2000-07-20,50200,50000,266972,5.29,51540,25410,-91920
2000-07-21,50100,50900,167010,5.38,-41580,-21650,63510
2000-07-24,50100,46500,185341,4.92,-8330,27170,-19160
2000-07-25,44600,48000,145712,5.07,-25628,12278,8320
2000-07-26,49000,47500,83840,5.02,9750,-8260,-1480
2000-07-27,46500,46700,68470,4.94,-4650,10640,-5990
2000-07-28,46100,46350,104200,4.9,-21360,16570,-13950
2000-07-31,46350,46500,88630,4.92,5560,-9690,3950
2000-08-01,47100,48000,134550,5.07,31050,-24580,-7370
2000-08-02,48500,49700,134530,5.25,-19640,17230,260
2000-08-03,50300,48800,82680,5.16,-10540,10160,-180
2000-08-04,48800,48000,73374,5.07,15084,-2794,-12120
2000-08-07,46700,45700,72795,4.83,5690,-3950,-1660
2000-08-08,45700,44400,100704,4.69,4980,3170,-8320
2000-08-09,44400,45700,87320,4.83,450,20560,-19970
2000-08-10,45700,47950,121600,5.07,-12580,12520,460
2000-08-11,46600,48900,141430,5.17,-32770,26490,6430
