Symbol,CJ대한통운_시가(원),CJ대한통운_종가(원),CJ대한통운_거래량(주),CJ대한통운_PER(IFRS-연결),CJ대한통운_순매수수량(개인)(주),CJ대한통운_순매수수량(기관계)(주),CJ대한통운_순매수수량(외국인계)(주)
2000-01-04,11250,12350,1421080,15.74,-70160,68860,0
2000-01-05,11750,12600,1734610,16.05,-217410,195380,-2000
2000-01-06,12800,11900,2252950,15.16,128760,-163760,0
2000-01-07,11900,12200,1699760,15.54,-10120,-28380,0
2000-01-10,13000,12000,1486990,15.29,75280,-86380,200
2000-01-11,11850,12300,2957330,15.67,69500,-55740,-350
2000-01-12,12100,12200,1596450,15.54,50700,-52910,-60
2000-01-13,12700,13600,4647130,17.33,146500,-263790,31290
2000-01-14,13600,12700,6830130,16.18,39020,-226140,-29940
2000-01-17,13100,12450,2384210,15.86,133410,-140010,-690
2000-01-18,12450,11900,2059370,15.16,79340,-116480,2820
2000-01-19,11900,11600,2544260,14.78,184740,-225290,-50
2000-01-20,11200,11500,1687020,14.65,-324890,311790,1200
2000-01-21,11200,11000,1355410,14.02,-26520,-17190,49430
2000-01-24,11150,11300,1585570,14.4,51930,-49240,-190
2000-01-25,11300,10850,1097530,13.82,-108100,95100,0
2000-01-26,11000,10550,1077670,13.44,-93120,93120,0
2000-01-27,10400,10800,1677360,13.76,35650,-69000,30000
2000-01-28,10600,10850,1548610,13.82,49320,44380,-110000
2000-01-31,10600,10700,1095420,13.63,-89020,54400,6760
2000-02-01,11000,11050,2407450,14.08,56440,-55880,30000
2000-02-02,11200,11950,2337050,15.23,-421440,260700,0
2000-02-03,12300,11800,2299280,15.03,150780,-9130,0
2000-02-07,11800,12600,3582600,16.05,94120,-91740,4620
2000-02-08,12600,12150,1250500,15.48,-75680,124840,-50160
2000-02-09,12150,11650,1294570,14.84,-228020,228210,-3100
2000-02-10,11200,11200,1344260,14.27,-110040,122090,0
2000-02-11,11050,11350,1524960,14.46,-101860,72010,0
2000-02-14,11050,10500,1795710,13.38,29950,-64600,0
2000-02-15,10700,9990,864440,12.73,-119860,65060,0
2000-02-16,10100,9750,1031140,12.42,94350,-141830,0
2000-02-17,9410,10150,1051160,12.93,18840,-1810,5450
2000-02-18,9800,10000,1129640,12.74,-67780,99280,0
2000-02-21,9520,10100,2365860,12.87,-90940,-97060,0
2000-02-22,10000,10200,1049830,13,-206300,201100,0
2000-02-23,11000,10800,1941540,13.76,161750,-172050,500
2000-02-24,10500,10700,1204440,13.63,-7000,-10400,0
2000-02-25,10800,11100,2141990,14.14,-268770,280770,-500
2000-02-28,10700,10500,1612680,13.38,-130960,85460,500
2000-02-29,10600,10400,1759750,13.25,29510,49990,-500
2000-03-02,10550,10700,1158750,13.63,-315240,294340,10240
2000-03-03,10600,10100,796570,12.87,32270,68680,1300
2000-03-06,10400,10700,1606650,13.63,32570,-2570,0
2000-03-07,10650,10500,633110,13.38,-26820,24660,0
2000-03-08,10300,10300,879090,13.12,-58840,58840,0
2000-03-09,10600,10600,1754740,13.51,197230,-191550,-600
2000-03-10,11000,10900,1913030,13.89,86160,78320,0
2000-03-13,11300,11300,2235860,14.4,393760,-222820,0
2000-03-14,11600,10700,1361250,13.63,-174040,-28550,202590
2000-03-15,10500,10500,769290,13.38,-27840,27840,0
2000-03-16,10700,10000,807500,12.74,144690,-146890,-1300
2000-03-17,10300,10750,1040890,13.7,-272120,170340,100000
2000-03-20,10600,10600,954790,13.51,11250,-10850,0
2000-03-21,10600,10050,2161930,12.81,294300,-308250,-800
2000-03-22,9650,9220,897300,13,17050,-16860,-110
2000-03-23,9220,8770,747590,12.37,227700,-231530,0
2000-03-24,8810,8990,1152200,12.68,149130,-150130,0
2000-03-27,8720,8810,637830,12.42,75510,-27030,1500
2000-03-28,8950,8700,637980,12.27,83710,-82180,-1500
2000-03-29,8610,8160,690680,11.51,61330,-91400,0
2000-03-30,8490,8800,1118190,12.41,-82040,57530,5010
2000-03-31,9200,8800,803160,12.41,22380,-12000,-280
2000-04-03,8700,8200,485490,11.56,-34890,28860,6030
2000-04-04,8100,7950,458690,11.21,-51720,40770,11150
2000-04-06,7500,8000,1848480,11.28,47180,-183280,200000
2000-04-07,8340,8700,2156240,12.27,20930,6210,0
2000-04-10,8990,8620,1583360,12.16,36290,-45040,0
2000-04-11,8590,8200,783150,11.56,-80360,85260,0
2000-04-12,8010,8050,614830,11.35,17970,-10020,1000
2000-04-14,7550,8000,863090,11.28,53680,-50020,690
2000-04-17,7000,6800,873670,9.59,183310,-281110,-100
2000-04-18,7300,6680,1462580,9.42,503100,-497670,-4910
2000-04-19,6900,6700,1701850,9.45,339290,-339150,-10
2000-04-20,6600,6420,711110,9.05,99030,-39030,0
2000-04-21,6570,6680,1810350,9.42,228490,-183020,-20
2000-04-24,6830,6610,897960,9.32,98450,-103450,0
2000-04-25,6550,6400,570590,9.03,98990,-94030,0
2000-04-26,6510,5950,952790,8.39,139390,-67210,0
2000-04-27,5810,5250,935070,7.4,267630,-241810,0
2000-04-28,5160,5530,1340350,7.8,85510,-37510,0
2000-05-02,5500,5520,873440,7.78,110660,-47420,0
2000-05-03,5400,5680,1106840,8.01,176500,-176500,0
2000-05-04,5500,5550,628630,7.83,84830,-55200,370
2000-05-08,6000,6380,609300,9,70050,-77550,0
2000-05-09,7330,6900,3944380,9.73,299330,-111680,4600
2000-05-10,6500,6570,1977660,9.27,-172040,60000,112000
2000-05-12,6790,7110,1871670,10.03,-13620,-30270,0
2000-05-15,7110,6320,1060770,8.91,-130790,17990,13800
2000-05-16,6400,6200,928080,8.74,-211190,11400,0
2000-05-17,5990,5320,754650,7.5,125720,-119280,0
2000-05-18,5320,4530,1037870,6.39,212400,-307400,0
2000-05-19,4530,4635,1389560,6.54,150860,-260310,17440
2000-05-22,4700,3945,1536260,5.56,401530,-418310,0
2000-05-23,3600,3810,1860620,5.37,452710,-421310,0
2000-05-24,3800,4050,3109720,5.71,432050,-420110,10060
2000-05-25,4100,4550,2623260,6.42,200520,-182620,0
2000-05-26,4350,3920,1462500,5.53,224190,-229920,5730
2000-05-29,3700,3930,1476610,5.54,164960,-160400,8440
2000-05-30,4100,4185,1545710,5.9,117610,-115160,6550
2000-05-31,4415,4730,2308690,6.67,27420,-27840,2420
2000-06-01,4700,4450,1292800,6.28,72800,-50810,-6940
2000-06-02,4660,4490,1674410,6.33,-60030,-99980,20200
2000-06-05,4700,4980,2623180,7.02,134290,-134270,-8500
2000-06-07,4360,5320,5955300,7.5,388520,-289500,880
2000-06-08,5600,5150,3048070,7.26,161460,-57620,-20
2000-06-09,5150,5070,1887580,7.15,92750,-196750,0
2000-06-12,5210,5100,1836130,7.19,210590,-92120,0
2000-06-13,5030,4630,1557320,6.53,133340,-113340,0
2000-06-14,4650,4690,1585410,6.61,104290,-67630,0
2000-06-15,4550,4310,1630390,6.08,24490,-40260,570
2000-06-16,4200,4120,1044060,5.81,47300,-60130,-570
2000-06-19,4000,4000,953480,5.64,81590,-79950,50
2000-06-20,4100,4220,1886250,5.95,116080,-108320,-6760
2000-06-21,4410,4700,4565280,6.63,25920,-19820,-10000
2000-06-22,4700,4630,1844080,6.53,-229630,109880,500
2000-06-23,4630,4750,2098780,6.7,16630,-5760,-500
2000-06-26,4900,4950,1672250,6.98,12980,-10180,0
2000-06-27,5190,5250,3384900,7.4,12080,-47540,800
2000-06-28,5120,5050,1598950,7.12,-32120,680,2530
2000-06-29,5100,4940,1653460,6.97,127120,-123250,1130
2000-06-30,5000,5400,4030260,7.62,114820,-91830,3210
2000-07-03,5650,5440,2905250,7.67,-4830,-18200,-2950
2000-07-04,5440,5150,1490110,7.26,-23510,-60,-1430
2000-07-05,5100,5190,2008910,7.32,-43920,-8080,0
2000-07-06,5190,5960,5743300,8.41,57440,3570,0
2000-07-07,6260,6020,5812550,8.49,-102780,4820,100800
2000-07-10,5980,6300,5095400,8.88,-52370,51230,-800
2000-07-11,6300,6190,2956590,8.73,-8930,9240,1520
2000-07-12,6200,6280,2713800,8.86,13200,6850,-50
2000-07-13,6400,6900,6829100,9.73,66550,-65590,30
2000-07-14,6930,6560,2693500,9.25,-10600,18440,2470
2000-07-18,6700,6280,1818910,8.86,-53930,43930,0
2000-07-19,6010,5860,2348440,8.26,-6150,-10040,16290
2000-07-20,5750,5550,1468300,7.83,21270,-28080,350
