Symbol,DB손해보험_시가(원),DB손해보험_종가(원),DB손해보험_거래량(주),DB손해보험_PER(IFRS-연결),DB손해보험_순매수수량(개인)(주),DB손해보험_순매수수량(기관계)(주),DB손해보험_순매수수량(외국인계)(주)
2000-01-04,2850,3275,493520,4.69,20000,-20000,0
2000-01-05,3500,3540,874340,5.07,49520,-36920,20
2000-01-06,3535,3330,366870,4.77,-40270,40270,0
2000-01-07,3500,3515,670490,5.03,-190910,33360,164550
2000-01-10,3750,4040,752080,5.78,-58390,44660,0
2000-01-11,4200,4000,2003710,5.72,-137070,157070,-15000
2000-01-12,4000,4040,595940,5.78,-123940,128930,10
2000-01-13,4020,4040,1264250,5.78,-27000,33000,0
2000-01-14,4120,3810,501920,5.45,-540,500,40
2000-01-17,3750,3750,475500,5.37,-50030,50000,30
2000-01-18,3700,3600,410860,5.15,26970,-20000,30
2000-01-19,3500,3350,403020,4.79,-60000,50000,10000
2000-01-20,3200,3550,672770,5.08,-107750,107660,90
2000-01-21,3360,3430,318640,4.91,9750,4940,-100
2000-01-24,3320,3490,233950,4.99,-50000,50000,0
2000-01-25,3400,3390,240690,4.85,-53970,54070,-100
2000-01-26,3450,3350,620640,4.79,207070,-207070,0
2000-01-27,3410,3730,887970,5.34,-70000,70000,0
2000-01-28,3730,3780,1382940,5.41,-115000,-130000,245000
2000-01-31,3780,3940,1189650,5.64,-274460,15000,259460
2000-02-01,4100,3920,760120,5.61,4960,0,-4960
2000-02-02,3870,4000,809020,5.72,-210620,210620,0
2000-02-03,4100,4200,1365080,6.01,-325480,252830,22650
2000-02-07,4050,4040,1600570,5.78,-160000,140000,0
2000-02-08,3950,3740,713650,5.35,50000,-50000,0
2000-02-09,3825,3700,502930,5.3,141680,-141680,0
2000-02-10,3550,3480,479380,4.98,85820,-85820,0
2000-02-11,3450,3390,646690,4.85,310030,-145590,50
2000-02-14,3500,3400,688890,4.87,-57230,-93020,150250
2000-02-15,3555,3550,800930,5.08,40000,-40000,0
2000-02-16,3800,4050,4248850,5.8,-447810,-29090,476900
2000-02-17,3950,3695,1036170,5.29,35000,20000,-55000
2000-02-18,3610,3510,889200,5.02,109960,-110010,50
2000-02-21,3350,3420,546170,4.89,0,0,0
2000-02-22,3500,3430,528270,4.91,-13590,13590,0
2000-02-23,3450,3750,1183280,5.37,-16130,5330,0
2000-02-24,3800,3500,576360,5.01,0,0,0
2000-02-25,3400,3400,477860,4.87,0,0,0
2000-02-28,3400,3360,431490,4.81,900,0,0
2000-02-29,3370,3320,421030,4.75,0,0,0
2000-03-02,3250,3380,482750,4.84,39850,-40000,150
2000-03-03,3350,3270,441170,4.68,340,-1840,1500
2000-03-06,3220,3410,719860,4.88,98060,-98160,0
2000-03-07,3590,3390,988430,4.85,100000,-100000,0
2000-03-08,3320,3335,542090,4.77,400,0,-400
2000-03-09,3335,3340,533170,4.78,29940,-19940,0
2000-03-10,3320,3260,477260,4.67,-3000,0,0
2000-03-13,3260,3300,909230,4.72,-39820,39320,500
2000-03-14,3380,3215,586600,4.6,0,0,0
2000-03-15,3215,3080,461130,4.41,-7000,10000,0
2000-03-16,3110,3010,446890,4.31,-360,0,200
2000-03-17,3120,3140,1029720,4.49,160,0,0
2000-03-20,3240,3100,387370,4.44,0,0,0
2000-03-21,3150,3050,495010,4.37,0,0,0
2000-03-22,3050,3080,568500,4.41,100000,-100000,0
2000-03-23,3050,3010,520070,4.31,-60500,60000,500
2000-03-24,3010,2970,451110,4.25,54160,-54660,500
2000-03-27,2970,3100,885770,4.44,1700,-2200,500
2000-03-28,3085,3000,423270,4.29,2170,-2170,0
2000-03-29,2910,2855,448740,4.09,49500,-49600,100
2000-03-30,2800,2600,455350,3.72,19830,0,0
2000-03-31,2630,2600,399850,3.72,97000,-100000,0
