Symbol,DB하이텍_시가(원),DB하이텍_종가(원),DB하이텍_거래량(주),DB하이텍_PER(IFRS-연결),DB하이텍_순매수수량(개인)(주),DB하이텍_순매수수량(기관계)(주),DB하이텍_순매수수량(외국인계)(주)
2000-01-04,6050,6300,117660,4.98,4750,-4750,0
2000-01-05,6010,6220,148350,4.92,8260,-8260,0
2000-01-06,6250,5800,98120,4.58,7370,-7370,0
2000-01-07,5600,5850,89740,4.62,-3230,2830,400
2000-01-10,6000,5810,80480,4.59,11680,-11680,0
2000-01-11,5600,5560,88110,4.39,580,-580,0
2000-01-12,5570,5410,83250,4.28,2340,-2340,0
2000-01-13,5350,5790,127910,4.58,7550,-7550,0
2000-01-14,5870,6170,223490,4.88,2480,-2480,0
2000-01-17,6000,5900,184990,4.66,4260,-4760,500
2000-01-18,6000,5600,109950,4.43,1370,-1470,100
2000-01-19,5550,5550,117480,4.39,1630,-1630,0
2000-01-20,5400,5210,79610,4.12,-2530,2230,300
2000-01-21,5050,5200,103050,4.11,2670,-2670,0
2000-01-24,5110,5260,76390,4.16,-80,80,0
2000-01-25,5110,5150,51930,4.07,-1920,-80,0
2000-01-26,5300,5500,143240,4.35,-2640,1140,0
2000-01-27,5770,6320,151260,5,1720,-510,0
2000-01-28,6420,6000,450910,4.74,-3680,3970,0
2000-01-31,5970,6130,164220,4.85,210,-210,0
2000-02-01,6500,6250,159320,4.94,-660,680,0
2000-02-02,6300,6600,227780,5.22,5030,-5030,0
2000-02-03,6680,6900,261140,5.45,1580,420,0
2000-02-07,7100,6910,135520,5.46,-690,690,0
2000-02-08,6910,6650,122630,5.26,13590,-13610,0
2000-02-09,6650,6500,80270,5.14,-570,570,0
2000-02-10,6350,6210,81840,4.91,7690,-7690,0
2000-02-11,6220,6050,54860,4.78,1650,-650,0
2000-02-14,6050,5750,71940,4.54,-19880,-120,20000
2000-02-15,5900,5800,47270,4.58,-16270,1170,15100
2000-02-16,5890,5900,46510,4.66,-5640,570,5070
2000-02-17,6000,6000,58130,4.74,-4170,-190,4360
2000-02-18,6180,5910,91600,4.67,1000,-1000,0
2000-02-21,5890,5360,41810,4.24,380,-380,0
2000-02-22,5290,5630,88510,4.45,-10490,200,0
2000-02-23,6000,6150,140360,4.86,-40390,5380,20000
2000-02-24,6240,6480,171660,5.12,-34090,-8500,10000
2000-02-25,6390,7000,250180,5.53,-3130,3620,0
2000-02-28,6800,7470,304820,5.9,-7720,-1280,10000
2000-02-29,7990,8590,678970,6.79,-50280,52390,100
2000-03-02,8990,9870,294970,7.8,-64870,43820,1050
2000-03-03,11350,8390,1310510,6.63,-13330,-8990,12040
2000-03-06,8580,9640,242670,7.62,-29390,29390,0
2000-03-07,11000,9650,846890,7.63,-66440,67820,0
2000-03-08,9640,9590,431710,7.58,270,-530,110
2000-03-09,9800,9260,378550,7.32,13150,-4490,-7590
2000-03-10,9500,9050,409450,7.15,11940,-11680,0
2000-03-13,9210,9700,508630,7.67,5560,-5410,0
2000-03-14,10000,9850,312270,7.79,-510,550,0
2000-03-15,10300,9500,461630,7.51,13060,-13060,0
2000-03-16,9590,8690,272250,6.87,-2680,1480,1200
2000-03-17,8750,7880,227090,6.23,-1210,1270,0
2000-03-20,7880,8000,184160,6.32,5820,-5820,0
2000-03-21,7900,7410,144540,5.86,-2110,630,1080
2000-03-22,7610,7630,156050,6.03,18880,-18880,0
2000-03-23,7670,8000,271440,6.32,1720,-1420,0
2000-03-24,8100,8300,260540,6.56,-320,320,0
2000-03-27,8500,8200,1112050,6.48,34850,-34850,0
2000-03-28,8400,8900,1444730,7.03,-33820,33820,0
2000-03-29,9000,8450,208920,6.68,-74260,-10510,0
2000-03-30,8390,8090,153240,6.39,-103020,820,0
2000-03-31,7520,8150,114370,6.44,-41280,970,0
2000-04-03,9300,9370,330010,7.41,8230,-180,0
2000-04-04,9450,8500,508390,6.72,-36810,3580,800
2000-04-06,8410,8400,165300,6.64,-96320,-10,0
2000-04-07,8250,8370,215590,6.62,-146600,-7420,0
2000-04-10,9620,9620,402070,7.6,43350,-44480,-110
2000-04-11,9900,9060,647500,7.16,260,-1310,0
2000-04-12,9150,9540,294240,7.54,-39560,-3370,0
2000-04-14,8500,9350,188000,7.39,-4820,5000,0
2000-04-17,8220,8100,225810,6.4,-61470,4650,0
2000-04-18,8880,8500,106270,6.72,4560,-3890,0
2000-04-19,8600,8600,138810,6.8,-39270,-2600,0
2000-04-20,8500,8710,156100,6.88,-4690,-110,0
2000-04-21,9000,8800,77430,6.96,440,-440,0
2000-04-24,9000,10100,496160,7.98,29330,-30260,0
2000-04-25,10200,9560,693560,7.56,16240,-16340,50
2000-04-26,9750,9150,266580,7.23,-19960,-40,0
2000-04-27,8930,9540,343540,7.54,-2080,2080,0
2000-04-28,9800,10250,698980,8.1,18510,-18490,-50
2000-05-02,10500,10800,708580,8.54,-17100,-2510,-440
2000-05-03,10700,10550,289880,8.34,1330,-780,-550
2000-05-04,10600,10650,366260,8.42,-3940,4240,-220
2000-05-08,11950,10250,505810,8.1,420,-470,-330
2000-05-09,9810,9420,305610,7.45,3610,-3400,-330
2000-05-10,9420,9150,291300,7.23,-440,1810,-1370
2000-05-12,8900,8640,236030,6.83,2490,-250,-330
2000-05-15,8500,7700,220180,6.09,320,-80,-220
2000-05-16,7700,7990,216750,6.32,800,-940,-220
2000-05-17,8100,7350,187410,5.81,-5000,-130,-550
2000-05-18,6800,6920,180290,5.47,-58260,-1100,60
2000-05-19,7000,7100,117020,5.61,-14270,-580,0
2000-05-22,6550,6550,99350,5.18,-40280,-1230,-160
2000-05-23,6310,6300,96400,4.98,-47690,4090,60
2000-05-24,6020,7000,149320,5.53,-23000,-1420,-60
2000-05-25,7100,7580,173230,5.99,-12440,13180,0
2000-05-26,7290,6600,116050,5.22,-3990,-210,0
2000-05-29,6510,6860,69890,5.42,-750,710,40
2000-05-30,6860,7180,91320,5.67,2170,-1890,-280
2000-05-31,7300,7210,256400,5.7,67230,-67230,0
2000-06-01,7440,7100,145240,5.61,5400,-29550,0
2000-06-02,7390,7850,422220,6.2,7090,-9290,0
2000-06-05,9020,9020,282500,7.13,1830,-1830,0
2000-06-07,10350,10350,316420,8.18,41360,-41360,0
2000-06-08,11000,9700,1049660,7.67,50340,-50540,200
2000-06-09,9400,9200,522030,7.27,116970,-117140,-180
2000-06-12,9000,9700,537280,7.67,54380,-54720,380
2000-06-13,9000,8350,340810,6.6,-610,610,0
2000-06-14,8400,8560,437830,6.77,190,-390,0
2000-06-15,8210,7400,281860,5.85,-39570,-12340,0
2000-06-16,7500,7800,165560,6.17,-17140,5420,60
2000-06-19,7250,7500,109140,5.93,-1440,1520,0
2000-06-20,7500,7700,160870,6.09,-2450,-5750,0
2000-06-21,8100,7800,218700,6.17,1990,-1530,-460
2000-06-22,7990,7900,150420,6.24,-2420,310,0
2000-06-23,7700,7800,73140,6.17,-15060,90,0
