Symbol,GS건설_시가(원),GS건설_종가(원),GS건설_거래량(주),GS건설_PER(IFRS-연결),GS건설_순매수수량(개인)(주),GS건설_순매수수량(기관계)(주),GS건설_순매수수량(외국인계)(주)
2000-01-04,7160,7880,964040,2.63,186960,-199350,10500
2000-01-05,7890,7880,806970,2.63,108850,-149250,400
2000-01-06,8140,7180,430340,2.4,11460,-20360,9120
2000-01-07,7200,7200,476380,2.41,46740,-31310,4360
2000-01-10,7290,7440,596300,2.49,-24280,5790,2520
2000-01-11,7430,7300,370870,2.44,-130690,143170,-13950
2000-01-12,7200,7200,333710,2.41,-107460,107940,-480
2000-01-13,7380,7400,506340,2.47,-147330,155630,-9750
2000-01-14,7500,7160,177190,2.39,-7430,5550,2160
2000-01-17,7090,7280,219380,2.43,-116150,110950,5200
2000-01-18,7120,6900,351940,2.3,111070,-121570,500
2000-01-19,7000,6600,284320,2.2,53590,-40060,-7940
2000-01-20,6410,6490,586520,2.17,198860,-182000,4260
2000-01-21,6400,6500,488620,2.17,17090,3380,-5550
2000-01-24,6500,6800,658050,2.27,-45830,61730,1700
2000-01-25,6700,6650,563250,2.22,24850,-229310,0
2000-01-26,6700,7050,629370,2.36,-174960,115600,-1640
2000-01-27,7060,8050,1062020,2.69,-291890,322910,-30800
2000-01-28,8050,7910,1016490,2.64,-527640,526640,1380
2000-01-31,7920,8300,1204420,2.77,-48780,70520,-8450
2000-02-01,8500,8390,768130,2.8,-75680,115870,-37490
2000-02-02,8200,8650,692500,2.89,-304390,253760,50000
2000-02-03,8700,8500,373100,2.84,-72540,65540,-3000
2000-02-07,8490,8000,729190,2.67,137240,-142070,2000
2000-02-08,7900,7800,417790,2.61,-48590,42320,5500
2000-02-09,7800,7470,424760,2.5,9640,-32880,-16160
2000-02-10,7140,6900,553670,2.3,204850,-204850,0
2000-02-11,6900,6450,742180,2.15,403520,-404220,280
2000-02-14,6500,6400,928260,2.14,462940,-456880,-6060
2000-02-15,6350,6400,557120,2.14,87010,-85710,570
2000-02-16,6600,6590,525610,2.2,-33240,27720,3940
2000-02-17,6500,6500,349030,2.17,18970,-24280,-2090
2000-02-18,6500,6430,445340,2.15,-39780,82360,-580
2000-02-21,6300,5950,370630,1.99,-64490,63580,-6130
2000-02-22,5900,6300,528440,2.1,-10640,-2650,490
2000-02-23,6400,6700,1450940,2.24,309400,-288140,-1220
2000-02-24,6300,6200,489100,2.07,-88790,37370,-580
2000-02-25,6010,6000,481320,2,42170,-40490,-140
2000-02-28,5900,6100,675580,2.04,30430,-31490,1060
2000-02-29,6340,6000,411880,2,6790,-2040,-990
2000-03-02,6100,6130,523340,2.05,66530,-50360,-8650
2000-03-03,6130,5770,620970,1.93,229060,-156820,-74400
2000-03-06,5850,6200,827260,2.07,-65010,72240,-7580
2000-03-07,6200,6250,831260,2.09,-50500,61930,-31670
2000-03-08,6180,6380,797340,2.13,-96960,70840,620
2000-03-09,6580,6510,1723280,2.17,63250,88180,-146320
2000-03-10,6840,6300,750380,2.1,13000,-16980,1330
2000-03-13,6470,6300,525730,2.1,-51700,57530,-4290
2000-03-14,6150,6350,399890,2.12,-79210,76740,2470
2000-03-15,6150,6300,279720,2.1,-117280,120300,-2810
2000-03-16,6300,6110,214390,2.04,-16790,10820,5900
2000-03-17,6260,6300,795280,2.1,-5730,10600,-4280
2000-03-20,6300,6190,485200,2.07,-95590,89110,5720
2000-03-21,6200,6080,630360,2.03,13800,-25900,6160
2000-03-22,6200,6120,391930,2.04,14930,-13740,-2190
2000-03-23,6150,6020,369810,2.01,-43570,44370,0
2000-03-24,6020,5980,286430,2,42900,-42600,-240
2000-03-27,5980,5980,491800,2,97000,-96350,0
2000-03-28,6000,5940,326480,1.98,8460,-62480,52520
2000-03-29,6000,5800,411710,1.94,105750,-113660,10000
2000-03-30,5900,5700,342920,1.9,104440,-103600,0
2000-03-31,5610,5550,336920,1.85,84020,-90740,6640
2000-04-03,5810,5750,1405430,1.92,381790,-381060,-4000
2000-04-04,5950,5350,554420,1.79,27560,-34660,2950
2000-04-06,5500,5190,402370,1.73,24800,-28650,2660
2000-04-07,5150,5190,649010,1.73,10970,-8800,1330
2000-04-10,5780,5960,1686530,1.99,364890,-554230,-5540
2000-04-11,6100,5560,1662080,1.86,184410,-177360,12890
2000-04-12,5620,5800,826890,1.94,-265220,275230,-10700
2000-04-14,5510,5800,583360,1.94,-42360,40200,-3870
2000-04-17,5350,5550,1020910,1.85,-244820,234110,8700
2000-04-18,5900,5610,515510,1.87,-13700,-7250,21920
2000-04-19,5520,5400,389310,1.8,-111090,124970,-7320
2000-04-20,5600,5800,1029510,1.94,-80910,89510,-6800
2000-04-21,5900,6200,1551960,2.07,-245770,247340,-1510
2000-04-24,6200,6020,688700,2.01,-123300,207630,-1040
2000-04-25,6050,6060,588420,2.02,-134420,239430,-5000
2000-04-26,5900,5900,547470,1.97,-207630,181910,25420
2000-04-27,5820,5890,339080,1.97,-123410,109780,13630
2000-04-28,5890,6010,400410,2.01,-105700,104730,1270
2000-05-02,5900,6080,405580,2.03,-91580,102470,-10950
2000-05-03,6080,6120,558490,2.04,-12960,-10670,23630
2000-05-04,6070,6200,251200,2.07,-74700,79450,-5400
2000-05-08,6230,6180,637700,2.06,12250,-1080,-6670
2000-05-09,6100,6180,565280,2.06,-112470,116280,-3860
2000-05-10,6180,6350,669390,2.12,40,44900,-44960
2000-05-12,6150,6030,269540,2.01,460,6380,-6800
2000-05-15,5900,5750,252400,1.92,-98850,49890,-1040
2000-05-16,5510,5700,145090,1.9,-7040,8160,-1120
2000-05-17,5500,5450,203720,1.82,-48420,4700,-1280
2000-05-18,4910,4890,278640,1.63,7350,-12880,180
2000-05-19,4900,4990,278530,1.67,29580,-35230,0
2000-05-22,4960,4600,317320,1.54,-38920,39830,-730
2000-05-23,4410,4625,309690,1.55,-62940,52990,8770
2000-05-24,4625,5300,1016600,1.77,175880,-143770,45820
2000-05-25,5350,5350,1495850,1.79,209890,-201460,-1590
2000-05-26,5200,4875,829480,1.63,-128010,128010,0
2000-05-29,4875,5050,561880,1.69,73920,-75050,1180
2000-05-30,5250,5290,614840,1.77,58910,-26990,-1920
2000-05-31,5500,5500,1020130,1.84,-42270,50660,-8390
2000-06-01,5700,5300,445150,1.77,89710,-89710,0
2000-06-02,5480,5300,1678490,1.77,450980,-480700,39920
2000-06-05,5790,6090,1738190,2.03,591170,-561730,4000
2000-06-07,7000,7000,418810,2.34,117710,-117760,0
2000-06-08,8050,7800,8218160,2.61,1588340,-1410200,-216120
2000-06-09,6800,7230,4559170,2.42,-25350,-4840,460
2000-06-12,7230,7160,2505490,2.39,155340,-135140,-60
2000-06-13,6800,6090,1994660,2.03,-299820,197570,2000
2000-06-14,6500,6220,3314120,2.08,175450,-215150,-1500
2000-06-15,6200,5370,1931510,1.79,-197610,185120,1990
2000-06-16,5110,5500,1274890,1.84,-229060,221550,2180
2000-06-19,5300,5350,820080,1.79,-177140,119750,0
2000-06-20,5230,5700,960970,1.9,-147700,108600,1000
2000-06-21,5640,5460,1586620,1.82,-225880,196860,-3180
2000-06-22,5640,5410,565520,1.81,17540,-15950,0
2000-06-23,5360,5410,700810,1.81,36030,-46400,-1600
2000-06-26,5410,5470,580110,1.83,-170910,172780,240
2000-06-27,5510,5700,858560,1.9,13000,-20840,0
2000-06-28,5800,5780,1495740,1.93,8060,-23440,-2370
2000-06-29,5980,5690,747050,1.9,-114380,132080,1100
2000-06-30,5520,5610,640740,1.87,-44330,39030,0
2000-07-03,5600,5630,463610,1.88,-78470,77020,0
2000-07-04,5800,5560,660600,1.86,-95300,55010,0
2000-07-05,5510,5590,576710,1.87,4150,-3020,0
2000-07-06,5590,5750,1700200,1.92,-69380,75070,-1400
2000-07-07,6100,6610,5965710,2.21,-106370,101430,1980
2000-07-10,6850,6690,3600290,2.23,-594100,589150,1540
2000-07-11,6690,6690,4942280,2.23,74710,119620,-103090
2000-07-12,6690,6300,1395270,2.1,-193720,52850,170
2000-07-13,6050,6300,847780,2.1,-22530,-23350,19160
2000-07-14,6300,6320,1283830,2.11,34130,89870,3140
2000-07-18,6200,5950,618660,1.99,-57250,25340,12810
2000-07-19,5850,6050,694740,2.02,-31050,6950,3540
2000-07-20,6000,6010,653190,2.01,-135020,132810,2110
2000-07-21,6200,6100,545640,2.04,-61390,61810,140
2000-07-24,6020,5600,373830,1.87,-67020,18410,5120
2000-07-25,5500,5700,871390,1.9,81310,-92650,10920
2000-07-26,5610,5700,396140,1.9,-48220,43910,-4000
2000-07-27,5700,5520,579670,1.84,116520,-109030,0
2000-07-28,5560,5400,512400,1.8,-180900,164290,14510
2000-07-31,5390,5400,478790,1.8,-7980,30620,10320
2000-08-01,5390,5530,879220,1.85,63290,-54130,0
2000-08-02,5560,5660,463360,1.89,-174780,157720,21010
2000-08-03,5600,5590,329560,1.87,-16020,17360,370
2000-08-04,5540,5600,286680,1.87,9900,-9060,-70
2000-08-07,5500,5290,205710,1.77,6030,-3900,0
2000-08-08,5310,5220,248390,1.74,-35230,-13710,510
2000-08-09,5310,5480,346040,1.83,-122700,117550,3610
2000-08-10,5470,5550,309680,1.85,-6260,-16430,10820
2000-08-11,5410,5650,430530,1.89,-117850,54860,140
2000-08-14,6290,5930,697950,1.98,100240,29470,-19050
2000-08-16,5910,6000,374380,2,-110380,57080,2320
2000-08-17,6000,5750,478650,1.92,-138510,38510,0
2000-08-18,5640,5750,321240,1.92,-111320,62250,70
2000-08-21,5700,5730,166150,1.91,-61960,62100,-140
2000-08-22,5790,5800,318820,1.94,-48100,45270,1570
2000-08-23,5900,5860,1045700,1.96,1590,-550,360
2000-08-24,6010,6000,372690,2,-173230,164890,1930
2000-08-25,6000,6000,328110,2,-149690,149200,-70
2000-08-28,6000,6250,995460,2.09,-58330,88300,9050
2000-08-29,6270,6300,931320,2.1,71440,15070,2350
2000-08-30,6300,6290,431360,2.1,-219970,221040,-650
2000-08-31,6270,6110,335570,2.04,-185940,181930,-1210
2000-09-01,6010,6100,199040,2.04,-94670,76890,-1340
2000-09-04,6030,6290,355710,2.1,-173210,168060,0
2000-09-05,6250,6200,196150,2.07,-115330,107320,1890
2000-09-06,6200,6050,283500,2.02,17220,-25160,7360
2000-09-07,5920,5960,290140,1.99,-81920,76120,-8190
2000-09-08,5910,5970,212860,1.99,-79760,109730,-3640
2000-09-14,5990,6150,268220,2.05,-29890,81000,-43110
2000-09-15,6030,6000,567810,2,27290,61720,-15250
2000-09-18,5810,5520,370130,1.84,-204530,193860,9410
2000-09-19,5300,5420,215150,1.81,-4890,55510,-60
2000-09-20,5580,5570,319670,1.86,35380,67030,-1710
2000-09-21,5500,5440,198510,1.82,-60340,81580,-6240
2000-09-22,5320,5000,349440,1.67,-14080,18610,-4530
