Symbol,JW중외제약_시가(원),JW중외제약_종가(원),JW중외제약_거래량(주),JW중외제약_PER(IFRS-연결),JW중외제약_순매수수량(개인)(주),JW중외제약_순매수수량(기관계)(주),JW중외제약_순매수수량(외국인계)(주)
2000-01-04,10700,12700,354350,11.62,47840,-28020,0
2000-01-05,12200,12500,857140,11.44,30550,-25550,0
2000-01-06,13000,11400,241780,10.43,-2620,2640,0
2000-01-07,11500,12500,549770,11.44,-2210,1970,240
2000-01-10,13250,11900,486060,10.89,10840,-5080,0
2000-01-11,11800,11950,264330,10.93,18100,-17450,-630
2000-01-12,11800,11550,209090,10.57,-1040,-3960,0
2000-01-13,11850,11600,138260,10.61,9030,-9030,0
2000-01-14,11800,11200,173410,10.25,9490,-9490,0
2000-01-17,11100,11100,149580,10.15,-930,630,300
2000-01-18,11100,11000,218750,10.06,-2880,-2180,60
2000-01-19,11000,10400,196130,9.52,7500,-14990,0
2000-01-20,10100,9900,139050,9.06,-2070,1890,180
2000-01-21,9650,9920,152870,9.07,4520,-5000,0
2000-01-24,9800,10400,231030,9.52,180,320,0
2000-01-25,10400,9960,113210,9.11,10,-10,0
2000-01-26,10300,10050,111690,9.19,-180,180,0
2000-01-27,10050,10700,307520,9.79,270,-270,0
2000-01-28,10950,10650,162850,9.74,-1200,1200,0
2000-01-31,10600,10650,133180,9.74,1850,-1050,-800
2000-02-01,10700,10550,89770,9.65,9010,-8070,-870
2000-02-02,10500,11100,272250,10.15,4510,-4510,0
2000-02-03,10900,11000,112790,10.06,-30,30,0
2000-02-07,11000,11450,143300,10.47,310,-310,0
2000-02-08,11700,11500,198310,10.52,-8200,8130,0
2000-02-09,11250,11500,227310,10.52,8990,-8990,0
2000-02-10,11400,10650,154010,9.74,2170,-2170,0
2000-02-11,10100,10800,321980,9.88,36000,-35440,0
2000-02-14,11100,10600,216760,9.7,-1820,1820,0
2000-02-15,10700,9940,135090,9.09,-100,-60,160
2000-02-16,10000,10000,95690,9.15,23860,-23860,0
2000-02-17,10100,10950,473670,10.02,14400,-4300,-100
2000-02-18,11500,12550,1032000,11.48,-247750,211750,0
2000-02-21,12850,12300,748070,11.25,10550,-12550,0
