Symbol,KCC_시가(원),KCC_종가(원),KCC_거래량(주),KCC_PER(IFRS-연결),KCC_순매수수량(개인)(주),KCC_순매수수량(기관계)(주),KCC_순매수수량(외국인계)(주)
2000-01-04,52100,52000,11070,4.08,1190,350,-1720
2000-01-05,50900,48600,11070,3.81,2460,-7530,5070
2000-01-06,50700,47000,12650,3.68,1960,-7990,6060
2000-01-07,47500,47200,10220,3.7,490,-830,340
2000-01-10,47500,46600,8210,3.65,2730,-3800,930
2000-01-11,47700,46700,6320,3.66,-340,-120,250
2000-01-12,46700,45000,11790,3.53,7190,-1040,-6150
2000-01-13,46900,42200,15390,3.31,8600,-4220,-4580
2000-01-14,43200,46000,104503,3.61,-290,91290,-6000
2000-01-17,48500,50000,15090,3.92,-1990,1560,430
2000-01-18,48000,47500,5040,3.72,1570,-1380,-190
2000-01-19,47500,43800,10660,3.43,6470,-6130,-730
2000-01-20,43800,46000,8660,3.61,-4470,1750,2720
2000-01-21,46000,45000,5120,3.53,870,-1210,690
2000-01-24,44000,49100,11250,3.85,-9930,9650,280
2000-01-25,48500,44500,11820,3.49,4020,80,-4100
2000-01-26,44600,46000,12320,3.61,-2380,7200,-4820
2000-01-27,44200,49000,9320,3.84,-3350,5520,-2140
2000-01-28,49800,49400,5480,3.87,-1130,1920,-670
2000-01-31,49000,50400,55800,3.95,140,39580,-40000
2000-02-01,51000,52400,34300,4.11,-7990,-20640,23250
2000-02-02,52400,52000,25520,4.08,-260,11220,-11060
2000-02-03,52000,51500,9790,4.04,60,3400,-3460
2000-02-07,51700,51000,20490,4,710,12170,-13190
2000-02-08,51000,50700,54690,3.97,-510,-3240,2410
2000-02-09,50000,49200,17640,3.86,3460,10810,-14270
2000-02-10,49000,45000,17490,3.53,5650,2060,-7710
2000-02-11,46500,45900,19310,3.6,6190,2030,-7730
2000-02-14,45000,47900,7430,3.75,-5340,3570,1770
2000-02-15,47900,48000,8350,3.76,-980,-200,1480
2000-02-16,48000,46000,12760,3.61,4040,-8290,4310
2000-02-17,48000,46000,52760,3.61,24930,-20660,-4570
2000-02-18,46900,52900,118170,4.15,-23360,-4050,23930
2000-02-21,52300,52000,19830,4.08,1420,3210,-6800
2000-02-22,50100,55100,89810,4.32,-31520,23550,10120
2000-02-23,54000,54000,42670,4.23,-1250,19790,-18490
2000-02-24,53000,55500,45170,4.35,-18130,18730,-600
2000-02-25,54500,55000,19110,4.31,-4230,3340,880
2000-02-28,53500,53900,9960,4.23,-330,-790,1120
2000-02-29,53700,52000,20090,4.08,1150,-4590,3440
2000-03-02,52000,55000,54970,4.31,-5970,13440,-600
2000-03-03,52700,54000,17720,4.23,4640,5590,-10170
2000-03-06,53900,55000,105860,4.31,-16170,28340,-12220
2000-03-07,55500,54900,62960,4.3,-3140,33900,-30790
2000-03-08,55000,55700,104550,4.37,-10850,41390,-30540
2000-03-09,55700,56000,107980,4.39,-4560,-74190,-11150
2000-03-10,56000,56900,102860,4.46,-5910,17410,90
2000-03-13,57000,56900,77690,4.46,-9320,13620,-6870
2000-03-14,57100,55400,34700,4.34,-4330,4210,120
2000-03-15,54100,50400,14160,3.95,2260,-1250,-980
2000-03-16,50000,46500,17660,3.65,9300,160,-4970
