Symbol,KT_시가(원),KT_종가(원),KT_거래량(주),KT_PER(IFRS-연결),KT_순매수수량(개인)(주),KT_순매수수량(기관계)(주),KT_순매수수량(외국인계)(주)
2000-01-04,182000,169000,2344578,133.31,444480,-298320,-219420
2000-01-05,148000,145500,2744903,114.77,716960,-181040,-529320
2000-01-06,151000,147500,2275143,116.35,633260,-325320,-318630
2000-01-07,141000,133000,2404267,104.91,235700,-79640,-174530
2000-01-10,140000,145000,2273425,114.38,101168,-111958,-16290
2000-01-11,148000,140000,1706151,110.43,177220,-150920,-51310
2000-01-12,135000,131500,1211776,103.73,223380,-181180,-18320
2000-01-13,132000,130000,1750059,102.54,445050,-250420,-241970
2000-01-14,134000,131500,1637664,103.73,-260560,96330,190740
2000-01-17,134000,137500,1065897,108.46,-246780,303340,13220
2000-01-18,138500,139500,1471080,110.04,-16370,25220,7430
2000-01-19,137500,132000,1357016,104.12,137890,38130,-167420
2000-01-20,130000,135000,1170014,106.49,-89312,280632,-194790
2000-01-21,130000,129000,1152706,101.76,434810,-161680,-267200
2000-01-24,127500,126000,1046453,99.39,257682,36620,-277422
2000-01-25,123000,118000,1266775,93.08,235120,-211220,-25290
2000-01-26,118000,110000,1465314,86.77,36990,44560,-99860
2000-01-27,111000,114000,1157446,89.92,-53780,-37780,116410
2000-01-28,118000,122000,1619534,96.23,88670,-128230,92570
2000-01-31,123000,126000,1171169,99.39,-116570,-8200,95310
2000-02-01,129500,124000,938659,97.81,52199,-85069,31480
2000-02-02,125000,125000,1085204,98.6,167180,110460,-236020
2000-02-03,127000,124000,1288055,97.81,162490,9960,-204360
2000-02-07,125500,137000,2553724,108.07,-73410,125890,-78310
2000-02-08,138000,132000,1147885,104.12,-172530,162140,14190
2000-02-09,135500,138000,1447182,108.85,-501190,410710,48070
2000-02-10,132000,136500,2480575,107.67,89710,-149240,-73170
2000-02-11,139500,135500,1347964,106.88,75290,-54700,6260
2000-02-14,133000,132000,1251896,104.12,-16728,93168,-250
2000-02-15,134000,124000,1338269,97.81,83256,45047,-57033
2000-02-16,124000,123000,1321731,97.02,91244,160950,-249944
2000-02-17,116000,122000,1524665,96.23,285558,-42928,-265500
2000-02-18,122000,118000,1653959,93.08,430110,-254280,-194780
2000-02-21,115000,111000,1042887,87.56,150940,-115650,-49150
2000-02-22,111000,114500,1217920,90.32,-72510,114370,-22270
2000-02-23,114000,115000,1272745,90.71,11340,248840,-232140
2000-02-24,115000,114000,913753,89.92,-259362,287532,-61930
2000-02-25,109000,109000,1651680,85.98,320460,62610,-378120
2000-02-28,107500,97800,1706622,77.14,-32720,125830,-40740
2000-02-29,99500,95500,1705849,75.33,345526,-355706,9970
2000-03-02,99000,107500,2053295,84.8,-285428,123458,134270
2000-03-03,113000,110000,1522631,86.77,-134725,-107440,135685
2000-03-06,115000,113000,1066908,89.13,-246890,-12800,216360
2000-03-07,109000,113000,761078,89.13,-147110,-32130,161720
2000-03-08,106000,113000,811550,89.13,-169970,67150,90950
2000-03-09,118000,109000,1907621,85.98,719975,-421420,-272925
2000-03-10,113000,108000,931527,85.19,141876,-249616,113200
2000-03-13,105500,99900,1136960,78.8,467869,-339229,-24460
2000-03-14,98000,97800,835222,77.14,58360,-81330,44270
2000-03-15,95100,94000,951869,74.15,99340,-119370,56010
2000-03-16,95600,97000,934115,76.51,-84979,20839,21320
2000-03-17,100000,100000,1043145,78.88,-79505,-59900,128825
2000-03-20,100000,97100,499669,76.59,4197,23550,-31007
2000-03-21,95000,100000,884045,78.88,-93225,208700,-124375
2000-03-22,101000,103000,1145258,81.25,-84150,126570,-25630
2000-03-23,103000,102500,1017469,80.85,215908,-193538,-9650
2000-03-24,100000,100000,655195,78.88,-24201,-42259,56320
2000-03-27,100000,98100,622777,77.38,137550,-126220,9290
2000-03-28,97200,97800,820574,77.14,129540,-196690,44170
2000-03-29,98200,98700,1036894,77.85,163694,-188066,72110
2000-03-30,101000,103500,1725376,81.64,-139511,179100,-3079
2000-03-31,101000,98000,1158473,77.3,80750,-131640,-2810
2000-04-03,100000,93700,829750,73.91,112760,47070,-38490
2000-04-04,92000,93700,863908,73.91,-196730,165190,31130
2000-04-06,91100,89700,577085,70.76,161061,-72570,-90991
2000-04-07,89800,92000,850432,72.57,52812,-87780,71000
2000-04-10,96000,93500,1302334,73.75,229050,-54440,-183390
2000-04-11,94800,93800,836652,73.99,-249070,248100,45620
2000-04-12,93000,92500,791850,72.96,-28200,34800,-26550
2000-04-14,90000,88000,704649,69.41,236500,-93510,-138640
2000-04-17,74800,74800,1383693,59,-1230,91930,-112490
2000-04-18,82000,75000,1381263,59.16,540480,-475880,-55420
2000-04-19,78500,77000,1433397,60.74,252727,-169580,-43907
2000-04-20,78000,82400,1254564,65,-183429,115259,34640
2000-04-21,83400,82100,963706,64.76,-6580,56610,-34670
2000-04-24,83500,79500,586208,62.71,22640,-50090,22780
2000-04-25,77000,80400,654063,63.42,-115202,24660,100292
2000-04-26,82500,77900,662237,61.45,-63331,52340,9930
2000-04-27,77000,75800,672984,59.79,-27360,222930,-183270
2000-04-28,75700,75800,903509,59.79,175484,-141960,-49674
2000-05-02,76100,80000,1975549,63.1,152339,8180,-110666
2000-05-03,79900,78800,895329,62.16,18675,28275,-65840
2000-05-04,79600,78700,687052,62.08,-91855,117115,-29590
2000-05-08,80000,81500,1185420,64.29,-124765,56970,41605
2000-05-09,82900,81200,699350,64.05,28560,36130,-33990
2000-05-10,81500,82000,762450,64.68,-137272,172885,-35293
2000-05-12,83500,81400,626227,64.21,-61605,52800,8195
2000-05-15,80200,80500,531104,63.5,-198600,87050,101750
2000-05-16,80000,83300,1106844,65.71,-221810,13790,244860
2000-05-17,86000,83500,1789465,65.86,-138995,235270,-106165
2000-05-18,80100,81500,868020,64.29,-166350,103040,103090
2000-05-19,81100,86000,1402950,67.84,-413575,237220,102025
2000-05-22,82500,80000,840485,63.1,2493,165350,-153563
2000-05-23,78500,78400,1050555,61.84,-70657,100057,33680
2000-05-24,75500,73500,1421414,57.98,198040,-159850,-30720
2000-05-25,76000,76000,1405520,59.95,104310,-441380,389020
2000-05-26,74000,73500,1212256,57.98,-9050,-124120,169250
2000-05-29,69500,73000,1038315,57.58,-126050,-80330,196500
2000-05-30,74000,78300,960970,61.76,-81600,-133580,230100
2000-05-31,82700,84000,1770126,66.26,-179280,-166640,320560
2000-06-01,82000,82400,761081,65,-249030,249040,-9950
2000-06-02,84500,84000,1164539,66.26,-144366,-54441,176717
2000-06-05,86100,88300,1657878,69.65,-158688,-203172,304190
2000-06-07,90500,101500,3736788,80.06,-414045,-729665,1225460
2000-06-08,109000,101500,5599955,80.06,-345490,-1609540,2094170
2000-06-09,99800,102500,2345874,80.85,-124532,-46548,132530
2000-06-12,106500,100000,1452750,78.88,281490,-296470,47820
