Symbol,LG_시가(원),LG_종가(원),LG_거래량(주),LG_PER(IFRS-연결),LG_순매수수량(개인)(주),LG_순매수수량(기관계)(주),LG_순매수수량(외국인계)(주)
2000-01-04,37100,40100,951270,16.4,-62110,-2530,69430
2000-01-05,39500,37800,1268190,15.46,-37520,-68840,143410
2000-01-06,36800,35500,2547070,14.51,766520,-211960,-459650
2000-01-07,35500,38000,1784030,15.54,-456110,-186070,657670
2000-01-10,41000,40000,1621580,16.35,-461140,-255930,693510
2000-01-11,39100,39900,913630,16.31,-319100,167760,34860
2000-01-12,39600,39900,870140,16.31,-145170,-184690,200260
2000-01-13,39300,40200,810170,16.44,-66660,122260,-47080
2000-01-14,40200,40800,830820,16.68,-215580,-36680,245390
2000-01-17,41300,41900,724660,17.13,-263400,139650,139550
2000-01-18,42100,43650,1693480,17.85,-499620,-155700,575470
2000-01-19,43000,41800,906950,17.09,-166840,8930,110560
2000-01-20,41000,44500,652840,18.19,-181890,180100,-4710
2000-01-21,41900,40100,698230,16.4,64360,-5020,-36960
2000-01-24,40300,39800,479220,16.27,20090,117240,-125830
2000-01-25,38600,38750,465810,15.84,5840,-12070,24330
2000-01-26,39100,38900,414110,15.9,-66830,57810,24020
2000-01-27,38250,40000,913440,16.35,72160,28880,-101620
2000-01-28,41000,40000,468850,16.35,-24750,106090,-88930
2000-01-31,40000,40000,710280,16.35,-59230,110420,-41210
2000-02-01,40150,39100,754550,15.99,49720,125270,-182560
2000-02-02,38900,40600,525690,16.6,-161530,251830,-101710
2000-02-03,40600,40850,390380,16.7,-140320,144290,240
2000-02-07,40850,40600,471720,16.6,-33780,-45290,74400
2000-02-08,41000,40300,400570,16.48,-11350,5900,4900
2000-02-09,39700,40300,423410,16.48,-89580,84390,7940
2000-02-10,39700,37600,1015920,15.37,80140,-121730,-17850
2000-02-11,38100,37850,1258180,15.48,523800,-136360,-376760
2000-02-14,37850,36400,723690,14.88,-41670,87540,-14090
2000-02-15,38000,36250,846800,14.82,-98830,137210,-30070
2000-02-16,35450,36000,646220,14.72,-8440,204270,-192650
2000-02-17,35600,37600,879130,15.37,-53350,41710,37000
2000-02-18,38500,38000,1734580,15.54,203230,153390,-251260
2000-02-21,38000,38000,601640,15.54,-64430,-5150,42670
2000-02-22,38200,37000,498280,15.13,-94060,39680,13350
2000-02-23,37000,37000,699130,15.13,71060,71310,-172450
2000-02-24,37000,36300,391010,14.84,28720,82260,-128180
2000-02-25,36100,35000,448590,14.31,80240,-55530,-28910
2000-02-28,33800,31800,536750,13,123400,-93900,-14820
2000-02-29,32100,29950,1235820,12.25,523970,-260440,-194510
2000-03-02,31000,31700,2119520,12.96,503250,-215390,-324530
2000-03-03,31900,30500,863680,12.47,32330,3190,-13970
2000-03-06,32900,32500,1012450,13.29,69830,-73930,-26150
2000-03-07,32300,31950,596000,13.06,-64470,21380,39100
2000-03-08,31000,31650,489540,12.94,24970,-16450,-25160
2000-03-09,32000,30650,1017150,12.53,351460,-227190,-133830
2000-03-10,32000,30100,1204230,12.31,692580,-308220,-381330
2000-03-13,29750,27200,1621100,11.12,918020,-570250,-216040
2000-03-14,26200,26500,1476940,10.83,513610,-177170,-124300
2000-03-15,26200,24450,1979710,10,459050,-89210,-363710
2000-03-16,25550,25050,1830140,10.24,-53990,85000,47200
2000-03-17,26900,27500,2133920,11.24,-61590,-55440,71810
2000-03-20,28100,29300,1968100,11.98,-467410,131940,284770
2000-03-21,29800,29250,970840,11.96,-395050,392660,-22890
2000-03-22,29900,30850,1303310,12.61,-299610,188240,46640
2000-03-23,30800,29000,1083930,11.86,-183100,359600,-219180
2000-03-24,29700,30000,731960,12.27,-151650,8650,90070
2000-03-27,29800,29500,358070,12.06,-3200,-38800,44240
2000-03-28,29500,30400,824490,12.43,-209680,32780,101450
2000-03-29,30000,31700,897310,12.96,-230690,81100,114210
2000-03-30,32700,32500,1023560,13.29,-142170,181240,-70700
2000-03-31,32000,31600,698390,12.92,-142930,171890,-78210
2000-04-03,31200,31500,986450,12.88,-46940,134040,-93140
2000-04-04,30800,30700,518030,12.55,-139820,143160,-6840
2000-04-06,32000,31900,1225400,13.04,-369090,-331330,747970
2000-04-07,32500,33800,1156570,13.82,-312730,-152700,464350
2000-04-10,34500,32400,2195300,13.25,292260,-778340,565730
2000-04-11,31500,31000,2139990,12.67,653760,-705450,125140
2000-04-12,31000,30550,1344570,12.49,257650,-41280,-260340
2000-04-14,29600,28750,1088220,11.75,123170,4340,-187290
2000-04-17,24450,25100,1529980,10.26,-43610,317250,-235860
2000-04-18,28000,28300,1104870,11.57,17390,-29260,33740
2000-04-19,28800,28000,1139550,11.45,-36600,15250,33340
2000-04-20,28000,28350,795970,11.59,64000,220920,-307140
2000-04-21,28500,28900,364450,11.82,-141440,147720,-6170
2000-04-24,28000,27650,382240,11.31,65690,-60450,-3140
2000-04-25,27500,27550,351200,11.26,31250,-10490,-21480
2000-04-26,29500,26000,747120,10.63,43560,-53880,54850
2000-04-27,25800,24700,1083390,10.1,334610,148700,-482110
2000-04-28,23800,25500,1874530,10.43,562860,-98710,-468310
2000-05-02,25950,26000,847490,10.63,11740,-113390,69820
2000-05-03,25500,26800,824390,10.96,-168330,65960,90510
2000-05-04,26100,26300,705100,10.75,37640,-92430,-108090
2000-05-08,26300,26100,743790,10.67,164990,-93510,-25360
2000-05-09,26300,26350,501630,10.77,-66920,-126800,210720
2000-05-10,26350,26000,329400,10.63,-5450,-11990,14220
2000-05-12,25500,25000,568410,10.22,165460,36990,-217510
2000-05-15,24100,23400,662280,9.57,29620,-14560,-19100
2000-05-16,22800,24000,894970,9.81,158670,-34780,-146230
2000-05-17,24000,23200,1184290,9.49,-7270,139570,-129180
2000-05-18,23000,22000,856450,9,136100,127380,-176020
2000-05-19,21000,21800,973060,8.91,198530,-62180,-126380
2000-05-22,21800,20600,1054110,8.42,-102550,-82690,8240
2000-05-23,20600,17900,1929860,7.32,479710,-380320,-186560
2000-05-24,17700,18500,2500540,7.56,13690,-100760,23720
2000-05-25,19200,20100,2441650,8.22,246850,-123840,-365240
2000-05-26,20100,20000,1654330,8.18,-551490,-474560,648250
2000-05-29,20000,20450,814810,8.36,-96630,-99860,16870
2000-05-30,20950,22000,1330220,9,99890,-72540,-86920
2000-05-31,22500,22000,2042630,9,180180,52630,-485860
2000-06-01,22000,20700,1394880,8.46,279460,-65410,-382970
