Symbol,LG상사_시가(원),LG상사_종가(원),LG상사_거래량(주),LG상사_PER(IFRS-연결),LG상사_순매수수량(개인)(주),LG상사_순매수수량(기관계)(주),LG상사_순매수수량(외국인계)(주)
2000-01-04,4450,4900,972720,11.03,154720,-144370,-9580
2000-01-05,4800,4600,831700,10.35,35210,-35210,0
2000-01-06,5000,4600,1815280,10.35,462360,-451730,0
2000-01-07,4645,4580,820940,10.31,44860,-40860,0
2000-01-10,4635,4500,974230,10.13,94620,-94720,100
2000-01-11,4480,4400,1429340,9.91,253450,-92780,-60670
2000-01-12,4370,4200,1275050,9.45,99240,-101290,2050
2000-01-13,4200,4150,1032020,9.34,35600,-35600,0
2000-01-14,4100,4150,1350550,9.34,-153840,-79480,236860
2000-01-17,4770,4770,1649260,10.74,339910,-356150,-8760
2000-01-18,5020,4700,6111940,10.58,96990,-66990,-2000
2000-01-19,4600,4150,1366410,9.34,4990,-4910,-80
2000-01-20,4200,4200,1504390,9.45,210540,-212330,0
2000-01-21,4010,4210,1702370,9.48,70150,-70150,0
2000-01-24,4200,4210,1762100,9.48,148190,-145010,-4180
2000-01-25,4155,4210,1432050,9.48,1590,-600,40
2000-01-26,4400,4540,2832350,10.22,32640,-39540,1900
2000-01-27,4500,4900,2950960,11.03,-504280,419290,83390
2000-01-28,4970,4800,2233510,10.8,-351630,339570,12060
2000-01-31,4615,4750,1273860,10.69,-256740,268390,-11650
2000-02-01,4850,4700,1447770,10.58,237560,-235260,-6000
2000-02-02,4650,4780,1559760,10.76,-48210,48210,0
2000-02-03,4850,4720,1330780,10.62,7210,-31210,4000
2000-02-07,4760,4590,1317940,10.33,17260,450,-13000
2000-02-08,4600,4520,1352570,10.17,54270,-54840,120
2000-02-09,4610,4550,2106390,10.24,459510,-429540,-29220
2000-02-10,4710,4450,3294830,10.02,356110,-293710,7600
2000-02-11,4440,4140,1870570,9.32,340460,-341200,2500
2000-02-14,4010,3805,1410600,8.56,-21740,-1280,2700
2000-02-15,3750,3695,1589600,8.32,257100,-180500,20
2000-02-16,3710,3700,1456000,8.33,130220,-130070,50
2000-02-17,3580,3650,1557770,8.22,231290,-231340,50
2000-02-18,3600,3550,1500430,7.99,-194980,194980,0
2000-02-21,3450,3250,1495860,7.31,-176640,199870,-23230
2000-02-22,3225,3310,1686780,7.45,11400,-10570,-780
2000-02-23,3350,3805,2286630,8.56,-127040,157940,-30900
2000-02-24,3700,3690,1654720,8.31,-470930,469930,0
2000-02-25,3610,3950,1912260,8.89,-142890,149890,-6000
2000-02-28,3750,3750,1360660,8.44,-235110,-80690,3000
2000-02-29,3800,3800,1700730,8.55,-342570,345900,-3330
2000-03-02,3800,3755,1380740,8.45,25100,-25100,0
2000-03-03,3810,3550,1118140,7.99,-85030,79820,5210
2000-03-06,3700,3870,2541510,8.71,305760,-304990,-770
2000-03-07,3770,3900,1874000,8.78,-145630,145630,0
2000-03-08,3810,3920,1981210,8.82,-100000,99900,0
2000-03-09,4000,4160,3219350,9.36,-127080,28430,-1350
2000-03-10,4350,4060,1359880,9.14,-116770,3380,110600
2000-03-13,4050,4125,1360000,9.28,-281650,247770,0
2000-03-14,4100,4010,1122620,9.03,-201280,195820,5540
2000-03-15,3910,3900,845420,8.78,-149720,149970,-250
2000-03-16,4030,3850,897280,8.67,-162160,157260,0
