Symbol,LS_시가(원),LS_종가(원),LS_거래량(주),LS_PER(IFRS-연결),LS_순매수수량(개인)(주),LS_순매수수량(기관계)(주),LS_순매수수량(외국인계)(주)
2000-01-04,18000,21000,509510,6.5,19710,-107750,46870
2000-01-05,21000,21000,457560,6.5,22830,-73200,5080
2000-01-06,21500,20000,351730,6.19,1240,-8500,7400
2000-01-07,19200,19900,191170,6.16,-57700,55010,2720
2000-01-10,20000,19900,198650,6.16,-44410,76830,-14780
2000-01-11,19900,19000,222670,5.88,-11310,8970,-8640
2000-01-12,18800,18050,193560,5.58,-1150,10210,940
2000-01-13,18050,18050,167640,5.58,21700,-44510,-6190
2000-01-14,18100,19400,239570,6,-15370,-43590,56960
2000-01-17,20000,20900,362120,6.47,-127160,182530,-50370
2000-01-18,20900,21600,344450,6.68,-56860,56720,140
2000-01-19,21500,21000,245750,6.5,-69550,74870,-5230
2000-01-20,20900,22000,264610,6.81,-44910,44700,1640
2000-01-21,21400,22050,376080,6.82,-36430,70450,-4350
2000-01-24,22000,22500,259880,6.96,-66880,94150,-26770
2000-01-25,22000,22000,332190,6.81,-7390,-38680,-1000
2000-01-26,22000,21900,159570,6.78,-71580,83250,-670
2000-01-27,21900,22400,205300,6.93,-52260,20000,8340
2000-01-28,22400,22300,188700,6.9,-44990,37190,-6640
2000-01-31,21600,22300,238200,6.9,-49400,5600,-3930
2000-02-01,22450,21900,149630,6.78,-300,-9080,-5540
2000-02-02,21400,22100,242380,6.84,-28910,-11800,-7610
2000-02-03,22200,22000,150580,6.81,-25080,28580,-3500
2000-02-07,22300,21500,173100,6.65,46160,-39810,-7360
2000-02-08,21500,20800,190260,6.44,-6310,-25710,19780
2000-02-09,20600,20400,222130,6.31,16920,-16920,0
2000-02-10,20050,18900,310070,5.85,94580,-70430,-14150
2000-02-11,18900,18700,267810,5.79,58550,-53990,-9840
2000-02-14,18200,18000,234760,5.57,39370,12710,-17560
2000-02-15,18500,17500,265460,5.41,79230,-32160,-17480
2000-02-16,17800,18300,245870,5.66,-12590,74210,-17140
2000-02-17,18250,18400,266350,5.69,-48550,48690,-1340
