Symbol,LS산전_시가(원),LS산전_종가(원),LS산전_거래량(주),LS산전_PER(IFRS-연결),LS산전_순매수수량(개인)(주),LS산전_순매수수량(기관계)(주),LS산전_순매수수량(외국인계)(주)
2000-01-04,3900,4130,206010,,-10160,6950,-1470
2000-01-05,3955,3940,245500,,15020,-29000,14930
2000-01-06,4000,3700,332760,,79900,-81060,1160
2000-01-07,3750,3815,253980,,-52390,46200,8240
2000-01-10,3820,3850,229700,,-8800,3970,18460
2000-01-11,3800,3690,314010,,121620,-126990,1600
2000-01-12,3690,3590,208210,,41130,-41130,0
2000-01-13,3590,3360,365400,,151810,-128370,-26590
2000-01-14,3450,3670,481820,,-13750,8310,5440
2000-01-17,3680,3695,264510,,-44760,34250,10510
2000-01-18,3600,3505,192290,,32370,-32890,520
2000-01-19,3410,3340,263810,,89230,-53200,-21830
2000-01-20,3215,3330,258960,,-41350,36520,4830
2000-01-21,3390,3290,346540,,60480,-39910,-14010
2000-01-24,3210,3330,216850,,-45940,41690,4250
2000-01-25,3250,3250,206100,,33780,-28780,0
2000-01-26,3210,3380,211080,,-38250,38250,0
2000-01-27,3400,3600,398550,,-22020,21500,1080
2000-01-28,3630,3480,225710,,40160,-33320,-4600
2000-01-31,3400,3420,252090,,34450,-21310,-16880
2000-02-01,3450,3485,281020,,4870,-6070,-800
2000-02-02,3510,3580,248280,,-52380,50820,160
2000-02-03,3610,3815,708510,,-2100,1300,800
2000-02-07,3850,3760,388380,,21600,-44660,19040
2000-02-08,3700,3560,236590,,-33010,33010,0
2000-02-09,3560,3495,193090,,-11130,11130,0
2000-02-10,3440,3300,376950,,174310,-168060,-6250
2000-02-11,3310,3330,238610,,-29330,27550,680
2000-02-14,3215,3260,193570,,-99560,89700,9860
2000-02-15,3215,3255,220340,,-85540,79730,9770
2000-02-16,3300,3380,241060,,5440,-8250,3910
2000-02-17,3370,3310,169440,,-26610,14660,5950
2000-02-18,3270,3160,295340,,86410,-82320,-1690
2000-02-21,3110,2900,221650,,8250,-2640,-5610
2000-02-22,2900,2880,176920,,-14780,15210,90
2000-02-23,2820,3040,355000,,41890,-35020,-6010
2000-02-24,3040,2860,184170,,-320,1780,-1460
2000-02-25,2820,2900,177130,,-34310,32970,-340
2000-02-28,3000,3030,412850,,-83770,48210,35560
2000-02-29,3150,3050,246090,,15730,-27220,11490
2000-03-02,3000,3010,310770,,83340,-78530,-4810
2000-03-03,3040,2925,254480,,44410,-30170,-13040
2000-03-06,3010,3080,343330,,-7510,6490,170
2000-03-07,3100,3175,359170,,2850,-2370,-1990
2000-03-08,3100,3100,227520,,7180,-6100,-1080
2000-03-09,3190,2900,632880,,372560,-161370,-209830
2000-03-10,3100,3150,567000,,-27960,25390,1530
2000-03-13,3220,3170,557430,,77320,-51700,-23710
2000-03-14,3180,3070,376930,,-13790,16060,-1690
2000-03-15,3060,3000,327880,,16230,-1550,-9750
2000-03-16,3050,3025,220110,,-63410,49890,10750
2000-03-17,3100,3475,1290000,,-4290,-5300,9440
2000-03-20,3545,3600,1862810,,-26680,21710,5750
2000-03-21,3800,3200,622260,,-74250,30140,5600
2000-03-22,3220,3200,474040,,-13170,1090,2080
2000-03-23,3200,3100,526840,,53650,-52000,-4050
2000-03-24,3150,3155,274140,,-38020,22680,340
2000-03-27,3160,3090,273840,,20560,-20660,0
2000-03-28,3080,3090,263590,,-29090,33980,9930
2000-03-29,3120,3030,298870,,47800,-47800,0
2000-03-30,3020,2985,291110,,-28540,26270,2530
2000-03-31,2950,3100,257500,,-30030,24800,5060
2000-04-03,3010,2990,164810,,-16020,16610,0
2000-04-04,2950,2995,213810,,-131900,127630,1800
2000-04-06,3000,2885,152710,,6150,-11550,5060
2000-04-07,2885,2880,176720,,2350,-7610,5060
2000-04-10,2880,3010,564660,,95220,-87090,-3810
2000-04-11,2960,2880,180370,,-5310,8740,-170
2000-04-12,2870,2855,276660,,67790,-64650,-3400
2000-04-14,2780,2770,217200,,58370,-50650,0
2000-04-17,2500,2540,248610,,-154500,124670,22270
2000-04-18,2850,2625,295530,,127770,-123360,320
2000-04-19,2630,2620,302440,,87360,-73000,-11640
2000-04-20,2580,2570,179090,,26570,-26570,0
2000-04-21,2580,2605,327080,,66010,-63530,-2320
2000-04-24,2600,2545,168020,,18490,-16130,-1400
2000-04-25,2505,2460,167700,,-38940,38940,0
2000-04-26,2500,2320,200650,,-11910,10360,1120
2000-04-27,2310,2295,247290,,-112960,108730,4230
2000-04-28,2295,2295,182190,,18150,-12930,-7420
