Symbol,NH투자증권_시가(원),NH투자증권_종가(원),NH투자증권_거래량(주),NH투자증권_PER(IFRS-연결),NH투자증권_순매수수량(개인)(주),NH투자증권_순매수수량(기관계)(주),NH투자증권_순매수수량(외국인계)(주)
2000-01-04,20000,22150,2330680,10.56,285170,-389030,70700
2000-01-05,22250,23500,4455610,11.21,97080,-254510,4640
2000-01-06,24000,22000,2237400,10.49,-269870,159080,15700
2000-01-07,22900,23000,3228210,10.97,-184280,185260,-11430
2000-01-10,23700,23200,2509580,11.06,-463260,212440,84780
2000-01-11,22700,23000,1981800,10.97,-277060,256690,50740
2000-01-12,23150,23300,3376570,11.11,-1754110,137170,1534040
2000-01-13,23300,25000,2479740,11.92,-291360,-205420,496130
2000-01-14,25000,24000,1869870,11.45,-215480,121460,103220
2000-01-17,24500,24500,1381630,11.68,-115420,147640,49300
2000-01-18,24800,23500,1077860,11.21,490,-19840,26350
2000-01-19,22800,22000,1108950,10.49,55760,44550,-39390
2000-01-20,21300,22250,1430540,10.61,-39370,226060,-88380
2000-01-21,21600,21850,889090,10.42,18310,-41280,2780
2000-01-24,21100,21000,1467630,10.01,275980,167720,-436700
2000-01-25,20300,21000,1444800,10.01,-31860,82530,-54970
2000-01-26,21300,22050,2072550,10.52,-261810,294990,-67080
2000-01-27,22200,24650,3534080,11.76,-467390,321940,-2150
2000-01-28,24700,25200,3461440,12.02,-1287050,1086460,29690
2000-01-31,24200,26100,4660820,12.45,-1153870,925600,309530
2000-02-01,26800,26200,3546630,12.49,-31050,10180,70660
2000-02-02,25900,26750,4709550,12.76,-344300,46810,304570
2000-02-03,26750,26300,2168280,12.54,101480,-10740,-60620
2000-02-07,26300,26250,2533710,12.52,-54250,-68580,93250
2000-02-08,26000,25800,2242850,12.3,-77680,-11810,29170
2000-02-09,25600,25800,2981980,12.3,132640,-135970,23010
2000-02-10,25200,25050,2301500,11.95,486200,-349660,8800
2000-02-11,25400,23700,2851720,11.3,1049450,-905760,-143980
2000-02-14,23000,23100,2336960,11.02,280340,-189220,7390
2000-02-15,23600,23300,2529160,11.11,299760,-271780,7510
2000-02-16,23600,22750,2266410,10.85,116150,-41380,-73590
2000-02-17,22000,23100,1831530,11.02,-383300,378410,-6510
2000-02-18,22500,21550,1745620,10.28,308700,-314480,2600
2000-02-21,20600,21100,1629220,10.06,-178720,-134380,307870
2000-02-22,21100,20750,1825840,9.9,171110,-145410,44400
2000-02-23,22450,23550,3896890,11.23,-50180,129090,-37890
2000-02-24,22600,21750,3136730,10.37,117160,-124690,-30670
2000-02-25,21250,21900,2299060,10.44,-340520,344000,-19680
2000-02-28,20900,20650,1437720,9.85,91160,10580,-39740
2000-02-29,21800,20200,1599260,9.63,384590,-379630,20990
2000-03-02,19800,21400,3302470,10.21,-135070,-499840,662180
2000-03-03,21000,20000,2027540,9.54,609380,-450830,-179510
2000-03-06,20300,21050,2999500,10.04,79480,-439030,248210
2000-03-07,20700,20800,1857130,9.92,250570,-313870,19200
2000-03-08,20300,20600,1961390,9.82,47140,-31260,1780
2000-03-09,20650,20000,2449350,9.54,849190,-348480,-490550
2000-03-10,20050,19200,2932660,9.16,945810,-720500,-102040
2000-03-13,19300,17500,3044510,8.35,999510,-684180,-254740
2000-03-14,16600,17000,3367730,8.11,507160,-327300,-115640
2000-03-15,16800,16050,3026180,7.65,925920,-921420,-9200
2000-03-16,16500,15600,3744820,7.44,536230,-344490,-220410
2000-03-17,16200,16850,5863510,8.04,13230,-176250,-48850
2000-03-20,17000,16800,2355100,8.01,-372470,-43650,344740
2000-03-21,17000,16200,1822180,7.73,-93370,-3290,-15800
2000-03-22,16600,17500,3342040,8.35,202760,-180000,-34750
2000-03-23,17450,17500,3082990,8.35,66690,-42420,-7200
2000-03-24,18000,17700,1711640,8.44,205850,-258690,23920
2000-03-27,17700,19450,3925150,9.28,56080,-51110,5430
2000-03-28,18950,18450,2537720,8.8,196120,-198570,-16420
2000-03-29,18050,16600,3513670,7.92,858220,-856940,10550
2000-03-30,15550,14500,3466520,6.92,319950,-194290,-94810
2000-03-31,14600,14400,2670410,6.87,336360,-176130,-162930
2000-04-03,14500,12450,2505370,4.42,119480,-429790,1010
2000-04-04,12650,12900,4037130,4.58,-22630,-127050,-200300
2000-04-06,13000,12100,1678190,4.3,-371620,-95660,107640
2000-04-07,12200,12450,2855010,4.42,-220090,-222460,3860
2000-04-10,12550,13000,3698540,4.62,-514980,-23660,183910
2000-04-11,13400,13000,2025280,4.62,-286940,177580,-20030
2000-04-12,13050,13350,2865610,4.74,-306120,228400,740
2000-04-14,13350,14000,2313850,4.97,-292230,-25770,220470
2000-04-17,13200,11950,2082480,4.24,-348530,414370,-177220
2000-04-18,12950,12500,1614780,4.44,-109060,125750,-6060
2000-04-19,12500,12000,1456050,4.26,48660,-149770,-19150
2000-04-20,12000,11900,1467010,4.23,-102630,-18930,-580
2000-04-21,12000,12000,890670,4.26,-89950,88660,-3170
2000-04-24,12000,11300,939210,4.01,-270700,120490,650
2000-04-25,11300,10600,1154100,3.77,-199730,81880,4890
2000-04-26,10800,9710,1530780,3.45,-302550,202870,-650
2000-04-27,9710,9860,1900010,3.5,-46820,-23550,-28130
2000-04-28,10000,10500,2538080,3.73,170530,-217160,46970
2000-05-02,10700,10500,2156560,3.73,241230,-384200,177820
2000-05-03,10200,10900,1931790,3.87,-368850,328040,-17450
2000-05-04,11000,10900,1606490,3.87,-162930,-41460,203870
2000-05-08,11100,11100,1156100,3.94,-450190,-58900,509600
2000-05-09,10900,10400,669650,3.69,154120,-154310,200
2000-05-10,10300,9900,1243820,3.52,346280,-264480,-77100
2000-05-12,10000,9590,942840,3.41,77260,-114320,-52640
2000-05-15,9590,8410,1394710,2.99,172570,-245310,-11250
2000-05-16,8510,8350,1185370,2.97,38190,-151040,35010
2000-05-17,8350,7100,1991590,2.52,412830,-319980,-78420
2000-05-18,6620,6910,3050260,2.45,595890,-584640,-2220
2000-05-19,6700,6700,1666230,2.38,136470,-140740,19550
2000-05-22,6700,6370,1823130,2.26,124110,-142850,43740
2000-05-23,6130,6500,2761530,2.31,262140,-105750,-59950
2000-05-24,6600,7470,3921500,2.65,371830,-233640,-17930
2000-05-25,7600,8590,3562080,3.05,-621850,-269620,920110
2000-05-26,8500,7350,4663140,2.61,-74270,228050,-165760
2000-05-29,7000,8450,3527130,3,-38120,69310,4220
2000-05-30,9140,9000,6072700,3.2,89320,-127310,57970
2000-05-31,9220,10350,4776890,3.68,-155510,200570,-54210
2000-06-01,10450,10350,6213150,3.68,629760,-590420,-26670
2000-06-02,11300,11500,6255390,4.09,16990,-323710,339950
2000-06-05,12400,13200,6297750,4.69,-617510,436690,19300
2000-06-07,13000,13450,8826490,4.78,570970,-217450,-206090
2000-06-08,13700,12850,5333240,4.56,340530,-290260,-89620
2000-06-09,12550,13000,6010870,4.62,-640550,283610,-18850
2000-06-12,13000,13500,4548030,4.8,372420,-128930,-122120
2000-06-13,13400,12600,6822280,4.48,151040,-47780,-29480
2000-06-14,12800,11300,4640120,4.01,446700,-145190,-240600
2000-06-15,11350,10400,4267010,3.69,137450,-277580,119540
2000-06-16,10400,10350,2970590,3.68,-4670,-85560,71330
2000-06-19,10350,9500,2135290,3.37,-258450,267740,24870
2000-06-20,9950,10900,3526690,3.87,-491240,420490,22360
2000-06-21,11550,11900,8634490,4.23,-406910,551470,-37290
2000-06-22,12500,12300,5110140,4.37,-246890,299140,9290
2000-06-23,12000,12600,3076390,4.48,-439520,492990,-3420
2000-06-26,13000,13500,3171810,4.8,-270880,290630,7410
2000-06-27,13700,14500,9657590,5.15,-652960,707590,-23220
2000-06-28,14500,14100,5885860,5.01,-750130,506670,19780
2000-06-29,14200,13850,3602310,4.92,-78550,-37150,-64090
2000-06-30,13850,14500,4944320,5.15,240810,-217750,9960
2000-07-03,14900,14650,4632740,5.2,284840,-680570,424350
2000-07-04,14800,13750,8588200,4.88,660180,-309700,-413170
2000-07-05,13500,14300,6600140,5.08,500090,-374950,-56000
