Symbol,OCI_시가(원),OCI_종가(원),OCI_거래량(주),OCI_PER(IFRS-연결),OCI_순매수수량(개인)(주),OCI_순매수수량(기관계)(주),OCI_순매수수량(외국인계)(주)
2000-01-04,11800,11600,12060,0.68,0,0,0
2000-01-05,11800,11600,28810,0.68,0,0,0
2000-01-06,12000,13300,47940,0.78,-6500,6500,0
2000-01-07,13400,14000,199580,0.82,-14050,14050,0
2000-01-10,14300,13700,54750,0.8,-8520,8520,0
2000-01-11,13500,13200,27340,0.77,-6980,6980,0
2000-01-12,12600,13500,28040,0.79,-8410,8410,0
2000-01-13,13000,13800,49590,0.81,-4580,2800,1780
2000-01-14,14000,12900,27360,0.76,0,0,0
2000-01-17,13200,12400,31310,0.73,0,0,0
2000-01-18,12400,11800,46770,0.69,2720,-2720,0
2000-01-19,12000,11000,49960,0.64,2000,-2000,0
2000-01-20,10600,10000,34940,0.59,2500,-2500,0
2000-01-21,10050,9950,26840,0.58,0,0,0
2000-01-24,10500,9600,33870,0.56,0,0,0
2000-01-25,9500,8800,48010,0.52,-4000,4000,0
2000-01-26,8600,8200,26700,0.48,4000,-4000,0
2000-01-27,8200,8320,25440,0.49,0,0,0
2000-01-28,8500,8500,30240,0.5,0,0,0
2000-01-31,8220,8340,19310,0.49,0,0,0
2000-02-01,8500,8500,26440,0.5,1200,0,-1200
2000-02-02,8500,9100,34310,0.53,0,0,0
2000-02-03,9300,8950,39630,0.52,0,0,0
2000-02-07,9500,8840,35660,0.52,0,0,0
2000-02-08,8710,8400,45960,0.49,0,0,0
2000-02-09,8220,8250,62180,0.48,0,0,0
2000-02-10,8300,7900,34450,0.46,0,0,0
2000-02-11,7710,7370,36430,0.43,0,0,0
2000-02-14,7400,6570,21670,0.39,0,0,0
2000-02-15,5600,6000,38880,0.35,0,0,0
2000-02-16,6020,6200,45370,0.36,10,-10,0
2000-02-17,6400,6190,20890,0.36,0,0,0
2000-02-18,6200,5510,30850,0.32,13500,0,-13500
2000-02-21,5510,4700,53400,0.28,18570,-40,-18530
2000-02-22,4730,5250,40330,0.31,0,0,0
2000-02-23,4850,5590,45620,0.33,6480,-6480,0
2000-02-24,5760,5060,24490,0.3,0,0,0
2000-02-25,5000,5150,32630,0.3,0,0,0
2000-02-28,5450,5590,48760,0.33,0,0,0
2000-02-29,5650,6420,60630,0.38,-2000,2000,0
2000-03-02,7380,7380,24070,0.43,2000,-2000,0
2000-03-03,8480,8250,118640,0.48,0,0,0
