Symbol,POSCO_시가(원),POSCO_종가(원),POSCO_거래량(주),POSCO_PER(IFRS-연결),POSCO_순매수수량(개인)(주),POSCO_순매수수량(기관계)(주),POSCO_순매수수량(외국인계)(주)
2000-01-04,134000,142000,971898,8.81,-26190,-119540,1490
2000-01-05,135000,149500,2885178,9.28,-651948,467168,-1890
2000-01-06,150500,144500,659855,8.97,-116010,23870,-3000
2000-01-07,144500,145000,511677,9,-104230,60430,-3990
2000-01-10,146000,143000,412702,8.88,-77668,-30392,140
2000-01-11,144000,148000,825450,9.19,-229610,168780,-1360
2000-01-12,146500,147000,526241,9.12,-120030,100680,-10
2000-01-13,150000,146500,554569,9.09,-56710,60110,-50
2000-01-14,145500,145500,413573,9.03,-33260,24570,-2000
2000-01-17,146000,149000,289755,9.25,-112943,52853,10
2000-01-18,148000,145500,296231,9.03,-12367,-54383,100
2000-01-19,143000,132000,374827,8.19,102350,-127420,310
2000-01-20,132000,137500,258243,8.53,-22157,22537,0
2000-01-21,136500,130000,261380,8.07,100517,-108477,50
2000-01-24,129500,129500,217673,8.04,-13515,12385,20
2000-01-25,127000,127500,243740,7.91,-10000,-2800,10
2000-01-26,130000,130000,186223,8.07,-29860,44160,200
2000-01-27,127000,129000,211817,8.01,23690,-13960,-1460
2000-01-28,130000,132000,213740,8.19,-16170,-6680,-110
2000-01-31,130000,133000,265660,8.26,-76119,25039,-600
2000-02-01,133500,129500,216846,8.04,11890,-30500,0
2000-02-02,129500,130000,184690,8.07,1750,7410,-720
2000-02-03,132000,134000,169560,8.32,-49007,39047,10
2000-02-07,132000,131000,270212,8.13,67220,-75930,60
2000-02-08,130000,129000,293819,8.01,15850,-52650,470
2000-02-09,129000,128500,323760,7.98,28120,-106110,-1050
2000-02-10,128000,123000,537480,7.63,141310,-278590,-2750
2000-02-11,123000,123000,1213884,7.63,259820,-545930,-1270
2000-02-14,118000,110000,818412,6.83,187160,-279640,-34430
2000-02-15,108000,99800,975051,6.19,346371,-272351,-38870
2000-02-16,100500,100000,883373,6.21,173427,-282377,3020
2000-02-17,101000,110000,1076002,6.83,96119,-221069,-4300
2000-02-18,115000,108500,812967,6.73,181310,-364610,-330
2000-02-21,106500,101500,376293,6.3,52945,-118515,-300
2000-02-22,100000,103000,327994,6.39,-31830,-990,-1890
2000-02-23,104500,110000,468944,6.83,-78955,10695,-30
2000-02-24,105000,112000,397000,6.95,-82797,19464,-1257
2000-02-25,110000,117000,546390,7.26,-114627,121500,-1993
2000-02-28,117000,111500,424341,6.92,-18790,85290,-79020
2000-02-29,114000,111500,445607,6.92,-38930,-97672,-46458
2000-03-02,112000,110500,700652,6.86,-29370,-110260,-52930
2000-03-03,112000,106500,665197,6.61,-4300,-231960,-36650
2000-03-06,106500,108500,572803,6.73,-46207,-242973,-26750
2000-03-07,109000,111000,446514,6.89,-90720,-153640,-3940
2000-03-08,111000,109000,711694,6.77,-67860,-310760,-16090
2000-03-09,111500,105000,1111770,6.52,88110,-562980,-14720
2000-03-10,110000,107500,767747,6.67,-23278,-389380,-65392
2000-03-13,107500,103000,607440,6.39,-62093,-262407,-52700
2000-03-14,103000,101500,418640,6.3,-109130,-180460,-2740
2000-03-15,101500,100000,411356,6.21,-16105,-182910,-6205
2000-03-16,103500,103500,362872,6.42,-73760,-128160,0
2000-03-17,109000,106500,437691,6.61,-24450,-147100,-50
2000-03-20,107500,104000,183787,6.46,-52640,-45660,-270
2000-03-21,104500,119000,643180,7.39,-296640,190200,-10
2000-03-22,119000,115500,452508,7.17,-88120,1670,-30
2000-03-23,115500,107500,348894,6.67,35584,-132314,-500
2000-03-24,108500,108000,257574,6.7,13220,-108190,-110
2000-03-27,107000,104000,224078,6.46,124118,-107708,-430
2000-03-28,103000,102000,271805,6.33,131780,-85480,-230
2000-03-29,102000,106000,396570,6.58,71450,-80560,-13210
2000-03-30,106500,108500,433501,6.73,-74818,48830,-342
2000-03-31,106500,106500,303005,6.61,-49720,32020,-7010
2000-04-03,108000,106500,168429,6.61,-30390,18980,50
2000-04-04,105000,109000,227665,6.77,-80700,104420,-1280
2000-04-06,108000,104000,171038,6.46,39100,-41330,-270
2000-04-07,107000,104000,201585,6.46,19480,-13060,-80
2000-04-10,104500,105000,341147,6.52,77420,-76600,-400
2000-04-11,106000,110000,280360,6.83,-56310,57310,0
2000-04-12,107000,105000,299364,6.52,-21900,24850,0
2000-04-14,104000,103000,185925,6.39,49560,-60120,10
2000-04-17,90000,97500,359646,6.05,-103010,99370,-8890
2000-04-18,99500,99000,294219,6.14,72500,-88630,-2700
2000-04-19,99000,98000,335754,6.08,81580,-76910,0
2000-04-20,97000,96500,160484,5.99,18433,-4413,-14000
2000-04-21,96700,96500,129880,5.99,24400,-24330,0
2000-04-24,96500,93000,218589,5.77,64324,-19694,-2340
2000-04-25,90100,89900,203009,5.58,29416,-29216,0
2000-04-26,92000,86800,336610,5.39,27791,-76091,-11350
2000-04-27,86800,85000,351770,5.28,-43480,60130,-22180
2000-04-28,86000,86800,266911,5.39,1870,-5300,-700
2000-05-02,88500,86700,347024,5.38,122280,-105280,-6070
2000-05-03,86700,87700,273980,5.44,1490,-59940,-3850
2000-05-04,88300,87500,262336,5.43,-20080,15780,-210
2000-05-08,88600,90800,268424,5.64,4120,240,0
2000-05-09,91200,91200,189809,5.66,6090,-12300,0
2000-05-10,92000,97000,519471,6.02,10461,5999,-190
2000-05-12,97000,95400,289000,5.92,-24560,27620,-2750
2000-05-15,96500,96300,231009,5.98,1881,-2141,-950
2000-05-16,99000,98100,181810,6.09,-61540,58430,0
2000-05-17,98500,94400,242155,5.86,-13330,-8510,-1140
2000-05-18,94400,93500,284752,5.8,-75072,7832,-2090
2000-05-19,95000,94800,137436,5.88,-27330,26770,-6780
2000-05-22,93000,91500,136364,5.68,-12170,13750,-7200
2000-05-23,91000,91000,224710,5.65,-22500,34260,-15980
2000-05-24,90500,88000,204189,5.46,19089,11422,-31571
2000-05-25,85200,87200,288270,5.41,119250,-95340,-24410
2000-05-26,87200,84500,249080,5.24,44540,-32020,-14580
2000-05-29,83600,80000,299522,4.97,50620,-47460,50
2000-05-30,80000,83500,265704,5.18,74228,-75278,-10
2000-05-31,85500,85000,483557,5.28,132750,-115920,-5980
2000-06-01,86000,86300,350318,5.36,-42490,46380,-2760
2000-06-02,87200,91000,571477,5.65,-123119,163659,-100
2000-06-05,93000,93400,471181,5.8,45310,-47590,70
2000-06-07,92000,98500,763782,6.11,-39480,59510,-36140
2000-06-08,99000,93000,520979,5.77,79210,-100830,-720
2000-06-09,96000,106500,1493532,6.61,219060,-228650,-3150
2000-06-12,117000,116000,1562323,7.2,205501,-197380,-32141
2000-06-13,110000,106000,776070,6.58,101410,-66180,-51440
2000-06-14,107000,110000,3997859,6.83,136948,-3069818,100
2000-06-15,107500,99100,630890,6.15,36673,32538,-63961
2000-06-16,96000,99500,400631,6.18,-13020,9800,-1400
2000-06-19,96000,102500,456790,6.36,-64020,93600,-1390
2000-06-20,103500,103000,550380,6.39,25069,16821,-64490
2000-06-21,102000,97400,812171,6.05,112311,-78461,-53120
2000-06-22,98000,92500,954248,5.74,71122,-22170,-55782
2000-06-23,92000,93400,364519,5.8,53199,-61130,-8720
2000-06-26,93000,93000,309086,5.77,-28675,19115,-7690
2000-06-27,93000,95900,368094,5.95,-25840,34690,-2390
2000-06-28,96500,96700,362867,6,-44900,52440,0
2000-06-29,98000,95500,330182,5.93,-17258,14138,-440
2000-06-30,95500,94600,265928,5.87,15240,-22110,0
2000-07-03,94600,93500,264488,5.8,91700,-75070,20
2000-07-04,93500,92000,307606,5.71,96180,-118340,10
2000-07-05,91800,90800,278390,5.64,48580,-48280,0
2000-07-06,90400,91100,281173,5.65,48820,-55590,-40
2000-07-07,91900,91300,242947,5.67,50,9250,-9180
2000-07-10,91300,90200,242878,5.6,52180,-50300,-1520
2000-07-11,90300,90600,297722,5.62,68690,-69920,0
2000-07-12,91800,90200,315626,5.6,-29920,13070,-1060
2000-07-13,90000,89800,237564,5.57,10010,-18860,30
2000-07-14,90000,87600,370407,5.44,156057,-140667,-1030
2000-07-18,87600,85700,215932,5.32,-1030,17870,-13310
2000-07-19,85800,84300,319069,5.23,14760,22010,-4180
2000-07-20,83200,84800,180986,5.26,-39770,48860,-3070
2000-07-21,84000,83200,200920,5.16,80430,-75910,-4610
2000-07-24,82500,81000,251223,5.03,21281,-26540,-31641
2000-07-25,81000,81500,214834,5.06,241,27729,-42380
2000-07-26,81500,81500,220708,5.06,36858,-38438,-4930
2000-07-27,82000,83000,321183,5.15,-4273,89473,-79130
2000-07-28,83000,84000,304825,5.21,-65505,103339,-31254
2000-07-31,84000,88000,266125,5.46,-61440,79960,-12840
2000-08-01,87800,86000,218980,5.34,42120,-45990,0
2000-08-02,88000,86900,142322,5.39,-15800,22740,0
2000-08-03,88000,86100,146421,5.34,14820,-15590,-640
2000-08-04,86100,85500,106542,5.31,-18337,12947,-130
2000-08-07,84000,82000,99395,5.09,28610,-18330,-12700
2000-08-08,82500,80800,147270,5.02,23331,-47360,10
2000-08-09,82000,83000,164614,5.15,-38944,38194,-1580
2000-08-10,83900,84900,319468,5.27,43990,19400,-70290
2000-08-11,82200,82700,279527,5.13,102370,-75690,-44660
2000-08-14,85400,82600,192419,5.13,73250,-41940,-32430
2000-08-16,82600,83000,144780,5.15,-18370,19010,-1880
