Symbol,S-Oil_시가(원),S-Oil_종가(원),S-Oil_거래량(주),S-Oil_PER(IFRS-연결),S-Oil_순매수수량(개인)(주),S-Oil_순매수수량(기관계)(주),S-Oil_순매수수량(외국인계)(주)
2000-01-04,26000,25450,269400,5.02,51660,-52590,-1140
2000-01-05,24650,22600,329270,4.46,177220,-30450,-140260
2000-01-06,23500,21000,253970,4.15,122540,-120020,2440
2000-01-07,20900,22700,298000,4.48,-12270,-87770,100040
2000-01-10,24000,23750,232490,4.69,-79080,-61480,139530
2000-01-11,23750,22900,303060,4.52,-10740,66730,-57670
2000-01-12,23200,22500,187230,4.44,58320,-14790,-43530
2000-01-13,23000,20300,188480,4.01,98230,-110190,10610
2000-01-14,21900,21500,112940,4.24,10770,-31630,20860
2000-01-17,21300,21650,82280,4.27,5180,-10610,5430
2000-01-18,21150,21000,176630,4.15,77040,-77300,260
2000-01-19,20500,19800,220860,3.91,50700,26420,-70870
2000-01-20,19800,18500,153450,3.65,14910,33140,-45690
2000-01-21,18500,18050,188300,3.56,60610,-34650,-23090
2000-01-24,18100,18050,169110,3.56,16580,3590,-20170
2000-01-25,18000,17200,127960,3.4,46850,-50610,760
2000-01-26,16700,16500,415950,3.26,119040,20860,-139900
2000-01-27,16200,17200,184950,3.4,23890,-12600,-11050
2000-01-28,17700,17300,245060,3.41,15240,-55400,41120
2000-01-31,17100,18200,185340,3.59,-23910,-25230,47870
2000-02-01,18700,19500,343260,3.85,-37220,-80380,117740
2000-02-02,19900,21500,197580,4.24,-64550,19090,45120
2000-02-03,21500,21500,163760,4.24,-9020,28900,-19880
2000-02-07,21500,20250,255280,4,107870,-102260,-6830
2000-02-08,20300,19600,93380,3.87,-3920,16700,-13000
2000-02-09,19600,19400,98880,3.83,25450,-1590,-21220
2000-02-10,18500,18000,164250,3.55,51710,-46620,-3690
2000-02-11,18700,20100,220490,3.97,-45420,50230,-5290
2000-02-14,23100,22500,648750,4.44,178580,-209920,3140
2000-02-15,22600,20900,349840,4.13,-50380,-16320,17880
2000-02-16,21000,19900,262470,3.93,-520,-5560,-43580
2000-02-17,20000,19800,282020,3.91,-15810,-35910,-740
2000-02-18,19900,19050,343270,3.76,63100,-111520,-540
2000-02-21,19150,17800,231370,3.51,5740,-14680,-41060
2000-02-22,17900,17400,187740,3.43,4920,-25890,-28750
2000-02-23,17600,17750,331570,3.5,141960,-155350,11480
2000-02-24,17850,16950,231340,3.35,-12950,-37080,30
2000-02-25,17300,17500,222370,3.45,31080,-5850,-37150
2000-02-28,17650,18600,390990,3.67,-171330,-43850,15180
2000-02-29,19800,18900,370660,3.73,2180,-221930,19970
2000-03-02,19000,18450,382610,3.64,23580,-30620,-192960
2000-03-03,18800,17900,398090,3.53,68900,-237260,-30900
2000-03-06,17100,17500,224070,3.45,108760,-109170,60
2000-03-07,17550,17600,258610,3.47,82860,-82030,-1010
2000-03-08,17200,17300,119180,3.41,6500,-17780,280
2000-03-09,17800,15500,356290,3.06,233370,-121310,-113140
2000-03-10,16900,16800,469930,3.32,13860,-69400,-144460
2000-03-13,17000,17200,352100,3.4,-31630,-140340,9320
2000-03-14,17700,17700,465270,3.49,-36130,-285840,20
2000-03-15,17700,17600,242420,3.47,-39290,-52160,-8370
2000-03-16,17950,18300,644710,3.61,333890,-331560,-19640
2000-03-17,20000,20200,611000,3.99,268390,-267480,-1710
2000-03-20,20500,21150,432190,4.17,34450,-68120,-20690
2000-03-21,21150,21300,354030,4.2,-177920,-80080,1720
2000-03-22,20500,20500,233940,4.05,-15200,-2150,-84780
2000-03-23,20500,20450,575180,4.04,-2180,-85600,-206950
2000-03-24,20450,20000,185740,3.95,-116190,-4590,120
2000-03-27,20000,20000,43460,3.95,7800,-8330,-210
2000-03-28,19500,19600,56630,3.87,2360,3230,-5590
2000-03-29,19600,20600,191200,4.07,-36280,-75270,29680
2000-03-30,20600,20450,179180,4.04,36690,-46140,-980
2000-03-31,20150,20500,250250,4.05,-36550,-120800,124940
2000-04-03,20900,20400,107970,4.03,-12460,1150,1170
2000-04-04,19500,20850,104360,4.12,-89720,86570,2300
2000-04-06,21000,20850,73570,4.12,-20820,-6820,8100
2000-04-07,20350,20150,82770,3.98,2720,-7260,-24420
2000-04-10,19800,19800,113470,3.91,21380,-45230,25340
2000-04-11,20000,19800,48800,3.91,-19620,3190,16430
2000-04-12,19800,19500,84920,3.85,10600,-32200,16180
2000-04-14,19200,19900,62280,3.93,-13350,-23570,16380
2000-04-17,19200,19900,120440,3.93,-93710,60260,5600
2000-04-18,19900,20200,188320,3.99,8310,-71790,-19440
2000-04-19,20300,20200,118240,3.99,23890,-34800,-19350
2000-04-20,19800,20400,134610,4.03,6420,-23020,6930
2000-04-21,20400,20800,49560,4.11,4990,-3010,-1230
2000-04-24,20700,21000,148800,4.15,71990,-60150,-10530
2000-04-25,21000,21000,88930,4.15,-4680,3880,800
2000-04-26,21300,21000,203370,4.15,74400,-126120,420
2000-04-27,20550,20800,155120,4.11,84390,23650,-108530
2000-04-28,20000,20550,423440,4.06,175790,-11730,-183760
2000-05-02,20150,20300,183240,4.01,50120,-70920,-6090
2000-05-03,20050,20250,72470,4,22490,-17170,-6320
2000-05-04,20000,19800,57580,3.91,34560,-8980,-25580
2000-05-08,19200,19550,164190,3.86,109660,-1140,-108320
2000-05-09,19400,19650,79980,3.88,34620,-1830,-32790
2000-05-10,19850,19800,74240,3.91,1670,22810,-24180
2000-05-12,20000,19800,162400,3.91,-10400,-84170,87560
2000-05-15,20000,19050,88260,3.76,-7570,-45760,53330
