Symbol,SBS_시가(원),SBS_종가(원),SBS_거래량(주),SBS_PER(IFRS-연결),SBS_순매수수량(개인)(주),SBS_순매수수량(기관계)(주),SBS_순매수수량(외국인계)(주)
2000-01-04,61600,61600,154592,29.27,62038,-59628,0
2000-01-05,61000,64500,420545,30.64,87782,-80742,0
2000-01-06,65000,58600,210475,27.84,-26883,28055,0
2000-01-07,56900,54800,140792,26.04,-21187,22487,0
2000-01-10,58000,58200,196865,27.65,-54854,54854,0
2000-01-11,65100,65100,42227,30.93,-27869,900,0
2000-01-12,65000,67000,1001046,31.83,-25685,16151,0
2000-01-13,65000,65100,275824,30.93,-56929,57293,0
2000-01-14,67000,62600,458582,29.74,-36880,58880,0
2000-01-17,62600,64000,239509,30.41,-65302,63522,0
2000-01-18,63000,65700,313793,31.21,-45087,62501,0
2000-01-19,65500,58000,431434,27.56,14872,128,0
2000-01-20,57900,58000,207720,27.56,-7546,17920,0
2000-01-21,56000,55000,188396,26.13,-1187,1187,0
2000-01-24,55000,57700,227935,27.41,-55833,56033,0
2000-01-25,55700,54600,125293,25.94,-7573,7573,0
2000-01-26,54600,53900,159005,25.61,-14210,14210,0
2000-01-27,52900,50800,174836,24.14,-15700,13700,0
2000-01-28,50800,53000,170370,25.18,-32810,27610,0
2000-01-31,51000,52500,153979,24.94,-2713,2713,0
2000-02-01,53500,54000,176807,25.66,-16903,15903,0
2000-02-02,54600,56500,260628,26.84,-18621,8981,0
2000-02-03,57000,63200,478546,30.03,-106572,106572,0
2000-02-07,66200,68400,563979,32.5,2336,16964,0
2000-02-08,67400,61200,494007,29.08,-76854,67344,0
2000-02-09,61800,62400,314473,29.65,-21828,21828,0
2000-02-10,59900,59800,209188,28.41,-33063,33203,0
2000-02-11,61000,60000,313279,28.51,-17979,18179,0
2000-02-14,57600,55000,260407,26.13,5679,-3719,0
2000-02-15,54900,54500,209548,25.89,15417,-15467,0
2000-02-16,54000,55400,128703,26.32,-32017,32017,0
2000-02-17,55000,58500,214676,27.79,-35337,38165,0
2000-02-18,59400,60300,267135,28.65,-17319,30619,0
2000-02-21,59000,56800,141694,26.99,-26109,21109,0
2000-02-22,58100,62000,370747,29.46,-36740,46940,0
2000-02-23,62500,60700,266704,28.84,-63851,76651,0
2000-02-24,62500,61900,465284,29.41,-34661,61211,0
2000-02-25,60500,58000,306392,27.56,-92655,96185,0
2000-02-28,56500,55800,168785,26.51,-13803,7803,0
