Symbol,SKC_시가(원),SKC_종가(원),SKC_거래량(주),SKC_PER(IFRS-연결),SKC_순매수수량(개인)(주),SKC_순매수수량(기관계)(주),SKC_순매수수량(외국인계)(주)
2000-01-04,6000,6300,71780,10.49,440,-980,0
2000-01-05,6300,6000,146910,9.99,53420,-53420,0
2000-01-06,6100,5680,103720,9.45,40010,-39940,0
2000-01-07,5500,5600,70600,9.32,-7920,7080,840
2000-01-10,5700,5600,141240,9.32,60020,-60670,300
2000-01-11,5590,5550,84890,9.24,180,-870,200
2000-01-12,5600,5390,91500,8.97,5170,-5170,0
2000-01-13,5150,5110,96060,8.51,13440,-14140,0
2000-01-14,5120,5400,131760,8.99,5850,-5850,0
2000-01-17,5500,5990,387750,9.97,-3400,620,2780
2000-01-18,6100,6000,212250,9.99,-48850,50490,-1640
2000-01-19,5800,5800,136840,9.65,-51650,55050,-1730
2000-01-20,5500,5800,106330,9.65,-54500,53900,600
2000-01-21,5950,5680,83890,9.45,-16980,19260,-1450
2000-01-24,5700,5650,133360,9.4,-1160,1160,0
2000-01-25,5650,5300,59530,8.82,2360,-2360,0
2000-01-26,5200,5300,55060,8.82,-820,820,0
2000-01-27,5500,5650,143610,9.4,54950,-55000,120
2000-01-28,5650,5700,171120,9.49,-22410,-2850,-460
2000-01-31,5530,5650,130310,9.4,-3240,3240,0
2000-02-01,5660,5720,106440,9.52,5980,-5880,-100
2000-02-02,5750,6100,220000,10.15,23070,2930,0
2000-02-03,6300,6420,324070,10.69,26490,-26080,-2410
2000-02-07,6400,6550,472490,10.9,-220,-1970,2170
2000-02-08,6610,6250,192600,10.4,-2480,2340,140
2000-02-09,6010,6000,134950,9.99,130,1870,0
2000-02-10,5850,5700,116150,9.49,-36060,36060,0
2000-02-11,5520,5700,147630,9.49,-9280,9140,0
2000-02-14,5550,5420,52210,9.02,-6240,6240,0
2000-02-15,5600,5200,55170,8.66,-6070,5910,160
2000-02-16,5240,5350,43220,8.91,-980,1120,0
2000-02-17,5350,5290,69780,8.81,-510,-190,0
2000-02-18,5260,5210,92390,8.67,4720,-4440,0
2000-02-21,5200,4800,67820,7.99,1120,-1120,0
2000-02-22,4800,4540,97880,7.56,50310,-50170,0
2000-02-23,4800,5000,178400,8.32,36220,-40560,-640
