Symbol,SK네트웍스_시가(원),SK네트웍스_종가(원),SK네트웍스_거래량(주),SK네트웍스_PER(IFRS-연결),SK네트웍스_순매수수량(개인)(주),SK네트웍스_순매수수량(기관계)(주),SK네트웍스_순매수수량(외국인계)(주)
2000-01-04,19000,19200,1002120,22.07,133530,114570,-282900
2000-01-05,16350,17400,1751770,20,302440,-237940,-28500
2000-01-06,18500,16800,1926480,19.31,711840,-625860,-29580
2000-01-07,16300,15800,1144060,18.16,317880,-275980,-63400
2000-01-10,16000,15400,2024800,17.7,308980,-220400,60000
2000-01-11,15300,16000,2060760,18.39,14140,-48370,50100
2000-01-12,15700,15500,1078330,17.82,-76510,82320,-10410
2000-01-13,15500,15050,902260,17.3,72560,93180,-20240
2000-01-14,15100,14300,866870,16.44,51140,-51150,1410
2000-01-17,14600,15700,1492930,18.05,-225990,213850,12540
2000-01-18,15600,15300,809500,17.59,-121550,-9950,109300
2000-01-19,15100,14100,847180,16.21,114110,-34010,-100
2000-01-20,13800,13700,862230,15.75,150230,-122780,31050
2000-01-21,13600,13600,680170,15.63,56010,-56190,0
2000-01-24,13100,13600,646480,15.63,-132320,92320,40000
2000-01-25,13700,13000,667730,14.94,147780,-219350,51600
2000-01-26,13100,12750,1024890,14.66,-81760,84260,1500
2000-01-27,12400,12900,907560,14.83,28660,-40560,4900
2000-01-28,13150,14000,1390690,16.09,-275850,276670,250
2000-01-31,13800,14500,787620,16.67,-82820,117300,-36030
2000-02-01,14800,14500,817380,16.67,-36090,31890,6200
2000-02-02,15000,15400,1018280,17.7,-277190,321350,-18000
2000-02-03,15400,16000,729510,18.39,-281100,286800,0
2000-02-07,15600,16000,926610,18.39,10090,63800,-73190
2000-02-08,15750,15200,482040,17.47,-192500,182400,1100
2000-02-09,15000,15150,576430,17.42,-115790,178200,-7000
2000-02-10,15000,15800,1423440,18.16,-234570,171000,13620
2000-02-11,15800,15800,983340,18.16,-368510,188670,149400
2000-02-14,16000,14650,375030,16.84,53700,-43700,0
2000-02-15,14400,13700,498630,15.75,-73680,96680,-4000
2000-02-16,13900,13400,635690,15.4,106780,41590,-63700
2000-02-17,13400,13800,400530,15.86,-31990,99460,22860
2000-02-18,13500,13950,528720,16.04,-22330,-35150,47480
2000-02-21,12200,13500,316170,15.52,-172920,4400,168520
2000-02-22,13200,13000,704200,14.94,52020,-86510,99490
2000-02-23,13700,13500,785060,15.52,230690,-236520,0
2000-02-24,13400,13700,354950,15.75,-154760,154260,0
2000-02-25,13350,13950,595920,16.04,-262340,208140,4200
2000-02-28,13050,13900,568580,15.98,-164690,61440,5250
2000-02-29,13900,13400,511060,15.4,-310,-31480,31790
2000-03-02,13100,13700,679620,15.75,-83700,15480,68220
2000-03-03,13900,12800,442430,14.71,8770,-98270,49500
2000-03-06,13150,13600,806560,15.63,108070,-74280,-33850
2000-03-07,13500,13300,698810,15.29,27840,63010,-40850
2000-03-08,13200,12800,588410,14.71,109820,-241020,130000
2000-03-09,13100,12900,635100,14.83,192380,-191720,-1480
2000-03-10,13150,13500,1417570,15.52,146030,-284540,0
2000-03-13,13800,12800,673210,14.71,219450,-270930,41500
2000-03-14,13000,12550,372380,14.43,28080,-31720,3640
2000-03-15,12600,12250,935840,14.08,59110,-64690,29090
2000-03-16,12500,12750,597790,14.66,-50920,49310,1600
2000-03-17,13000,13500,864160,15.52,-135330,110410,25000
2000-03-20,13700,13500,747750,15.52,-78500,96850,-18350
2000-03-21,13400,13450,698960,15.46,-113350,55370,17690
2000-03-22,13500,13700,965160,15.75,-43110,119680,-74200
2000-03-23,13200,13200,716910,15.17,85030,91870,-116900
2000-03-24,13150,12800,633790,14.71,-167870,113830,55000
2000-03-27,12800,12300,563320,14.14,226420,-189440,0
2000-03-28,12500,12950,1215700,14.89,-204410,194040,0
2000-03-29,13200,12850,744050,14.77,-109430,-186020,-840
2000-03-30,13200,13000,383210,14.94,-106170,138370,-2190
2000-03-31,13100,12750,742350,14.66,-42690,107170,-186770
2000-04-03,12800,12700,400340,14.6,-61300,-23940,840
2000-04-04,12700,12700,451120,14.6,-75250,100860,-88140
