Symbol,SK디스커버리_시가(원),SK디스커버리_종가(원),SK디스커버리_거래량(주),SK디스커버리_PER(IFRS-연결),SK디스커버리_순매수수량(개인)(주),SK디스커버리_순매수수량(기관계)(주),SK디스커버리_순매수수량(외국인계)(주)
2000-01-04,13000,14700,568300,7.33,-7400,-1970,-350
2000-01-05,14050,14950,1734750,7.46,-550,-9500,4550
2000-01-06,15200,13450,452970,6.71,19920,-21850,0
2000-01-07,13500,14800,1545450,7.38,21380,-7000,620
2000-01-10,15400,14100,1365930,7.03,-43450,29000,2590
2000-01-11,14100,13800,786320,6.88,7400,-9250,1360
2000-01-12,14000,13600,507910,6.79,23560,-23560,0
2000-01-13,13300,13300,667310,6.64,41950,-40730,-6620
2000-01-14,12700,12300,707870,6.14,17470,-18090,620
2000-01-17,12500,12350,421390,6.16,14880,8800,-18680
2000-01-18,12450,11950,416830,5.96,90120,-88320,200
2000-01-19,11700,10800,530270,5.39,30130,-28980,-1210
2000-01-20,10650,10200,390870,5.09,-8100,7340,760
2000-01-21,10300,10600,416280,5.29,-12030,14190,-1320
2000-01-24,10800,10700,364910,5.34,-10440,9870,570
2000-01-25,10500,10300,286010,5.14,9990,-10090,100
2000-01-26,10800,10500,264160,5.24,9070,-9070,0
2000-01-27,10500,11500,1066750,5.74,-134910,135310,-330
2000-01-28,11650,11400,407770,5.69,26930,-28770,-880
2000-01-31,11200,11400,442940,5.69,33550,-33550,0
2000-02-01,11600,11400,262270,5.69,30090,-14310,-17780
2000-02-02,11400,11900,562660,5.94,-8180,14180,0
2000-02-03,12050,11650,288180,5.81,-2570,2070,500
2000-02-07,11500,11700,449170,5.84,-340,-690,0
2000-02-08,12200,11750,559070,5.86,-13180,15180,-1000
2000-02-09,11700,11550,462580,5.76,-4080,24090,-10
2000-02-10,11300,10900,440060,5.44,58890,-60660,-230
2000-02-11,10800,11400,878500,5.69,29900,8460,-27340
2000-02-14,11000,10450,348670,5.21,-42090,39450,1480
2000-02-15,10300,10000,297630,4.99,-9620,2620,7000
2000-02-16,10150,10000,241120,4.99,6630,890,2160
2000-02-17,10100,10800,620380,5.39,-2840,-280,1940
2000-02-18,11600,11000,1001980,5.49,36530,-36780,-430
2000-02-21,10700,10200,476760,5.09,-2130,4290,-3160
2000-02-22,10200,9910,456340,4.94,-3660,2170,1290
2000-02-23,10350,10700,783000,5.34,7350,-4390,-3280
2000-02-24,10600,10300,397160,5.14,12590,-420,-11650
2000-02-25,10100,10350,394950,5.16,-8210,7450,920
2000-02-28,10050,9990,314150,4.98,-9460,8010,1420
2000-02-29,10100,9880,344580,4.93,640,-2030,620
2000-03-02,9880,10500,822840,5.24,-29210,36930,-6880
2000-03-03,10200,10100,406100,5.04,-5240,6660,-1260
2000-03-06,10500,11000,912050,5.49,1310,-680,40
2000-03-07,10900,11900,1688930,5.94,-1600,4630,-160
2000-03-08,11200,11300,617030,5.64,2430,-2270,-180
2000-03-09,11500,11000,539310,5.49,65080,-17900,-44910
2000-03-10,11200,11000,493180,5.49,-28880,19950,8860
2000-03-13,11000,11800,1434640,5.89,-120580,109690,-4170
2000-03-14,11600,11150,430710,5.56,-75840,78530,-330
2000-03-15,10800,10750,333700,5.36,-64220,64510,-1170
2000-03-16,11150,11000,433450,5.49,-102550,102000,200
2000-03-17,11100,10600,248720,5.29,-19840,17800,1840
2000-03-20,10600,10400,175440,5.19,-9360,8170,1110
2000-03-21,10400,10250,214070,5.11,-30540,30220,800
2000-03-22,10300,10500,280520,5.24,2260,8060,-8340
2000-03-23,10600,10300,224710,5.14,3470,-2360,-750
2000-03-24,10350,10300,202800,5.14,540,-630,80
2000-03-27,10300,10550,287500,5.26,-6090,-410,0
2000-03-28,10400,10350,188740,5.16,11120,-11870,750
2000-03-29,10400,10100,284650,5.04,17970,-18050,0
2000-03-30,10100,10100,267900,5.04,-38770,39090,-200
2000-03-31,10000,10200,474390,5.09,-22960,24950,-2030
2000-04-03,10200,9950,258410,4.96,-32340,32120,0
2000-04-04,9800,9270,229100,4.63,-20340,18020,1400
2000-04-06,9150,8750,262110,4.37,-10760,10770,0
2000-04-07,9010,9020,287840,4.5,-10900,10680,100
2000-04-10,9050,9190,380320,4.59,21510,-19950,-920
2000-04-11,9190,8760,180410,4.37,4770,-4660,-40
2000-04-12,8650,8510,245780,4.25,85640,-45560,-40110
2000-04-14,8150,8200,209440,4.09,27380,12800,-40000
2000-04-17,7520,7090,278390,3.54,-34180,29840,2790
2000-04-18,7300,7250,233360,3.62,22060,-22010,150
2000-04-19,7350,7450,305230,3.72,21950,-20830,-700
2000-04-20,7350,7300,93730,3.64,8910,-8840,10
2000-04-21,7300,7450,152240,3.72,3950,-3230,-390
2000-04-24,7400,7350,157640,3.67,18140,-18460,0
2000-04-25,7300,7100,141270,3.54,-1290,1290,0
2000-04-26,7300,6710,139370,3.35,-9970,9610,210
2000-04-27,6530,6670,158080,3.33,-40600,39940,660
2000-04-28,6550,6900,153150,3.44,-21320,-3070,-460
2000-05-02,7020,7140,200110,3.56,-2670,-18330,-950
2000-05-03,7490,7470,335930,3.73,6680,-4080,-2100
2000-05-04,7470,7420,251360,3.7,12480,-11830,-650
2000-05-08,7850,7700,237000,3.84,-2370,2980,-600
2000-05-09,7600,7450,182890,3.72,32540,15440,-750
2000-05-10,7400,7260,106410,3.62,-2520,7170,-4640
2000-05-12,6850,6920,155450,3.45,2930,-1340,-1570
2000-05-15,6730,6430,137460,3.21,1030,-430,-600
2000-05-16,6400,6490,87060,3.24,500,-100,-400
2000-05-17,6400,5730,179980,2.86,17600,-18900,1300
2000-05-18,5130,5200,186430,2.59,-1670,1570,90
2000-05-19,5190,5240,108960,2.61,70,1240,-2300
2000-05-22,5010,4750,112770,2.37,-3030,3330,-300
2000-05-23,4410,4635,79530,2.31,-18180,14020,3730
2000-05-24,4510,4880,166250,2.43,6420,-5790,-90
2000-05-25,5180,5610,258710,2.8,10080,-18750,-630
2000-05-26,5800,5400,330120,2.69,4470,-380,0
2000-05-29,5500,6210,443080,3.1,-3290,2810,480
2000-05-30,6750,6950,736190,3.47,-16720,-5530,-750
2000-05-31,7350,7150,663730,3.57,8400,-10080,-3320
2000-06-01,6800,6850,361590,3.42,-16760,460,0
2000-06-02,6990,6770,321320,3.38,10920,-15500,-420
2000-06-05,7300,7320,471720,3.65,6590,-2230,-150
2000-06-07,7300,7390,500100,3.69,11990,2550,-1810
2000-06-08,7450,6800,298300,3.39,6920,-4370,-350
2000-06-09,6600,6650,195020,3.32,-620,530,30
2000-06-12,6890,7640,745500,3.81,-65730,11360,-80
2000-06-13,7750,7100,714150,3.54,8940,-9490,0
2000-06-14,7400,7090,246980,3.54,6060,-6950,0
2000-06-15,7050,6600,222110,3.29,5000,-5000,0
2000-06-16,6400,6550,185890,3.27,920,-1010,90
2000-06-19,6230,6270,173780,3.13,-4940,2540,130
2000-06-20,6430,6400,146540,3.19,1310,-1390,100
2000-06-21,6400,6350,196210,3.17,3090,-3000,-90
2000-06-22,6510,6400,140720,3.19,-290,290,0
2000-06-23,6300,6290,145850,3.14,-11150,10060,0
2000-06-26,6500,6510,222650,3.25,4300,-3260,120
2000-06-27,6600,6590,177540,3.29,-3080,3080,0
2000-06-28,6590,6550,244420,3.27,29030,-29220,90
2000-06-29,6600,6510,169030,3.25,8410,-8760,-150
2000-06-30,6520,7480,713720,3.73,-15290,16150,0
2000-07-03,7700,7270,1044210,3.63,-38930,32160,-230
2000-07-04,7800,7800,1166940,3.89,-37110,48330,780
2000-07-05,7800,8140,1611120,4.06,-176640,126420,110
2000-07-06,8400,8050,520730,4.02,-47550,32550,0
2000-07-07,7920,7860,490790,3.92,11350,-15620,180
2000-07-10,7760,7930,542520,3.96,-75560,59880,370
2000-07-11,7930,7650,416290,3.82,5710,-6280,440
2000-07-12,7600,7780,349440,3.88,13590,-13650,60
2000-07-13,7850,8220,634280,4.1,-25830,26580,-620
2000-07-14,8400,7960,860860,3.97,41670,-37700,1000
2000-07-18,7700,7410,289970,3.7,-2470,2630,0
2000-07-19,7320,6900,241020,3.44,22710,-4550,1860
2000-07-20,6990,7070,228990,3.53,3300,-4590,1290
2000-07-21,7000,6910,197400,3.45,53480,-52480,-1000
2000-07-24,6850,6300,138100,3.14,5230,4110,600
2000-07-25,6350,6130,269590,3.06,139130,-92110,2980
2000-07-26,6250,6200,201730,3.09,28430,-8320,10000
2000-07-27,6230,6270,142000,3.13,-16200,5000,200
