Symbol,SK하이닉스_시가(원),SK하이닉스_종가(원),SK하이닉스_거래량(주),SK하이닉스_PER(IFRS-연결),SK하이닉스_순매수수량(개인)(주),SK하이닉스_순매수수량(기관계)(주),SK하이닉스_순매수수량(외국인계)(주)
2000-01-04,24700,25750,9275920,28.63,-538130,99860,175530
2000-01-05,24150,23100,7414370,25.69,-477790,139550,124150
2000-01-06,23500,21900,6529140,24.35,-167300,-36910,92660
2000-01-07,21200,21700,10492270,24.13,657620,-40330,-595310
2000-01-10,22000,21500,8041690,23.91,-356000,159650,277590
2000-01-11,22000,22300,11268920,24.8,-2186800,1267390,467010
2000-01-12,22000,22600,6916500,25.13,-893120,-233500,1025240
2000-01-13,23000,23500,11180640,26.13,-1708170,403360,983440
2000-01-14,24250,22800,12338010,25.35,-1885070,722440,943320
2000-01-17,23700,24900,20475240,27.69,-5084800,2784550,2329050
2000-01-18,25000,25000,14581100,27.8,-2326900,1587980,528370
2000-01-19,25000,24500,13326650,27.24,-2228040,295180,2013100
2000-01-20,24350,27000,24274380,30.02,-4129230,1037770,2995270
2000-01-21,26500,26600,31238800,29.58,-6095450,458350,5837000
2000-01-24,27400,27000,12233700,30.02,-2654000,-437890,3066690
2000-01-25,26500,25900,10446560,28.8,-2768170,-260020,2962930
2000-01-26,26150,26450,9108240,29.41,-2968360,1393120,1727700
2000-01-27,26500,26000,8991610,28.91,-951450,559420,431570
2000-01-28,26000,27700,16882700,30.8,-1752720,693750,1121090
2000-01-31,27050,26400,12865150,29.36,1917420,-1197850,-580070
2000-02-01,26000,24500,19525890,27.24,2738010,-2610840,87360
2000-02-02,24450,23900,16169750,26.58,2601750,-1204870,-664050
2000-02-03,23600,23050,15889810,25.63,2056010,-1393760,-384940
2000-02-07,22650,23000,13440440,25.58,163710,-506790,352230
2000-02-08,23700,23850,11379520,26.52,-959230,262630,525080
2000-02-09,24100,23400,6816770,26.02,-1123160,520670,459960
2000-02-10,23000,23300,8519970,25.91,-271470,-625330,1066370
2000-02-11,23550,22300,8009860,24.8,2160670,-1251190,-228800
2000-02-14,21500,20900,9164960,23.24,1267440,-1611170,420190
2000-02-15,21300,21350,8521020,23.74,-386020,-636380,1444760
2000-02-16,21350,20900,9506460,23.24,891580,-1430440,608580
2000-02-17,20000,20300,10655220,22.57,1834920,-1091100,-218020
2000-02-18,20200,20300,10465220,22.57,97990,-608730,522550
2000-02-21,19700,18600,9406750,20.68,1031990,-1204200,184330
2000-02-22,18300,17500,11483280,19.46,599060,-505620,316850
