Symbol,SPC삼립_시가(원),SPC삼립_종가(원),SPC삼립_거래량(주),SPC삼립_PER(IFRS-연결),SPC삼립_순매수수량(개인)(주),SPC삼립_순매수수량(기관계)(주),SPC삼립_순매수수량(외국인계)(주)
2000-01-04,5860,6840,360,,0,0,0
2000-01-05,6800,7860,380,,0,0,0
2000-01-06,6690,8000,680,,10,-10,0
2000-01-07,7310,7060,210,,0,0,0
2000-01-10,6610,6610,580,,0,0,0
2000-01-11,6500,7100,440,,0,0,0
2000-01-12,7100,6900,660,,0,0,0
2000-01-13,6510,6200,1450,,250,0,0
2000-01-14,6200,6200,50,,0,0,0
2000-01-17,6100,7130,390,,0,0,0
2000-01-18,7130,7000,300,,0,0,0
2000-01-19,6510,6180,390,,0,0,0
2000-01-20,6400,6400,10,,0,0,0
2000-01-21,6350,6400,180,,0,0,0
2000-01-24,5990,6000,300,,100,0,0
2000-01-25,6000,6000,0,,0,0,0
2000-01-26,6000,5330,170,,0,0,0
2000-01-27,5100,5360,130,,0,0,0
2000-01-28,5450,5450,20,,0,0,0
2000-01-31,5000,5000,1350,,0,0,0
2000-02-01,5100,5400,570,,0,0,0
2000-02-02,5100,5100,1070,,0,0,0
2000-02-03,5190,5300,110,,0,0,0
2000-02-07,5300,5380,210,,0,0,0
2000-02-08,5400,5200,350,,10,-10,0
2000-02-09,4420,5020,1600,,0,0,0
2000-02-10,4995,4610,150,,0,0,0
2000-02-11,4310,4900,690,,0,0,0
2000-02-14,4900,4900,0,,0,0,0
2000-02-15,4610,4600,400,,0,0,0
2000-02-16,4800,4800,50,,0,0,0
2000-02-17,4080,4110,2230,,0,0,0
2000-02-18,4130,4095,860,,0,0,0
2000-02-21,4095,3910,120,,0,0,0
2000-02-22,3900,3900,0,,0,0,0
2000-02-23,4000,4000,50,,0,0,0
2000-02-24,3710,3790,1490,,10,-10,0
2000-02-25,3700,3790,1310,,0,0,0
2000-02-28,3950,4300,870,,0,0,0
2000-02-29,3945,4010,350,,0,0,0
2000-03-02,3980,3910,570,,0,0,0
2000-03-03,3920,4495,540,,0,0,0
2000-03-06,4800,4890,60,,0,0,0
2000-03-07,4890,5620,5080,,0,0,0
2000-03-08,5600,6460,3420,,0,0,0
2000-03-09,7000,7300,1430,,0,0,0
2000-03-10,7200,7200,270,,0,0,0
2000-03-13,6330,7200,2530,,0,0,0
2000-03-14,7200,6570,1710,,0,0,0
2000-03-15,5800,7000,3650,,0,0,0
2000-03-16,6110,6450,4650,,0,0,0
2000-03-17,5660,5500,1350,,0,0,0
2000-03-20,5110,4700,7770,,0,0,0
2000-03-21,5390,4500,5870,,0,0,0
2000-03-22,4500,4800,1910,,0,0,0
2000-03-23,5280,4200,1820,,0,0,0
2000-03-24,4250,4200,5760,,0,0,0
2000-03-27,4300,4800,2530,,0,0,0
2000-03-28,5000,5400,3260,,0,0,0
2000-03-29,5500,5000,4530,,0,0,0
2000-03-30,5200,5100,2050,,0,0,0
2000-03-31,5100,5400,3110,,10,-10,0
2000-04-03,5300,5400,1750,,0,0,0
2000-04-04,5300,5300,0,,0,0,0
2000-04-06,4610,5200,130,,0,0,0
2000-04-07,4710,5200,6240,,0,0,0
2000-04-10,5190,5100,2300,,10,-10,0
2000-04-11,4500,4500,2860,,0,0,0
2000-04-12,4500,4400,1570,,0,0,0
2000-04-14,4110,4030,420,,0,0,0
2000-04-17,3980,4000,800,,0,0,0
2000-04-18,4000,4010,12290,,0,0,0
2000-04-19,4300,4300,6740,,0,0,0
2000-04-20,4810,4000,8050,,-100,0,0
2000-04-21,4200,4000,2950,,0,0,0
2000-04-24,4000,4180,6500,,0,0,0
2000-04-25,4180,4805,17050,,6600,0,0
2000-04-26,5520,5510,6160,,120,0,0
2000-04-27,5290,6000,4430,,0,0,0
2000-04-28,5510,5100,1070,,0,0,0
2000-05-02,4600,4380,15710,,0,0,0
2000-05-03,4120,4600,1960,,0,0,0
2000-05-04,4600,4500,9170,,0,0,0
2000-05-08,4300,4600,5190,,0,0,0
2000-05-09,4400,4590,1710,,0,0,0
2000-05-10,4590,4270,2450,,100,0,0
2000-05-12,4910,4900,20610,,2930,0,0
2000-05-15,5000,4425,5380,,0,0,0
2000-05-16,4425,4390,2070,,0,0,0
2000-05-17,3880,4200,5990,,0,0,0
2000-05-18,3660,3980,2280,,0,0,0
2000-05-19,3510,3980,920,,0,0,0
2000-05-22,3950,3950,200,,0,0,0
2000-05-23,3700,3510,2700,,0,0,0
2000-05-24,3500,3800,430,,0,0,0
2000-05-25,3530,3600,270,,0,0,0
2000-05-26,3380,3300,1530,,0,0,0
2000-05-29,3300,3150,1050,,80,0,0
2000-05-30,3300,3150,2610,,0,0,0
2000-05-31,3200,3200,2930,,1320,-10,0
2000-06-01,3005,3390,1970,,0,0,0
2000-06-02,3110,3150,2290,,0,0,0
2000-06-05,3350,3280,4030,,0,0,0
2000-06-07,3600,3710,5370,,0,0,0
2000-06-08,3790,3200,1840,,0,0,0
2000-06-09,3200,3300,16370,,8610,0,0
2000-06-12,3300,3340,2160,,0,0,0
2000-06-13,3390,3380,790,,0,0,0
2000-06-14,3390,3315,870,,0,0,0
2000-06-15,3250,3300,5030,,0,0,0
2000-06-16,3100,3300,110,,0,0,0
2000-06-19,3000,2950,690,,0,0,0
2000-06-20,3050,2940,760,,0,0,0
2000-06-21,2960,2950,760,,0,0,0
2000-06-22,3000,2950,1690,,0,0,0
2000-06-23,3000,2990,900,,0,0,0
2000-06-26,2990,2910,910,,0,0,0
2000-06-27,3000,2800,1250,,0,0,0
2000-06-28,2905,2950,7760,,0,0,0
2000-06-29,3000,2990,1750,,0,0,0
2000-06-30,3090,3070,3630,,0,0,0
2000-07-03,3500,3300,5210,,0,0,0
2000-07-04,3400,3590,19260,,0,0,0
2000-07-05,3700,3900,1230,,-970,0,0
2000-07-06,4000,3900,3960,,-2000,0,0
2000-07-07,3800,4200,480,,-400,0,0
2000-07-10,4400,4000,5470,,-4510,0,0
2000-07-11,3900,4040,5300,,-5160,0,0
2000-07-12,4000,3950,2750,,-1550,0,0
2000-07-13,3900,4100,4470,,-3650,0,0
2000-07-14,4100,4100,880,,-790,0,0
2000-07-18,3950,3940,2040,,-1600,0,0
2000-07-19,3810,3990,1280,,-1160,0,0
2000-07-20,3910,3900,4490,,-4110,0,0
2000-07-21,3900,3900,2300,,-2200,0,0
2000-07-24,3990,3990,20,,0,0,0
2000-07-25,3510,3410,740,,0,0,0
2000-07-26,3400,3480,560,,0,0,0
2000-07-27,3330,3330,100,,0,0,0
2000-07-28,3500,3825,4140,,-1700,0,0
2000-07-31,4395,3400,7560,,-2950,0,0
2000-08-01,3890,3460,5170,,-1700,0,0
2000-08-02,3700,3790,7840,,-5400,0,0
2000-08-03,3610,3890,3740,,-200,0,0
2000-08-04,3800,3560,1480,,-500,0,0
2000-08-07,3600,3830,1650,,0,0,0
2000-08-08,3830,3830,480,,0,0,0
2000-08-09,3830,3990,2250,,0,0,0
2000-08-10,3800,3800,150,,0,0,0
2000-08-11,3900,3850,1710,,0,0,0
2000-08-14,4000,3850,2000,,0,0,0
2000-08-16,3900,3990,1080,,0,0,0
2000-08-17,3870,3950,1020,,10,-10,0
2000-08-18,4000,3970,1650,,0,0,0
2000-08-21,3995,4000,6380,,-200,0,0
2000-08-22,4300,4140,5560,,0,0,0
2000-08-23,3870,4100,330,,10,-10,0
2000-08-24,4300,4700,7550,,0,0,0
2000-08-25,4690,4700,3420,,0,0,0
2000-08-28,4700,4700,6240,,100,0,0
2000-08-29,4700,5300,7450,,100,0,0
2000-08-30,5300,6090,7530,,0,0,0
2000-08-31,7000,7000,12190,,0,0,0
2000-09-01,7000,5950,12570,,0,0,0
2000-09-04,5220,5650,20010,,10,-10,0
2000-09-05,5450,5890,5260,,0,0,0
2000-09-06,6770,5590,11690,,0,0,0
2000-09-07,5410,4810,4290,,0,0,0
2000-09-08,5010,4360,3540,,0,0,0
2000-09-14,5010,5010,5480,,0,0,0
2000-09-15,5760,5760,9950,,0,0,0
2000-09-18,6620,4910,20910,,0,0,0
2000-09-19,5250,5640,8300,,0,0,0
2000-09-20,5800,5590,16940,,0,0,0
2000-09-21,5800,5700,7580,,0,0,0
2000-09-22,5900,5430,11440,,0,0,0
2000-09-25,5450,5500,7120,,0,0,0
2000-09-26,6310,5900,4080,,0,0,0
2000-09-27,5020,5020,8980,,0,0,0
2000-09-28,5210,5170,5340,,0,0,0
2000-09-29,4730,4690,8380,,0,0,0
2000-10-02,4730,4450,7350,,0,0,0
2000-10-04,4200,4350,6690,,0,0,0
2000-10-05,4290,4310,11230,,0,0,0
2000-10-06,4280,4050,11180,,0,0,0
2000-10-09,3820,3850,8680,,0,0,0
2000-10-10,3710,3510,7490,,0,0,0
2000-10-11,3700,4035,7370,,0,0,0
2000-10-12,4030,4290,11490,,0,0,0
2000-10-13,4200,4025,4480,,0,0,0
2000-10-16,4025,3890,3690,,0,0,0
2000-10-17,3890,3940,2730,,10,-10,0
2000-10-18,3940,3720,2920,,0,0,0
2000-10-19,3250,3900,3260,,0,0,0
2000-10-20,4190,3990,3170,,0,0,0
2000-10-23,3900,3900,1710,,0,0,0
2000-10-24,3525,3600,3430,,0,0,0
2000-10-25,3800,3350,1490,,0,0,0
2000-10-26,3450,3355,950,,10,-10,0
2000-10-27,3360,3300,4110,,0,0,0
2000-10-30,3500,3250,1550,,0,0,0
2000-10-31,2925,2765,3870,,10,-10,0
2000-11-01,2525,2525,4470,,10,-10,0
2000-11-02,2620,2900,1640,,0,0,0
2000-11-03,3335,3335,1130,,0,0,0
2000-11-06,3835,3800,8730,,0,0,0
2000-11-07,3520,3600,4600,,0,0,0
2000-11-08,3700,3500,1380,,0,0,0
2000-11-09,3320,3320,3130,,0,0,0
2000-11-10,3330,3495,1190,,0,0,0
2000-11-13,4015,3850,2350,,0,0,0
2000-11-14,3525,4150,14510,,0,0,0
2000-11-15,4330,4000,6960,,0,0,0
2000-11-16,4100,3800,3850,,0,0,0
2000-11-17,3900,4000,1960,,0,0,0
2000-11-20,4000,4050,460,,0,0,0
2000-11-21,4400,4170,2860,,0,0,0
2000-11-22,4300,4150,110,,0,0,0
2000-11-23,3910,3900,1210,,0,0,0
2000-11-24,3525,3600,200,,0,0,0
2000-11-27,3600,3950,3230,,0,0,0
2000-11-28,3990,3900,1610,,0,0,0
2000-11-29,3690,3900,3820,,0,0,0
2000-11-30,4200,3795,160,,0,0,0
2000-12-01,3890,3890,110,,0,0,0
2000-12-04,3700,3310,2530,,0,0,0
2000-12-05,3300,3260,2460,,0,0,0
2000-12-06,3350,3400,5170,,0,0,0
2000-12-07,3550,3400,1620,,0,0,0
2000-12-08,3030,3400,3280,,0,0,0
2000-12-11,3200,3250,3780,,0,0,0
2000-12-12,3210,3380,310,,0,0,0
2000-12-13,3380,3380,940,,0,0,0
2000-12-14,3440,3400,320,,0,0,0
2000-12-15,3210,2900,2920,,2890,0,0
2000-12-18,2900,3100,1730,,10,-10,0
2000-12-19,3200,2700,8690,,7800,-7800,0
2000-12-20,2700,2500,2560,,0,0,0
2000-12-21,2660,2600,1090,,0,0,0
2000-12-22,2840,2990,5630,,0,0,0
2000-12-26,3000,3100,9800,,0,0,0
2001-01-02,2750,2900,2210,,0,0,0
2001-01-03,3000,3300,2270,,0,0,0
2001-01-04,3600,3490,3980,,10,-10,0
2001-01-05,3215,3800,2970,,0,0,0
2001-01-08,3400,3400,3630,,0,0,0
2001-01-09,3390,3400,560,,0,0,0
2001-01-10,3400,3230,340,,0,0,0
2001-01-11,3230,3400,310,,0,0,0
2001-01-12,3230,3120,2250,,0,0,0
2001-01-15,3330,3230,3940,,0,0,0
2001-01-16,3205,3290,1250,,0,0,0
2001-01-17,3300,3200,1010,,0,0,0
2001-01-18,3200,3510,22950,,0,0,0
2001-01-19,3600,3025,8000,,0,0,0
2001-01-22,3000,3200,4970,,0,0,0
2001-01-26,3050,3140,5830,,0,0,0
2001-01-29,3000,3360,13550,,0,0,0
2001-01-30,3340,3240,5890,,0,0,0
2001-01-31,3725,3430,15210,,0,0,0
2001-02-01,3200,3450,4520,,0,0,0
2001-02-02,3300,3300,3610,,0,0,0
2001-02-05,3400,3180,5260,,0,0,0
2001-02-06,3225,3200,2400,,0,0,0
2001-02-07,3200,3130,3990,,0,0,0
2001-02-08,3050,3100,1410,,0,0,0
2001-02-09,3200,3500,9330,,0,0,0
2001-02-12,4025,4025,9030,,0,0,0
2001-02-13,4625,4625,44120,,12710,0,0
2001-02-14,4630,5310,25370,,0,0,0
2001-02-15,5500,5300,42130,,0,0,0
2001-02-16,5020,4510,23720,,0,0,0
2001-02-19,4260,4140,19760,,0,0,0
2001-02-20,4220,4180,9270,,0,0,0
2001-02-21,3605,3960,14330,,0,0,0
2001-02-22,4020,3900,5820,,0,0,0
2001-02-23,3900,3800,9230,,0,0,0
2001-02-26,3970,3880,7830,,0,0,0
2001-02-27,3900,3890,2180,,0,0,0
2001-02-28,3895,3705,6220,,0,0,0
2001-03-02,3725,3600,5280,,0,0,0
2001-03-05,3650,3385,3940,,0,0,0
2001-03-06,3380,3600,5770,,0,0,0
2001-03-07,3450,3600,3350,,0,0,0
2001-03-08,3600,3590,770,,0,0,0
2001-03-09,3585,3940,6630,,0,0,0
2001-03-12,3900,3695,12520,,0,0,0
2001-03-13,3695,3695,12370,,0,0,0
2001-03-14,3790,3710,4280,,0,0,0
2001-03-15,3710,3535,6170,,0,0,0
2001-03-16,3690,3740,7170,,0,0,0
2001-03-19,3950,3930,7850,,0,0,0
2001-03-20,4100,3750,12040,,0,0,0
2001-03-21,4000,3800,7740,,0,0,0
2001-03-22,3900,3530,4900,,0,0,0
2001-03-23,3635,3410,1810,,0,0,0
2001-03-26,3420,3420,5040,,0,0,0
2001-03-27,3250,3800,17160,,0,0,0
2001-03-28,3550,3325,8130,,0,0,0
2001-03-29,3160,3355,3480,,0,0,0
2001-03-30,3330,3275,4000,,0,0,0
2001-04-02,3110,3000,4670,,0,0,0
2001-04-03,3010,3090,5250,,0,0,0
2001-04-04,2975,2840,3390,,0,0,0
2001-04-06,2980,3035,3270,,0,0,0
2001-04-09,3190,3150,1370,,0,0,0
2001-04-10,3250,3150,1820,,10,-10,0
2001-04-11,3050,3150,1120,,0,0,0
2001-04-12,3040,3140,2130,,0,0,0
2001-04-13,3140,3200,590,,0,0,0
2001-04-16,3200,3080,420,,0,0,0
2001-04-17,3160,3160,390,,0,0,0
2001-04-18,3160,3210,3040,,0,0,0
2001-04-19,3100,3290,4810,,0,0,0
2001-04-20,3150,3190,2880,,0,0,0
2001-04-23,3150,3105,2070,,20,-20,0
2001-04-24,3095,3060,1720,,0,0,0
2001-04-25,3060,3080,3010,,0,0,0
2001-04-26,3160,3090,1850,,10,-10,0
2001-04-27,3035,3180,700,,0,0,0
2001-04-30,3075,3095,1950,,0,0,0
2001-05-02,3045,3060,7470,,0,0,0
2001-05-03,3100,3000,4700,,0,0,0
2001-05-04,3200,3450,17750,,0,0,0
2001-05-07,3700,3440,10030,,0,0,0
2001-05-08,3270,3490,11160,,0,0,0
2001-05-09,3475,3505,7470,,0,0,0
2001-05-10,3490,3400,7660,,0,0,0
2001-05-11,3400,3305,5100,,0,0,0
2001-05-14,3280,3300,3440,,0,0,0
2001-05-15,3270,3135,2670,,0,0,0
2001-05-16,3060,3150,3570,,0,0,0
2001-05-17,3150,3170,3100,,0,0,0
2001-05-18,3150,3200,7240,,0,0,0
2001-05-21,3000,3250,9740,,0,0,0
2001-05-22,3200,3150,11670,,0,0,0
2001-05-23,3150,3620,16990,,0,0,0
2001-05-24,4160,3910,41600,,0,0,0
2001-05-25,3775,4100,22510,,0,0,0
2001-05-28,4090.0,3900.0,7590.0,,0,0,0
2001-05-29,3765.0,3605.0,10210.0,,0,0,0
2001-05-30,3815.0,3700.0,15750.0,,0,0,0
2001-05-31,3780.0,3450.0,9330.0,,0,0,0
2001-06-01,3430.0,3400.0,10720.0,,0,0,0
2001-06-04,3500.0,3450.0,8340.0,,0,0,0
2001-06-05,3570.0,3930.0,24290.0,,0,0,0
2001-06-07,4000.0,3840.0,13350.0,,0,0,0
2001-06-08,3900.0,3800.0,8090.0,,0,0,0
2001-06-11,3545.0,3620.0,10430.0,,0,0,0
2001-06-12,3620.0,3600.0,8910.0,,0,0,0
2001-06-13,3590.0,3700.0,7250.0,,0,0,0
2001-06-14,3600.0,3810.0,6430.0,,0,0,0
2001-06-15,3800.0,4380.0,24000.0,,0,0,0
2001-06-18,4410.0,4350.0,36490.0,,0,0,0
2001-06-19,4200.0,4180.0,18270.0,,0,0,0
2001-06-20,3975.0,3970.0,8140.0,,0,0,0
2001-06-21,4000.0,4135.0,23580.0,,0,0,0
2001-06-22,4200.0,4755.0,55320.0,,0,0,0
