Symbol,경방_시가(원),경방_종가(원),경방_거래량(주),경방_PER(IFRS-연결),경방_순매수수량(개인)(주),경방_순매수수량(기관계)(주),경방_순매수수량(외국인계)(주)
2000-01-04,23500,23500,350,10.34,0,0,0
2000-01-05,23500,22900,2380,10.07,0,0,0
2000-01-06,23000,23900,910,10.51,0,0,0
2000-01-07,22900,22800,630,10.03,0,0,0
2000-01-10,22500,22500,0,9.9,0,0,0
2000-01-11,22800,22100,590,9.72,0,0,0
2000-01-12,21800,21800,430,9.59,0,0,0
2000-01-13,22700,22700,50,9.99,0,0,0
2000-01-14,22700,23800,360,10.47,0,0,0
2000-01-17,22500,23500,550,10.34,0,0,0
2000-01-18,22600,22500,360,9.9,0,0,0
2000-01-19,23000,23000,10,10.12,0,0,0
2000-01-20,22500,22500,0,9.9,0,0,0
2000-01-21,22000,22000,100,9.68,0,0,0
2000-01-24,20700,21500,750,9.46,0,0,0
2000-01-25,21500,21500,230,9.46,0,0,0
2000-01-26,22500,21700,260,9.54,0,0,0
2000-01-27,24950,24800,120,10.91,0,0,0
2000-01-28,22400,24300,350,10.69,0,0,0
2000-01-31,24300,24300,10,10.69,0,0,0
2000-02-01,22000,22000,600,9.68,0,0,0
2000-02-02,22600,23000,520,10.12,0,0,0
2000-02-03,23000,22550,260,9.92,0,0,0
2000-02-07,23000,23000,40,10.12,0,0,0
2000-02-08,24000,24000,10,10.56,0,0,0
2000-02-09,23500,23500,0,10.34,0,0,0
2000-02-10,23000,24000,1680,10.56,0,0,0
2000-02-11,25000,23000,320,10.12,0,0,0
2000-02-14,23500,23000,270,10.12,0,0,0
2000-02-15,21800,22900,510,10.07,0,0,0
2000-02-16,21500,22900,310,10.07,0,0,0
2000-02-17,21100,23000,230,10.12,0,0,0
2000-02-18,22100,23000,1710,10.12,0,0,0
2000-02-21,21200,22900,110,10.07,0,0,0
2000-02-22,22000,22000,0,9.68,0,0,0
2000-02-23,22300,22800,390,10.03,0,0,0
2000-02-24,23500,22500,5890,9.9,0,0,0
2000-02-25,22600,25850,10280,11.37,10,-10,0
2000-02-28,25650,25000,2640,11,0,0,0
2000-02-29,25000,24700,420,10.87,0,0,0
2000-03-02,24900,26000,2540,11.44,0,0,0
2000-03-03,25950,25000,480,11,0,0,0
2000-03-06,23500,25750,1430,11.33,0,0,0
2000-03-07,22600,23600,3230,10.38,0,0,0
2000-03-08,23550,24050,500,10.58,0,0,0
2000-03-09,23500,24000,1820,10.56,0,0,0
2000-03-10,23900,24100,1460,10.61,0,0,0
2000-03-13,23800,27700,9520,12.19,0,0,0
2000-03-14,28500,28750,7300,12.65,0,0,0
2000-03-15,27000,29000,2160,12.76,-20,0,0
2000-03-16,29800,28800,1510,12.67,20,0,0
2000-03-17,27500,28800,270,12.67,10,-10,0
2000-03-20,28000,27500,1190,12.1,0,0,0
2000-03-21,26000,26000,1240,11.44,10,-10,0
2000-03-22,23700,29800,870,13.11,10,-10,0
2000-03-23,29000,28700,330,12.63,0,0,0
2000-03-24,29500,28900,330,12.72,0,0,0
2000-03-27,30000,30000,5080,13.2,0,0,0
2000-03-28,25500,29500,1440,12.98,0,0,0
2000-03-29,29500,29100,2430,12.8,0,0,0
2000-03-30,27600,27900,580,12.27,0,0,0
2000-03-31,28950,29500,3260,12.98,0,0,0
2000-04-03,30100,27500,8850,12.1,570,0,0
2000-04-04,28600,25900,5020,11.39,0,0,0
2000-04-06,26500,26450,2500,11.64,0,0,0
2000-04-07,25200,25850,1950,11.37,-300,300,0
2000-04-10,24100,26000,4300,11.44,-1350,-140,1490
2000-04-11,25650,26900,380,11.83,40,0,0
2000-04-12,26700,26700,300,11.75,0,0,0
2000-04-14,27350,26700,4500,11.75,0,0,0
2000-04-17,24700,24900,1310,10.95,0,0,0
2000-04-18,26500,25850,170,11.37,0,0,0
2000-04-19,26400,26400,620,11.61,0,0,0
2000-04-20,26400,24800,790,10.91,0,0,0
2000-04-21,27700,26400,2610,11.61,10,-10,0
2000-04-24,26300,25550,80,11.24,0,0,0
2000-04-25,25550,25500,650,11.22,20,-20,0
2000-04-26,25700,25000,940,11,0,0,0
2000-04-27,24000,25350,430,11.15,0,0,0
2000-04-28,23500,25750,390,11.33,0,0,0
2000-05-02,25900,25900,560,11.39,10,-10,0
2000-05-03,24150,25400,70,11.17,0,0,0
2000-05-04,25500,25000,170,11,0,0,0
2000-05-08,24900,24150,2000,10.62,0,0,0
2000-05-09,24700,24450,820,10.76,160,-160,0
2000-05-10,25000,24900,50,10.95,0,0,0
2000-05-12,23400,24500,2710,10.78,0,0,0
2000-05-15,24000,24300,610,10.69,0,0,0
2000-05-16,24400,23500,700,10.34,0,0,0
2000-05-17,23500,22000,470,9.68,0,0,0
2000-05-18,23000,22000,2710,9.68,0,0,0
2000-05-19,20400,22200,1650,9.77,0,0,0
2000-05-22,22300,22000,1580,9.68,0,0,0
2000-05-23,21500,24300,1360,10.69,0,0,0
2000-05-24,23000,22000,1410,9.68,0,0,0
2000-05-25,23000,24400,580,10.73,0,0,0
2000-05-26,23400,22400,620,9.85,0,0,0
2000-05-29,23500,23000,2010,10.12,20,-20,0
2000-05-30,22300,22650,4210,9.96,10,-10,0
2000-05-31,23650,23400,1020,10.29,10,-10,0
2000-06-01,23000,22500,1120,9.9,0,0,0
2000-06-02,23000,23000,1420,10.12,0,0,0
2000-06-05,22000,23000,2680,10.12,0,0,0
2000-06-07,23050,23000,2200,10.12,0,0,0
2000-06-08,23000,23000,310,10.12,0,0,0
2000-06-09,22250,22300,220,9.81,0,0,0
2000-06-12,22200,22500,670,9.9,-80,80,0
2000-06-13,22900,23450,6900,10.32,-40,40,0
2000-06-14,22700,23900,1760,10.51,160,-160,0
2000-06-15,22700,21900,980,9.64,180,-180,0
2000-06-16,21950,21950,340,9.66,-10,10,0
2000-06-19,21100,22000,1160,9.68,260,-260,0
2000-06-20,22200,22000,1750,9.68,40,-40,0
2000-06-21,22500,21650,520,9.53,0,0,0
2000-06-22,22400,22000,640,9.68,0,0,0
2000-06-23,21050,22000,120,9.68,0,0,0
2000-06-26,22000,22000,500,9.68,0,0,0
2000-06-27,21500,22000,1890,9.68,0,0,0
2000-06-28,22000,22000,1060,9.68,0,0,0
2000-06-29,23000,22750,280,10.01,-120,120,0
2000-06-30,21600,22800,170,10.03,0,0,0
2000-07-03,22800,22800,170,10.03,0,0,0
2000-07-04,22100,22600,1490,9.94,0,0,0
2000-07-05,22000,22450,2990,9.88,0,0,0
2000-07-06,22250,22850,930,10.05,0,0,0
2000-07-07,22800,22800,480,10.03,0,0,0
2000-07-10,22750,22800,380,10.03,0,0,0
2000-07-11,22800,22800,1900,10.03,0,0,0
2000-07-12,22500,23500,5740,10.34,0,0,0
2000-07-13,23500,24000,7010,10.56,0,0,0
2000-07-14,23100,22700,18340,9.99,50,-50,0
2000-07-18,23900,23000,1020,10.12,0,0,0
2000-07-19,24000,22550,300,9.92,10,-10,0
2000-07-20,23800,23300,350,10.25,0,0,0
2000-07-21,23000,23500,1260,10.34,0,0,0
2000-07-24,22700,23000,80,10.12,0,0,0
2000-07-25,21100,22400,310,9.85,0,0,0
2000-07-26,22800,21900,120,9.64,0,0,0
2000-07-27,22800,21550,360,9.48,120,-120,0
2000-07-28,21450,22400,560,9.85,0,0,0
2000-07-31,22800,22000,1400,9.68,0,0,0
2000-08-01,22900,21950,1390,9.66,-150,150,0
2000-08-02,23150,22100,450,9.72,0,0,0
2000-08-03,22000,22550,820,9.92,20,-20,0
2000-08-04,22500,22450,240,9.88,0,0,0
2000-08-07,21700,22900,1820,10.07,10,-10,0
2000-08-08,22850,21750,50,9.57,30,-30,0
2000-08-09,21750,22500,130,9.9,0,0,0
2000-08-10,22100,22500,180,9.9,0,0,0
2000-08-11,21800,22500,870,9.9,-40,40,0
2000-08-14,24550,23100,1070,10.16,0,0,0
2000-08-16,23500,23900,2230,10.51,0,0,0
2000-08-17,23900,26100,22050,11.48,2170,0,0
2000-08-18,26100,25150,21390,11.06,7730,140,0
2000-08-21,25150,23750,8030,10.45,0,0,0
2000-08-22,23750,24500,4090,10.78,0,0,0
2000-08-23,24500,25900,30140,11.39,-290,60,0
2000-08-24,26000,25050,7850,11.02,30,-30,0
2000-08-25,25100,27700,8320,12.19,-170,-30,0
2000-08-28,26600,27500,6470,12.1,0,0,0
