Symbol,고려아연_시가(원),고려아연_종가(원),고려아연_거래량(주),고려아연_PER(IFRS-연결),고려아연_순매수수량(개인)(주),고려아연_순매수수량(기관계)(주),고려아연_순매수수량(외국인계)(주)
2000-01-04,27950,25000,37710,8.75,750,2980,-4450
2000-01-05,24500,25700,34250,8.99,-8550,21690,-13140
2000-01-06,25000,25000,31410,8.75,-490,14120,-13550
2000-01-07,23600,24400,19740,8.54,-9960,10670,-710
2000-01-10,25700,25300,17100,8.85,-6250,7160,-1270
2000-01-11,25600,25200,28980,8.82,-4250,1880,1810
2000-01-12,24500,25700,145050,8.99,-6340,70350,-64010
2000-01-13,25500,23500,113930,8.22,25210,3760,-29420
2000-01-14,23700,23300,20490,8.15,7660,-7110,-550
2000-01-17,23100,23000,76930,8.05,35020,-7860,-27160
2000-01-18,22200,22000,100410,7.7,66380,-9020,-57360
2000-01-19,20650,20900,108080,7.31,20930,-16080,-2710
2000-01-20,19800,19600,73450,6.86,5360,-6760,1400
2000-01-21,18800,19300,76490,6.75,21190,-25290,-1940
2000-01-24,18800,19300,38690,6.75,-4440,3710,630
2000-01-25,19300,19100,31690,6.68,2140,-2040,0
2000-01-26,19150,19900,31760,6.96,-13310,4310,9000
2000-01-27,19500,20300,18330,7.1,680,-1010,480
2000-01-28,20500,19200,36140,6.72,18470,-19780,1190
2000-01-31,19100,18750,125680,6.56,41420,24990,-67710
2000-02-01,19500,19500,54300,6.82,-5970,6210,-120
2000-02-02,19000,19500,48250,6.82,8490,-8970,0
2000-02-03,19900,19850,45150,6.95,4100,-4100,0
2000-02-07,19600,20500,52920,7.17,-13900,-6230,13690
2000-02-08,20400,19950,36010,6.98,-11220,11020,80
2000-02-09,19950,19950,249780,6.98,47770,21230,-69000
2000-02-10,19800,18800,76330,6.58,24870,-9330,-15540
2000-02-11,18800,17900,95370,6.26,36780,-25770,-11170
2000-02-14,17000,16800,58970,5.88,-1290,24150,-22800
2000-02-15,16300,15500,73310,5.42,21940,4740,-25260
2000-02-16,15300,14800,179510,5.18,118360,-56160,-62100
2000-02-17,14950,15050,371160,5.27,77600,-15300,-127190
2000-02-18,15450,14400,446180,5.04,200540,-137800,-63880
2000-02-21,14200,13050,110040,4.57,6930,-7140,-1790
2000-02-22,12700,12600,266630,4.41,46760,-2040,-49660
2000-02-23,14000,14450,497790,5.06,197680,-141580,-56830
2000-02-24,14800,15300,713920,5.35,82970,-90440,5970
2000-02-25,15450,15350,326070,5.37,-13590,-22880,6940
2000-02-28,14900,16000,462030,5.6,-19220,25820,1400
2000-02-29,16150,15300,279810,5.35,-21380,5800,15650
2000-03-02,15300,14850,233320,5.2,14570,-1660,-12910
2000-03-03,15000,14100,228280,4.93,29190,310,-35200
2000-03-06,14100,15450,489880,5.41,182560,-116030,-56780
2000-03-07,15950,16200,624630,5.67,141470,-47580,-49780
2000-03-08,15900,16200,541110,5.67,66340,-30010,230
2000-03-09,16700,16000,349920,5.6,56290,-17210,-38150
