Symbol,고려제강_시가(원),고려제강_종가(원),고려제강_거래량(주),고려제강_PER(IFRS-연결),고려제강_순매수수량(개인)(주),고려제강_순매수수량(기관계)(주),고려제강_순매수수량(외국인계)(주)
2000-01-04,121000,120000,670,3.98,150,-150,0
2000-01-05,120000,120000,0,3.98,0,0,0
2000-01-06,120000,120000,0,3.98,0,0,0
2000-01-07,120000,120000,20,3.98,0,0,0
2000-01-10,120000,124000,30,4.11,0,0,0
2000-01-11,106000,124000,2300,4.11,100,-100,0
2000-01-12,134000,134000,10,4.44,0,0,0
2000-01-13,124000,125000,200,4.15,-10,10,0
2000-01-14,110000,117500,30450,3.9,90,-30100,0
2000-01-17,119500,119500,10,3.96,-10,10,0
2000-01-18,119000,125000,290,4.15,-100,100,0
2000-01-19,119000,119000,0,3.95,0,0,0
2000-01-20,110000,114500,30,3.8,0,0,0
2000-01-21,114500,114500,30,3.8,0,0,0
2000-01-24,114000,120000,150,3.98,-100,100,0
2000-01-25,107500,123000,110,4.08,-90,90,0
2000-01-26,123000,123000,20,4.08,0,0,0
2000-01-27,122500,122500,50,4.06,0,0,0
2000-01-28,122500,122500,10,4.06,0,0,0
2000-01-31,112500,113000,50,3.75,0,0,0
2000-02-01,118000,118000,10,3.91,0,0,0
2000-02-02,116500,116500,20,3.86,0,0,0
2000-02-03,113000,118000,30,3.91,0,0,0
2000-02-07,115000,119500,20,3.96,0,0,0
2000-02-08,119500,119500,0,3.96,0,0,0
2000-02-09,119500,119500,0,3.96,0,0,0
2000-02-10,112000,120000,80,3.98,10,-10,0
2000-02-11,112000,116000,960,3.85,0,0,0
2000-02-14,110000,109000,40,3.62,0,0,0
2000-02-15,104000,104000,40,3.45,0,0,0
2000-02-16,104500,104500,20,3.47,-10,10,0
2000-02-17,110000,110000,1480,3.65,470,-1410,0
2000-02-18,110000,110000,10,3.65,0,0,0
2000-02-21,110000,110000,0,3.65,0,0,0
2000-02-22,110000,110000,10,3.65,0,0,0
2000-02-23,123500,123500,10,4.1,-10,10,0
2000-02-24,123500,123500,0,4.1,0,0,0
2000-02-25,123500,123500,0,4.1,0,0,0
2000-02-28,110000,110000,40,3.65,0,0,0
2000-02-29,110000,112000,150,3.71,20,-20,0
2000-03-02,112000,112000,0,3.71,0,0,0
2000-03-03,115000,115000,30,3.81,-30,30,0
2000-03-06,116000,116000,200,3.85,0,0,0
2000-03-07,120000,121000,20240,4.01,0,-20000,0
2000-03-08,131000,139000,5250,4.61,-1700,-3440,0
2000-03-09,149000,124000,870,4.11,170,-170,0
2000-03-10,125000,140000,370,4.64,0,0,0
2000-03-13,133000,124000,550,4.11,0,0,0
2000-03-14,115500,118000,180,3.91,10,-10,0
2000-03-15,117000,108500,140,3.6,80,-80,0
2000-03-16,118000,115000,400,3.81,-20,-280,0
2000-03-17,111000,115000,230,3.81,-60,0,0
2000-03-20,108500,118000,350,3.91,-190,-20,0
2000-03-21,118000,118000,0,3.91,0,0,0
2000-03-22,119500,120000,180,3.98,-150,0,0
2000-03-23,111000,117000,2980,3.88,410,-1980,0
2000-03-24,111000,115000,2940,3.81,110,-910,0
2000-03-27,118000,118000,130,3.91,-130,0,0
2000-03-28,110500,125000,330,4.15,-310,190,0
2000-03-29,115000,120000,550,3.98,-10,0,0
2000-03-30,120500,120000,260,3.98,260,-260,0
2000-03-31,111000,115000,370,3.81,-140,0,0
2000-04-03,108500,115000,170,3.81,10,-10,0
2000-04-04,115000,125000,110,4.15,-50,-50,0
2000-04-06,125000,125000,40,4.15,0,0,0
2000-04-07,119000,123500,1160,4.1,280,-280,0
2000-04-10,109000,127000,850,4.21,-840,0,840
2000-04-11,125000,125000,10,4.15,0,0,0
2000-04-12,125000,125000,0,4.15,0,0,0
2000-04-14,119000,117000,430,3.88,0,0,0
2000-04-17,115000,102500,410,3.4,0,0,0
2000-04-18,104000,107000,30,3.55,10,-10,0
2000-04-19,105000,110000,20,3.65,0,0,0
2000-04-20,106000,110000,60,3.65,0,0,0
2000-04-21,107500,111500,30,3.7,20,-20,0
2000-04-24,110000,110000,50,3.65,0,0,0
2000-04-25,110000,110000,10,3.65,0,0,0
2000-04-26,110000,114000,1250,3.78,70,-70,0
2000-04-27,114000,117000,290,3.88,-150,150,0
2000-04-28,117500,109000,390,3.62,60,-60,0
2000-05-02,109000,111500,2050,3.7,40,-40,0
2000-05-03,110000,112500,1150,3.73,30,-30,0
2000-05-04,112500,112500,0,3.73,0,0,0
2000-05-08,106000,114000,1220,3.78,140,-140,0
2000-05-09,107000,113000,2100,3.75,-250,250,0
2000-05-10,109000,113000,160,3.75,-90,90,0
2000-05-12,115000,121000,980,4.01,-610,610,0
2000-05-15,117000,125000,1950,4.15,70,-70,0
2000-05-16,130000,125000,30250,4.15,-1300,-28700,0
2000-05-17,122000,122000,0,4.05,0,0,0
2000-05-18,120000,119000,20,3.95,0,0,0
2000-05-19,112000,119000,70,3.95,-50,50,0
2000-05-22,119000,114000,180,3.78,-50,50,0
2000-05-23,109000,114000,20,3.78,-10,10,0
2000-05-24,108500,112500,820,3.73,-460,460,0
2000-05-25,108000,115000,780,3.81,-670,670,0
2000-05-26,120000,111000,48020,3.68,-120,-47880,0
2000-05-29,115000,115000,20,3.81,0,0,0
2000-05-30,115000,115000,10,3.81,10,-10,0
2000-05-31,119000,119000,10,3.95,0,0,0
2000-06-01,119000,119000,20,3.95,0,0,0
