Symbol,광동제약_시가(원),광동제약_종가(원),광동제약_거래량(주),광동제약_PER(IFRS-연결),광동제약_순매수수량(개인)(주),광동제약_순매수수량(기관계)(주),광동제약_순매수수량(외국인계)(주)
2000-01-04,1700,2000,1499330,,1070,-230,-2730
2000-01-05,2000,2010,2317440,,-3400,-2850,1250
2000-01-06,2090,1880,1024680,,5250,-5020,0
2000-01-07,1855,2030,2323540,,-38850,25810,3240
2000-01-10,2100,1980,2087780,,-12770,10730,990
2000-01-11,1950,1940,1227850,,810,-3370,660
2000-01-12,1900,1860,1242150,,19070,-18590,-480
2000-01-13,1855,1850,797040,,46300,-34340,-14260
2000-01-14,1850,1790,903550,,11180,-11180,0
2000-01-17,1790,1830,966760,,-3330,730,2600
2000-01-18,1790,1765,767190,,12010,-12530,520
2000-01-19,1750,1660,1024560,,27440,-18080,-7010
2000-01-20,1650,1575,1016900,,8150,9800,2050
2000-01-21,1510,1580,977200,,23560,-14910,-5970
2000-01-24,1555,1565,712030,,-2240,2240,0
2000-01-25,1565,1500,982920,,8060,-7060,-1000
2000-01-26,1500,1500,860380,,-2920,2920,0
2000-01-27,1510,1630,2103960,,2650,-2850,430
2000-01-28,1650,1600,1052480,,16970,-12400,-3650
2000-01-31,1590,1600,943570,,6940,-6940,0
2000-02-01,1610,1605,907440,,3540,-3210,-330
2000-02-02,1630,1670,2222750,,-8170,8170,0
2000-02-03,1750,1700,1410470,,1080,-1080,0
2000-02-07,1740,1675,918470,,4130,-4710,500
2000-02-08,1680,1620,1588070,,-5840,5840,0
2000-02-09,1650,1625,1372430,,-3920,3920,0
2000-02-10,1600,1540,1187910,,42800,-43300,500
2000-02-11,1540,1590,1619070,,-5460,3690,1500
2000-02-14,1585,1500,1168460,,-16350,13850,2500
2000-02-15,1480,1400,1025840,,-13950,10430,3520
2000-02-16,1400,1415,1157620,,-260,-1050,1750
2000-02-17,1365,1460,1752850,,-3940,790,750
2000-02-18,1480,1590,2635630,,12970,-9760,-2250
2000-02-21,1620,1450,1661160,,350,-3100,2750
2000-02-22,1450,1355,1250110,,-3330,2810,0
2000-02-23,1400,1490,2010810,,11130,-6720,-3330
2000-02-24,1430,1420,1098200,,7140,-6360,-780
2000-02-25,1400,1400,1088710,,-5580,8000,-2500
2000-02-28,1400,1435,1556400,,-7040,5540,0
2000-02-29,1425,1430,1158230,,-3800,2050,1750
2000-03-02,1450,1640,3103870,,26580,-19490,-5590
2000-03-03,1800,1570,3668560,,6550,-3070,-3000
2000-03-06,1600,1680,2054550,,19770,-20430,250
2000-03-07,1650,1640,1612540,,-8890,4930,1210
2000-03-08,1595,1610,1428220,,6340,-5820,-520
2000-03-09,1640,1600,1686760,,149770,-19910,-151300
2000-03-10,1615,1610,1706150,,-14910,11780,2250
2000-03-13,1610,1610,0,,0,0,0
2000-03-14,1600,1680,4063820,,31590,-3650,-3500
2000-03-15,1650,1520,1510930,,4850,120,-3410
2000-03-16,1580,1470,1337990,,-9970,9380,0
2000-03-17,1480,1485,1104800,,-2180,2180,0
2000-03-20,1440,1435,1062380,,-32220,8120,24100
2000-03-21,1430,1410,989870,,-4020,4020,0
2000-03-22,1410,1485,2793460,,-1420,1420,0
2000-03-23,1510,1430,1258040,,17080,-16040,0
2000-03-24,1435,1435,1628460,,-9120,9120,0
2000-03-27,1450,1440,1410170,,3110,-3110,0
2000-03-28,1445,1430,1327350,,-2520,8450,0
2000-03-29,1430,1390,1435160,,17990,-16490,-1500
2000-03-30,1380,1340,855750,,-11410,11910,-500
2000-03-31,1325,1330,1106410,,-3930,4430,-500
2000-04-03,1275,1205,1096200,,1150,-1150,0
2000-04-04,1205,1175,1003400,,-21660,20950,710
2000-04-06,1175,1155,699610,,-17190,-2810,20000
2000-04-07,1185,1210,1273860,,120,-120,0
2000-04-10,1200,1230,1220700,,3540,-160,500
2000-04-11,1250,1170,719810,,-1470,1370,0
2000-04-12,1155,1175,947770,,18150,-18250,0
2000-04-14,1170,1155,756860,,4700,-5680,0
2000-04-17,1000,995,1079470,,-30490,22850,7640
2000-04-18,1090,1030,992500,,19750,-19930,280
2000-04-19,1040,1050,1646450,,19210,-15660,-3450
2000-04-20,1030,1025,628280,,2790,-2790,0
2000-04-21,1060,1050,749100,,6820,-5060,-1620
2000-04-24,1030,1035,730270,,-20680,-1280,0
2000-04-25,1025,1035,677360,,-11430,11430,0
2000-04-26,1050,1000,893200,,5130,-6810,980
2000-04-27,990,985,755070,,-162580,12180,2340
2000-04-28,960,1005,789960,,-174990,-10850,-560
2000-05-02,1000,1040,868040,,-107800,-9720,-3020
2000-05-03,1195,1195,271100,,-180,-4100,-5720
2000-05-04,1370,1370,197970,,1790,0,-1790
2000-05-08,1575,1575,109100,,1450,-10,-1440
2000-05-09,1810,1810,11387250,,192210,-150040,-1170
2000-05-10,1810,2080,19085050,,34600,5440,-34750
2000-05-12,2100,2390,10970520,,10070,-2200,-10040
2000-05-15,2640,2100,16844730,,-8660,-1290,7450
2000-05-16,2000,1785,8616430,,-30160,8530,-8670
2000-05-17,1800,1670,12903580,,4150,-1080,-3360
2000-05-18,1570,1420,6088150,,-8370,7610,660
2000-05-19,1430,1400,6126540,,377710,-1910,-375850
2000-05-22,1450,1260,10272110,,-33270,41130,-940
2000-05-23,1200,1180,5930790,,18140,-10000,7740
2000-05-24,1210,1260,7559650,,-9120,-15340,-420
2000-05-25,1260,1380,7072220,,17430,-16630,4200
