Symbol,금호석유_시가(원),금호석유_종가(원),금호석유_거래량(주),금호석유_PER(IFRS-연결),금호석유_순매수수량(개인)(주),금호석유_순매수수량(기관계)(주),금호석유_순매수수량(외국인계)(주)
2000-01-04,4880,5050,127190,2.29,-1430,710,0
2000-01-05,4990,4760,104040,2.16,3400,150,0
2000-01-06,4900,4500,91840,2.04,1290,-1200,0
2000-01-07,4300,4430,87770,2.01,-12930,11930,1000
2000-01-10,4530,4590,104350,2.09,-44740,44240,0
2000-01-11,4570,4330,117420,1.97,29110,5260,-35000
2000-01-12,4200,4070,104320,1.85,1630,-1630,0
2000-01-13,4100,4000,177480,1.82,18350,-19250,0
2000-01-14,4050,4060,79020,1.84,1300,-1300,0
2000-01-17,4070,4070,82850,1.85,-3870,2620,1250
2000-01-18,4150,3950,170270,1.79,2240,-2490,250
2000-01-19,3800,3550,127620,1.61,17880,-14360,-1300
2000-01-20,3600,3345,71430,1.52,-9310,8360,950
2000-01-21,3200,3450,117890,1.57,11320,-7890,-2360
2000-01-24,3550,3520,91280,1.6,-560,560,0
2000-01-25,3450,3500,85290,1.59,2370,-2370,0
2000-01-26,3500,3590,56090,1.63,-1930,1930,0
2000-01-27,3585,3950,132000,1.79,-620,510,200
2000-01-28,4100,3880,105580,1.76,5010,-3900,-750
2000-01-31,3870,4000,184650,1.82,4230,-4230,0
2000-02-01,4200,3940,84820,1.79,10950,-10950,0
2000-02-02,3985,4010,115150,1.82,840,-520,-320
2000-02-03,4050,4070,75960,1.85,3090,-3090,0
2000-02-07,4095,4060,99400,1.84,1710,-1750,0
2000-02-08,4050,3870,77400,1.76,720,-720,0
2000-02-09,3800,3730,82060,1.69,-60,60,0
2000-02-10,3730,3505,81440,1.59,9840,-9840,0
2000-02-11,3330,3380,110600,1.54,-4630,450,0
2000-02-14,3350,3410,150530,1.55,-5040,5040,0
2000-02-15,3580,3275,86540,1.49,-5820,5570,250
2000-02-16,3300,3200,55650,1.45,-980,980,0
2000-02-17,3100,3250,90430,1.48,-2430,1710,0
2000-02-18,3250,3170,225530,1.44,-50450,20810,0
2000-02-21,3010,3030,125720,1.38,-5620,5620,0
2000-02-22,3040,3000,120300,1.36,-51660,1840,0
2000-02-23,3050,3360,172630,1.53,2880,-2840,0
2000-02-24,3250,3120,50520,1.42,610,-360,-250
2000-02-25,3150,3050,97890,1.39,-900,860,0
2000-02-28,3150,3180,112070,1.45,-4240,3240,0
2000-02-29,3250,3105,129200,1.41,3450,-1450,-1000
2000-03-02,3570,3410,174310,1.55,-720,-2530,-750
2000-03-03,3490,3250,153400,1.48,42400,-48820,-3400
2000-03-06,3360,3500,286410,1.59,52890,-52890,0
2000-03-07,3500,3500,243630,1.59,32020,-41800,-420
2000-03-08,3500,3650,634000,1.66,185580,-196380,-200
2000-03-09,3650,3630,435030,1.65,49370,-35160,-22990
2000-03-10,3710,3500,212010,1.59,-23200,3140,0
2000-03-13,3500,3600,325050,1.64,49360,-48430,-800
2000-03-14,4100,3810,474930,1.73,28440,-28640,0
2000-03-15,3810,3530,239520,1.6,-49320,-50,-630
2000-03-16,3700,3490,180540,1.59,-52060,2060,0
2000-03-17,3510,3540,110250,1.61,-4850,5050,0
2000-03-20,3600,3550,170830,1.61,-3590,3060,0
2000-03-21,3650,3435,126260,1.56,-59340,3750,2800
2000-03-22,3585,3760,395970,1.71,-560,500,0
2000-03-23,3750,3670,199980,1.67,2500,-4500,2000
2000-03-24,3670,3655,202880,1.66,-5760,5760,0
2000-03-27,3845,3825,266930,1.74,510,650,-800
2000-03-28,3825,3750,168520,1.7,-17950,5150,1900
2000-03-29,3740,3825,256420,1.74,14160,-9800,-3100
