Symbol,기아차_시가(원),기아차_종가(원),기아차_거래량(주),기아차_PER(IFRS-연결),기아차_순매수수량(개인)(주),기아차_순매수수량(기관계)(주),기아차_순매수수량(외국인계)(주)
2000-01-04,7100,7350,663610,5.4,238970,-28390,-210580
2000-01-05,7100,6950,715550,5.1,61270,-43400,-6700
2000-01-06,7030,6650,395340,4.88,67600,-32660,0
2000-01-07,6700,6500,731560,4.77,352500,-234830,-117570
2000-01-10,6560,6800,1122980,4.99,404970,-303730,-101240
2000-01-11,6850,7400,1175560,5.44,226370,-225120,0
2000-01-12,7400,7200,1675530,5.29,121070,-138950,-2200
2000-01-13,7380,6900,732850,5.07,315370,-315620,250
2000-01-14,6900,7200,880120,5.29,217100,-221640,-460
2000-01-17,8120,7200,1717520,5.29,743980,-712910,-31070
2000-01-18,7880,7800,2673380,5.73,313770,-298210,4240
2000-01-19,7600,7190,677540,5.28,-220,-100,520
2000-01-20,6940,6760,653780,4.97,140000,-10000,-130000
2000-01-21,6600,7000,486810,5.14,27920,-920,3000
2000-01-24,6700,6800,1062230,4.99,218250,-218250,0
2000-01-25,6800,6650,377730,4.88,-12130,-4410,26320
2000-01-26,6800,6600,340790,4.85,21300,-21080,50000
2000-01-27,6800,7000,473890,5.14,49860,-50340,0
2000-01-28,6610,6800,649930,4.99,360960,-200070,-97480
2000-01-31,6690,6720,447610,4.94,0,0,0
2000-02-01,6720,6690,425110,4.91,17380,-100,-5580
2000-02-02,6690,6820,717490,5.01,199080,-150150,-48930
2000-02-03,6850,6800,693620,4.99,-56760,-190,56950
2000-02-07,7000,6870,802470,5.05,255330,-66490,-188840
2000-02-08,6820,6850,1072460,5.03,-257610,-460,258040
2000-02-09,6860,6600,1079710,4.85,412180,-97890,-314290
2000-02-10,6550,6620,688450,4.86,-24570,29720,-4780
2000-02-11,6500,6200,986370,4.55,434020,-140,-433880
2000-02-14,5970,5710,1199930,4.19,525440,-136030,-389410
2000-02-15,6560,6020,3377890,4.42,1454890,-100310,-1364620
2000-02-16,6100,6280,1245110,4.61,145540,-135510,0
2000-02-17,7210,7220,3332310,5.3,521470,-52710,-468760
2000-02-18,7210,6500,2178810,4.77,11590,-180,300
2000-02-21,5720,5530,1500670,4.06,-40040,39280,-940
2000-02-22,5130,5130,2263360,3.77,451630,-40,-451790
2000-02-23,5150,5570,1616570,4.09,15410,-15410,0
2000-02-24,5440,5210,992180,3.83,-2630,-870,3500
2000-02-25,5050,5100,1260020,3.75,125440,-124050,0
2000-02-28,4700,4450,1971250,3.27,854330,-177050,-677280
2000-02-29,4510,4470,1513500,3.28,346540,-112370,-234170
2000-03-02,4470,4470,2434720,3.28,704730,99670,-804900
2000-03-03,4510,4225,2283460,3.1,633030,-54220,-581710
2000-03-06,4225,4855,3400290,3.57,247090,-350220,100830
2000-03-07,5490,5430,3912750,3.99,-340520,-95170,425780
2000-03-08,5000,5320,1829490,3.91,-270160,-10140,280800
2000-03-09,5400,5250,2036230,3.86,65240,-57770,-8800
2000-03-10,5200,5110,1599030,3.75,-302380,-61120,370770
2000-03-13,5600,5380,3048970,3.95,-207690,-390850,548700
2000-03-14,5400,5410,1539160,3.97,-337120,-107700,446020
2000-03-15,5210,5170,1064900,3.8,-339990,-99240,439230
2000-03-16,5250,5200,1085560,3.82,-416570,-37370,443900
2000-03-17,5250,5240,919190,3.85,-168430,-46540,0
2000-03-20,5190,5240,758120,3.85,-403520,-110,353520
2000-03-21,5140,5100,933320,3.75,-406980,-101060,508040
2000-03-22,5110,5290,1388860,3.89,-391630,-200200,470520
2000-03-23,5290,5430,1314260,3.99,-426310,-540,251850
2000-03-24,5380,5430,977870,3.99,-151780,-195450,217750
2000-03-27,5200,5290,854580,3.89,-286980,-20150,197150
2000-03-28,5200,5260,1107800,3.86,-446150,-169840,87700
2000-03-29,5220,5200,949500,3.82,-122420,-45470,-100200
2000-03-30,5150,5000,1909210,3.67,-287910,-144230,860
2000-03-31,5100,5000,743900,3.67,-139300,-218640,129170
2000-04-03,5000,5000,799130,3.67,-428860,-107340,323640
2000-04-04,5000,5000,1000930,3.67,-317960,-349180,252640
2000-04-06,4980,5000,649500,3.67,-394640,-103090,270220
2000-04-07,4950,4880,441030,3.58,12230,-72440,60020
2000-04-10,4800,4950,1300350,3.64,133850,-17080,-115870
2000-04-11,4990,4945,621910,3.63,-457390,-5620,127700
2000-04-12,4900,5040,719090,3.7,-544940,-3630,370570
2000-04-14,4910,5010,475970,3.68,-254670,-40160,77420
2000-04-17,4710,4900,1383050,3.6,-567970,-480040,555010
2000-04-18,5040,5090,882210,3.74,-410970,-100960,323230
2000-04-19,5150,5200,1402960,3.82,-227360,-277350,451630
2000-04-20,5300,5380,915280,3.95,-128410,-292490,208880
2000-04-21,5400,5600,1251390,4.11,-396740,-3890,310500
2000-04-24,5600,5390,568320,3.96,-96520,-41620,142140
2000-04-25,5300,5460,694380,4.01,-293310,-54430,100000
2000-04-26,5350,5300,1632280,3.89,-31560,-343120,-18140
2000-04-27,5020,4900,554170,3.6,-224950,-850,0
2000-04-28,4920,5040,445100,3.7,-105810,-43090,0
2000-05-02,4975,5580,1164100,4.1,-930100,-70040,0
2000-05-03,5500,6000,2183690,4.41,-1301660,-398170,0
2000-05-04,6150,6200,2162410,4.55,-659740,-28570,-803040
2000-05-08,6300,6150,2154380,4.52,-410770,-3390,-578000
2000-05-09,6000,6100,814930,4.48,-481380,-8460,-150000
2000-05-10,5820,6190,2917130,4.55,-403420,-52500,-505000
2000-05-12,5750,6000,715560,4.41,-174140,-53160,-150030
2000-05-15,5950,5740,327200,4.22,-206930,-3070,0
2000-05-16,5650,5620,305900,4.13,-129870,-10130,0
2000-05-17,5450,5650,1070880,4.15,-329880,-74720,-500000
2000-05-18,5890,5980,471420,4.39,-264880,-30120,100000
2000-05-19,5740,6000,3041730,4.41,-512280,-355040,-2000100
2000-05-22,5910,5500,297170,4.04,45180,-45180,0
2000-05-23,5300,5100,559930,3.75,57730,-326880,0
2000-05-24,5000,5200,334110,3.82,-128600,-52580,73310
2000-05-25,5450,5800,923270,4.26,-303690,-495120,246690
2000-05-26,6100,5600,809410,4.11,-503060,-86600,41660
2000-05-29,5100,5800,899160,4.26,-279470,-283680,156170
2000-05-30,5800,6400,2913100,4.7,-1420910,-500190,-471990
2000-05-31,6500,6180,7385500,4.54,35810,-307920,-2390050
2000-06-01,5980,5820,1531640,4.27,-105270,-12570,0
2000-06-02,5900,6000,2363930,4.41,93400,-300580,-232820
2000-06-05,6100,6080,1461360,4.47,-45940,-160170,-4000
2000-06-07,6040,6050,937500,4.44,-448900,-11900,0
2000-06-08,5950,6050,866940,4.44,-523620,-88380,0
2000-06-09,5850,5900,1805540,4.33,315200,-780840,-450
2000-06-12,5900,6150,1926380,4.52,116060,-122580,20
2000-06-13,6090,6000,655050,4.41,-307180,103010,0
2000-06-14,5870,6100,597660,4.48,-252660,-62300,0
2000-06-15,6000,5900,624270,4.33,-41300,-308700,0
2000-06-16,5700,5900,683000,4.33,-208780,-265220,0
2000-06-19,5760,5700,350860,4.19,-165840,102630,0
2000-06-20,5950,6000,602230,4.41,-156470,-129530,0
2000-06-21,5900,6240,3618340,4.58,-621360,-279880,-840210
2000-06-22,6150,6000,501170,4.41,-46680,43430,0
2000-06-23,6000,6030,255680,4.43,-1780,1780,0
2000-06-26,6200,6350,793480,4.66,-359780,8110,350000
2000-06-27,6450,6350,463590,4.66,-295410,120120,0
2000-06-28,6250,6300,436960,4.63,-236620,66240,2000
2000-06-29,6200,6250,864020,4.59,-281240,-347040,397980
2000-06-30,6100,6400,573850,4.7,-451820,113960,210000
2000-07-03,6250,6410,561580,4.71,-292160,90900,40830
2000-07-04,6410,6410,361650,4.71,-185900,-24510,119020
2000-07-05,6410,6590,919210,4.84,-308520,25770,173080
2000-07-06,6550,6860,1143090,5.04,-75820,-382240,179400
2000-07-07,7000,7050,1159210,5.18,-355460,-111410,245070
2000-07-10,7000,7050,719590,5.18,-89630,-52300,73890
2000-07-11,7050,6960,446110,5.11,-158240,-45980,5200
2000-07-12,6900,7060,373080,5.19,-208990,104210,50000
2000-07-13,7050,7060,485330,5.19,-135710,-131880,107910
2000-07-14,7150,7100,399900,5.21,-118280,-54750,70300
2000-07-18,7100,7100,340400,5.21,-179030,-2430,80200
2000-07-19,7000,7100,497390,5.21,-391230,183750,201140
2000-07-20,7010,7090,555950,5.21,-248700,99470,148280
2000-07-21,7180,7100,304920,5.21,-71150,28890,47420
2000-07-24,6910,6810,267190,5,-203390,166560,33760
2000-07-25,6700,6940,536440,5.1,-322900,247710,141320
2000-07-26,6850,6940,586770,5.1,-137430,-175800,220000
2000-07-27,6900,7120,435420,5.23,-279940,97280,183940
2000-07-28,7010,7150,600690,5.25,-410930,149790,245660
2000-07-31,7150,7200,783360,5.29,-89270,-84710,157000
2000-08-01,7250,7180,688130,5.27,105070,-339180,252180
2000-08-02,7180,7170,437450,5.27,-105230,-57320,158680
2000-08-03,7010,7160,482880,5.26,-91990,-239350,350000
2000-08-04,7100,6990,317350,5.13,13790,-108500,70000
2000-08-07,6810,6890,241580,5.06,-46420,-48340,95760
2000-08-08,6720,7070,359920,5.19,-205340,-2740,187690
2000-08-09,7150,7450,982030,5.47,-166110,110920,41000
2000-08-10,7500,7500,909180,5.51,73850,-164340,95640
2000-08-11,7110,7120,558360,5.23,186580,-184840,-1500
2000-08-14,7440,7400,603580,5.44,-374400,117950,255280
2000-08-16,7200,7350,293550,5.4,-218560,188520,28170
2000-08-17,7300,7290,620910,5.35,134300,-141720,6000
2000-08-18,7340,7070,293940,5.19,142690,-142920,4100
2000-08-21,7000,6910,211680,5.08,52670,-62670,10000
2000-08-22,6990,7170,307000,5.27,-253560,227060,14890
2000-08-23,7290,6930,377920,5.09,182070,-233400,64230
2000-08-24,6860,6900,362930,5.07,-2040,10380,-9630
2000-08-25,7000,6910,314600,5.08,1410,144140,-150000
2000-08-28,6850,6920,397730,5.08,-236050,255790,-33650
2000-08-29,7120,7000,397630,5.14,-37830,172430,-140200
2000-08-30,7000,6900,206900,5.07,56460,-137590,85000
2000-08-31,6810,6750,676380,4.96,74120,-281340,219790
2000-09-01,6600,6800,264530,4.99,-116210,67190,-2300
2000-09-04,7000,6600,276330,4.85,65010,-114660,13910
2000-09-05,6610,6660,394710,4.89,-129410,231930,-173940
2000-09-06,6650,6600,320670,4.85,270,43630,-43860
2000-09-07,6500,5950,1015530,4.37,350650,-221300,-328110
2000-09-08,5720,6050,522560,4.44,-112910,-195700,175650
2000-09-14,6050,5810,1309510,4.27,440180,-416720,-282890
2000-09-15,5780,6380,1026490,4.69,-380210,169390,84260
2000-09-18,6300,6800,1147400,4.99,-611650,-7030,476160
2000-09-19,6250,6800,951140,4.99,-272340,-172420,449690
2000-09-20,7470,7450,4410030,5.47,112960,-741170,633300
2000-09-21,7790,6700,2071350,4.92,663140,-199950,-454280
2000-09-22,6510,5970,1017540,4.38,112310,45680,-158800
2000-09-25,5700,6020,623930,4.42,-105800,100950,4750
2000-09-26,5810,5880,538480,4.32,-17980,13000,-5750
2000-09-27,5810,5900,418120,4.33,-78410,76480,0
2000-09-28,5910,5920,418050,4.35,56420,-19220,-30000
2000-09-29,6000,6100,415650,4.48,-12320,-68380,83500
2000-10-02,5950,5860,203990,4.3,33440,-32940,0
2000-10-04,5820,6100,368570,4.48,-221730,191870,12130
2000-10-05,6100,5990,371190,4.4,16800,-3540,480
2000-10-06,5920,6080,280050,4.47,-178730,170850,0
2000-10-09,6010,5840,333880,4.29,163350,-154610,-960
2000-10-10,5810,5900,159190,4.33,-29790,30290,-600
2000-10-11,5900,5870,261570,4.31,-170350,78500,91850
2000-10-12,5750,5420,691900,3.98,118660,-68280,-52350
2000-10-13,5350,5900,881420,4.33,-368440,357670,-1990
2000-10-16,6190,5910,484790,4.34,101710,-136700,46000
2000-10-17,5820,5800,310450,4.26,-172140,173390,-7160
2000-10-18,5800,5840,450440,4.29,-50520,12750,39840
2000-10-19,5720,5670,365870,4.16,112340,-55830,-49130
2000-10-20,5710,5900,581850,4.33,-238890,196520,39540
2000-10-23,5800,5850,347970,4.3,-57480,44240,11990
2000-10-24,5760,6000,325310,4.41,-162520,154890,1920
2000-10-25,6100,5800,359270,4.26,190500,-180800,-1920
2000-10-26,5850,5840,191110,4.29,-27900,27800,0
