Symbol,기업은행_시가(원),기업은행_종가(원),기업은행_거래량(주),기업은행_PER(IFRS-연결),기업은행_순매수수량(개인)(주),기업은행_순매수수량(기관계)(주),기업은행_순매수수량(외국인계)(주)
2000-01-04,4730,5100,46949,13.18,0,0,0
2000-01-05,5090,4950,46050,12.79,-1000,1000,0
2000-01-06,4950,4800,48885,12.4,3607,-3607,0
2000-01-07,4960,4950,92470,12.79,10750,-10750,0
2000-01-10,4990,5450,125887,14.08,0,0,0
2000-01-11,5650,5280,83988,13.64,0,0,0
2000-01-12,5100,5100,60517,13.18,0,0,0
2000-01-13,5380,5600,241947,14.47,0,0,0
2000-01-14,5700,6050,307170,15.63,-200,0,0
2000-01-17,6100,5900,216705,15.24,-2000,0,0
2000-01-18,5900,5380,119037,13.9,-600,0,0
2000-01-19,5350,4900,102396,12.66,0,0,0
2000-01-20,4900,4690,53393,12.12,0,0,0
2000-01-21,4800,4900,40567,12.66,-4400,0,0
2000-01-24,4910,5000,72432,12.92,0,0,0
2000-01-25,5200,4940,34178,12.76,0,0,0
2000-01-26,5000,4850,28104,12.53,0,0,0
2000-01-27,4800,5160,44982,13.33,-4000,0,0
2000-01-28,5150,4970,46603,12.84,-100,0,0
2000-01-31,4880,4950,50292,12.79,0,0,0
2000-02-01,5060,5000,61451,12.92,0,0,0
2000-02-02,5000,5000,70511,12.92,0,0,0
2000-02-03,5000,5000,71237,12.92,1000,0,0
2000-02-07,5000,5080,123677,13.13,0,0,0
2000-02-08,5030,4990,85387,12.89,0,0,0
2000-02-09,5000,4900,60026,12.66,2500,0,0
2000-02-10,4850,4780,57864,12.35,0,0,0
2000-02-11,4780,4400,129095,11.37,50333,-60333,0
2000-02-14,4300,4290,67949,11.08,0,0,0
2000-02-15,4280,4140,59865,10.7,0,0,0
2000-02-16,4100,4070,29792,10.51,0,0,0
2000-02-17,4080,4050,35830,10.46,1000,-1000,0
2000-02-18,4150,4070,60117,10.51,0,0,0
2000-02-21,4070,3760,47478,9.71,0,0,0
2000-02-22,3700,3570,40577,9.22,0,0,0
2000-02-23,3490,3990,83347,10.31,0,0,0
2000-02-24,4100,3800,46542,9.82,0,0,0
2000-02-25,3800,3710,57560,9.59,-1819,0,0
2000-02-28,3750,3620,31503,9.35,0,0,0
2000-02-29,3700,3680,64824,9.51,0,0,0
2000-03-02,3680,3750,79405,9.69,98,0,0
2000-03-03,3750,3560,58373,9.2,0,0,0
2000-03-06,3590,3790,86011,9.79,0,0,0
2000-03-07,3750,4060,180826,10.49,0,0,0
2000-03-08,4100,3990,130446,10.31,-100,0,0
2000-03-09,4000,3900,102681,10.08,-60,0,150
2000-03-10,3840,3860,79493,9.97,0,0,0
2000-03-13,3800,3720,58285,9.61,0,0,0
2000-03-14,3720,3750,62114,9.69,-2510,0,0
2000-03-15,3800,3650,46151,9.43,-518,0,-1
2000-03-16,3720,3670,66300,9.48,149,0,-149
2000-03-17,3750,3770,57234,9.74,-40,0,0
2000-03-20,3790,3670,33620,9.48,0,0,0
2000-03-21,3790,3590,34774,9.28,0,0,0
2000-03-22,3590,3720,96882,9.61,50,0,0
2000-03-23,3620,3560,64385,9.2,-100,0,0
2000-03-24,3560,3520,53283,9.09,0,0,0
2000-03-27,3450,3530,19990,9.12,0,0,0
2000-03-28,3530,3590,48075,9.28,0,0,0
2000-03-29,3590,3550,51484,9.17,-200,0,0
2000-03-30,3530,3420,59285,8.84,0,0,0
2000-03-31,3500,3320,35286,8.58,0,0,0
2000-04-03,3270,3130,34383,8.09,0,0,0
2000-04-04,3180,3210,67121,8.29,0,0,0
2000-04-06,3210,3120,27575,8.06,0,0,0
2000-04-07,3070,3200,38454,8.27,0,0,0
2000-04-10,3150,3240,65335,8.37,0,0,0
2000-04-11,3240,3180,40757,8.22,0,0,0
