Symbol,남양유업_시가(원),남양유업_종가(원),남양유업_거래량(주),남양유업_PER(IFRS-연결),남양유업_순매수수량(개인)(주),남양유업_순매수수량(기관계)(주),남양유업_순매수수량(외국인계)(주)
2000-01-04,218000,218000,910,2.84,-60,0,60
2000-01-05,215000,210000,60,2.73,-40,-20,60
2000-01-06,210000,210000,0,2.73,0,0,0
2000-01-07,213000,210000,160,2.73,-150,0,150
2000-01-10,213000,213000,0,2.77,0,0,0
2000-01-11,213000,213000,80,2.77,-80,0,80
2000-01-12,213000,213000,0,2.77,0,0,0
2000-01-13,220000,244500,470,3.18,-340,340,0
2000-01-14,249000,242000,260,3.15,-200,60,140
2000-01-17,242000,242000,0,3.15,0,0,0
2000-01-18,225000,225000,50,2.93,0,0,0
2000-01-19,225000,225000,610,2.93,400,-400,0
2000-01-20,210000,210000,30,2.73,-30,0,30
2000-01-21,210000,210000,0,2.73,0,0,0
2000-01-24,210500,210000,140,2.73,-130,0,130
2000-01-25,213000,213000,0,2.77,0,0,0
2000-01-26,212000,235000,70,3.06,0,0,0
2000-01-27,235000,235000,10,3.06,0,0,0
2000-01-28,211500,235000,110,3.06,0,0,0
2000-01-31,210000,225000,250,2.93,-100,0,100
2000-02-01,225000,225000,10,2.93,0,0,0
2000-02-02,225000,235000,180,3.06,0,0,0
2000-02-03,230000,230000,120,2.99,0,0,0
2000-02-07,214000,216000,110,2.81,70,0,-70
2000-02-08,216500,227500,60,2.96,10,-10,0
2000-02-09,227000,230000,170,2.99,0,0,0
2000-02-10,220000,240000,370,3.12,80,-70,-10
2000-02-11,240000,240000,40,3.12,0,0,0
2000-02-14,250000,230000,1660,2.99,10,0,-10
2000-02-15,220000,212500,30,2.76,10,-10,0
2000-02-16,220000,210000,290,2.73,270,-110,-160
2000-02-17,220000,213000,40,2.77,0,0,0
2000-02-18,216000,215000,120,2.8,120,-120,0
2000-02-21,215000,212000,50,2.76,0,0,0
2000-02-22,210000,214000,100,2.78,50,-50,0
2000-02-23,230000,235000,20,3.06,0,0,0
2000-02-24,215000,235000,570,3.06,510,-490,-20
2000-02-25,215000,216500,330,2.82,230,-230,0
2000-02-28,216500,215000,110,2.8,0,0,0
2000-02-29,215000,215000,840,2.8,20,-20,0
2000-03-02,217000,220000,70,2.86,0,0,0
2000-03-03,217000,215000,630,2.8,0,0,0
2000-03-06,216500,216000,50,2.81,0,0,0
2000-03-07,215000,210500,1080,2.74,160,-250,90
2000-03-08,210000,210000,2430,2.73,340,-900,1830
2000-03-09,210500,210000,1400,2.73,70,-820,1050
2000-03-10,215000,211000,830,2.74,100,0,-100
2000-03-13,211000,213000,480,2.77,200,0,-200
2000-03-14,221000,220000,280,2.86,200,0,-200
2000-03-15,221000,223000,620,2.9,-150,150,0
2000-03-16,230000,215500,90,2.8,10,0,-10
2000-03-17,216000,220000,610,2.86,10,-10,0
2000-03-20,227000,217000,1130,2.82,500,-500,0
2000-03-21,215000,219000,270,2.85,-150,0,150
2000-03-22,223000,230000,3330,2.99,30,-1980,1950
2000-03-23,245000,230000,410,2.99,-160,0,160
2000-03-24,232000,255000,610,3.32,-180,0,180
2000-03-27,250000,252000,70,3.28,-30,0,30
2000-03-28,251000,248000,90,3.23,-50,0,50
2000-03-29,250000,270000,720,3.51,50,-200,150
2000-03-30,280500,310000,870,4.03,-240,0,240
2000-03-31,330000,356500,910,4.64,440,-440,0
2000-04-03,350000,303500,1040,3.95,280,0,-280
2000-04-04,260500,258000,1140,3.36,170,210,-380
2000-04-06,275500,290000,1160,3.77,-80,0,80
2000-04-07,291000,293000,680,3.81,200,0,-200
2000-04-10,309000,291500,730,3.79,-500,0,500
2000-04-11,290000,298000,1020,3.88,-270,-210,480
2000-04-12,304000,298000,160,3.88,-20,0,20
2000-04-14,290000,290000,50,3.77,-40,0,40
2000-04-17,246500,246500,400,3.21,270,0,-270
2000-04-18,251000,249000,460,3.24,0,0,0
2000-04-19,254000,256000,60,3.33,0,0,0
2000-04-20,219000,249500,250,3.24,70,-70,0
2000-04-21,250000,260000,800,3.38,290,-10,-280
2000-04-24,255000,258000,40,3.36,0,0,0
2000-04-25,257000,252000,420,3.28,100,-100,0
2000-04-26,257000,249000,430,3.24,-290,80,210
2000-04-27,250000,259000,330,3.37,-70,0,70
2000-04-28,240000,259500,50,3.37,0,0,0
2000-05-02,265000,298000,230,3.88,-10,10,0
2000-05-03,261000,290000,100,3.77,-10,10,0
2000-05-04,270000,278500,650,3.62,-60,0,60
2000-05-08,277000,272000,210,3.54,-10,0,10
2000-05-09,280000,274000,110,3.56,20,-20,0
2000-05-10,275000,273500,110,3.56,0,0,0
2000-05-12,270000,275000,70,3.58,-20,0,20
2000-05-15,270500,271000,630,3.52,-160,-140,300
2000-05-16,280000,280000,160,3.64,0,0,0
2000-05-17,270000,270000,250,3.51,160,0,-160
2000-05-18,242000,272000,190,3.54,-20,0,20
2000-05-19,261500,262000,300,3.41,-20,120,-100
2000-05-22,273000,280000,320,3.64,-240,0,240
2000-05-23,280500,290000,170,3.77,-140,0,140
2000-05-24,290000,281000,110,3.65,0,0,0
2000-05-25,275000,272500,120,3.54,-50,50,0
2000-05-26,273000,271000,30,3.52,0,0,0
2000-05-29,270000,270000,290,3.51,40,-250,210
2000-05-30,270500,272000,150,3.54,-10,10,0
2000-05-31,272000,275000,230,3.58,10,-10,0
2000-06-01,271000,275000,190,3.58,50,-50,0
2000-06-02,275000,275000,140,3.58,-80,10,70
2000-06-05,276000,275000,620,3.58,110,-60,10
2000-06-07,275500,281000,660,3.65,160,-280,120
2000-06-08,282000,244000,3700,3.17,2510,-2900,60
2000-06-09,259500,257000,1440,3.34,-80,80,0
2000-06-12,261000,260000,690,3.38,-120,120,0
2000-06-13,247000,255000,260,3.32,0,0,0
2000-06-14,255000,251000,340,3.26,0,0,0
2000-06-15,250000,249000,150,3.24,0,0,0
2000-06-16,249000,250000,120,3.25,-80,80,0
2000-06-19,235000,252000,340,3.28,-170,0,0
2000-06-20,259000,250000,30,3.25,0,0,0
2000-06-21,252000,255000,100,3.32,0,0,0
2000-06-22,257000,250000,110,3.25,0,0,0
2000-06-23,251000,251000,60,3.26,0,0,0
2000-06-26,255000,244500,340,3.18,-50,50,0
