Symbol,남해화학_시가(원),남해화학_종가(원),남해화학_거래량(주),남해화학_PER(IFRS-연결),남해화학_순매수수량(개인)(주),남해화학_순매수수량(기관계)(주),남해화학_순매수수량(외국인계)(주)
2000-01-04,24850,26500,108000,4.84,90,-1490,1040
2000-01-05,27400,24700,89670,4.51,12600,-13700,1100
2000-01-06,25500,23450,89900,4.28,2310,-3290,1020
2000-01-07,23000,23300,81050,4.25,8690,-9990,1300
2000-01-10,24100,23200,81990,4.23,10700,-1690,-9190
2000-01-11,23500,23350,76670,4.26,2280,-3280,720
2000-01-12,23100,23000,58440,4.2,-4370,4370,0
2000-01-13,22700,22900,86870,4.18,-19730,21640,-2110
2000-01-14,22900,22500,46900,4.11,-5760,5410,350
2000-01-17,22700,22200,76720,4.05,18410,-9230,-9180
2000-01-18,21800,21400,71860,3.91,5330,-4630,-700
2000-01-19,21200,19550,107450,3.57,11510,-10180,-250
2000-01-20,18950,18400,74170,3.36,-3770,1790,1480
2000-01-21,17400,19500,246760,3.56,37010,-30690,-580
2000-01-24,19500,18800,115030,3.43,24910,-24880,300
2000-01-25,18800,18900,114810,3.45,-13100,-11900,25000
2000-01-26,18400,18700,89260,3.41,9440,-9440,0
2000-01-27,18400,20300,402830,3.71,24780,-28820,1430
2000-01-28,21000,20200,184070,3.69,2150,-2520,-470
2000-01-31,19900,19800,110030,3.61,25970,-7690,-18280
2000-02-01,20700,19900,123000,3.63,25200,-4700,-21000
2000-02-02,19600,20400,111330,3.72,-10270,10270,0
2000-02-03,21000,22400,427470,4.09,26780,-27780,0
2000-02-07,22600,22100,154900,4.03,2850,-3830,1460
2000-02-08,22500,21300,133330,3.89,-3130,1990,1140
2000-02-09,21300,20700,129750,3.78,18460,-1120,-18340
2000-02-10,20650,21000,189320,3.83,14600,-13470,0
2000-02-11,22300,20850,285500,3.81,14900,-13020,0
2000-02-14,21400,20000,252270,3.65,13670,-9270,-4400
2000-02-15,20500,19500,151650,3.56,14070,-15710,640
2000-02-16,19100,18950,118230,3.46,10770,1130,-11800
2000-02-17,18600,18900,114850,3.45,-1790,490,720
2000-02-18,19000,18700,127160,3.41,16830,-13550,-3000
2000-02-21,18500,17600,103980,3.21,800,-900,100
2000-02-22,17000,16650,127570,3.04,11500,1640,-13030
2000-02-23,17000,18000,195270,3.29,19560,-4260,-280
2000-02-24,17200,16800,140270,3.07,25010,-29350,4340
2000-02-25,16800,17000,150320,3.1,39130,-41250,1800
2000-02-28,16700,17250,161990,3.15,-8960,4460,4500
2000-02-29,18000,17450,115480,3.19,-440,-2260,2700
2000-03-02,17200,17700,214490,3.23,42740,-49880,5940
2000-03-03,17800,19000,500240,3.47,3400,19660,-21620
2000-03-06,21850,21850,98720,3.99,5760,-5760,0
2000-03-07,25100,21800,843950,3.98,16200,-15990,-170
2000-03-08,20600,20900,285000,3.81,22120,-31010,-120
2000-03-09,21300,20550,420280,3.75,126830,-93980,-25690
2000-03-10,21000,20850,290080,3.81,-1840,1840,0
2000-03-13,21000,22300,503640,4.07,4610,-2790,-2760
2000-03-14,21900,20700,199070,3.78,-2060,1300,820
2000-03-15,20100,20000,151190,3.65,2390,-640,-1230
2000-03-16,20500,19900,118790,3.63,-5680,4680,720
2000-03-17,20400,20000,140830,3.65,-5310,4720,1080
2000-03-20,20500,21400,321860,3.91,-5150,3550,820
2000-03-21,22400,21850,568600,3.99,44820,-46370,0
2000-03-22,22350,22900,397000,4.18,34970,1170,-36610
2000-03-23,22600,21800,287530,3.98,-24010,22850,-540
2000-03-24,21100,21700,186400,3.96,-30190,32200,0
2000-03-27,21700,21800,156360,3.98,-19770,19910,0
2000-03-28,21500,21300,117800,3.89,-5550,5310,540
2000-03-29,20900,20250,146180,3.7,19520,-19120,20
2000-03-30,20100,20800,167310,3.8,-28200,28910,370
2000-03-31,20300,20500,83590,3.74,-25590,27050,-1460
2000-04-03,22100,21650,475370,3.95,-57640,52060,5630
2000-04-04,21500,20600,149450,3.76,-17760,24700,-7840
2000-04-06,20600,20100,107100,3.67,-11160,10850,740
2000-04-07,20100,20500,97090,3.74,-25520,24440,740
2000-04-10,22550,23550,501560,4.3,-27620,28820,0
2000-04-11,24900,23750,1308960,4.34,-29220,37190,-200
2000-04-12,22800,22800,304040,4.16,-13900,14600,0
2000-04-14,22100,23300,318220,4.25,-13830,13890,0
2000-04-17,20100,20000,397220,3.65,-31680,27530,1780
2000-04-18,21600,21000,255270,3.83,6370,-4850,-1280
2000-04-19,21000,21000,200640,3.83,-32630,30350,-1760
