Symbol,넥센타이어_시가(원),넥센타이어_종가(원),넥센타이어_거래량(주),넥센타이어_PER(IFRS-연결),넥센타이어_순매수수량(개인)(주),넥센타이어_순매수수량(기관계)(주),넥센타이어_순매수수량(외국인계)(주)
2000-01-04,6200,6400,5320,0.37,10,-10,0
2000-01-05,6410,6800,9120,0.4,0,0,0
2000-01-06,7000,6310,2840,0.37,0,0,0
2000-01-07,6110,6500,8100,0.38,0,0,0
2000-01-10,6800,6800,10050,0.4,0,0,0
2000-01-11,7150,7820,51880,0.46,0,0,0
2000-01-12,8000,7490,37130,0.44,0,0,0
2000-01-13,8610,7800,98920,0.46,0,0,0
2000-01-14,7500,7300,33420,0.43,-200,0,0
2000-01-17,7000,7040,20310,0.41,0,0,0
2000-01-18,7000,6720,17490,0.39,0,0,0
2000-01-19,7400,6850,12610,0.4,0,0,0
2000-01-20,6510,6600,14040,0.39,10,-10,0
2000-01-21,6580,6700,17330,0.39,0,0,0
2000-01-24,6300,6800,10860,0.4,0,0,0
2000-01-25,6500,6410,8990,0.37,0,0,0
2000-01-26,6220,6210,12780,0.36,7030,-7030,0
2000-01-27,6220,6400,9430,0.37,0,0,0
2000-01-28,6360,6530,11150,0.38,0,0,0
2000-01-31,6680,6800,8930,0.4,0,0,0
2000-02-01,6800,7100,10450,0.41,0,0,0
2000-02-02,6800,7200,8600,0.42,0,0,0
2000-02-03,7250,7300,19130,0.43,370,0,0
2000-02-07,7350,7430,20280,0.43,0,0,0
2000-02-08,7550,8100,35760,0.47,10,-10,0
2000-02-09,8100,7410,14490,0.43,0,0,0
2000-02-10,7800,7350,13820,0.43,0,0,0
2000-02-11,7150,7500,20740,0.44,50,-50,0
2000-02-14,7350,7300,15380,0.43,0,0,0
2000-02-15,7110,7300,8840,0.43,0,0,0
2000-02-16,7150,7600,20050,0.44,0,0,0
2000-02-17,7600,7800,11230,0.46,0,0,0
2000-02-18,8970,7000,301770,0.41,-10450,0,0
2000-02-21,6500,6240,60120,0.36,0,0,0
2000-02-22,6690,5400,56950,0.32,10450,0,0
2000-02-23,5400,5500,24460,0.32,0,0,0
2000-02-24,5700,5400,33080,0.32,10,-10,0
2000-02-25,6200,6100,71840,0.36,0,0,0
2000-02-28,6100,5800,26490,0.34,0,0,0
2000-02-29,5900,5800,30260,0.34,0,0,0
2000-03-02,6000,5800,45300,0.34,0,0,0
2000-03-03,5600,5700,32440,0.33,0,0,0
2000-03-06,5700,5900,51810,0.34,0,0,0
2000-03-07,6100,5750,19480,0.34,-200,0,0
2000-03-08,5850,5800,17540,0.34,0,0,0
2000-03-09,5890,5800,26370,0.34,0,0,0
2000-03-10,5800,5800,26860,0.34,0,0,0
2000-03-13,6000,6400,108060,0.37,20,-20,0
2000-03-14,6640,5920,42170,0.35,0,0,0
2000-03-15,6100,5750,21770,0.34,100,0,0
2000-03-16,5950,5880,28330,0.34,10,-10,0
2000-03-17,5870,5900,23940,0.34,0,0,0
2000-03-20,6000,5780,25560,0.34,10,-10,0
2000-03-21,5750,5670,15580,0.33,0,0,0
2000-03-22,5580,5590,16570,0.33,0,0,0
2000-03-23,5710,5760,38120,0.34,0,0,0
2000-03-24,5600,5790,37710,0.34,10,-10,0
2000-03-27,5890,5730,29630,0.33,30,-30,0
2000-03-28,5790,5720,25910,0.33,30,-30,0
2000-03-29,5630,5550,28650,0.32,0,0,0
2000-03-30,5550,5220,28610,0.31,0,0,0
2000-03-31,4880,5300,19920,0.31,0,0,0
2000-04-03,5090,5050,23540,0.3,0,0,0
2000-04-04,5200,5000,19670,0.29,0,0,0
2000-04-06,5100,5350,26370,0.31,0,0,0
2000-04-07,5100,5110,24120,0.3,0,0,0
2000-04-10,5050,5470,41570,0.32,-50,0,0
2000-04-11,5200,5010,9750,0.29,0,0,0
2000-04-12,5150,4900,12940,0.29,0,0,0
2000-04-14,4580,4720,10050,0.28,0,0,0
2000-04-17,4600,4100,32680,0.24,0,0,0
2000-04-18,4310,4500,27690,0.26,0,0,0
2000-04-19,4500,4700,29500,0.27,50,0,0
2000-04-20,4700,4700,9300,0.27,0,0,0
2000-04-21,4710,4750,10460,0.28,50,-50,0
2000-04-24,4850,5000,36000,0.29,0,0,0
2000-04-25,5000,5080,17980,0.3,100,0,0
2000-04-26,5150,5000,8310,0.29,0,0,0
2000-04-27,4900,4900,15280,0.29,0,0,0
2000-04-28,5000,4840,18190,0.28,0,0,0
2000-05-02,4600,4840,16010,0.28,10,-10,0
2000-05-03,4710,4610,13690,0.27,0,0,0
2000-05-04,4250,4640,12020,0.27,0,0,0
2000-05-08,4740,4630,10660,0.27,0,0,0
2000-05-09,4650,4520,9040,0.26,0,0,0
2000-05-10,4600,4550,6290,0.27,0,0,0
2000-05-12,4450,4450,8660,0.26,10,-10,0
2000-05-15,4550,4200,9060,0.25,0,0,0
2000-05-16,4445,4120,12220,0.24,0,0,0
2000-05-17,4100,3505,13030,0.21,0,0,0
2000-05-18,3600,3400,15800,0.2,0,0,0
2000-05-19,3405,3470,8810,0.2,0,0,0
2000-05-22,3300,3060,14370,0.18,0,0,0
2000-05-23,3200,3000,6010,0.18,0,0,0
2000-05-24,2900,3100,7340,0.18,0,0,0
2000-05-25,3180,3360,29000,0.2,0,0,0
2000-05-26,3600,3390,28040,0.2,-120,0,0
2000-05-29,3010,3260,5120,0.19,0,0,0
2000-05-30,3270,3325,10270,0.19,0,0,0
2000-05-31,3265,3720,14450,0.22,0,0,0
2000-06-01,3460,3450,6850,0.2,0,0,0
2000-06-02,3400,3635,12620,0.21,120,0,0
2000-06-05,3645,4000,32510,0.23,0,0,0
2000-06-07,3900,3900,15520,0.23,0,0,0
2000-06-08,3900,3600,13960,0.21,0,0,0
2000-06-09,3660,3550,17540,0.21,10,-10,0
2000-06-12,3795,3550,16280,0.21,10,-10,0
2000-06-13,3650,3400,16000,0.2,0,0,0
2000-06-14,3400,3370,5920,0.2,10,-10,0
2000-06-15,3595,3210,11900,0.19,0,0,0
2000-06-16,3100,3260,7380,0.19,0,0,0
2000-06-19,3160,3700,75060,0.22,0,0,0
2000-06-20,3720,3910,155050,0.23,0,0,0
2000-06-21,3860,3700,33100,0.22,0,0,0
2000-06-22,3950,3600,22020,0.21,0,0,0
2000-06-23,3505,3610,13850,0.21,0,0,0
2000-06-26,3610,3895,32400,0.23,-5100,0,0
2000-06-27,4085,3900,25790,0.23,-10000,0,0
2000-06-28,4000,3910,28360,0.23,-10000,0,0
2000-06-29,3910,3920,10150,0.23,0,0,0
2000-06-30,3930,3950,15970,0.23,-5000,0,0
2000-07-03,3955,4200,25670,0.25,0,0,0
2000-07-04,4200,4180,17880,0.24,-10000,0,0
2000-07-05,4300,4090,35500,0.24,-20000,0,0
