Symbol,녹십자_시가(원),녹십자_종가(원),녹십자_거래량(주),녹십자_PER(IFRS-연결),녹십자_순매수수량(개인)(주),녹십자_순매수수량(기관계)(주),녹십자_순매수수량(외국인계)(주)
2000-01-04,3620,3900,2820,,0,0,0
2000-01-05,3900,4100,20950,,10,-10,0
2000-01-06,3980,3700,10570,,0,0,0
2000-01-07,3655,4085,16460,,0,0,0
2000-01-10,3800,3870,10700,,0,0,0
2000-01-11,3800,3840,14120,,0,0,0
2000-01-12,3770,3750,10210,,0,0,0
2000-01-13,3795,3600,7220,,10,-10,0
2000-01-14,3515,3410,7510,,10,-10,0
2000-01-17,3710,3500,4840,,0,0,0
2000-01-18,3000,3250,8590,,0,0,0
2000-01-19,3350,3000,8450,,10,-10,0
2000-01-20,3000,2700,7960,,0,0,0
2000-01-21,2600,2800,10410,,0,0,0
2000-01-24,3000,3220,7340,,0,0,0
2000-01-25,3200,3200,7910,,0,0,0
2000-01-26,3005,3100,1170,,0,0,0
2000-01-27,3000,3010,5570,,0,0,0
2000-01-28,3400,3250,4540,,0,0,0
2000-01-31,3200,3200,8230,,0,0,0
2000-02-01,3100,3200,4840,,0,0,0
2000-02-02,3300,3270,4030,,0,0,0
2000-02-03,3150,3180,3590,,0,0,0
2000-02-07,3300,3500,9470,,0,0,0
2000-02-08,3710,3650,2400,,0,0,0
2000-02-09,3310,3400,7030,,0,0,0
2000-02-10,3210,3250,6530,,0,0,0
2000-02-11,3200,3200,9470,,0,0,0
2000-02-14,3300,3250,7020,,0,0,0
2000-02-15,2770,3250,5410,,0,0,0
2000-02-16,3250,3250,10450,,0,0,0
2000-02-17,3250,3300,5470,,0,0,0
2000-02-18,3500,3500,5750,,0,0,0
2000-02-21,3500,3550,7500,,0,0,0
2000-02-22,3550,3600,8020,,0,0,0
2000-02-23,3750,3800,9750,,0,0,0
2000-02-24,3700,3800,5190,,40,-40,0
2000-02-25,3230,3550,8100,,0,0,0
2000-02-28,3360,3900,14210,,20,-20,0
2000-02-29,3900,4000,13710,,0,0,0
2000-03-02,4000,4600,11990,,-100,100,0
2000-03-03,4940,4110,22850,,0,0,0
2000-03-06,4110,4300,5330,,10,-10,0
2000-03-07,4700,4210,7540,,0,0,0
2000-03-08,4300,4510,12870,,0,0,0
2000-03-09,4800,4150,15720,,0,0,0
2000-03-10,4500,4010,8730,,0,0,0
2000-03-13,3830,4200,14270,,0,0,0
2000-03-14,4390,4200,12480,,0,0,0
2000-03-15,4200,4100,10130,,0,0,0
2000-03-16,4100,4150,13760,,0,0,0
2000-03-17,4200,4770,32850,,0,0,0
2000-03-20,5480,5480,21960,,0,0,0
2000-03-21,6300,6300,16770,,0,0,0
2000-03-22,7200,5360,66850,,0,0,0
2000-03-23,5030,6130,42410,,0,0,0
2000-03-24,5500,5220,39290,,0,0,0
2000-03-27,4880,5190,24090,,30,-30,0
2000-03-28,5300,5700,22130,,40,-40,0
2000-03-29,5730,5800,24660,,-170,0,0
2000-03-30,5500,5380,10190,,0,0,0
2000-03-31,5350,5110,8260,,180,-10,0
2000-04-03,5100,5300,14870,,0,0,0
2000-04-04,5200,5100,10000,,0,0,0
2000-04-06,5600,5860,21270,,0,0,0
2000-04-07,5850,5260,9450,,0,0,0
2000-04-10,5050,5100,11980,,0,0,0
2000-04-11,4930,5250,10620,,0,0,0
2000-04-12,5010,4900,1540,,0,0,0
2000-04-14,4860,4700,4060,,0,0,0
2000-04-17,4500,3995,10360,,0,0,0
2000-04-18,4000,4275,4010,,10,-10,0
2000-04-19,4300,4160,4320,,0,0,0
2000-04-20,4100,4100,3790,,0,0,0
2000-04-21,4100,4290,2270,,40,-40,0
2000-04-24,4300,4450,1790,,0,0,0
2000-04-25,4030,4400,2900,,0,0,0
2000-04-26,4400,4210,3460,,0,0,0
2000-04-27,4050,4180,4490,,0,0,0
2000-04-28,4180,4200,2340,,0,0,0
2000-05-02,4200,4300,4830,,0,0,0
2000-05-03,4500,4890,5010,,0,0,0
2000-05-04,4800,5300,10610,,0,0,0
2000-05-08,4800,5600,20380,,0,0,0
2000-05-09,6000,5520,8340,,0,0,0
2000-05-10,5100,5700,13620,,0,0,0
2000-05-12,5700,5300,8200,,0,0,0
2000-05-15,5300,5700,9680,,0,0,0
2000-05-16,5990,5500,2700,,0,0,0
2000-05-17,5900,5220,7230,,0,0,0
2000-05-18,5200,5400,14720,,0,0,0
2000-05-19,5110,5150,5190,,0,0,0
2000-05-22,5150,5150,4190,,10,-10,0
2000-05-23,5200,5000,2820,,0,0,0
2000-05-24,5300,5000,15050,,0,0,0
2000-05-25,4800,4680,6370,,0,0,0
2000-05-26,4680,4900,6930,,0,0,0
2000-05-29,4900,5200,4360,,0,0,0
2000-05-30,4800,4985,8140,,0,0,0
2000-05-31,4650,4850,12160,,0,0,0
2000-06-01,5100,4800,7430,,0,0,0
2000-06-02,4790,4700,7280,,0,0,0
2000-06-05,4600,4700,17250,,0,0,0
2000-06-07,4900,4790,8930,,0,0,0
2000-06-08,4790,4610,4350,,0,0,0
2000-06-09,4620,4750,7340,,10,-10,0
2000-06-12,4810,5000,9160,,10,-10,0
2000-06-13,5000,4800,8020,,0,0,0
2000-06-14,4800,4550,5000,,0,0,0
2000-06-15,4015,4590,3950,,0,0,0
2000-06-16,4150,5270,10530,,0,0,0
2000-06-19,6060,6060,15500,,10,-10,0
2000-06-20,6960,5400,44950,,-120,0,0
2000-06-21,5800,5250,17180,,30,-10,0
2000-06-22,5500,5350,11680,,10,-10,0
2000-06-23,5160,5000,10900,,0,0,0
2000-06-26,5300,5750,19990,,0,0,0
2000-06-27,5740,5740,10630,,0,0,0
2000-06-28,5800,5500,9460,,0,0,0
2000-06-29,5110,5300,2500,,0,0,0
2000-06-30,5400,5500,4160,,0,0,0
2000-07-03,5550,5200,2920,,0,0,0
2000-07-04,5210,5100,4040,,0,0,0
2000-07-05,5300,4850,11560,,0,0,0
2000-07-06,4850,5100,14100,,0,0,0
2000-07-07,5300,4930,1960,,0,0,0
2000-07-10,5000,5360,10520,,0,0,0
2000-07-11,5350,5350,6210,,0,0,0
2000-07-12,5690,5300,7220,,0,0,0
2000-07-13,5060,5300,2960,,0,0,0
2000-07-14,5110,5310,6140,,0,0,0
2000-07-18,5380,5100,1740,,0,0,0
2000-07-19,5280,5200,4500,,90,-90,0
2000-07-20,4960,5000,940,,20,-20,0
2000-07-21,5000,5000,1890,,0,0,0
2000-07-24,5000,4800,2580,,0,0,0
2000-07-25,4630,4800,2690,,0,0,0
2000-07-26,4800,4730,800,,0,0,0
2000-07-27,4610,4500,9540,,0,0,0
2000-07-28,4800,4205,6610,,0,0,0
2000-07-31,4205,4220,3810,,100,0,0
2000-08-01,4400,4600,1110,,0,0,0
2000-08-02,4750,4600,2210,,0,0,0
2000-08-03,4600,4800,3720,,0,0,0
2000-08-04,4780,4850,2910,,0,0,0
2000-08-07,4850,4690,6320,,0,0,0
2000-08-08,4610,4890,3760,,0,0,0
2000-08-09,4170,4450,8940,,0,0,0
2000-08-10,4200,4380,4460,,0,0,0
2000-08-11,4500,4480,1810,,0,0,0
2000-08-14,4320,4480,3900,,0,0,0
2000-08-16,4480,4450,3140,,0,0,0
2000-08-17,4350,4320,2680,,60,-60,0
2000-08-18,4225,4160,15930,,0,0,0
2000-08-21,4210,4450,10430,,0,0,0
2000-08-22,4700,4360,1380,,0,0,0
2000-08-23,4310,4270,2680,,0,0,0
2000-08-24,4120,4380,4630,,0,0,0
2000-08-25,4350,4160,7690,,0,0,0
2000-08-28,4170,4200,5790,,0,0,0
2000-08-29,4250,4585,11950,,0,0,0
2000-08-30,4650,5240,28120,,0,0,0
2000-08-31,5200,4460,18370,,10,-10,0
2000-09-01,4700,4500,6840,,0,0,0
2000-09-04,4510,4900,17290,,0,0,0
2000-09-05,5100,5390,23400,,10,-10,0
2000-09-06,5350,4980,11350,,0,0,0
2000-09-07,4980,5200,34790,,0,0,0
2000-09-08,5100,4500,13970,,0,0,0
2000-09-14,4670,5170,14210,,0,0,0
2000-09-15,5740,5300,49510,,0,0,0
2000-09-18,5200,4510,15630,,0,0,0
2000-09-19,4710,5180,14720,,30,-30,0
2000-09-20,5950,5950,77040,,60,-60,0
2000-09-21,5340,5750,33850,,-20,20,0
2000-09-22,5750,4900,19160,,0,0,0
2000-09-25,5000,4210,33870,,0,0,0
2000-09-26,4300,4550,24590,,0,0,0
2000-09-27,4500,4310,28800,,0,0,0
2000-09-28,4500,4480,15800,,0,0,0
2000-09-29,4510,4600,23930,,0,0,0
2000-10-02,4300,4500,8680,,0,0,0
2000-10-04,4510,4400,16970,,0,0,0
2000-10-05,4410,4260,17990,,0,0,0
2000-10-06,4390,4265,13370,,0,0,0
2000-10-09,4310,4300,8200,,0,0,0
2000-10-10,4300,4240,4000,,30,-30,0
2000-10-11,4300,4400,8980,,0,0,0
2000-10-12,4050,4290,10530,,0,0,0
2000-10-13,4190,4200,6210,,0,0,0
2000-10-16,4430,4250,10740,,20,-20,0
2000-10-17,4110,4150,3400,,0,0,0
2000-10-18,4260,4100,4070,,0,0,0
2000-10-19,4100,4200,5720,,0,0,0
2000-10-20,4250,4350,7740,,10,-10,0
2000-10-23,4300,4280,5120,,0,0,0
2000-10-24,4200,4150,6050,,0,0,0
2000-10-25,4120,4250,2230,,0,0,0
2000-10-26,4120,4150,2320,,0,0,0
2000-10-27,4150,4150,4210,,0,0,0
2000-10-30,4120,4110,5990,,0,0,0
