Symbol,녹십자홀딩스_시가(원),녹십자홀딩스_종가(원),녹십자홀딩스_거래량(주),녹십자홀딩스_PER(IFRS-연결),녹십자홀딩스_순매수수량(개인)(주),녹십자홀딩스_순매수수량(기관계)(주),녹십자홀딩스_순매수수량(외국인계)(주)
2000-01-04,39500,44650,68640,15.53,1950,-2110,100
2000-01-05,42000,44500,126080,15.48,-670,-610,1490
2000-01-06,45900,40100,61610,13.95,2790,-2880,0
2000-01-07,39000,43600,116460,15.16,-7840,2670,5280
2000-01-10,45500,43000,104500,14.96,-8640,1460,5810
2000-01-11,43000,42900,59450,14.92,-8150,590,7420
2000-01-12,42000,42500,58720,14.78,-8110,3110,1000
2000-01-13,42200,41900,41960,14.57,-6800,8670,-1970
2000-01-14,41000,41000,45650,14.26,-12520,12660,60
2000-01-17,41000,41300,31520,14.36,-3730,80,2450
2000-01-18,43000,41300,101330,14.36,26460,-26020,-440
2000-01-19,41300,41300,64440,14.36,-23290,23460,-420
2000-01-20,41500,42000,49940,14.61,-15750,8010,540
2000-01-21,41300,41500,50940,14.43,-5900,5890,-500
2000-01-24,41500,41500,37520,14.43,-8070,5150,150
2000-01-25,41350,41550,43930,14.45,-14270,14270,0
2000-01-26,42000,41650,31870,14.49,-6830,6970,0
2000-01-27,41050,42700,180760,14.85,21110,-19610,30
2000-01-28,43700,43000,54680,14.96,-8880,8630,-170
2000-01-31,43500,42600,81280,14.82,17700,2300,-20000
2000-02-01,42700,42800,56710,14.88,-15010,17050,-30
2000-02-02,42500,43300,146980,15.06,53430,-30340,-25090
2000-02-03,42700,42600,47780,14.82,-5760,5760,0
2000-02-07,42650,44250,115850,15.39,-10160,4820,5630
2000-02-08,45100,45300,146330,15.75,-4090,5720,60
2000-02-09,45500,49000,272520,17.04,8480,-13980,5000
2000-02-10,49000,48000,142860,16.7,-15980,8680,8630
2000-02-11,48500,55200,281860,19.2,-27990,26680,5270
2000-02-14,57000,59400,503440,20.66,-63650,28430,7420
2000-02-15,59400,50500,186120,17.56,-28420,25050,400
2000-02-16,48500,52000,148370,18.09,-4400,4230,170
2000-02-17,53100,59800,214810,20.8,-23130,25720,-1030
2000-02-18,68000,68700,173980,23.89,-17600,13760,6520
2000-02-21,79000,79000,563980,27.48,-65810,51770,-200
2000-02-22,80500,81000,771410,28.17,-91900,104080,-8980
2000-02-23,80000,80000,370390,27.82,-54260,71680,-4540
2000-02-24,83000,82000,226240,28.52,-43320,45450,-60
2000-02-25,78500,82000,220250,28.52,-59370,33080,-20
2000-02-28,79000,76500,162370,26.61,-7200,38070,-40000
2000-02-29,72000,81000,187030,28.17,17090,-10560,-17400
2000-03-02,93100,93100,110150,32.38,-280,13770,-690
2000-03-03,96500,103000,387730,35.82,-26150,56730,-17670
2000-03-06,95500,88000,227290,30.61,-27580,24510,10
2000-03-07,88000,86000,242190,29.91,11040,-8040,-60
2000-03-08,83000,85900,150450,29.88,-11090,17140,-4650
2000-03-09,88000,86400,326440,30.05,62970,-43170,-9590
2000-03-10,90500,81900,261970,28.49,22200,-17360,2160
2000-03-13,79900,77700,140230,27.02,3000,6750,-3510
2000-03-14,76000,70500,276580,24.52,15830,-7620,-90
2000-03-15,68000,65000,190220,22.61,-4210,-8370,9420
2000-03-16,74700,71000,360890,24.69,37630,-49780,-650
2000-03-17,71000,67000,137650,23.3,-100,-640,700
2000-03-20,63900,62900,130720,21.88,3870,-3860,2420
2000-03-21,60000,65500,111350,22.78,-11810,9980,1420
2000-03-22,65500,67100,229960,23.34,42610,-42660,40
2000-03-23,70000,66800,138110,23.23,-31200,18500,-210
2000-03-24,67100,65000,95530,22.61,6180,-7600,920
2000-03-27,64900,63600,117870,22.12,20480,-18360,0
2000-03-28,65000,65000,145170,22.61,6340,-4800,210
2000-03-29,63000,62000,115240,21.56,29090,-16390,1000
2000-03-30,62600,60000,98650,20.87,5710,-6640,220
2000-03-31,59000,58000,68360,20.17,18670,-19310,560
2000-04-03,58500,51000,135910,17.74,30530,-25310,-100
2000-04-04,52000,55500,254080,19.3,180,1420,-1320
2000-04-06,57000,53200,106620,18.5,2040,-3850,1240
2000-04-07,57700,56000,202800,19.48,32790,-22370,620
2000-04-10,57000,62000,307108,21.56,28350,-26130,-1840
2000-04-11,62000,57000,131454,19.82,-19240,4890,-510
2000-04-12,58000,57400,78906,19.96,-2560,1600,-200
2000-04-14,57000,54400,49985,18.92,-3760,-2190,0
2000-04-17,46300,46300,136124,16.1,-8720,14800,1090
2000-04-18,52000,48100,105750,16.73,15890,-12250,-8580
2000-04-19,50000,47500,155440,16.52,48530,-46210,-810
2000-04-20,47500,48000,59070,16.7,2840,-510,-1900
2000-04-21,47500,49100,81845,17.08,6790,-6690,-90
2000-04-24,49100,50000,165980,17.39,18230,-18170,0
2000-04-25,49500,49300,80800,17.15,-9670,9670,0
2000-04-26,51000,48000,85806,16.7,9290,-6410,70
2000-04-27,47000,46000,50900,16,9950,-10090,140
2000-04-28,45150,46650,120215,16.23,10300,-10740,290
2000-05-02,48900,48000,104772,16.7,9500,-9050,-250
2000-05-03,49500,48400,60770,16.83,1120,-630,-490
2000-05-04,48400,49400,173530,17.18,-230,-20,270
2000-05-08,51900,50200,117262,17.46,12390,-11780,-630
2000-05-09,49700,49400,52379,17.18,2110,-2020,-90
2000-05-10,49400,49000,53024,17.04,-5327,1607,-1270
2000-05-12,49000,48400,63430,16.83,4360,-8830,-520
2000-05-15,48500,46350,53300,16.12,2280,-7220,-60
2000-05-16,47000,45350,72544,15.77,23330,-27100,-120
2000-05-17,46100,44200,80140,15.37,3190,-4250,660
2000-05-18,43500,40000,71380,13.91,-470,1260,-790
2000-05-19,40000,40900,80789,14.23,10120,-15200,-2190
2000-05-22,40500,39500,60033,13.74,460,-280,-180
2000-05-23,38000,38550,51770,13.41,-4310,3960,260
2000-05-24,38500,36900,67490,12.83,2230,-2330,-30
2000-05-25,37900,40300,109600,14.02,25860,-25630,-150
2000-05-26,39000,39000,72434,13.56,-30020,-160,30180
2000-05-29,37550,39000,37563,13.56,-3340,2270,1130
2000-05-30,39900,40500,47150,14.09,-2250,-4250,6520
2000-05-31,41400,42700,93498,14.85,-16120,21990,-870
2000-06-01,42700,45000,97106,15.65,1590,-700,-640
2000-06-02,45000,43000,74920,14.96,7370,-6090,-280
2000-06-05,44500,45500,117190,15.83,-2020,1160,0
2000-06-07,46600,50600,269020,17.6,20689,-13020,-7069
2000-06-08,55000,49200,263120,17.11,49270,-42330,11170
2000-06-09,49000,48600,92180,16.9,1810,-3890,610
2000-06-12,53000,55800,340300,19.41,2360,-16090,13770
2000-06-13,55800,51100,583140,17.77,35060,-35320,460
2000-06-14,53200,49400,120580,17.18,-640,-1810,0
2000-06-15,49100,45200,125010,15.72,660,-3300,0
2000-06-16,43250,45500,110690,15.83,10330,-9660,-220
2000-06-19,43600,45800,173090,15.93,-1010,910,100
2000-06-20,48100,47000,91540,16.35,-9460,9610,-150
2000-06-21,46700,46050,59880,16.01,1270,-1400,130
2000-06-22,47100,47000,67050,16.35,-1320,210,300
2000-06-23,46100,47450,40940,16.5,-220,40,180
2000-06-26,48000,49950,134060,17.37,600,-760,40
2000-06-27,50500,50100,160730,17.42,-58350,58280,-10
2000-06-28,50000,50000,58590,17.39,-14890,14590,320
2000-06-29,50000,49500,50330,17.22,3970,-4890,1110
2000-06-30,48250,49500,47470,17.22,-2350,2350,0
2000-07-03,49000,50100,123960,17.42,6580,-6350,-30
2000-07-04,51500,51500,343500,17.91,-2690,3320,0
2000-07-05,51600,50300,82580,17.49,-7970,8270,0
2000-07-06,50400,51000,106590,17.74,-10110,40,15100
2000-07-07,51700,52600,232290,18.29,-12350,11960,-240
2000-07-10,52800,52000,90310,18.09,-10090,7560,2560
2000-07-11,52600,50000,113550,17.39,2660,-1040,-3020
2000-07-12,50000,51400,118340,17.87,-370,360,10
2000-07-13,49500,51000,55310,17.74,-18480,3730,14750
2000-07-14,50400,49950,46800,17.37,7670,-7670,0
2000-07-18,50000,47500,64000,16.52,17630,-17640,0
2000-07-19,46500,44400,63540,15.44,14900,-15860,370
2000-07-20,44400,44000,54020,15.3,3430,-5280,340
2000-07-21,44500,44350,27740,15.42,-140,120,20
2000-07-24,44000,42100,29460,14.64,-2110,1770,340
2000-07-25,42000,42700,37570,14.85,-3190,3130,870
2000-07-26,42250,43500,29790,15.13,-7880,7880,0
2000-07-27,43700,44350,28030,15.42,-10230,10320,-90
2000-07-28,43800,43500,23530,15.13,-7870,6370,1270
2000-07-31,43500,43500,11830,15.13,-4370,3310,1030
2000-08-01,42900,44000,17840,15.3,2870,-2580,-90
2000-08-02,45000,44500,58260,15.48,6610,-6770,10
2000-08-03,46100,44500,29610,15.48,2590,-2450,-90
2000-08-04,44550,44000,20140,15.3,-3760,-2140,5990
2000-08-07,43000,42600,15030,14.82,850,-850,0
2000-08-08,42050,41600,20930,14.47,260,-430,170
2000-08-09,42000,42900,28010,14.92,-2850,2290,560
2000-08-10,42900,44200,29950,15.37,-1840,390,1450
2000-08-11,44700,43750,27470,15.22,3410,-3750,120
2000-08-14,44500,44000,24720,15.3,-3950,540,3110
2000-08-16,44500,45000,44550,15.65,6930,-6790,200
2000-08-17,45900,44900,38810,15.62,2950,-2650,0
2000-08-18,45250,43700,33110,15.2,4870,1700,-6570
2000-08-21,44500,43000,30810,14.96,10780,1510,-12290
2000-08-22,42600,43100,23330,14.99,-2440,2180,260
2000-08-23,43500,42350,23140,14.73,2080,-2110,-70
2000-08-24,42350,42350,23040,14.73,-3360,3090,190
2000-08-25,42350,42200,18370,14.68,-3870,3980,-10
2000-08-28,42500,42200,25700,14.68,-3840,2730,1100
2000-08-29,43000,42700,20420,14.85,-230,-50,290
2000-08-30,43100,44100,53780,15.34,2270,-1190,-1080
2000-08-31,44700,45450,194460,15.81,4820,-5050,160
2000-09-01,46450,44650,73180,15.53,-7370,1780,5390
2000-09-04,46500,49000,280410,17.04,14590,-10110,-5090
2000-09-05,50700,48000,475980,16.7,-16300,19520,-4770
2000-09-06,47500,47200,104100,16.42,-7210,5880,810
2000-09-07,47700,47150,181750,16.4,-9930,7270,900
2000-09-08,47150,45700,89780,15.89,1960,-1620,-460
2000-09-14,45000,44300,90150,15.41,27500,-22960,-2710
2000-09-15,45000,45200,181300,15.72,50860,-49340,-1180
2000-09-18,44500,40000,121930,13.91,-5490,1940,3030
2000-09-19,40000,40300,157160,14.02,5810,-5900,710
2000-09-20,42300,41100,127630,14.29,5690,-5450,-280
2000-09-21,41200,40700,83100,14.15,1860,-980,-990
2000-09-22,40000,38750,74970,13.48,10960,-11620,-340
2000-09-25,38700,39550,63560,13.76,4800,-5060,-90
2000-09-26,39550,39800,66270,13.84,-10990,10250,-50
2000-09-27,39500,40150,42060,13.96,-1530,1550,0
2000-09-28,40000,39550,43300,13.76,-710,90,-180
2000-09-29,40200,40250,108730,14,14380,-17940,-20
2000-10-02,40600,40250,77140,14,-13340,5440,5000
2000-10-04,40100,40300,67240,14.02,2720,-3150,-80
2000-10-05,40600,40100,56340,13.95,3320,-3840,10
2000-10-06,40100,40500,79380,14.09,-6640,8160,0
2000-10-09,41000,39800,50690,13.84,3940,-6910,2980
2000-10-10,39300,39500,49080,13.74,-1230,340,0
2000-10-11,39500,38200,71670,13.28,-5420,4150,280
2000-10-12,37500,37700,50730,13.11,-9170,-450,9120
2000-10-13,35100,36300,45490,12.63,-4940,4920,0
