Symbol,농심_시가(원),농심_종가(원),농심_거래량(주),농심_PER(IFRS-연결),농심_순매수수량(개인)(주),농심_순매수수량(기관계)(주),농심_순매수수량(외국인계)(주)
2000-01-04,49500,51000,22300,6.91,-3650,9870,-11490
2000-01-05,49950,51000,20770,6.91,300,7530,-7830
2000-01-06,51000,50900,18590,6.89,-4270,8260,-3960
2000-01-07,49100,50000,17273,6.77,-4960,4620,340
2000-01-10,51000,51000,16110,6.91,-11290,11030,120
2000-01-11,51100,51000,15910,6.91,-6780,7580,-1010
2000-01-12,50800,50000,13625,6.77,-1550,6280,-4730
2000-01-13,50000,50100,21910,6.79,-3340,3790,-3050
2000-01-14,50000,50000,7840,6.77,-110,-170,280
2000-01-17,50000,51000,18550,6.91,-8500,8850,-350
2000-01-18,50200,49700,23920,6.73,4360,3560,-7920
2000-01-19,49000,47000,21410,6.37,4790,2110,-6110
2000-01-20,45000,45500,13270,6.16,-1670,5430,-3760
2000-01-21,45000,44500,34780,6.03,5400,12930,-14970
2000-01-24,43100,44500,22875,6.03,1040,-1660,220
2000-01-25,43000,44000,32370,5.96,250,-5310,5060
2000-01-26,42800,48500,24110,6.57,-7980,4370,3610
2000-01-27,45000,48000,10351,6.5,-1960,1950,40
2000-01-28,47500,49000,28400,6.64,-5430,800,-250
2000-01-31,46900,48700,11900,6.6,-800,1160,-660
2000-02-01,48700,47850,15560,6.48,3760,3060,-6820
2000-02-02,46500,50000,17220,6.77,-6720,9810,-3200
2000-02-03,50000,52000,67090,7.04,-23170,5910,17660
2000-02-07,54900,53000,51540,7.18,-7930,13730,890
2000-02-08,54000,54000,45260,7.31,-11830,11800,30
2000-02-09,54000,53000,12842,7.18,-3118,3118,0
2000-02-10,52000,48600,15650,6.58,9790,-9790,0
2000-02-11,50000,48500,11850,6.57,5230,-5330,40
2000-02-14,47300,46500,28400,6.3,2500,-3020,520
2000-02-15,45500,46100,15850,6.24,4260,-1510,-2440
2000-02-16,45500,47000,35780,6.37,5660,100,-5700
2000-02-17,46000,46400,18860,6.28,-750,5600,-3150
2000-02-18,46400,45800,15760,6.2,6440,-5550,-860
2000-02-21,45000,44500,8220,6.03,100,260,-590
2000-02-22,45000,44900,9610,6.08,-350,2850,-2480
2000-02-23,44900,46650,11440,6.32,3370,-2890,-430
2000-02-24,46650,45500,12050,6.16,-2990,660,2330
2000-02-25,45500,44750,34590,6.06,-850,8660,-7820
2000-02-28,45400,43500,10530,5.89,830,2560,-3190
2000-02-29,44600,43000,28840,5.82,2640,8850,-11490
2000-03-02,43000,42000,51110,5.69,29910,-24000,-5910
2000-03-03,42050,40000,90660,5.42,64650,-3740,-61850
2000-03-06,40700,41700,75940,5.65,30400,-14390,-16100
2000-03-07,42100,44400,68980,6.01,-6760,5200,-470
2000-03-08,44000,44600,45540,6.04,-20470,9520,-1210
2000-03-09,44600,40000,143920,5.42,1170,93970,-107670
2000-03-10,45000,46000,45640,6.23,-18520,20520,0
2000-03-13,51600,50000,80410,6.77,-18530,21600,-1300
2000-03-14,47000,48500,17420,6.57,-9030,9000,30
2000-03-15,48500,46000,26270,6.23,-14460,13450,-2880
2000-03-16,46000,46000,29070,6.23,-8090,-1780,-260
2000-03-17,47000,45300,33460,6.13,-15810,16310,450
2000-03-20,46000,46000,23490,6.23,-7800,7400,380
2000-03-21,45500,47000,9380,6.37,-4400,3280,200
2000-03-22,45500,46300,26770,6.27,-1810,6430,-8140
2000-03-23,45000,46000,30860,6.23,-2740,5540,-7680
2000-03-24,44850,45200,46960,6.12,1990,2670,-39380
2000-03-27,45000,47000,26790,6.37,1410,5640,-7000
2000-03-28,46900,48700,46870,6.6,130,-300,180
2000-03-29,47500,49000,116460,6.64,10150,75290,-440
2000-03-30,49000,47000,34410,6.37,12800,-7670,-1100
2000-03-31,46800,50500,45590,6.84,-10800,10850,-80
2000-04-03,49950,47900,25540,6.49,3510,-3680,220
2000-04-04,47900,48500,31180,6.57,-4800,4040,610
2000-04-06,49000,48500,18320,6.57,-3250,-2290,5540
2000-04-07,47500,47800,12400,6.47,480,-1050,170
2000-04-10,48500,47550,28420,6.44,3050,-3000,470
2000-04-11,47500,47000,13450,6.37,-110,2140,-1810
2000-04-12,47200,48500,50950,6.57,-11200,11060,-900
2000-04-14,48000,48500,22530,6.57,-1400,-7080,0
2000-04-17,45000,46400,34040,6.28,-15270,16380,-1390
2000-04-18,48300,45300,32760,6.13,14100,4800,-18980
2000-04-19,46000,47100,111480,6.38,23490,-22420,-890
2000-04-20,47000,46300,25090,6.27,-9150,9260,-110
2000-04-21,48000,48000,71510,6.5,7050,-6740,-100
2000-04-24,48000,47600,28530,6.45,-7680,7740,0
