Symbol,대덕전자_시가(원),대덕전자_종가(원),대덕전자_거래량(주),대덕전자_PER(IFRS-연결),대덕전자_순매수수량(개인)(주),대덕전자_순매수수량(기관계)(주),대덕전자_순매수수량(외국인계)(주)
2000-01-04,13800,14200,777320,20.74,228580,-252570,12080
2000-01-05,14200,13600,524350,19.86,73700,-103600,62770
2000-01-06,14500,13450,394670,19.65,86750,-86810,250
2000-01-07,13100,12850,333320,18.77,40220,-42840,2620
2000-01-10,12900,12850,355510,18.77,86870,-159860,5190
2000-01-11,12800,13200,547840,19.28,1450,-4340,15060
2000-01-12,12800,12600,211130,18.4,-29550,43950,-14400
2000-01-13,12500,12500,358610,18.26,-11230,17840,-7660
2000-01-14,12500,12200,219190,17.82,-40440,45390,-5950
2000-01-17,12400,12850,615070,18.77,-53970,-59650,680
2000-01-18,12650,12500,365300,18.26,-31900,63080,-31180
2000-01-19,12100,11300,364690,16.5,83990,-64850,-14220
2000-01-20,11000,11000,683230,16.07,77620,-173670,147050
2000-01-21,11200,11100,947850,16.21,341100,-339850,-4960
2000-01-24,11200,11100,644440,16.21,83740,57080,1460
2000-01-25,11000,11000,523910,16.07,23830,-22500,-140
2000-01-26,11050,11750,508910,17.16,-100210,52210,-2000
2000-01-27,11750,12250,530770,17.89,-249470,249790,-130
2000-01-28,12200,13200,664970,19.28,-339770,268870,60730
2000-01-31,12700,13100,316640,19.13,-111780,-21530,21130
2000-02-01,13500,12700,305110,18.55,-40970,90960,-49990
2000-02-02,13200,13400,697300,19.57,-127250,199850,-93130
2000-02-03,13250,13400,362140,19.57,-33820,99800,-85980
2000-02-07,13400,13500,317510,19.72,-111400,46260,21830
2000-02-08,13600,12900,314620,18.84,50160,-100480,320
2000-02-09,12550,12900,225420,18.84,-98980,107290,-6310
2000-02-10,12700,12300,403500,17.96,20260,-40350,-9910
2000-02-11,12150,12100,445210,17.67,63630,-64210,200
2000-02-14,11800,11350,145760,16.58,-19340,36020,-16680
2000-02-15,11000,11200,217140,16.36,-1630,19260,-16380
2000-02-16,11500,11200,281440,16.36,51010,9190,-59820
2000-02-17,10850,12100,492990,17.67,-14710,67240,-54630
2000-02-18,11800,12050,517700,17.6,-72260,176300,-16270
2000-02-21,11500,11550,194440,16.87,30180,780,-57960
2000-02-22,12000,12300,661500,17.96,-96370,171190,400
2000-02-23,12900,12400,528670,18.11,-18690,-15270,32240
2000-02-24,12700,12400,345520,18.11,-25720,22680,-13860
2000-02-25,12000,12700,500840,18.55,-198250,248270,-100
2000-02-28,12500,12400,284860,18.11,5630,-37060,6430
2000-02-29,12500,12000,240610,17.53,-27470,-26170,54540
2000-03-02,12200,13200,512830,19.28,-152770,123020,31250
2000-03-03,13500,12850,273000,18.77,-91160,30720,42260
2000-03-06,13450,13300,681580,19.43,124890,-112000,35760
2000-03-07,13000,12500,259850,18.26,15260,8630,-23990
2000-03-08,12400,12500,330410,18.26,-740,-79710,65450
2000-03-09,12900,13000,2150880,18.99,558230,-20200,18720
2000-03-10,13500,13700,705760,20.01,-145370,31920,126450
2000-03-13,13700,13600,602530,19.86,-24360,9410,16710
2000-03-14,13400,13150,299880,19.21,-86150,31090,5100
2000-03-15,11200,13300,415910,19.43,-155200,136060,19290
2000-03-16,13200,13400,272780,19.57,-94140,48240,49960
2000-03-17,13600,12850,262990,18.77,-67770,59530,22330
2000-03-20,12900,13200,358490,19.28,-63430,65120,8060
2000-03-21,13500,13000,220440,18.99,-62750,100420,-45800
2000-03-22,13000,13300,534900,19.43,-350,-73500,108160
2000-03-23,13500,13450,868930,19.65,216200,-235280,56180
2000-03-24,13500,13600,1126770,19.86,237190,-140640,-196550
2000-03-27,14000,13750,991460,20.08,-23900,-243460,104900
2000-03-28,13700,13500,552730,19.72,-122600,21140,96080
2000-03-29,13500,13500,492390,19.72,-100000,77540,-1310
2000-03-30,13500,12950,442730,18.92,-24000,115700,-117600
2000-03-31,12500,12500,221790,18.26,-67300,68510,-1270
2000-04-03,12500,11800,244720,17.23,5590,24820,-29960
2000-04-04,11050,11900,224070,17.38,-73760,69740,1580
2000-04-06,11600,11600,168160,16.94,-15910,29600,2480
2000-04-07,11500,11350,439090,16.58,163140,-180500,-3120
2000-04-10,11700,11750,606160,17.16,124810,-121250,1350
2000-04-11,11600,11400,172310,16.65,-55210,49630,7770
2000-04-12,11500,11700,332440,17.09,-95990,94150,-1200
2000-04-14,11350,10850,238960,15.85,73590,13670,-44890
2000-04-17,9450,9500,403870,13.88,-35670,20550,9380
2000-04-18,10000,10100,398150,14.75,121780,-128720,70
2000-04-19,10000,10000,751580,14.61,236130,21210,-248750
2000-04-20,9700,10050,872360,14.68,51840,194650,-296470
2000-04-21,10250,10200,438350,14.9,19930,53830,-143620
2000-04-24,10100,10050,184270,14.68,-53980,49970,0
2000-04-25,9900,10100,238510,14.75,10080,-440,-9340
2000-04-26,10200,9420,332560,13.76,99040,-72540,-25380
2000-04-27,9300,9420,430340,13.76,-108430,-1440,109800
2000-04-28,9400,9700,622910,14.17,-27260,-20700,50210
2000-05-02,9630,9730,353780,14.21,-9350,23460,-38270
2000-05-03,9900,9740,198980,14.23,-24230,35040,-10810
2000-05-04,9800,10300,401170,15.04,-125250,69860,55350
2000-05-08,10500,10300,335720,15.04,-15750,-40270,61070
2000-05-09,10450,10500,185250,15.34,-50670,-10730,61440
2000-05-10,10500,10300,163630,15.04,-13830,-22440,36300
2000-05-12,10400,9810,322380,14.33,38550,38110,-71660
2000-05-15,9800,10300,281110,15.04,-73230,72410,10820
2000-05-16,10300,10000,169380,14.61,-13200,-40660,53860
2000-05-17,10000,9700,155460,14.17,14220,-60560,53400
2000-05-18,9500,8810,298440,12.87,-19950,-15850,38760
2000-05-19,8810,8800,198230,12.85,12030,-95520,45830
2000-05-22,8700,7690,483490,11.23,109950,-157440,67150
2000-05-23,7500,7550,579540,11.03,-3610,-79620,61140
2000-05-24,7350,7500,1249690,10.95,254930,-193880,24400
2000-05-25,7750,8610,1302730,12.58,-83340,-23820,229360
2000-05-26,8780,7990,509780,11.67,-79670,28180,35940
2000-05-29,8380,8060,293310,11.77,16260,6430,-490
2000-05-30,8100,8700,496690,12.71,-20710,-26370,93080
2000-05-31,9120,8700,1019780,12.71,316600,-360370,66520
2000-06-01,8700,8780,690830,12.82,18390,-126060,59670
2000-06-02,9000,8800,501770,12.85,-16900,-106420,90390
2000-06-05,9020,9320,802420,13.61,81820,-204520,108500
2000-06-07,9350,9270,575960,13.54,8260,-78930,25620
2000-06-08,9590,8710,668840,12.72,56830,-192770,121970
2000-06-09,8710,9010,845200,13.16,122750,-139830,3340
2000-06-12,9010,8800,655290,12.85,200140,-158870,-68280
2000-06-13,8900,8540,599180,12.47,35020,-68830,400
2000-06-14,8700,8590,464930,12.55,55100,-127000,50000
2000-06-15,8590,7750,424740,11.32,128510,-144210,25000
2000-06-16,7550,7800,727550,11.39,103020,-254810,39750
2000-06-19,7800,7990,666970,11.67,-130840,304390,120460
2000-06-20,8120,8910,1133550,13.01,72970,-291810,316870
2000-06-21,9000,9400,1532390,13.73,-329800,9150,391690
2000-06-22,9850,9700,1155550,14.17,-241590,-134320,395930
2000-06-23,9450,9900,863840,14.46,-103160,-54990,154110
2000-06-26,10200,11100,1914210,16.21,-178410,-364570,531980
2000-06-27,11500,11250,1358990,16.43,-119150,-175060,266930
2000-06-28,11350,11000,904740,16.07,-126470,-193720,287330
2000-06-29,11300,11150,542160,16.29,-128380,-65930,251630
2000-06-30,11150,11300,385810,16.5,-117840,-37220,162260
2000-07-03,11500,12850,1377600,18.77,-111010,-181480,288540
2000-07-04,12800,13000,1567440,18.99,-157960,138360,20500
2000-07-05,12900,12700,1675670,18.55,-79940,-553890,708830
