Symbol,대림산업_시가(원),대림산업_종가(원),대림산업_거래량(주),대림산업_PER(IFRS-연결),대림산업_순매수수량(개인)(주),대림산업_순매수수량(기관계)(주),대림산업_순매수수량(외국인계)(주)
2000-01-04,10700,12400,484170,2.08,31520,-44050,230
2000-01-05,12200,11500,440630,1.93,150100,-154960,4860
2000-01-06,11800,10900,499050,1.83,-23000,21360,2860
2000-01-07,10900,11100,554370,1.87,5880,60090,-65420
2000-01-10,11200,11000,533930,1.85,113420,-78610,-35850
2000-01-11,11000,10400,638760,1.75,319010,-132840,-188190
2000-01-12,10400,9570,929610,1.61,241230,29150,-270380
2000-01-13,9300,8830,1305850,1.48,539420,-565810,19840
2000-01-14,9000,8750,877430,1.47,25170,33270,-54790
2000-01-17,8770,8400,694130,1.41,450,-56040,55590
2000-01-18,8560,8600,776640,1.45,100770,-84590,-6280
2000-01-19,8400,7700,615720,1.29,142220,-90950,-28630
2000-01-20,7650,7300,713930,1.23,4330,-81690,77360
2000-01-21,7410,7700,868740,1.29,-31020,-35090,68030
2000-01-24,7720,8390,713670,1.41,-50660,45050,4110
2000-01-25,8100,8000,344420,1.34,4960,1940,-6900
2000-01-26,8200,8200,317980,1.38,-79850,84850,-5000
2000-01-27,8100,8530,844130,1.43,1130,-32000,-4910
2000-01-28,9000,8510,553970,1.43,-34990,29540,7630
2000-01-31,8450,8450,780500,1.42,148510,-80970,-67360
2000-02-01,8510,8250,470380,1.39,83610,-81590,-1370
2000-02-02,8250,8650,808020,1.45,-108790,133090,-24300
2000-02-03,8800,9000,842660,1.51,-146250,146250,0
2000-02-07,9010,8900,642350,1.5,-172790,150510,22200
2000-02-08,8800,9150,497570,1.54,-209390,208490,250
2000-02-09,9000,8900,385440,1.5,-115400,117100,-2000
2000-02-10,8610,8150,560670,1.37,155770,-45970,-44670
2000-02-11,8090,7880,735160,1.32,72500,-56350,8430
2000-02-14,7900,7570,324060,1.27,-46920,41710,-9120
2000-02-15,7270,7200,307010,1.21,33760,-34310,250
2000-02-16,7610,7350,376250,1.24,92180,-74200,-17560
2000-02-17,7350,7150,465220,1.2,138630,-101250,-38670
2000-02-18,6910,7060,564520,1.19,1210,13270,-13200
2000-02-21,6810,6120,335700,1.03,79630,-4500,-75130
2000-02-22,5850,5850,487230,0.98,112470,-105910,-6360
2000-02-23,6150,6720,695140,1.13,118670,-110590,-7070
2000-02-24,6670,6300,407790,1.06,-7840,-6840,14480
2000-02-25,6350,6500,441520,1.09,16530,-31470,14860
2000-02-28,6300,6210,352000,1.04,42610,-50500,7990
2000-02-29,6400,6000,416110,1.01,89800,-97940,15790
2000-03-02,6150,6300,811590,1.06,154180,-148340,-5590
2000-03-03,6350,5930,583140,1,242750,-237900,-3720
2000-03-06,6010,6300,742330,1.06,1850,10580,-14780
2000-03-07,6260,6400,773000,1.08,79560,-36480,-56190
2000-03-08,6400,6760,1068950,1.14,-177830,183510,2320
2000-03-09,7480,7030,1569310,1.18,388390,-264170,-119760
2000-03-10,7700,7210,731550,1.21,40990,-45260,630
2000-03-13,7190,6910,544730,1.16,31570,-23760,-5280
2000-03-14,6750,6700,510620,1.13,-20340,14780,5560
2000-03-15,6700,6740,429430,1.13,13770,-11570,-2250
2000-03-16,6900,6590,405730,1.11,10180,-11260,0
2000-03-17,6740,6700,608750,1.13,85540,-86520,630
2000-03-20,7000,6800,405890,1.14,-65850,64630,1080
2000-03-21,6650,6590,285320,1.11,-34400,27850,5480
2000-03-22,6660,6800,689910,1.14,65960,-50800,-4320
2000-03-23,6900,6600,349450,1.11,38420,-37410,0
2000-03-24,6670,6310,517930,1.06,270360,13130,-283430
2000-03-27,6350,6450,458660,1.08,50490,-13500,-38990
2000-03-28,6310,6500,399100,1.09,-83870,102950,-19080
2000-03-29,6500,6210,285450,1.04,20610,-20000,-400
2000-03-30,6390,6290,366960,1.06,10580,-12180,1810
2000-03-31,6300,6300,246370,1.06,-7040,8720,-1750
2000-04-03,6590,6540,794530,1.1,11130,-14770,900
2000-04-04,6630,6500,416220,1.09,-180210,95220,-2770
2000-04-06,6480,6120,259790,1.03,14890,-5280,-9610
2000-04-07,6010,6100,249300,1.03,13400,-15860,2460
2000-04-10,6890,7010,1462360,1.18,223680,-209260,-2110
2000-04-11,7010,6850,1513400,1.15,-207840,164060,-70
2000-04-12,6510,6630,467350,1.11,-21600,23010,-1400
2000-04-14,6450,6630,382440,1.11,24220,-26100,1510
2000-04-17,5830,5990,620920,1.01,-187340,62950,13730
2000-04-18,6380,6170,483090,1.04,80480,-78450,40
2000-04-19,6180,6100,445380,1.03,96000,-85610,-8290
2000-04-20,6210,6550,698490,1.1,-44920,56140,-10160
2000-04-21,6700,7150,1199440,1.2,-468980,141700,-1780
2000-04-24,7090,6720,414370,1.13,32770,-31410,-60
2000-04-25,6650,6500,243390,1.09,-15530,14700,0
2000-04-26,6700,6100,397680,1.03,151110,-32050,350
2000-04-27,6050,6130,388370,1.03,-63950,40770,-3820
2000-04-28,6130,6190,241010,1.04,-9670,2170,7750
2000-05-02,6200,6220,281530,1.05,94580,-41500,-2510
2000-05-03,6300,6350,251340,1.07,26100,-20670,-5930
2000-05-04,6160,6230,240620,1.05,10340,-9910,-20
2000-05-08,6250,6220,327610,1.05,-76140,81980,-7920
2000-05-09,6220,6190,148890,1.04,10150,-9000,-1150
2000-05-10,6190,6200,278970,1.04,3970,11200,-15170
2000-05-12,6110,6100,200060,1.03,-13400,-28430,41830
2000-05-15,6010,5650,261200,0.95,54530,-58090,1560
2000-05-16,5700,5520,330110,0.93,140730,-3040,-96740
2000-05-17,5550,4800,620890,0.81,263440,-3880,-160660
2000-05-18,4320,4170,608060,0.7,215740,-70130,-145580
2000-05-19,4200,4170,1345050,0.7,614560,-613740,-157070
2000-05-22,3900,3810,493070,0.64,117510,-61390,-2220
2000-05-23,3610,3900,575130,0.66,34960,-1230,-53730
