Symbol,대상_시가(원),대상_종가(원),대상_거래량(주),대상_PER(IFRS-연결),대상_순매수수량(개인)(주),대상_순매수수량(기관계)(주),대상_순매수수량(외국인계)(주)
2000-01-04,4200,4400,1425150,13.33,-25130,-38480,-460
2000-01-05,4300,4130,1567250,12.51,-92700,44050,3650
2000-01-06,4200,3905,1526930,11.83,65290,-75170,10210
2000-01-07,3905,4490,2526910,13.6,-113510,98810,4700
2000-01-10,4600,4500,6304040,13.63,-30310,-25790,560
2000-01-11,4500,4500,3789100,13.63,78830,-87160,1040
2000-01-12,4550,4400,2922860,13.33,528110,-334780,25200
2000-01-13,4320,4200,2740450,12.72,703630,-431770,-17240
2000-01-14,4210,4180,2305030,12.66,78130,-76330,3200
2000-01-17,4180,4770,2659640,14.45,141270,-144620,3350
2000-01-18,4485,4200,5691950,12.72,-776090,771020,-4630
2000-01-19,4200,3900,2540890,11.81,196680,-117460,-71170
2000-01-20,3860,3670,1704350,11.11,-34440,36860,3280
2000-01-21,3650,3640,1974610,11.02,-18440,32340,-8690
2000-01-24,3610,3650,1520140,11.05,-49930,47310,2620
2000-01-25,3620,3770,4513670,11.42,159730,-131830,-27900
2000-01-26,3870,3685,2262380,11.16,111480,-91480,0
2000-01-27,3650,3790,2678520,11.48,51330,-51600,600
2000-01-28,3790,3740,1428410,11.33,35030,-22460,-4050
2000-01-31,3710,3740,1449520,11.33,16610,-16610,0
2000-02-01,3760,3710,1563960,11.24,98900,-46130,-52770
2000-02-02,3720,3830,2767790,11.6,-56340,56840,-500
2000-02-03,3850,3790,1504400,11.48,-9860,55860,0
2000-02-07,3750,3750,2016460,11.36,155720,-168990,12100
2000-02-08,3750,3650,2007990,11.05,-63560,71860,1010
2000-02-09,3680,3550,1973030,10.75,6360,-7060,700
2000-02-10,3510,3380,1918660,10.24,191790,-132590,300
2000-02-11,3270,3340,2093350,10.12,175170,-176630,820
2000-02-14,3350,3170,1613710,9.6,-122010,115510,6000
2000-02-15,3100,3000,1462670,9.09,-118070,91050,26020
2000-02-16,3100,3210,2911310,9.72,161780,-58670,-92470
2000-02-17,3350,3210,2225720,9.72,88600,190,-92290
2000-02-18,3250,3100,2536530,9.39,220090,-145940,-72750
2000-02-21,3010,2830,1515560,8.57,16300,14750,-31050
2000-02-22,2705,2700,1976750,8.18,-12080,7360,4900
2000-02-23,2810,3105,2009760,9.4,15720,-1430,-13600
2000-02-24,3100,3200,3494190,9.69,-714800,715790,-990
2000-02-25,3120,3220,1586530,9.75,-114670,104960,-260
2000-02-28,3100,3280,1774190,9.93,-78100,43490,4610
2000-02-29,3280,3170,1679380,9.6,-105100,96690,8410
2000-03-02,3170,3200,2172000,9.69,40330,-1980,11650
2000-03-03,3250,3115,1564420,9.43,-30600,41480,-10180
2000-03-06,3200,3450,3538590,10.45,-227920,160720,-28350
2000-03-07,3400,3540,3362680,10.72,-6400,-5290,16630
2000-03-08,3480,3340,1901300,10.12,129050,-98990,9940
2000-03-09,3450,3250,2681710,9.84,404600,-198390,-158850
2000-03-10,3460,3290,1729600,9.96,41960,-43230,1170
2000-03-13,3300,3520,5012560,10.66,-185940,229090,-47400
2000-03-14,3700,3700,5916970,11.21,-67030,-160890,1820
2000-03-15,3850,3550,3550210,10.75,151550,-121910,-4320
2000-03-16,3890,3700,3767620,11.21,-48910,96160,1190
2000-03-17,3700,3430,2016100,10.39,120010,-130700,4790
2000-03-20,3375,3300,1323190,9.99,-98690,83340,8590
2000-03-21,3210,3205,1417490,9.71,-134920,120410,2600
2000-03-22,3230,3250,1641180,9.84,-29950,16250,520
2000-03-23,3250,3070,1751550,9.3,363350,-352060,-360
2000-03-24,3100,3100,1093700,9.39,-32150,32040,260
2000-03-27,3150,3135,1280100,9.49,67560,-37710,60
2000-03-28,3105,3075,1208500,9.31,-28060,2310,15650
2000-03-29,3050,2900,1825550,8.78,16600,-15810,-760
2000-03-30,2810,2900,1468350,8.78,39340,-32550,3280
2000-03-31,2980,2930,908510,8.87,-219540,221940,-2530
2000-04-03,2900,2800,853260,8.48,2240,-2270,380
2000-04-04,2700,2740,955600,8.3,-92200,77250,13290
2000-04-06,2740,2670,538960,8.09,-7120,2780,5040
2000-04-07,2700,2725,905560,8.25,20000,-14550,-10480
2000-04-10,2670,2830,2073400,8.57,136540,-152550,20560
2000-04-11,2830,2660,1087940,8.06,69340,-70360,1320
2000-04-12,2660,2660,1063600,8.06,320960,-318910,-2600
2000-04-14,2580,2610,667100,7.91,42240,-41390,0
2000-04-17,2270,2230,1326530,6.75,12790,-20770,20790
2000-04-18,2360,2320,1170450,7.03,94880,-94160,540
2000-04-19,2350,2430,2201940,7.36,286740,-194680,-16570
2000-04-20,2460,2350,1020030,7.12,74590,-30170,-18070
2000-04-21,2350,2360,903560,7.15,16000,-9660,-2980
2000-04-24,2360,2330,1147420,7.06,159710,-159730,680
2000-04-25,2330,2275,726310,6.89,-13830,28930,-15000
2000-04-26,2300,2255,1166830,6.83,37320,-28640,-9230
2000-04-27,2200,2130,785470,6.45,-46130,43310,2800
2000-04-28,2080,2125,1451140,6.44,9060,-11490,2980
2000-05-02,2165,2220,1304820,6.72,118790,-91710,-3990
2000-05-03,2160,2180,913420,6.6,21720,-12770,-8880
2000-05-04,2185,2205,1229020,6.68,25530,-23310,-2220
2000-05-08,2250,2230,1408230,6.75,49040,-33980,-14660
2000-05-09,2200,2180,870550,6.6,-5670,30,5600
2000-05-10,2155,2130,949360,6.45,-2620,27120,-25050
2000-05-12,2110,2025,1238320,6.13,14530,-8610,-5900
2000-05-15,2000,1875,1199190,5.68,490,-1250,760
2000-05-16,1860,1920,1059820,5.81,1950,-620,-1760
2000-05-17,1900,1650,1253880,5,22740,-2820,-4210
2000-05-18,1560,1540,942450,4.66,1900,7930,170
2000-05-19,1555,1630,1070860,4.94,-4750,5510,-760
2000-05-22,1560,1470,625310,4.45,-3380,4770,-1390
2000-05-23,1350,1460,823870,4.42,-33070,16390,14880
2000-05-24,1420,1610,1449090,4.88,-8380,8860,-360
2000-05-25,1710,1850,803550,5.6,73710,-69390,-2640
2000-05-26,1880,1650,1991180,5,-31560,91130,15490
2000-05-29,1605,1810,1841210,5.48,10800,-34450,23890
2000-05-30,1920,1840,1552150,5.57,17920,-32980,15010
2000-05-31,1910,1890,2908590,5.72,116010,-30990,-9970
2000-06-01,1820,1800,1295170,5.45,45120,3540,-48660
2000-06-02,1830,1820,1714460,5.51,34590,-70290,35700
2000-06-05,1880,2090,3316920,6.33,14780,-11500,500
2000-06-07,2090,2175,3068760,6.59,-9580,-40140,-1140
2000-06-08,2110,2020,2623140,6.12,14850,-13460,-1390
2000-06-09,2020,2030,1554800,6.15,-4820,4420,120
2000-06-12,2010,2330,5582440,7.06,-21830,23170,-120
2000-06-13,2360,2300,5444330,6.97,-124300,129460,-6000
2000-06-14,2350,2200,1795550,6.66,3650,-6650,0
2000-06-15,2200,1930,1624740,5.85,174850,-175470,1500
2000-06-16,1855,1845,1490590,5.59,21210,-21970,760
2000-06-19,1790,1800,1115970,5.45,-13330,13480,0
2000-06-20,1840,1850,873110,5.6,6010,-6010,0
2000-06-21,1850,1870,1081640,5.66,13900,-14040,140
2000-06-22,1905,1850,1199460,5.6,3840,-3840,0
2000-06-23,1810,1820,628300,5.51,-210,150,190
2000-06-26,1830,1885,1469270,5.71,-259880,60540,430
2000-06-27,1930,1910,1252050,5.78,-12880,12770,190
2000-06-28,1930,1915,1481720,5.8,-39250,32410,6840
2000-06-29,1915,1870,1255810,5.66,22620,-22320,-300
2000-06-30,1865,1830,845990,5.54,-16890,16390,500
2000-07-03,1810,1910,1374670,5.78,-115340,115340,0
2000-07-04,1955,1890,1007420,5.72,2610,-2610,0
2000-07-05,1900,1845,1207010,5.59,-8460,7460,1000
2000-07-06,1830,1910,1926100,5.78,-100400,100450,-50
2000-07-07,1965,2110,4289000,6.39,57880,-64400,-3780
2000-07-10,2150,2100,3690930,6.36,61910,-48980,-2030
2000-07-11,2165,2030,2551200,6.15,-27520,27750,-230
2000-07-12,2070,1985,2072160,6.01,11880,-12010,130
2000-07-13,1990,2010,1308760,6.09,31370,-28330,-3040
2000-07-14,2010,2020,1568230,6.12,-18580,18580,0
2000-07-18,1980,1975,1216750,5.98,-8960,9390,0
2000-07-19,1910,1875,1309060,5.68,-14210,120,9090
2000-07-20,1820,1810,1114990,5.48,-44740,40050,4690
2000-07-21,1820,1810,931350,5.48,-6110,5930,180
2000-07-24,1750,1750,2714580,5.3,9420,-11750,2330
2000-07-25,1780,1750,979410,5.3,-49550,37740,11810
2000-07-26,1735,1755,778330,5.31,24700,-23700,-1000
2000-07-27,1760,1755,670180,5.31,-21070,22050,-190
2000-07-28,1735,1680,746690,5.09,-54810,36670,17600
2000-07-31,1640,1680,454900,5.09,-70530,62570,7690
2000-08-01,1680,1730,608670,5.24,43520,-44230,810
2000-08-02,1740,1935,3646480,5.86,-385550,-182130,-2340
2000-08-03,2000,1850,3677230,5.6,492990,-39640,-810
2000-08-04,1890,1800,1216060,5.45,13750,-13850,910
2000-08-07,1750,1700,1053100,5.15,7160,-8160,1000
2000-08-08,1650,1700,948690,5.15,-10890,9650,840
2000-08-09,1705,1740,713470,5.27,-28140,22580,5960
2000-08-10,1740,1750,593520,5.3,17640,-32090,13950
2000-08-11,1750,1755,881040,5.31,24660,-24340,180
2000-08-14,1770,1820,1743270,5.51,-22980,13530,-550
2000-08-16,1895,1845,2565280,5.59,90050,30070,4170
2000-08-17,1845,1795,1168580,5.44,22750,-19340,-50
2000-08-18,1800,1765,747750,5.35,20150,-20240,90
2000-08-21,1720,1745,481220,5.29,8400,-8220,-180
2000-08-22,1720,1780,725450,5.39,-42920,40220,2720
2000-08-23,1770,1735,550450,5.25,40120,-40760,640
2000-08-24,1730,1725,668300,5.22,-5920,2950,3150
2000-08-25,1725,1730,536310,5.24,-20070,20160,-90
2000-08-28,1705,1730,882960,5.24,-13130,17890,15460
2000-08-29,1750,1730,589880,5.24,21770,7220,-29490
2000-08-30,1720,1720,417940,5.21,34230,-25370,-360
2000-08-31,1710,1675,655070,5.07,49920,-50540,500
2000-09-01,1660,1690,409320,5.12,-17470,17470,0
2000-09-04,1695,1680,416520,5.09,23500,-26760,0
2000-09-05,1675,1700,971070,5.15,-46320,48410,-1420
2000-09-06,1715,1685,399600,5.1,-6580,5900,2680
2000-09-07,1675,1640,721400,4.97,26180,-36180,-9280
2000-09-08,1640,1620,382060,4.91,24950,-22120,-7850
2000-09-14,1600,1620,535040,4.91,114020,-80410,-33610
2000-09-15,1575,1625,2784860,4.92,36560,-13250,-23310
2000-09-18,1600,1445,832800,4.38,-55700,46420,7840
2000-09-19,1420,1450,609140,4.39,21910,-21070,-120
2000-09-20,1440,1500,647260,4.54,34950,-31900,-830
