Symbol,대한유화_시가(원),대한유화_종가(원),대한유화_거래량(주),대한유화_PER(IFRS-연결),대한유화_순매수수량(개인)(주),대한유화_순매수수량(기관계)(주),대한유화_순매수수량(외국인계)(주)
2000-01-04,28050,25600,160,9.15,0,0,0
2000-01-05,25600,23000,27870,8.22,8050,-8050,0
2000-01-06,24000,21800,12730,7.79,8770,-8770,0
2000-01-07,21800,22300,1700,7.97,0,0,0
2000-01-10,21500,22800,12570,8.15,10830,-10830,0
2000-01-11,23000,23100,8070,8.25,810,-810,0
2000-01-12,23100,23100,2280,8.25,680,-680,0
2000-01-13,22500,26500,45160,9.47,15960,-15960,0
2000-01-14,26000,29000,47080,10.36,-11120,12890,0
2000-01-17,27600,26000,63430,9.29,-38950,38950,0
2000-01-18,26100,25000,15060,8.93,2750,-2750,0
2000-01-19,25100,24000,21630,8.58,-1180,1180,0
2000-01-20,22500,23000,23010,8.22,6930,-6930,0
2000-01-21,22500,23600,1370,8.43,420,-420,0
2000-01-24,24500,22000,6660,7.86,3940,-3940,0
2000-01-25,24000,21950,4450,7.84,2440,-2440,0
2000-01-26,22000,21050,9880,7.52,8430,-8430,0
2000-01-27,22000,22800,172840,8.15,46990,-46990,0
2000-01-28,23000,25900,88970,9.25,-25700,25700,0
2000-01-31,24100,23900,5090,8.54,-360,360,0
2000-02-01,24900,24200,7310,8.65,-2270,2270,0
2000-02-02,24800,27800,65060,9.93,-22490,42490,0
2000-02-03,27000,28500,15880,10.18,-9060,9060,0
2000-02-07,27600,27900,7200,9.97,-1600,1600,0
2000-02-08,26350,26500,17710,9.47,480,-480,0
2000-02-09,25300,25800,8190,9.22,-3990,3990,0
2000-02-10,24900,25000,10450,8.93,1120,-1120,0
2000-02-11,24950,23000,38090,8.22,17700,-17700,0
2000-02-14,24900,23000,11450,8.22,2370,-2370,0
2000-02-15,23000,23150,6180,8.27,-1610,1610,0
2000-02-16,22500,22100,24110,7.9,-600,600,0
2000-02-17,23700,25400,73190,9.08,4270,-4270,0
2000-02-18,24500,26050,128390,9.31,-2660,8350,0
2000-02-21,25050,27000,39540,9.65,-28480,29990,0
2000-02-22,25600,25900,6860,9.25,-1980,2000,0
2000-02-23,25500,26000,4500,9.29,-590,590,0
2000-02-24,25200,26000,13170,9.29,-1150,1150,0
2000-02-25,25000,24500,2380,8.75,1060,-1060,0
2000-02-28,24000,23600,3580,8.43,140,-140,0
2000-02-29,24550,25800,5080,9.22,-2060,2060,0
2000-03-02,24750,24800,4000,8.86,20,-20,0
2000-03-03,26000,24550,3460,8.77,1740,-1740,0
2000-03-06,25900,23500,20380,8.4,11870,-11870,0
2000-03-07,23850,23600,14810,8.43,9430,-9430,0
2000-03-08,23100,23200,8600,8.29,1700,-1700,0
2000-03-09,22700,23100,7780,8.25,0,0,0
2000-03-10,23100,23350,5560,8.34,2640,-2640,0
2000-03-13,23100,23450,10110,8.38,170,-170,0
2000-03-14,24300,22800,11710,8.15,5880,-5880,0
2000-03-15,22800,25200,45110,9,-18080,18080,0
2000-03-16,23000,23700,4460,8.47,730,-730,0
2000-03-17,24500,23300,6560,8.32,30,410,0
2000-03-20,24200,23700,4780,8.47,1680,0,0
2000-03-21,23800,22850,5160,8.16,520,-520,0
2000-03-22,23200,22800,171300,8.15,7660,-7660,0
2000-03-23,23000,22000,28460,7.86,9410,-9410,0
2000-03-24,22900,22000,23040,7.86,7180,-7180,0
2000-03-27,22500,22450,12280,8.02,4900,-4900,0
2000-03-28,21900,22000,7110,7.86,1990,-1990,0
2000-03-29,21800,21000,114580,7.5,8940,91060,0
2000-03-30,23800,23000,151980,8.22,6440,93520,0
2000-03-31,23500,26400,73820,9.43,-16390,16390,0
2000-04-03,22500,22450,56050,8.02,19810,-19810,0
2000-04-04,21100,21000,9820,7.5,610,-610,0
2000-04-06,20500,19100,20750,6.82,8600,-8600,0
2000-04-07,18000,18900,14900,6.75,4210,-4210,0
2000-04-10,19200,18600,54630,6.65,35790,-30340,0
2000-04-11,19500,17350,31520,6.2,23200,-23200,0
2000-04-12,17550,17350,30890,6.2,15370,-15370,0
2000-04-14,16500,15550,34180,5.56,19900,-19900,0
2000-04-17,14100,13250,34750,4.73,16530,-16530,0
2000-04-18,13550,13200,97090,4.72,71160,-71160,0
2000-04-19,14200,14500,334100,5.18,168220,-168220,0
2000-04-20,14600,15400,253160,5.5,9810,-9810,0
2000-04-21,16200,16500,199180,5.9,-34210,34210,0
2000-04-24,16500,16200,99760,5.79,-3380,3350,0
2000-04-25,15800,15600,41630,5.57,-12000,12000,0
2000-04-26,15700,14200,73860,5.07,-750,650,0
2000-04-27,14600,13700,37200,4.89,-1390,1520,0
2000-04-28,13800,15750,195740,5.63,20270,-20270,0
2000-05-02,15800,16150,146150,5.77,7840,-7840,0
2000-05-03,15800,15500,46450,5.54,-9220,9220,0
2000-05-04,15600,15400,51190,5.5,-14260,4260,0
2000-05-08,15350,15500,55200,5.54,5510,-4010,0
2000-05-09,15600,15650,51810,5.59,7000,-7000,0
2000-05-10,15500,15050,30500,5.38,-1400,1400,0
2000-05-12,14550,14400,50040,5.15,-1640,-18560,0
2000-05-15,14050,13000,28790,4.64,-4500,4500,0
2000-05-16,13200,13000,33290,4.64,-2280,2280,0
2000-05-17,13000,11050,106200,3.95,10280,-10280,0
2000-05-18,11050,10400,36190,3.72,8000,-8000,0
2000-05-19,10450,10300,37650,3.68,-3850,-16150,0
2000-05-22,9710,8910,17270,3.18,3150,-3150,0
2000-05-23,8960,8800,21870,3.14,-4820,-5180,0
2000-05-24,8850,8990,18820,3.21,-7580,-2420,0
2000-05-25,9300,10100,16650,3.61,3270,-3270,0
2000-05-26,10150,9190,26300,3.28,-8000,-2000,0
2000-05-29,7820,8800,10220,3.14,430,-430,0
2000-05-30,9500,10050,12960,3.59,810,-810,0
2000-05-31,10900,10800,35790,3.86,9320,-15320,6000
2000-06-01,10800,10550,20280,3.77,3000,-8000,5000
2000-06-02,10750,10500,32630,3.75,8420,-18420,0
2000-06-05,10700,11150,51420,3.98,23020,-13020,0
2000-06-07,11200,11850,157240,4.23,57570,-61370,0
2000-06-08,12100,10800,72940,3.86,-5110,-890,0
2000-06-09,10850,10800,67090,3.86,-8970,-1030,0
2000-06-12,10400,10150,50650,3.63,6600,-7100,500
2000-06-13,10150,10050,86380,3.59,7910,-47410,-500
2000-06-14,9700,9900,8110,3.54,-1030,1030,0
2000-06-15,9900,9140,12200,3.27,0,0,0
2000-06-16,8550,9500,16350,3.39,0,0,0
2000-06-19,9110,8900,19710,3.18,7080,-7080,0
2000-06-20,9010,9020,28410,3.22,7610,-7610,0
2000-06-21,9190,9500,46920,3.39,8120,-14180,-11000
2000-06-22,9700,9500,22620,3.39,2800,-2800,0
2000-06-23,9520,9550,60150,3.41,23850,-43850,0
2000-06-26,9540,9700,59660,3.47,2880,-240,0
2000-06-27,10000,10700,165460,3.82,41870,-8510,0
2000-06-28,10900,11500,200390,4.11,16900,-13900,0
2000-06-29,11650,10800,68350,3.86,4000,-4000,0
2000-06-30,11400,11300,33450,4.04,2000,-6000,3000
2000-07-03,10800,11450,58550,4.09,4780,-6280,0
2000-07-04,11550,11550,84350,4.13,10530,-10530,0
2000-07-05,11800,11700,121750,4.18,-24000,-16900,0
2000-07-06,11700,11700,85470,4.18,-4670,6350,0
2000-07-07,12000,12600,219550,4.5,4890,-4890,0
2000-07-10,12450,12200,69560,4.36,-50,50,0
2000-07-11,12600,12000,86570,4.29,-28990,-11010,0
2000-07-12,12050,11400,76420,4.07,-35010,-4990,0
2000-07-13,11450,11600,25560,4.14,-12680,1000,0
2000-07-14,11650,11350,33270,4.06,-20650,650,0
2000-07-18,11800,11350,35290,4.06,-21110,1110,0
2000-07-19,10900,11250,20770,4.02,-11560,11560,0
2000-07-20,11300,11000,27780,3.93,-730,-17570,0
2000-07-21,11050,11050,14510,3.95,-7110,190,0
2000-07-24,11100,10550,45270,3.77,-33510,-3490,-3000
2000-07-25,10600,10750,8280,3.84,-5760,0,0
2000-07-26,10900,10500,22930,3.75,-18570,-10,0
2000-07-27,10400,10100,4630,3.61,0,0,0
2000-07-28,10000,9650,9930,3.45,0,0,0
2000-07-31,9500,9300,6690,3.32,0,0,0
2000-08-01,9300,9800,10530,3.5,4870,-4870,0
2000-08-02,9410,9650,4470,3.45,0,0,0
2000-08-03,9750,9700,6540,3.47,40,-40,0
2000-08-04,9800,9650,3750,3.45,0,0,0
2000-08-07,9600,9600,4860,3.43,0,0,0
2000-08-08,9600,9750,66570,3.48,0,0,0
2000-08-09,9900,11200,51360,4,20000,-20000,0
2000-08-10,12150,10800,116180,3.86,20060,-20060,0
2000-08-11,11000,11200,37210,4,2030,-2030,0
2000-08-14,11300,11750,437330,4.2,10500,-10500,0
2000-08-16,12000,13500,196100,4.82,5060,-7160,0
2000-08-17,13600,13900,216740,4.97,-28410,28410,0
2000-08-18,13500,13100,57910,4.68,-7000,7000,0
2000-08-21,12800,12000,35180,4.29,-1000,1000,0
2000-08-22,12200,12100,22500,4.32,-6500,6500,0
2000-08-23,12100,11900,20470,4.25,-4980,4480,0
2000-08-24,11900,11850,13350,4.23,-7050,7050,0
2000-08-25,10600,12000,14270,4.29,-6500,6500,0
2000-08-28,12300,11950,10360,4.27,-2920,3000,0
2000-08-29,12200,12050,14670,4.31,-8580,9000,0
2000-08-30,11750,11850,10090,4.23,-5530,6030,0
2000-08-31,12000,11400,9620,4.07,-7590,8390,0
2000-09-01,11800,11800,15660,4.22,-3980,4000,0
2000-09-04,11800,12200,14220,4.36,-7000,7000,0
2000-09-05,12400,12300,25110,4.39,-2530,2740,0
2000-09-06,12100,12000,12950,4.29,-4650,5240,0
2000-09-07,12000,11500,12200,4.11,-5690,5690,0
2000-09-08,11300,11600,7900,4.14,-3290,3290,0
2000-09-14,11300,11500,5180,4.11,-3500,3500,0
2000-09-15,11600,11600,3510,4.14,0,0,0
2000-09-18,11200,10900,9760,3.89,-3580,3580,0
2000-09-19,10500,10000,9040,3.57,2040,-2040,0
2000-09-20,10000,10500,5380,3.75,10,-10,0
2000-09-21,10100,10300,13320,3.68,-100,-4900,0
2000-09-22,10000,9800,3540,3.5,0,0,0
2000-09-25,10000,9800,4260,3.5,-160,160,0
2000-09-26,9550,9800,2520,3.5,-630,0,0
2000-09-27,9800,10000,4360,3.57,-840,220,0
2000-09-28,10200,10000,3840,3.57,0,0,0
2000-09-29,10000,10300,10790,3.68,0,0,0
2000-10-02,10900,10100,5160,3.61,0,0,0
2000-10-04,10100,10300,12680,3.68,50,3200,0
2000-10-05,10100,10400,10790,3.72,-5550,5550,0
2000-10-06,10200,10400,12690,3.72,-5080,5080,0
2000-10-09,10300,10300,3940,3.68,0,0,0
2000-10-10,10300,10000,4090,3.57,0,0,0
2000-10-11,9800,10000,7740,3.57,-3860,3860,0
2000-10-12,10000,9800,3380,3.5,0,0,0
2000-10-13,9700,9800,8110,3.5,-2580,2580,0
2000-10-16,10100,10200,8220,3.64,-2840,2840,0
2000-10-17,10200,10650,21750,3.81,0,0,0
2000-10-18,10700,10650,13580,3.81,-4140,4140,0
2000-10-19,10450,10700,8590,3.82,-2420,2420,0
2000-10-20,10600,11000,10530,3.93,-3150,1970,1180
2000-10-23,11300,10950,13790,3.91,7890,-6970,0
2000-10-24,11550,10800,16080,3.86,6500,-6500,0
2000-10-25,10800,10350,7030,3.7,-40,0,0
2000-10-26,10350,10000,12150,3.57,-830,870,0
2000-10-27,9930,10200,10530,3.64,-4160,4160,0
2000-10-30,10300,10100,3200,3.61,-1110,1110,0
2000-10-31,9910,10100,10470,3.61,-2050,2050,0
2000-11-01,10200,10500,11550,3.75,20,-20,0
2000-11-02,10600,10500,8370,3.75,-510,510,0
2000-11-03,10800,10400,4990,3.72,-3170,3170,0
2000-11-06,10450,10550,2650,3.77,20,-20,0
2000-11-07,11000,10500,3190,3.75,160,0,0
2000-11-08,10350,10500,5130,3.75,-3340,3340,0
2000-11-09,10500,10400,3510,3.72,-2080,2080,0
2000-11-10,10100,10550,7390,3.77,-5300,5300,0
2000-11-13,10550,10800,8660,3.86,2920,-1000,0
2000-11-14,10800,10850,10010,3.88,-2070,2070,0
2000-11-15,10700,10800,9910,3.86,1150,-1150,0
2000-11-16,10800,12400,47170,4.43,200,-200,0
2000-11-17,12900,13600,106820,4.86,1000,0,0
2000-11-20,13400,12500,42270,4.47,-300,260,40
2000-11-21,12200,12400,32050,4.43,-720,760,-40
2000-11-22,12400,12700,62390,4.54,18000,-18000,0
2000-11-23,11500,12000,22950,4.29,-6610,6610,0
2000-11-24,12500,12200,17130,4.36,-1030,1030,0
2000-11-27,11500,11900,17170,4.25,10,-10,0
2000-11-28,12500,12500,51580,4.47,6210,-6210,0
2000-11-29,12500,12350,34710,4.41,-7700,7700,0
2000-11-30,12350,12600,22710,4.5,-1440,1440,0
2000-12-01,12100,12300,22490,4.39,930,-1630,0
2000-12-04,12700,12050,18330,4.31,1700,-1700,0
2000-12-05,12050,12000,25930,4.29,-7400,7400,0
2000-12-06,12000,11950,31060,4.27,-1080,980,100
2000-12-07,11950,11850,12730,4.23,-5560,5660,-100
2000-12-08,11800,11700,20650,4.18,-2500,2500,0
2000-12-11,11400,11500,15420,4.11,-490,490,0
2000-12-12,11450,11300,12210,4.04,-1040,1040,0
2000-12-13,11500,11350,14130,4.06,-1560,1560,0
2000-12-14,11500,11100,3940,3.97,600,-600,0
2000-12-15,10900,11500,12000,4.11,1030,-1030,0
2000-12-18,11700,11500,12240,4.11,2380,-2380,0
2000-12-19,11550,11600,36560,4.14,12560,-12560,0
2000-12-20,11700,11200,22150,4,-7340,7340,0
2000-12-21,10900,10500,18400,3.75,-3570,14000,0
2000-12-22,10300,9900,22150,3.54,-4430,10800,0
2000-12-26,9570,9900,21130,3.54,-6700,18490,0
2001-01-02,9600,9600,5790,,3820,-3820,0
2001-01-03,9600,9700,1590,,0,0,0
2001-01-04,10000,9900,55710,,43470,-5900,0
2001-01-05,9720,9700,22260,,-7440,7440,0
2001-01-08,9790,9720,15000,,10,-10,0
2001-01-09,9630,9820,11910,,0,0,0
2001-01-10,9880,9400,14780,,20,-20,0
2001-01-11,9400,9600,15940,,-3970,3970,0
2001-01-12,9600,9800,11380,,-3830,3830,0
2001-01-15,9800,9680,10840,,970,-970,0
2001-01-16,9600,9460,9170,,50,-50,0
2001-01-17,9500,9500,10780,,-190,190,0
2001-01-18,9500,9420,6120,,0,0,0
2001-01-19,9400,9350,7230,,-110,110,0
2001-01-22,9300,9200,12920,,8590,-8590,0
2001-01-26,9200,9070,8630,,3390,-3390,0
2001-01-29,9020,9210,30540,,16510,-16510,0
2001-01-30,9280,9120,27330,,12080,-12080,0
2001-01-31,9170,9150,16540,,650,-650,0
2001-02-01,9200,9050,18310,,2870,-2870,0
2001-02-02,8760,8900,20520,,3280,-3280,0
2001-02-05,8910,8500,13510,,1810,-1810,0
2001-02-06,8310,8950,32210,,5010,-5010,0
2001-02-07,8490,8530,15570,,5010,-5010,0
2001-02-08,8700,8550,10700,,0,0,0
2001-02-09,8400,8540,16280,,6520,-6520,0
2001-02-12,8450,8350,13480,,-90,-10,0
2001-02-13,8400,8440,12940,,2010,-2010,0
2001-02-14,8320,8450,13870,,3670,-3670,0
2001-02-15,8460,8690,20770,,6020,-6020,0
2001-02-16,8790,8480,19110,,6080,-6080,0
2001-02-19,8550,8500,6810,,0,0,0
2001-02-20,8500,8700,26110,,6850,-6850,0
2001-02-21,8700,8500,20030,,5790,-5790,0
2001-02-22,8600,8700,14810,,0,0,0
2001-02-23,8770,9140,39930,,-300,0,0
2001-02-26,9400,9140,18010,,0,0,0
2001-02-27,9100,8850,22610,,-30,30,0
2001-02-28,8520,8580,14590,,0,0,0
2001-03-02,8610,8300,15700,,0,0,0
2001-03-05,8180,8050,14570,,0,0,0
2001-03-06,8060,8060,8080,,0,0,0
2001-03-07,8150,8090,12080,,20,-20,0
2001-03-08,8090,8520,26540,,20,-20,0
2001-03-09,8450,8330,10270,,-160,-10,0
2001-03-12,8500,8100,7180,,-50,50,0
2001-03-13,7900,7870,14630,,-2000,0,0
2001-03-14,7850,8090,5450,,0,0,0
2001-03-15,7810,7980,8390,,0,0,0
2001-03-16,7810,7970,5480,,0,0,0
2001-03-19,7900,7850,3220,,0,0,0
2001-03-20,7810,7970,4380,,0,0,0
2001-03-21,7750,7840,6500,,0,0,0
2001-03-22,7760,7800,3110,,0,0,0
2001-03-23,7880,7840,4070,,0,0,0
2001-03-26,7890,8040,7800,,0,0,0
2001-03-27,8100,7920,3900,,0,0,0
2001-03-28,8050,7880,3300,,0,0,0
2001-03-29,7900,7800,3380,,0,0,0
2001-03-30,7800,7610,6520,,20,-20,0
2001-04-02,7520,7470,6920,,0,0,0
2001-04-03,7210,7000,7690,,1760,-1770,0
2001-04-04,6720,6600,5880,,-40,0,0
2001-04-06,6800,6670,10160,,4200,-4150,0
2001-04-09,6700,6520,5320,,10,-10,0
2001-04-10,6320,6550,5140,,0,0,0
2001-04-11,6780,6600,25580,,9640,-9640,0
2001-04-12,6760,6770,7460,,0,0,0
2001-04-13,6770,6780,3300,,0,0,0
2001-04-16,6630,6750,7940,,10,-10,0
2001-04-17,6750,7050,12660,,10,-10,0
2001-04-18,7050,7240,7900,,-2100,2100,0
2001-04-19,7320,7280,7000,,0,0,0
2001-04-20,7400,7190,3880,,0,0,0
2001-04-23,7180,7000,5510,,0,0,0
2001-04-24,7150,7080,61870,,-40,54840,0
2001-04-25,7140,7100,2260,,0,0,0
2001-04-26,7010,7060,63310,,-670,-54830,0
2001-04-27,6930,6960,2820,,20,-20,0
2001-04-30,6870,6980,4680,,0,0,0
2001-05-02,6900,7000,7680,,2100,-2100,0
2001-05-03,7090,7000,5430,,0,0,0
2001-05-04,7010,6940,5630,,0,0,0
2001-05-07,6960,6950,5760,,0,0,0
2001-05-08,7050,7050,11150,,60,-60,0
2001-05-09,7060,7050,7180,,820,-820,0
2001-05-10,7050,7020,25780,,13220,-13220,0
2001-05-11,7100,7200,545940,,5080,523750,0
2001-05-14,7600,8280,99720,,1000,-1000,0
2001-05-15,9500,8400,247750,,25570,-25000,0
2001-05-16,8590,8200,95280,,2970,-2970,0
2001-05-17,8250,7750,88170,,-490,490,0
2001-05-18,7950,7640,35100,,-200,200,0
2001-05-21,7730,7680,47730,,0,0,0
2001-05-22,7680,7620,31030,,-970,970,0
2001-05-23,7710,7640,40140,,2920,-2920,0
2001-05-24,7780,7690,35440,,18110,-18110,0
2001-05-25,7800,7790,43670,,7190,-7190,0
2001-05-28,7870.0,8130.0,628900.0,,28980,-529880,0
2001-05-29,8200.0,7910.0,35300.0,,-510,510,0
2001-05-30,8050.0,8170.0,59700.0,,15950,-15950,0
2001-05-31,7980.0,8130.0,21770.0,,30,-30,0
2001-06-01,9340.0,9340.0,46030.0,,14700,-14700,0
2001-06-04,10700.0,10700.0,467330.0,,39820,-38020,0
2001-06-05,10300.0,9940.0,300070.0,,4970,-4770,0
2001-06-07,10300.0,10150.0,159660.0,,-9620,9620,0
2001-06-08,10300.0,9900.0,118870.0,,-3900,3900,0
2001-06-11,9740.0,9380.0,62500.0,,-500,500,0
2001-06-12,9150.0,9000.0,84460.0,,-390,390,0
2001-06-13,9370.0,8960.0,51630.0,,-100,100,0
2001-06-14,9000.0,9200.0,50380.0,,-5960,3440,1700
2001-06-15,9390.0,9240.0,47840.0,,180,-30,0
2001-06-18,9250.0,9690.0,77950.0,,770,-590,0
2001-06-19,9980.0,9250.0,42140.0,,-7200,3880,1660
2001-06-20,9250.0,8970.0,47390.0,,-790,390,0
2001-06-21,9000.0,8700.0,24500.0,,-2840,2030,0
2001-06-22,8560.0,8450.0,32860.0,,-920,660,0
2001-06-25,8400.0,8460.0,17720.0,,-400,160,0
2001-06-26,8700.0,8180.0,22710.0,,-810,670,0
2001-06-27,7850.0,8050.0,18780.0,,-2870,2090,90
2001-06-28,7910.0,8090.0,19320.0,,-470,340,0
2001-06-29,8300.0,8170.0,16210.0,,-280,20,0
2001-07-02,8170.0,8200.0,10250.0,,720,-300,0
2001-07-03,8210.0,8100.0,15720.0,,830,-30,0
2001-07-04,8120.0,8110.0,21090.0,,-530,650,440
2001-07-05,8230.0,8340.0,20830.0,,1200,-1380,0
2001-07-06,8400.0,8300.0,39410.0,,2570,-1990,-440
2001-07-09,8200.0,7690.0,32480.0,,-6200,50,0
2001-07-10,7690.0,7650.0,12660.0,,-920,920,0
2001-07-11,7530.0,7290.0,7870.0,,-260,260,0
2001-07-12,7250.0,7020.0,9610.0,,3570,-2350,-90
2001-07-13,7450.0,7030.0,18680.0,,910,-530,0
2001-07-16,7050.0,7000.0,23020.0,,-4000,40,0
2001-07-18,6870.0,6670.0,21310.0,,2270,-980,0
2001-07-19,6550.0,6500.0,22770.0,,-420,330,0
2001-07-20,6500.0,6500.0,11070.0,,-580,-1280,0
2001-07-23,6550.0,6400.0,8550.0,,-680,200,480
2001-07-24,6450.0,6510.0,8910.0,,-1220,640,400
2001-07-25,6300.0,6410.0,7510.0,,770,-500,0
2001-07-26,6800.0,6410.0,5130.0,,1870,-1780,0
2001-07-27,6450.0,6580.0,5800.0,,280,-740,0
2001-07-30,6600.0,6560.0,3340.0,,370,-1130,0
2001-07-31,6590.0,6810.0,8980.0,,-3570,60,0
2001-08-01,6680.0,6810.0,9350.0,,1450,-1070,0
2001-08-02,7000.0,6930.0,14950.0,,300,-160,0
2001-08-03,6940.0,6730.0,11720.0,,4840,-4280,-270
2001-08-06,6880.0,6750.0,8160.0,,-400,400,0
2001-08-07,6610.0,6750.0,18010.0,,5960,-6050,0
2001-08-08,6750.0,6690.0,7730.0,,-2460,-230,0
2001-08-09,6550.0,6600.0,11820.0,,-1310,-630,0
2001-08-10,6800.0,6710.0,6720.0,,-2630,80,0
2001-08-13,6800.0,6900.0,12770.0,,130,-180,0
2001-08-14,6960.0,6900.0,6300.0,,-1030,780,0
2001-08-16,6810.0,6860.0,14960.0,,590,-590,0
2001-08-17,6760.0,6710.0,10760.0,,-2420,-30,0
2001-08-20,6620.0,6710.0,7260.0,,-5540,-20,0
2001-08-21,6730.0,6800.0,2720.0,,-500,250,0
2001-08-22,6600.0,6860.0,8430.0,,-860,450,0
2001-08-23,6860.0,6940.0,4060.0,,-10,-40,0
2001-08-24,7400.0,6990.0,4430.0,,-280,230,0
2001-08-27,6990.0,6910.0,3400.0,,-1030,830,0
2001-08-28,7030.0,6750.0,4200.0,,140,-390,0
2001-08-29,6730.0,6840.0,6380.0,,-2510,-560,0
2001-08-30,6710.0,6840.0,5790.0,,-2440,-170,0
2001-08-31,6610.0,6580.0,11700.0,,-4950,800,0
2001-09-03,6720.0,6360.0,4180.0,,-440,290,0
2001-09-04,6250.0,6400.0,4860.0,,-30,-60,30
2001-09-05,6410.0,6310.0,3160.0,,560,-410,0
2001-09-06,6320.0,6310.0,2320.0,,-300,250,0
2001-09-07,6250.0,6550.0,3460.0,,60,-140,60
2001-09-10,6430.0,6450.0,3200.0,,1240,-860,-30
