Symbol,대한항공_시가(원),대한항공_종가(원),대한항공_거래량(주),대한항공_PER(IFRS-연결),대한항공_순매수수량(개인)(주),대한항공_순매수수량(기관계)(주),대한항공_순매수수량(외국인계)(주)
2000-01-04,10700,11800,2247400,3.64,472370,-534850,-87670
2000-01-05,11600,13100,2645080,4.04,-74300,-292380,-4540
2000-01-06,13000,11600,1862150,3.58,140620,-199780,-382770
2000-01-07,12000,12000,1593500,3.7,-209930,-135730,-94870
2000-01-10,11800,11750,1043950,3.62,19130,-220370,10080
2000-01-11,11600,11800,1234510,3.64,93140,-335470,37270
2000-01-12,11600,11100,882660,3.42,257860,-59250,-198870
2000-01-13,10900,11450,834680,3.53,41660,-12300,-32000
2000-01-14,11900,11150,767130,3.44,182180,-81760,-100020
2000-01-17,10900,10750,962490,3.31,236110,-242160,7050
2000-01-18,10500,10200,991200,3.15,300250,-311880,22380
2000-01-19,10100,9200,1318060,2.84,272480,-258590,-12550
2000-01-20,8800,8590,1090070,2.65,181400,-140480,-35920
2000-01-21,8710,8700,1547900,2.68,489680,-372340,-14180
2000-01-24,8510,8600,1354630,2.65,467430,-407080,-61350
2000-01-25,8500,8300,796140,2.56,174120,-196220,22000
2000-01-26,8350,8550,1107040,2.64,124690,-124800,110
2000-01-27,8620,9450,1392730,2.91,-133760,85080,-4050
2000-01-28,9500,9340,925730,2.88,-74070,69830,-9680
2000-01-31,9150,9500,922460,2.93,-183700,181800,400
2000-02-01,9900,10600,1978000,3.27,-128050,72970,8840
2000-02-02,10600,10750,1496410,3.31,39080,-66670,37090
2000-02-03,10750,10500,702530,3.24,2700,43720,-26720
2000-02-07,10300,10500,1386450,3.24,140920,-159400,-70840
2000-02-08,10300,10600,754430,3.27,-226220,187480,910
2000-02-09,10500,10150,1042250,3.13,-15940,15290,3250
2000-02-10,10000,9310,1234130,2.87,511180,-277940,-117350
2000-02-11,9010,8970,1373570,2.77,411460,-412610,1130
2000-02-14,8550,8610,959600,2.65,28580,-15500,-12080
2000-02-15,8650,8610,774600,2.65,65080,-79170,15590
2000-02-16,8650,8830,849780,2.72,-16070,27860,50220
2000-02-17,8830,9130,997720,2.82,-25610,-79390,95680
2000-02-18,9000,8670,866220,2.67,255190,-252520,-3010
2000-02-21,8540,8150,640910,2.51,71750,-67180,-4570
2000-02-22,8200,7900,636120,2.44,32290,500,-13490
2000-02-23,8000,8700,1207080,2.68,-72890,67530,7070
2000-02-24,8200,8050,754410,2.48,174810,-192360,7550
2000-02-25,7900,8020,639000,2.47,167910,-165890,7880
2000-02-28,7890,7700,860830,2.37,252080,-95350,-106730
2000-02-29,8300,7750,884200,2.39,195980,-84510,-112240
2000-03-02,8100,8200,2097070,2.53,239100,-134880,-104220
2000-03-03,8200,7920,1043270,2.44,342150,-276340,-65000
2000-03-06,8200,8550,2132440,2.64,291030,-295430,50
2000-03-07,8550,8760,2093880,2.7,7500,-186080,-1840
2000-03-08,8490,8600,1171650,2.65,-176630,86590,-300
2000-03-09,9100,8800,1852960,2.71,462070,-231060,-134530
2000-03-10,8900,8550,1137530,2.64,278680,-284610,-870
2000-03-13,8400,8290,1185530,2.56,143160,-115070,-13320
2000-03-14,8200,8070,772140,2.49,-5900,7250,-1350
2000-03-15,7840,8000,825300,2.47,113180,-62270,-6000
2000-03-16,8510,8400,3026390,2.59,641100,-467790,43990
2000-03-17,9000,8600,2156370,2.65,-55410,-37460,55060
2000-03-20,8460,8560,1241390,2.64,-21120,14430,5820
2000-03-21,8560,8800,1479230,2.71,-173360,96700,66800
2000-03-22,8980,9600,2977420,2.96,-332010,-54240,339830
2000-03-23,9500,9240,1718040,2.85,-126330,-23220,150770
2000-03-24,9700,9670,1616190,2.98,-12040,54600,-10440
2000-03-27,10000,10300,2555110,3.18,-153760,376940,-59790
2000-03-28,10100,10100,1604720,3.11,-185780,189530,-14880
2000-03-29,10300,11300,5339710,3.48,-576630,542700,78170
2000-03-30,11700,11300,3590640,3.48,-387880,21470,339130
2000-03-31,11100,10500,1495950,3.24,-451550,359620,15870
2000-04-03,10400,10700,1405800,3.3,-187510,61070,78050
2000-04-04,10400,10950,1181540,3.38,-313450,184740,77490
2000-04-06,10950,10450,781000,3.22,-162150,76700,38850
2000-04-07,10500,10800,1140670,3.33,-234510,142890,115740
2000-04-10,10900,11700,1725590,3.61,-443470,408160,51010
2000-04-11,11700,11000,1790200,3.39,-1910,-53340,-44740
2000-04-12,10850,11500,1463080,3.55,-404790,600460,-234940
2000-04-14,11200,11550,812900,3.56,-251830,238490,-40
2000-04-17,10300,10000,1045700,3.08,-205750,181000,10650
2000-04-18,11000,10450,1014570,3.22,-15190,19310,-80
2000-04-19,10650,10600,1062310,3.27,-260570,215580,-26820
2000-04-20,10500,10700,975790,3.3,-184720,240550,-68960
2000-04-21,10750,11100,849430,3.42,-304710,310500,-5700
2000-04-24,11200,10750,685650,3.31,-109470,154630,-43960
2000-04-25,10550,10800,414570,3.33,-125490,134320,-15780
2000-04-26,10900,10300,558130,3.18,-102440,123950,-22880
2000-04-27,10000,9990,772940,3.08,-90230,99360,-10360
2000-04-28,9800,10200,729190,3.15,18690,23380,7990
2000-05-02,10000,9980,559970,3.08,-3150,24580,-10960
2000-05-03,9850,9800,321850,3.02,-78790,87300,-8460
2000-05-04,9610,9570,460560,2.95,52610,-63190,2120
2000-05-08,9500,9400,655230,2.9,146030,-137150,-8900
2000-05-09,9400,9100,1180350,2.81,128620,-165230,14860
2000-05-10,8900,8680,2130260,2.68,927680,-553630,-371310
2000-05-12,8700,8120,1674880,2.5,453400,-223870,-182390
2000-05-15,7800,7050,1326660,2.17,580460,-567410,12950
2000-05-16,7010,7100,1605670,2.19,815700,-651310,-130250
2000-05-17,7090,6300,1819070,1.94,235760,-156250,-17780
2000-05-18,6000,6000,1252740,1.85,307940,-326870,47660
2000-05-19,5950,6020,1110560,1.86,353720,-322930,-28790
2000-05-22,5850,5520,736280,1.7,137850,-166640,780
2000-05-23,5300,5600,1048670,1.73,204350,-128460,-3230
2000-05-24,5550,6140,1630170,1.89,232200,-160920,-47150
2000-05-25,6400,7060,2292900,2.18,-59820,-131200,-56890
2000-05-26,6890,6400,1161350,1.97,-458610,448010,20900
2000-05-29,6110,6690,798300,2.06,-45700,49740,-290
2000-05-30,6810,7050,1407460,2.17,82860,-143730,-3110
2000-05-31,7400,7110,1287430,2.19,45670,-97690,-18180
2000-06-01,7050,6900,926470,2.13,49400,-37220,-13570
2000-06-02,7130,7050,1027780,2.17,125150,-160990,31840
2000-06-05,7300,8040,2379380,2.48,72930,-250280,70400
2000-06-07,7910,8290,2544780,2.56,137240,-12500,-123250
2000-06-08,8200,7650,1796000,2.36,196760,-174120,-18790
2000-06-09,7800,7900,1931320,2.44,46610,-123150,-1660
2000-06-12,7900,8200,1782890,2.53,16220,-35140,20170
2000-06-13,7900,7600,913560,2.34,-16420,5050,-150
2000-06-14,7600,7500,684620,2.31,-47550,-13440,1230
2000-06-15,7500,7100,1175040,2.19,197600,-465920,289700
2000-06-16,7200,7450,1490560,2.3,-67610,-41340,730
2000-06-19,7000,7100,820440,2.19,-6720,-12030,-420
2000-06-20,7210,7300,872530,2.25,68160,-75860,-28460
2000-06-21,7560,7480,1450660,2.31,-67970,-16060,380
2000-06-22,7580,7490,855600,2.31,-3070,14660,-9940
2000-06-23,7390,7680,1688640,2.37,-429870,470270,630
2000-06-26,7900,8300,2042560,2.56,-570690,576710,-55440
2000-06-27,8400,9500,4091390,2.93,-599110,175250,19310
2000-06-28,9700,9600,3422640,2.96,-737880,372190,335880
2000-06-29,9500,9130,1753190,2.82,-229380,216660,91490
2000-06-30,9100,9250,1407470,2.85,-5580,-59490,88900
2000-07-03,9200,9550,1141710,2.94,-244870,306570,16350
2000-07-04,9500,8990,802730,2.77,147070,-50830,200
2000-07-05,8990,9300,810040,2.87,-159120,44450,114570
2000-07-06,9310,10050,2451170,3.1,-6370,-151630,128600
2000-07-07,10000,10450,1789950,3.22,-386130,-4560,448670
2000-07-10,10500,10200,1335550,3.15,133680,-56200,25780
2000-07-11,10400,10100,2257220,3.11,47040,-110710,109970
2000-07-12,10400,9900,1123570,3.05,11360,-46650,26370
2000-07-13,9900,10100,1055200,3.11,140550,-185890,39990
2000-07-14,10150,9700,699710,2.99,-76620,64530,-710
2000-07-18,9500,9290,744590,2.86,-64430,-37680,96770
2000-07-19,9100,8960,622310,2.76,-57610,92860,-32530
2000-07-20,8710,8900,908820,2.74,23920,-13650,18450
2000-07-21,9290,9020,688380,2.78,-28990,15210,-7420
2000-07-24,8800,8670,524520,2.67,-239250,110190,13290
2000-07-25,8520,8730,609200,2.69,-52800,-53460,32830
2000-07-26,8500,9200,618640,2.84,-175360,142470,16040
2000-07-27,9010,8990,710830,2.77,23550,140740,-200920
2000-07-28,8760,8810,580290,2.72,-129840,-17790,110830
2000-07-31,8800,8870,568240,2.74,-84750,53380,25980
2000-08-01,8950,9080,498050,2.8,-52410,-4570,59970
2000-08-02,8880,8900,764460,2.74,128920,-27930,-162640
2000-08-03,8900,8900,601270,2.74,-71340,27910,18800
2000-08-04,8810,8600,291350,2.65,52920,-51370,-5630
2000-08-07,8450,8200,355350,2.53,-9530,-42470,53000
2000-08-08,8200,8000,299970,2.47,34650,-38790,670
2000-08-09,8100,9050,1253890,2.79,-141430,-176830,346290
2000-08-10,8920,9200,951480,2.84,-258690,68770,136500
2000-08-11,8990,9320,744300,2.87,-246640,243210,-12320
2000-08-14,9440,9120,810970,2.81,33570,23930,-7960
2000-08-16,9000,9280,1632830,2.86,98380,-283100,214040
2000-08-17,9000,9100,739690,2.81,-159290,143440,15850
2000-08-18,9100,8740,652600,2.69,115920,-15900,15620
2000-08-21,8500,8330,468740,2.57,137700,-148430,9230
2000-08-22,8350,8350,502430,2.57,197560,-181310,-17950
2000-08-23,8600,8210,521680,2.53,167030,-159170,-6860
2000-08-24,8210,7950,1377730,2.45,473070,-381040,-63570
2000-08-25,8000,7950,584750,2.45,170240,-193310,-4780
2000-08-28,8000,7910,586870,2.44,179890,-142170,-51560
2000-08-29,7820,8300,700920,2.56,-199410,181590,-34890
2000-08-30,8360,8090,516070,2.49,-103260,60460,-1600
2000-08-31,8050,7890,492850,2.43,203100,-80600,-118190
2000-09-01,7700,7800,363290,2.41,59870,-92540,31070
2000-09-04,7720,7650,355150,2.36,157830,-152040,-14990
2000-09-05,7650,7610,557990,2.35,286110,-167590,3680
2000-09-06,7610,7180,1825840,2.21,976310,-637670,-121650
2000-09-07,7100,6390,3095450,1.97,1463330,-1254960,-127650
2000-09-08,6550,6570,1729980,2.03,495020,-217620,-152600
2000-09-14,6400,6460,1288280,1.99,612800,-196760,-404670
2000-09-15,6310,6230,1296020,1.92,518090,-273750,-254140
2000-09-18,5890,5660,1275470,1.75,63130,125910,-242120
2000-09-19,5560,5660,2203090,1.75,762890,-937580,176080
2000-09-20,5850,6160,1605260,1.9,147410,-208720,18920
2000-09-21,6000,5970,1065030,1.84,-206690,210940,-13020
2000-09-22,6000,5900,758790,1.82,-117080,83010,-61570
2000-09-25,6300,6350,915910,1.96,-91450,127400,-330
2000-09-26,6260,6250,926800,1.93,136640,174650,-316730
2000-09-27,6300,6380,701510,1.97,-117640,67000,50850
2000-09-28,6380,6650,1196710,2.05,-156220,-33430,212900
2000-09-29,6840,6800,1144840,2.1,-181080,26030,155460
2000-10-02,6680,6910,2736440,2.13,-93160,-504110,595690
2000-10-04,6740,6910,764990,2.13,-158810,130680,28070
2000-10-05,6900,6810,764220,2.1,-108560,108620,3190
2000-10-06,6700,7020,1034660,2.16,-206190,209770,-2000
2000-10-09,6830,6710,592090,2.07,-94910,92680,-160
2000-10-10,6610,6320,801810,1.95,258890,-114750,-147550
2000-10-11,6220,6010,792900,1.85,247480,-67540,-179840
2000-10-12,6020,6000,563020,1.85,44490,-35070,-6360
2000-10-13,5300,5660,1381470,1.75,288830,237530,-508480
2000-10-16,6390,6190,664280,1.91,-102570,103360,2380
2000-10-17,6000,5730,445020,1.77,-67310,92890,-25580
2000-10-18,5850,5900,512100,1.82,71770,-73660,2270
2000-10-19,5710,5950,345080,1.83,-45060,44860,200
2000-10-20,6150,5840,925740,1.8,208180,-99300,-109040
2000-10-23,6000,5750,799700,1.77,262530,-264940,600
2000-10-24,5710,5770,821250,1.78,31420,-73900,22480
2000-10-25,5750,5720,404360,1.76,46120,-55040,5920
2000-10-26,5600,5730,353630,1.77,-20580,-58650,79230
2000-10-27,5740,5690,463350,1.75,-17800,-59860,76240
2000-10-30,5760,5700,879780,1.76,138470,-260980,123770
2000-10-31,5800,5940,880600,1.83,-228340,222690,4430
2000-11-01,6540,6700,2295890,2.07,-403160,275740,-26320
2000-11-02,6500,6910,1609130,2.13,-604800,116580,474540
2000-11-03,7000,6810,1383630,2.1,-230280,-39180,271090
2000-11-06,6600,6700,781470,2.07,-74750,79400,6330
2000-11-07,6660,6560,714720,2.02,-260940,233670,-20530
2000-11-08,6320,6600,545180,2.04,-96430,101990,-4600
2000-11-09,6460,6870,503070,2.12,-131320,39260,92160
2000-11-10,6850,6800,351010,2.1,-67990,54540,-5790
2000-11-13,6650,6490,286490,2,5050,-2510,320
2000-11-14,6410,6550,233220,2.02,13100,-1650,8250
2000-11-15,6690,6450,486190,1.99,17700,45430,-19760
2000-11-16,6370,6490,246070,2,-34270,37890,-4000
2000-11-17,6450,6500,295130,2,-47240,43440,4180
2000-11-20,6410,6390,187540,1.97,-21800,22150,-350
2000-11-21,6280,6160,388440,1.9,-11420,39970,-27050
2000-11-22,6160,6000,282850,1.85,11570,-11570,0
2000-11-23,5910,5600,560700,1.73,216820,-219760,-60
2000-11-24,5600,5860,707590,1.81,326970,-332560,5230
2000-11-27,6000,6070,561720,1.87,-58740,54340,4000
2000-11-28,6000,5910,340680,1.82,-36780,41680,-4500
