Symbol,동국제강_시가(원),동국제강_종가(원),동국제강_거래량(주),동국제강_PER(IFRS-연결),동국제강_순매수수량(개인)(주),동국제강_순매수수량(기관계)(주),동국제강_순매수수량(외국인계)(주)
2000-01-04,4120,4170,531080,2.06,-132100,145040,-19640
2000-01-05,4250,4210,635480,2.08,-195130,188620,14410
2000-01-06,4260,3970,463990,1.96,-153770,154090,0
2000-01-07,3900,4060,397720,2.01,-99760,95380,4380
2000-01-10,4150,4000,348200,1.98,-36920,24870,11760
2000-01-11,4020,3930,303140,1.94,4840,-7970,960
2000-01-12,3860,3755,352980,1.86,74820,-29640,-50180
2000-01-13,3660,3650,398240,1.8,104590,-82500,-23940
2000-01-14,3700,3800,772320,1.88,64670,-27850,3180
2000-01-17,3800,3725,403390,1.84,75240,-29090,-46150
2000-01-18,3730,3520,441950,1.74,-14400,9510,-3110
2000-01-19,3500,3200,528220,1.58,-60950,80650,-11600
2000-01-20,3200,3400,524520,1.68,-40440,35620,4820
2000-01-21,3390,3445,486100,1.7,5480,30630,-7850
2000-01-24,3420,3390,234290,1.68,-16170,13730,2440
2000-01-25,3330,3320,335770,1.64,-5610,25510,100
2000-01-26,3255,3610,849150,1.78,-73570,93570,0
2000-01-27,3700,3770,796170,1.86,-100130,100110,550
2000-01-28,3770,3590,420140,1.77,-2720,7590,-3590
2000-01-31,3505,3575,359040,1.77,14310,-14310,0
2000-02-01,3600,3530,391330,1.74,35050,38260,-73310
2000-02-02,3500,3590,560810,1.77,-20260,-9740,0
2000-02-03,3640,3555,389810,1.76,5590,-5590,0
2000-02-07,3560,3520,352100,1.74,60820,-71340,10410
2000-02-08,3500,3380,524210,1.67,17290,-20360,1070
2000-02-09,3365,3290,529370,1.63,135950,-123250,300
2000-02-10,3225,3150,645050,1.56,237100,-207400,-29700
2000-02-11,3150,3000,564710,1.48,74190,-62190,830
2000-02-14,2850,2945,589710,1.46,-31300,20380,5920
2000-02-15,2900,2870,314690,1.42,-17240,11300,5940
2000-02-16,2890,2940,348660,1.45,-11680,9850,2450
2000-02-17,2900,2890,415440,1.43,-25750,8880,3470
2000-02-18,2850,2700,618440,1.33,48190,-37310,-14520
2000-02-21,2650,2500,454200,1.24,-14910,-2380,-2710
2000-02-22,2545,2530,451640,1.25,-990,9090,-17940
2000-02-23,2500,2905,629870,1.44,30930,-16490,-3810
2000-02-24,2905,2790,631810,1.38,-23110,-970,-920
2000-02-25,2890,2970,474970,1.47,-26000,13250,12640
2000-02-28,2970,2860,370630,1.41,-60400,21350,24320
2000-02-29,2880,2800,463570,1.38,100820,-112630,11810
2000-03-02,2800,2800,602770,1.38,161720,-169980,20260
2000-03-03,2900,2690,501840,1.33,108020,-133480,-4860
2000-03-06,2710,2875,615510,1.42,17540,-33180,-110
2000-03-07,2900,2980,739010,1.47,-4370,-4550,-1480
2000-03-08,2840,2900,456360,1.43,16700,-5790,-910
2000-03-09,2855,2865,1669510,1.42,370460,-204680,-164970
2000-03-10,3000,3050,1282010,1.51,-11240,10610,630
2000-03-13,3000,3080,959520,1.52,19040,-19370,-7560
2000-03-14,3075,2955,685430,1.46,18120,-37850,-260
2000-03-15,2930,2880,505800,1.42,-8490,1620,-3240
2000-03-16,2900,2845,519570,1.41,-45480,20650,-1800
2000-03-17,2855,2915,509260,1.44,5950,-13050,1350
2000-03-20,2900,2965,557590,1.47,-32800,12490,10030
2000-03-21,2965,2910,548140,1.44,-115390,14600,4760
2000-03-22,2960,2910,604150,1.44,-52450,2300,4080
2000-03-23,2950,2970,977780,1.47,1110,-29220,0
2000-03-24,3070,2950,501090,1.46,-61790,10810,300
2000-03-27,2970,2980,616020,1.47,22200,-55780,0
2000-03-28,2980,3020,672930,1.49,-89900,23880,6040
2000-03-29,3000,3000,522140,1.48,60590,-22560,-6720
2000-03-30,3020,2900,435620,1.43,-29180,7210,2780
2000-03-31,2900,2900,387880,1.43,11720,-18530,6660
2000-04-03,2870,2810,311030,1.39,-16850,10040,7140
2000-04-04,2800,2745,261080,1.36,-69530,64050,3830
2000-04-06,2750,2650,299390,1.31,-70,-5490,5560
2000-04-07,2650,2690,284900,1.33,-1780,-960,2780
2000-04-10,2750,2900,729600,1.43,62350,-51060,-3450
2000-04-11,2850,2760,388480,1.36,-109400,106100,-150
2000-04-12,2760,2710,184690,1.34,40380,-37930,-3050
2000-04-14,2680,2665,216180,1.32,29760,-29010,0
2000-04-17,2510,2450,395760,1.21,-78830,57770,18200
2000-04-18,2520,2530,332850,1.25,55970,-54890,180
