Symbol,동서_시가(원),동서_종가(원),동서_거래량(주),동서_PER(IFRS-연결),동서_순매수수량(개인)(주),동서_순매수수량(기관계)(주),동서_순매수수량(외국인계)(주)
2000-01-04,21000,19800,2554,3.25,0,0,0
2000-01-05,17700,17450,4468,2.87,0,0,0
2000-01-06,18500,17900,1283,2.95,0,0,0
2000-01-07,17800,17500,3029,2.88,0,0,0
2000-01-10,19500,19600,4322,3.22,1199,0,0
2000-01-11,20000,21950,3252,3.61,100,0,0
2000-01-12,24500,24550,8251,4.04,0,0,0
2000-01-13,24600,23900,23416,3.93,-13604,0,0
2000-01-14,24000,23300,17229,3.83,-7156,0,0
2000-01-17,22500,23000,4976,3.78,-1464,0,0
2000-01-18,21600,22900,1872,3.77,-699,0,0
2000-01-19,21800,21000,4756,3.45,-300,0,0
2000-01-20,19100,19900,2615,3.27,-280,0,0
2000-01-21,19900,19050,12607,3.13,-1011,-5000,0
2000-01-24,19250,20500,1169,3.37,0,0,0
2000-01-25,19900,19450,2972,3.2,226,0,0
2000-01-26,19450,20000,8307,3.29,-7553,0,0
2000-01-27,19900,19850,100,3.27,0,0,0
2000-01-28,19950,19950,4055,3.28,-3329,0,0
2000-01-31,20100,22250,6907,3.66,0,0,0
2000-02-01,21000,21500,197,3.53,0,0,0
2000-02-02,20500,22000,4777,3.62,0,0,0
2000-02-03,22000,22200,1312,3.65,0,0,0
2000-02-07,23000,23100,4941,3.8,0,0,0
2000-02-08,23100,23100,11,3.8,0,0,0
2000-02-09,22000,23000,1220,3.78,-841,841,0
2000-02-10,21100,22000,3289,3.62,-1672,1672,0
2000-02-11,21000,20900,565,3.44,0,0,0
2000-02-14,19150,19900,3020,3.27,0,0,0
2000-02-15,19900,19900,11170,3.27,-10000,0,0
2000-02-16,19900,19000,529,3.12,0,0,0
2000-02-17,19050,19750,2345,3.25,-1730,200,0
2000-02-18,19000,19500,2960,3.21,-287,287,0
2000-02-21,19500,19500,1593,3.21,0,0,0
2000-02-22,18300,19100,920,3.14,0,0,0
2000-02-23,19300,19300,6763,3.17,-1996,-3000,0
2000-02-24,19300,20200,3657,3.32,0,0,0
2000-02-25,21800,20400,1670,3.35,0,0,0
2000-02-28,20400,22200,19664,3.65,0,0,0
2000-02-29,22300,24850,22124,4.09,0,0,0
2000-03-02,26300,27800,18902,4.57,0,0,0
2000-03-03,27800,25950,7769,4.27,0,0,0
2000-03-06,27700,25850,5945,4.25,0,0,0
2000-03-07,25500,23350,9688,3.84,0,0,0
2000-03-08,22000,23450,4286,3.86,-30,0,0
2000-03-09,23400,26250,14361,4.32,0,0,0
2000-03-10,27100,29300,30391,4.82,30,0,0
2000-03-13,29500,30500,27592,5.02,-2970,2700,0
2000-03-14,31000,28500,12954,4.69,-1000,0,1000
2000-03-15,31900,31900,11647,5.25,0,0,0
2000-03-16,35700,35700,32444,5.87,270,0,0
2000-03-17,32200,31450,6930,5.18,536,-536,0
2000-03-20,27700,27700,1205,4.56,0,0,0
2000-03-21,24400,24400,1114,4.01,0,0,0
2000-03-22,24200,26850,17750,4.42,0,0,0
2000-03-23,27000,24800,10517,4.08,0,0,0
2000-03-24,23800,24950,7589,4.11,0,0,0
2000-03-27,24100,27900,16190,4.59,0,0,0
2000-03-28,29500,31200,16166,5.13,0,0,0
2000-03-29,32200,29700,36384,4.88,0,0,0
2000-03-30,27100,29500,10267,4.85,0,0,0
2000-03-31,27500,33000,17676,5.43,2514,-2164,-350
2000-04-03,36950,36950,28391,6.08,-500,0,0
2000-04-04,33000,33800,39084,5.56,500,0,0
2000-04-06,34000,31650,18805,5.21,0,0,0
2000-04-07,33000,34500,23560,5.68,0,0,0
2000-04-10,34800,38600,41320,6.35,350,0,-350
2000-04-11,35000,34000,10597,5.59,0,0,0
2000-04-12,31900,32400,14616,5.33,0,0,0
2000-04-14,31500,36000,37166,5.92,300,0,-300
2000-04-17,31700,31700,18664,5.21,0,0,0
2000-04-18,32000,29300,22371,4.82,0,0,0
2000-04-19,30000,32750,42358,5.39,0,0,0
2000-04-20,35000,36650,33314,6.03,8100,0,0
2000-04-21,41000,35700,95405,5.87,6000,0,0
2000-04-24,35000,35900,43864,5.91,0,0,0
2000-04-25,35100,33400,23822,5.49,0,0,0
2000-04-26,34000,32000,20423,5.26,0,0,0
2000-04-27,32000,30400,20018,5,0,0,0
2000-04-28,31000,29000,15374,4.77,0,0,0
2000-05-02,30500,28800,9417,4.74,0,0,0
2000-05-03,28050,31400,22947,5.16,3114,0,0
2000-05-04,32000,31000,28734,5.1,0,0,0
2000-05-08,31000,31200,13173,5.13,0,0,0
2000-05-09,32000,30250,11565,4.98,-10,0,0
2000-05-10,29650,30400,17776,5,10,0,0
2000-05-12,29700,31000,32886,5.1,3500,0,0
2000-05-15,31900,34700,64614,5.71,-85,0,0
2000-05-16,35700,31900,28680,5.25,85,0,0
2000-05-17,32500,29100,23006,4.79,0,0,0
2000-05-18,28500,26050,23635,4.29,0,0,0
2000-05-19,24200,25200,33442,4.14,0,0,0
2000-05-22,24800,24400,21307,4.01,-3,0,0
2000-05-23,22500,22200,15690,3.65,0,0,0
2000-05-24,21200,21500,9553,3.53,0,0,0
2000-05-25,22500,23950,19795,3.94,0,0,0
2000-05-26,22500,21500,9910,3.53,-500,0,500
2000-05-29,20100,21700,5007,3.57,0,0,0
2000-05-30,21500,22900,7811,3.77,0,0,0
2000-05-31,23500,24450,13995,4.02,0,0,0
2000-06-01,23700,23400,5527,3.85,0,0,0
2000-06-02,23600,26200,26852,4.31,0,0,0
2000-06-05,26450,27000,14315,4.44,0,0,0
2000-06-07,24500,26000,5162,4.28,0,0,0
2000-06-08,26000,25900,9494,4.26,-20,0,0
2000-06-09,25550,25250,5076,4.15,0,0,0
2000-06-12,23650,25300,3514,4.16,0,0,0
2000-06-13,24500,24400,3130,4.01,0,0,0
2000-06-14,24500,24300,2903,4,20,0,0
2000-06-15,24300,23500,1785,3.86,0,0,0
2000-06-16,25750,23500,2724,3.86,0,0,0
2000-06-19,23000,22850,2112,3.76,0,0,0
2000-06-20,23000,22450,3086,3.69,-500,0,500
2000-06-21,24000,24000,3891,3.95,0,0,0
2000-06-22,24000,23100,1905,3.8,0,0,0
2000-06-23,22800,22850,2117,3.76,0,0,0
2000-06-26,22150,22600,1204,3.72,0,0,0
2000-06-27,23300,22600,3507,3.72,0,0,0
2000-06-28,22700,22600,2787,3.72,0,0,0
2000-06-29,23000,23050,1912,3.79,-100,0,0
2000-06-30,23000,22600,5008,3.72,0,0,0
2000-07-03,22300,22300,4455,3.67,0,0,0
2000-07-04,24950,24950,4125,4.11,0,0,0
2000-07-05,25000,23500,15400,3.86,0,0,0
2000-07-06,23600,23100,4537,3.8,0,0,0
2000-07-07,23600,22850,5232,3.76,0,0,0
2000-07-10,23000,23400,5443,3.85,0,0,0
2000-07-11,23400,22900,3053,3.77,0,0,0
2000-07-12,23150,23100,1758,3.8,0,0,0
2000-07-13,22600,23250,907,3.83,0,0,0
2000-07-14,23250,22900,1866,3.77,0,0,0
2000-07-18,23000,23600,6273,3.88,0,0,0
2000-07-19,22900,26400,4692,4.34,-100,0,0
2000-07-20,25400,23800,7516,3.91,0,0,0
2000-07-21,24100,23900,8746,3.93,0,0,0
2000-07-24,24550,26750,39387,4.4,0,0,0
2000-07-25,26500,25500,20804,4.19,0,0,0
2000-07-26,25100,24950,14540,4.11,-8,0,0
2000-07-27,25100,27900,45931,4.59,200,0,0
2000-07-28,29900,26700,42624,4.39,8,0,0
2000-07-31,26100,25650,11186,4.22,0,0,0
