Symbol,동아쏘시오홀딩스_시가(원),동아쏘시오홀딩스_종가(원),동아쏘시오홀딩스_거래량(주),동아쏘시오홀딩스_PER(IFRS-연결),동아쏘시오홀딩스_순매수수량(개인)(주),동아쏘시오홀딩스_순매수수량(기관계)(주),동아쏘시오홀딩스_순매수수량(외국인계)(주)
2000-01-04,19700,22450,696710,10.86,39770,-29980,0
2000-01-05,24000,25800,1477710,12.48,258940,-201160,3900
2000-01-06,26900,23000,1545130,11.13,31320,38280,300
2000-01-07,24000,26450,1652340,12.8,15360,65430,-550
2000-01-10,30400,27000,3099940,13.06,171050,-142500,-4750
2000-01-11,27000,29000,2208850,14.03,-66070,80250,-2980
2000-01-12,28800,29100,1949990,14.08,-14260,19360,-90
2000-01-13,29500,28000,1421340,13.55,-12070,5490,1180
2000-01-14,27050,24000,1472430,11.61,-22450,28750,360
2000-01-17,23500,24500,1554720,11.85,-51080,81810,-29150
2000-01-18,24150,24000,1026400,11.61,-62670,68530,240
2000-01-19,24000,23400,1094590,11.32,35920,15360,-50430
2000-01-20,23100,22500,708540,10.89,30070,-22640,1170
2000-01-21,22900,23400,1359740,11.32,11290,-8940,-1860
2000-01-24,24050,24300,1876220,11.76,-8030,43370,280
2000-01-25,24300,23300,868240,11.27,-87840,86470,0
2000-01-26,24300,24000,704900,11.61,10550,-9170,0
2000-01-27,24000,26700,3226900,12.92,-11730,37350,-30030
2000-01-28,26700,26800,1484510,12.97,-92170,87860,-410
2000-01-31,27050,26800,1177100,12.97,-55500,39670,0
2000-02-01,26850,25900,707480,12.53,-54620,50070,-2900
2000-02-02,26000,26800,1423360,12.97,-28230,17560,0
2000-02-03,27300,26000,714560,12.58,-39600,49300,-8300
2000-02-07,25900,26500,776620,12.82,-31290,23460,1080
2000-02-08,27700,27000,1146250,13.06,-7930,24320,-5550
2000-02-09,27200,30000,1763680,14.51,-16910,-29240,8890
2000-02-10,30500,29800,1704860,14.42,17770,30470,-1800
2000-02-11,30500,34250,2602740,16.57,142360,-140390,-320
2000-02-14,35000,34000,2191320,16.45,-109610,110520,-13380
2000-02-15,33500,28900,1155060,13.98,32850,38410,-6360
2000-02-16,27100,29000,1485880,14.03,53970,25290,-1360
2000-02-17,29500,33350,1854130,16.14,-360310,365310,790
2000-02-18,36150,38350,1836040,18.55,-391020,408110,-6330
2000-02-21,37500,37000,2092330,17.9,-56060,48560,-330
2000-02-22,37500,36000,1199560,17.42,-162350,164140,50
2000-02-23,36500,35000,1330840,16.93,2660,-4560,1810
2000-02-24,36200,36550,886730,17.68,-139510,147470,-6760
2000-02-25,35900,35500,738290,17.17,-76830,82350,220
2000-02-28,34100,31700,676700,15.34,8420,-7600,180
2000-02-29,33000,32450,877070,15.7,18580,-440,750
2000-03-02,35400,37300,1033750,18.05,-353430,82990,120
2000-03-03,36000,35000,705040,16.93,-53980,34030,20160
2000-03-06,36400,34100,381450,16.5,71140,-72310,10
2000-03-07,34000,34300,704760,16.59,32960,-15410,-17580
2000-03-08,33150,33100,353530,16.01,4160,-1330,70
2000-03-09,34000,33150,497550,16.04,61150,-47040,-12170
2000-03-10,33500,32300,440400,15.63,12720,-12600,-660
2000-03-13,32100,31050,358690,15.02,29930,-26680,-560
2000-03-14,30100,29350,273270,14.2,8840,-9690,850
2000-03-15,27000,26500,465530,12.82,101170,-98460,220
2000-03-16,30450,27500,852520,13.3,80880,-76950,-2090
2000-03-17,27600,25800,634140,12.48,187060,-187240,180
2000-03-20,25800,25100,367710,12.14,44220,-44540,180
2000-03-21,24200,25200,332610,12.19,-5750,600,1400
2000-03-22,26000,26000,585320,12.58,55600,-60800,3170
2000-03-23,27000,25700,476900,12.43,-11390,12160,-600
2000-03-24,26000,25550,417760,12.36,29640,-29680,40
2000-03-27,25500,25200,422840,12.19,115050,-88930,-1000
2000-03-28,25200,25000,453140,12.09,109070,-90100,2510
2000-03-29,25000,24100,319000,11.66,21460,-21250,0
2000-03-30,24200,23250,316220,11.25,36040,-33590,320
2000-03-31,22750,22800,247940,11.03,14370,-13890,-500
2000-04-03,22800,20100,346730,9.72,75000,-41420,450
2000-04-04,20950,20850,730910,10.09,113300,-113670,-150
2000-04-06,21100,20400,334530,9.87,-24020,-15620,40640
2000-04-07,21900,21600,545800,10.45,37480,-42140,640
2000-04-10,21750,23200,880370,11.22,49960,-54650,-460
2000-04-11,23000,21000,338710,10.16,50650,-48010,2380
2000-04-12,21500,20950,491740,10.14,176200,-175800,-400
2000-04-14,20000,20700,296970,10.01,-55550,-5730,61450
2000-04-17,17800,17600,427270,8.52,-20860,-82060,102640
2000-04-18,19200,18600,391250,9,56850,-50710,-910
2000-04-19,19300,18600,612470,9,141490,-87850,-1740
2000-04-20,18600,18900,241940,9.14,22620,-21840,-780
2000-04-21,19000,19400,477840,9.39,37550,-17470,-5910
2000-04-24,19150,18900,612390,9.14,109760,-25670,-4630
2000-04-25,19100,18250,296010,8.83,15040,-12530,-350
2000-04-26,18900,17450,284580,8.44,12460,-12580,70
2000-04-27,16850,16400,262640,7.93,-50670,60410,260
2000-04-28,16050,17700,729640,8.56,-51640,51580,-60
2000-05-02,18400,18000,560380,8.71,120330,-84400,-1530
2000-05-03,18150,17850,275280,8.64,4460,-1680,-1880
2000-05-04,17900,18100,802690,8.76,46490,-46300,-290
2000-05-08,19800,18900,666120,9.14,5590,-3960,-1550
2000-05-09,19100,19050,369740,9.22,-44330,42790,630
2000-05-10,19050,19200,325380,9.29,10430,-4790,-3750
2000-05-12,18800,18900,395500,9.14,-4000,3660,470
2000-05-15,19200,18550,288650,8.98,5920,-5710,-210
2000-05-16,18650,18700,354190,9.05,13860,-15410,-200
2000-05-17,18700,19100,1276440,9.24,31360,-31560,-50
2000-05-18,18500,17900,413750,8.66,-11770,-5860,-270
2000-05-19,18200,17800,376100,8.61,-10760,10780,-20
2000-05-22,17100,15700,360520,7.6,15710,-15490,-220
2000-05-23,14800,14500,364240,7.02,-47360,44400,2490
2000-05-24,14100,14450,800560,6.99,5230,-6180,-30
2000-05-25,14950,15750,650630,7.62,2390,-1960,-270
2000-05-26,15200,14500,388270,7.02,-105890,104350,1540
2000-05-29,13100,14900,692210,7.21,-7620,890,2480
2000-05-30,15700,15500,397770,7.5,-15590,18260,1160
2000-05-31,16400,16150,525580,7.81,24580,-14920,-580
2000-06-01,16400,17950,891220,8.68,23340,-19950,-6020
2000-06-02,18100,18100,882790,8.76,-99490,118820,4010
2000-06-05,18600,19000,727200,9.19,-121000,121850,-330
2000-06-07,19300,19500,634390,9.43,-41090,34260,-170
2000-06-08,19750,18000,450650,8.71,33920,51380,-36140
2000-06-09,18200,18550,376060,8.98,-16290,17230,10
2000-06-12,19500,21300,921890,10.31,32850,-32070,-860
