Symbol,동양_시가(원),동양_종가(원),동양_거래량(주),동양_PER(IFRS-연결),동양_순매수수량(개인)(주),동양_순매수수량(기관계)(주),동양_순매수수량(외국인계)(주)
2000-01-04,3900,4085,166940,0.65,-20,-480,500
2000-01-05,4000,3880,151690,0.61,1720,-1720,0
2000-01-06,3960,3685,194410,0.58,13200,-11660,0
2000-01-07,3800,3760,190750,0.59,-5150,3890,1260
2000-01-10,3950,3830,141840,0.61,-6920,5780,390
2000-01-11,3805,3740,120980,0.59,-800,-340,260
2000-01-12,3680,3550,119950,0.56,8840,-8840,0
2000-01-13,3400,3550,236230,0.56,12280,-13380,0
2000-01-14,3650,3575,123250,0.57,12170,-12170,0
2000-01-17,3575,3565,143530,0.56,13070,-14320,1250
2000-01-18,3600,3365,102920,0.53,4780,-5030,250
2000-01-19,3350,3130,178500,0.49,7930,-6960,0
2000-01-20,3160,3100,137290,0.49,-7090,6340,750
2000-01-21,3030,3110,157200,0.49,10610,-9400,0
2000-01-24,3110,3175,119490,0.5,-2530,2530,0
2000-01-25,3150,3170,113250,0.5,3320,-3320,0
2000-01-26,3200,3350,164590,0.53,-3910,3910,0
2000-01-27,3410,3850,597690,0.61,73250,570,-98710
2000-01-28,3940,3550,389670,0.56,78050,-5540,-51720
2000-01-31,3540,3540,383510,0.56,135380,-3580,-136800
2000-02-01,3590,3460,203600,0.55,9620,-2120,-7130
2000-02-02,3500,3500,229700,0.55,24450,4910,-29360
2000-02-03,3550,3650,350210,0.58,290,-490,200
2000-02-07,3740,3550,167270,0.56,4980,-2030,-3000
2000-02-08,3550,3390,117250,0.54,-1190,820,0
2000-02-09,3400,3265,142410,0.52,6760,3340,-100
2000-02-10,3220,3110,163710,0.49,51090,-51090,0
2000-02-11,3150,3110,216040,0.49,80230,2060,-82510
2000-02-14,3110,3040,103790,0.48,-7450,7450,0
2000-02-15,2915,2950,135630,0.47,-7210,6960,250
2000-02-16,2990,3000,155940,0.47,53080,-190,-52910
2000-02-17,2990,3000,98520,0.47,5960,-210,-6710
2000-02-18,3000,2980,224850,0.47,15390,-4910,-10000
2000-02-21,2960,2755,93710,0.44,590,-590,0
2000-02-22,2730,2620,223100,0.41,100720,720,-100000
2000-02-23,2570,2900,635250,0.46,205170,-4750,-200000
2000-02-24,2795,2665,178280,0.42,1460,-1460,0
2000-02-25,2600,2750,164770,0.43,-3550,3500,0
2000-02-28,2600,2850,244880,0.45,-8670,4440,0
2000-02-29,3050,2905,266650,0.46,-1840,-3560,0
2000-03-02,3100,3145,380130,0.5,7650,-7650,0
2000-03-03,3165,3180,523600,0.5,11560,-1950,0
2000-03-06,3280,3335,452360,0.53,-970,1970,0
2000-03-07,3495,3580,465100,0.57,-20,20,0
2000-03-08,3390,3400,393180,0.54,940,-940,0
2000-03-09,3880,3910,786110,0.62,-4990,18140,-20640
2000-03-10,4190,3820,924070,0.6,-5620,15120,500
2000-03-13,3790,3970,419610,0.63,6700,-6700,0
2000-03-14,4000,3930,752910,0.62,-2890,2890,0
2000-03-15,3855,3790,611990,0.6,4460,-4470,0
2000-03-16,3850,3550,456700,0.56,-7570,7050,0
2000-03-17,3620,3500,216800,0.55,-3900,3900,0
2000-03-20,3400,3580,375890,0.57,-13100,4100,9000
2000-03-21,3600,3500,251780,0.55,-4290,3730,330
2000-03-22,3555,4025,681830,0.64,-13920,690,3230
2000-03-23,4025,4210,1220600,0.67,6130,-9110,-1500
2000-03-24,4220,4800,1986800,0.76,-9480,5160,-680
2000-03-27,4980,5520,1644500,0.87,-21840,6620,15220
2000-03-28,5610,5550,2462250,0.88,125150,17780,-17620
2000-03-29,5720,5000,1871380,0.79,112580,-50560,7630
2000-03-30,5700,5450,1876420,0.86,485580,13930,100
2000-03-31,5030,4810,844480,0.76,1620,-5280,3660
2000-04-03,4995,5290,1349320,0.84,83090,-480,-1850
2000-04-04,5500,6080,5104710,0.96,553000,18670,-6100
2000-04-06,6990,5710,4181880,0.9,45760,9960,31230
2000-04-07,5320,5410,2117380,0.86,124080,610,0
2000-04-10,5790,6220,2318940,0.98,364630,-11080,-490
2000-04-11,6220,5600,2673530,0.89,1630,11090,17890
2000-04-12,5600,5300,1177050,0.84,8960,-9360,400
2000-04-14,5300,5380,1202600,0.85,16000,-6840,810
2000-04-17,4580,4650,1666880,0.73,-41130,19410,0
2000-04-18,5270,4770,855890,0.75,22670,-17200,-4730
2000-04-19,4800,4650,992250,0.73,7010,-8330,1980
2000-04-20,4530,4515,970410,0.71,-2680,1680,1000
2000-04-21,4440,4550,807200,0.72,-30,420,-200
2000-04-24,4560,4260,606700,0.67,410,-410,0
2000-04-25,4180,4040,826480,0.64,-7030,7030,0
2000-04-26,4200,4230,1408740,0.67,9600,11600,-21200
2000-04-27,4230,3830,682740,0.61,-300,100,200
2000-04-28,3860,4050,966330,0.64,-79200,79180,-10
2000-05-02,3910,4020,606150,0.64,18300,-14040,-4260
2000-05-03,4050,4300,1599780,0.68,4340,-3090,-1250
