Symbol,동원시스템즈_시가(원),동원시스템즈_종가(원),동원시스템즈_거래량(주),동원시스템즈_PER(IFRS-연결),동원시스템즈_순매수수량(개인)(주),동원시스템즈_순매수수량(기관계)(주),동원시스템즈_순매수수량(외국인계)(주)
2000-01-04,17200,17500,940660,43.48,48930,-8900,-19130
2000-01-05,16700,16300,667600,40.5,28550,-32260,-3290
2000-01-06,16500,15800,566770,39.25,7550,-550,-4200
2000-01-07,15100,15450,478650,38.39,-58360,56860,1500
2000-01-10,15700,15400,451700,38.26,-20700,41130,2560
2000-01-11,15400,15800,828690,39.25,3920,26790,910
2000-01-12,15500,14900,438270,37.02,24730,-23670,0
2000-01-13,14800,14100,694020,35.03,232480,-228900,-4630
2000-01-14,14100,13400,773320,33.29,70150,28850,-99000
2000-01-17,14200,13700,555280,34.04,-7360,6300,1360
2000-01-18,13800,13800,578920,34.29,69570,-65150,580
2000-01-19,13500,12400,633600,30.81,187660,-183380,-1550
2000-01-20,11600,13000,869410,32.3,-41000,24790,16060
2000-01-21,12500,13300,974950,33.04,-115600,133020,-23220
2000-01-24,13400,13400,910440,33.29,65190,-34660,780
2000-01-25,13050,13350,1099980,33.17,-14990,-13720,0
2000-01-26,13650,12950,477470,32.17,-23930,24690,200
2000-01-27,12900,13000,397150,32.3,-46780,51660,220
2000-01-28,13000,14150,1885650,35.16,-556150,547940,26610
2000-01-31,14000,14300,1121450,35.53,-10570,-6370,1200
2000-02-01,15300,14900,1294740,37.02,-70440,55830,-160
2000-02-02,14900,15300,1480910,38.01,-79120,77660,2000
2000-02-03,15500,15650,978060,38.88,-256960,262960,0
2000-02-07,15600,15750,740970,39.13,-83580,76890,-400
2000-02-08,15800,15000,588940,37.27,-52800,48790,-990
2000-02-09,15100,14800,516990,36.77,-87100,102800,-12000
2000-02-10,14500,14400,518250,35.78,-8670,19450,-780
2000-02-11,14500,15000,1113940,37.27,-169660,169340,120
2000-02-14,14900,14200,549440,35.28,-107140,95340,-8200
2000-02-15,14200,13500,628530,33.54,122670,-83970,-35940
2000-02-16,13700,14500,865420,36.02,-218540,218100,1140
2000-02-17,14500,14700,533260,36.52,-108880,84870,910
2000-02-18,14700,15000,830180,37.27,-273620,224330,49730
2000-02-21,14600,14650,459050,36.4,-99940,90690,-1750
2000-02-22,15200,16450,1723600,40.87,-309630,321360,-330
2000-02-23,16950,16250,1571070,40.37,-143380,60410,18130
2000-02-24,16250,17900,1659830,44.47,-837410,880100,-6890
2000-02-25,17500,17500,985070,43.48,-342490,345210,-2060
2000-02-28,17000,17250,771810,42.86,-206890,190350,6540
2000-02-29,17250,16800,674960,41.74,-169020,162970,5050
2000-03-02,17400,17450,976390,43.35,139050,-140650,-3100
2000-03-03,17800,16800,590360,41.74,49800,-63660,-2420
2000-03-06,17500,17500,939620,43.48,-570,-61640,50030
2000-03-07,17300,18000,589240,44.72,-168690,121060,-460
2000-03-08,17400,17300,788410,42.98,-59620,66450,150
2000-03-09,17350,16800,526270,41.74,109260,-69540,-53660
2000-03-10,17600,16600,412010,41.24,2580,-4130,2030
2000-03-13,16300,16100,412440,40,47320,-43670,-2570
2000-03-14,15800,15000,578950,37.27,107030,-110200,3200
2000-03-15,14600,14500,460610,36.02,65940,-15150,-50690
2000-03-16,14700,13800,490440,34.29,128490,-108280,240
2000-03-17,14300,14100,564430,35.03,45850,-46950,950
2000-03-20,14100,14200,422570,35.28,100940,-53110,1110
2000-03-21,14100,14000,547330,34.78,-85230,84060,700
2000-03-22,14100,14200,840850,35.28,195020,-104050,20
2000-03-23,14600,14000,469020,34.78,74910,-73590,-840
2000-03-24,14000,14000,385610,34.78,30540,-30610,60
2000-03-27,14300,14200,412800,35.28,73360,-63360,0
2000-03-28,14250,14000,456540,34.78,141700,-143570,1840
2000-03-29,13900,13200,592270,32.8,103380,-68880,-15000
2000-03-30,13000,12700,357530,31.55,77060,-52140,-8840
2000-03-31,12800,12850,478970,31.93,154310,-133250,2900
2000-04-03,12950,12000,416400,29.81,98980,-29800,1000
2000-04-04,11500,11850,359020,29.44,33980,-34530,0
2000-04-06,12000,11850,222770,29.44,4720,-7040,2320
2000-04-07,11850,12450,531170,30.93,55180,-117420,1740
2000-04-10,12900,13700,1216190,34.04,-8320,49670,-690
2000-04-11,13200,12250,508550,30.43,168910,-150780,6970
