Symbol,두산_시가(원),두산_종가(원),두산_거래량(주),두산_PER(IFRS-연결),두산_순매수수량(개인)(주),두산_순매수수량(기관계)(주),두산_순매수수량(외국인계)(주)
2000-01-04,27500,26700,80930,4.32,12350,-26250,13270
2000-01-05,27800,27000,109840,4.37,19990,-6160,-13830
2000-01-06,28000,25400,62480,4.11,18420,-20020,1670
2000-01-07,26000,25950,42650,4.2,-7690,11190,-3500
2000-01-10,25500,25750,46850,4.17,-6340,6600,-680
2000-01-11,25300,25400,78200,4.11,26240,-19390,-7340
2000-01-12,25800,26000,135520,4.21,6070,-6140,570
2000-01-13,26500,24100,68230,3.9,26880,-25770,-1510
2000-01-14,25500,25300,142450,4.09,36380,-36390,10
2000-01-17,26000,24900,80380,4.03,-4530,2710,1820
2000-01-18,25700,25600,263300,4.14,75820,-49900,-420
2000-01-19,25900,24000,106720,3.88,18080,-15030,-1060
2000-01-20,23200,23200,76730,3.75,-21240,9980,11260
2000-01-21,22700,22800,92050,3.69,-460,-7290,8590
2000-01-24,22800,22950,60890,3.71,-2360,-1170,530
2000-01-25,22950,21600,53840,3.49,-400,300,100
2000-01-26,21900,21850,80070,3.54,-5250,3250,0
2000-01-27,21100,23200,150660,3.75,5810,-23940,270
2000-01-28,23600,26000,322300,4.21,-115150,130590,-13660
2000-01-31,25900,25550,81430,4.13,-10280,10680,-880
2000-02-01,25550,25700,125520,4.16,-490,26620,-25810
2000-02-02,25700,26400,99590,4.27,-28740,28560,0
2000-02-03,26500,26100,120470,4.22,4690,-4690,0
2000-02-07,26100,25900,105700,4.19,7040,-4570,-3040
2000-02-08,25950,25700,96620,4.16,-13240,7330,90
2000-02-09,25950,24900,79600,4.03,9710,-8710,0
2000-02-10,24600,24000,73040,3.88,-10060,10060,0
2000-02-11,23100,23500,84280,3.8,-28860,36370,-7650
2000-02-14,22400,23000,45450,3.72,-19070,17850,1220
2000-02-15,22900,23200,69620,3.75,-9690,7600,2630
2000-02-16,23000,24400,67170,3.95,-26130,31280,-5010
