Symbol,롯데정밀화학_시가(원),롯데정밀화학_종가(원),롯데정밀화학_거래량(주),롯데정밀화학_PER(IFRS-연결),롯데정밀화학_순매수수량(개인)(주),롯데정밀화학_순매수수량(기관계)(주),롯데정밀화학_순매수수량(외국인계)(주)
2000-01-04,18100,19650,577820,16.26,32960,-33050,-210
2000-01-05,20900,22550,3175700,18.66,52610,-42690,-730
2000-01-06,22550,20000,2043320,16.55,20260,-700,10
2000-01-07,20500,23000,2889260,19.04,-80780,120370,1370
2000-01-10,25400,23050,4805940,19.08,-20620,12480,-500
2000-01-11,22700,23950,2899010,19.82,-157140,160930,520
2000-01-12,23250,23000,1907640,19.04,-68420,64460,-40
2000-01-13,22950,22000,1511450,18.21,-53220,49200,-1180
2000-01-14,22000,20300,1194730,16.8,-14210,-1760,1280
2000-01-17,20500,21000,1141480,17.38,-24510,26860,2250
2000-01-18,21000,21100,877900,17.46,-13350,12330,240
2000-01-19,21000,21300,1707730,17.63,-37360,41670,-4690
2000-01-20,21100,21100,1177010,17.46,-23420,14020,920
2000-01-21,20900,21800,2153880,18.04,-3450,8030,-2760
2000-01-24,22500,23000,3367170,19.04,-125160,135940,-1130
2000-01-25,22500,22500,1946380,18.62,93660,-95460,0
2000-01-26,23400,24100,1944000,19.95,-69270,99660,-1640
2000-01-27,24700,25600,9064190,21.19,-252540,266280,4200
2000-01-28,25350,25600,3122780,21.19,-211570,118630,7680
2000-01-31,26100,26600,3441510,22.01,26140,-6260,-2240
2000-02-01,27000,26200,1579100,21.68,-76210,86690,-8350
2000-02-02,25800,26850,2925130,22.22,-172460,134230,2000
2000-02-03,26750,25700,2114320,21.27,-76290,59540,0
2000-02-07,25600,25800,1502500,21.35,27210,-10780,-10800
2000-02-08,27500,26600,1990990,22.01,-31580,26520,-2860
2000-02-09,27000,28600,3233720,23.67,-19350,19150,11000
2000-02-10,28800,27700,2457940,22.93,134320,-125400,-11720
2000-02-11,28450,30450,5329540,25.2,171670,-172730,1910
2000-02-14,29900,28300,2467070,23.42,-176920,191810,1800
2000-02-15,28500,24100,1810570,19.95,67050,-74480,6990
2000-02-16,24300,24550,1451910,20.32,-2540,-3410,2470
2000-02-17,25000,28200,3156100,23.34,-207610,221270,2860
2000-02-18,29900,30200,4619620,24.99,-974430,982870,-2790
2000-02-21,29200,29200,2755900,24.17,-331220,321580,-1930
2000-02-22,29800,29000,1769480,24,-174910,165200,1940
2000-02-23,29000,29000,1897160,24,39270,-35480,-3780
2000-02-24,29500,29300,1199550,24.25,-98930,101140,550
2000-02-25,28500,28100,1027530,23.26,-138580,143140,-60
2000-02-28,26700,25000,975400,20.69,-2890,9690,690
2000-02-29,26000,25400,1125070,21.02,95370,-86720,-510
2000-03-02,26400,26900,1790800,22.26,46640,-54750,-3770
2000-03-03,26500,25600,1060900,21.19,-188150,181390,-910
