Symbol,·Ôµ¥Ä¥¼º_½Ã°¡(¿ø),·Ôµ¥Ä¥¼º_Á¾°¡(¿ø),·Ôµ¥Ä¥¼º_°Å·¡·®(ÁÖ),·Ôµ¥Ä¥¼º_PER(IFRS-¿¬°á),·Ôµ¥Ä¥¼º_¼ø¸Å¼ö¼ö·®(°³ÀÎ)(ÁÖ),·Ôµ¥Ä¥¼º_¼ø¸Å¼ö¼ö·®(±â°ü°è)(ÁÖ),·Ôµ¥Ä¥¼º_¼ø¸Å¼ö¼ö·®(¿Ü±¹ÀÎ°è)(ÁÖ)
2000-01-04,70000,65500,2840,4.25,640,-710,70
2000-01-05,67900,67000,120,4.35,0,0,0
2000-01-06,65000,66500,130,4.32,-50,50,0
2000-01-07,65000,65000,410,4.22,-240,240,0
2000-01-10,65500,69600,580,4.52,-370,170,0
2000-01-11,69000,66700,50,4.33,0,0,0
2000-01-12,66700,70000,1090,4.54,-30,30,0
2000-01-13,73000,69800,4800,4.53,420,-420,0
2000-01-14,69800,69800,2450,4.53,250,-250,0
2000-01-17,68100,69500,1140,4.51,20,-20,0
2000-01-18,69500,69500,8110,4.51,-2030,2060,-30
2000-01-19,69000,66300,860,4.3,140,-140,0
2000-01-20,62600,63000,890,4.09,-190,-10,90
2000-01-21,61300,65600,670,4.26,330,-390,0
2000-01-24,63100,64000,310,4.15,-100,100,0
2000-01-25,61200,66000,300,4.28,-60,60,0
2000-01-26,63000,64900,20,4.21,0,0,0
2000-01-27,64500,65500,330,4.25,180,-180,0
2000-01-28,65500,65300,1030,4.24,630,-230,-500
2000-01-31,64500,64500,20,4.19,0,0,0
2000-02-01,63000,63000,360,4.09,100,-100,0
2000-02-02,57300,65000,340,4.22,0,0,0
2000-02-03,65100,66800,720,4.34,-310,310,0
2000-02-07,68000,71000,700,4.61,0,0,0
2000-02-08,72000,68000,240,4.41,10,-10,0
2000-02-09,71500,68100,140,4.42,0,0,0
2000-02-10,72000,70000,270,4.54,-130,130,0
2000-02-11,69000,67100,1240,4.35,130,-130,0
2000-02-14,67100,67000,170,4.35,90,0,-90
2000-02-15,65000,63000,3810,4.09,1580,-1000,-580
2000-02-16,63000,60000,440,3.89,10,-100,-110
2000-02-17,60000,59500,1410,3.86,1290,0,-260
2000-02-18,60500,58800,1880,3.82,1040,-340,0
2000-02-21,59000,55800,1390,3.62,480,-580,0
2000-02-22,55600,54500,3400,3.54,660,-660,0
2000-02-23,55100,61300,1800,3.98,550,-560,10
2000-02-24,63000,62000,1460,4.02,-420,-360,780
2000-02-25,60200,60600,970,3.93,140,160,10
2000-02-28,59100,62000,1280,4.02,-870,810,60
2000-02-29,61000,65000,5240,4.22,-450,450,0
2000-03-02,64700,65900,260,4.28,0,0,0
2000-03-03,63300,62000,290,4.02,130,-130,0
2000-03-06,62000,62200,2370,4.04,460,-460,0
2000-03-07,63000,60700,3870,3.94,1310,-1310,0
2000-03-08,61000,59900,2660,3.89,2270,-2270,0
2000-03-09,61400,59800,3020,3.88,1380,-1380,0
2000-03-10,60000,60800,2710,3.95,590,-590,0
2000-03-13,60800,60000,10610,3.89,6950,-6950,0
2000-03-14,61900,61900,7130,4.02,2470,-2470,0
2000-03-15,63400,62500,8080,4.06,1000,-1000,0
2000-03-16,63400,60000,6680,3.89,3410,-3410,0
2000-03-17,61000,61000,2560,3.96,50,-50,0
2000-03-20,63000,60300,9040,3.91,5960,-5960,0
2000-03-21,60400,59600,1670,3.87,-100,0,0
2000-03-22,60000,61300,3870,3.98,1050,-1050,0
2000-03-23,62000,59100,6980,3.84,3630,-3630,0
2000-03-24,60000,59400,3680,3.86,2150,-2490,240
2000-03-27,61000,60000,9530,3.89,2340,-2340,0
2000-03-28,60000,67000,23230,4.35,5100,-5100,0
2000-03-29,67000,64500,17010,4.19,-3860,6760,0
2000-03-30,66100,67400,12680,4.37,5100,-2100,0
2000-03-31,65800,66700,4090,4.33,0,0,0
2000-04-03,68000,68300,9840,4.43,1670,-1670,0
2000-04-04,68500,67500,5230,4.38,0,0,0
2000-04-06,66100,65500,8510,4.25,-480,480,0
2000-04-07,65500,65000,5460,4.22,200,-200,0
2000-04-10,65000,67100,9070,4.35,-730,-5500,5250
2000-04-11,70000,67100,5370,4.35,410,-410,0
2000-04-12,67500,68500,3660,4.45,-1360,1360,0
2000-04-14,68500,68500,2450,4.45,750,-750,0
2000-04-17,65000,64000,3330,4.15,-1000,1000,0
2000-04-18,64400,66000,2520,4.28,-630,630,0
2000-04-19,68000,68000,12580,4.41,3200,-3430,230
2000-04-20,68000,67000,5590,4.35,-630,630,0
2000-04-21,68400,67800,6090,4.4,-270,270,0
2000-04-24,71000,68000,8870,4.41,2600,-2610,0
2000-04-25,68000,74000,9200,4.8,-590,590,0
2000-04-26,75000,72400,9980,4.7,3420,-2060,0
2000-04-27,71000,70100,12600,4.55,3330,-3330,0
2000-04-28,69000,71900,5430,4.67,2210,-1750,0
2000-05-02,71500,70500,9133,4.58,1270,-1270,0
2000-05-03,69500,71400,26250,4.63,5520,-5520,0
2000-05-04,72000,70600,5610,4.58,-460,520,0
2000-05-08,70600,70900,6720,4.6,610,-350,0
2000-05-09,70900,69100,8170,4.48,1050,-1050,0
2000-05-10,69800,68100,3130,4.42,0,0,0
