Symbol,·Ôµ¥ÄÉ¹ÌÄ®_½Ã°¡(¿ø),·Ôµ¥ÄÉ¹ÌÄ®_Á¾°¡(¿ø),·Ôµ¥ÄÉ¹ÌÄ®_°Å·¡·®(ÁÖ),·Ôµ¥ÄÉ¹ÌÄ®_PER(IFRS-¿¬°á),·Ôµ¥ÄÉ¹ÌÄ®_¼ø¸Å¼ö¼ö·®(°³ÀÎ)(ÁÖ),·Ôµ¥ÄÉ¹ÌÄ®_¼ø¸Å¼ö¼ö·®(±â°ü°è)(ÁÖ),·Ôµ¥ÄÉ¹ÌÄ®_¼ø¸Å¼ö¼ö·®(¿Ü±¹ÀÎ°è)(ÁÖ)
2000-01-04,15500,15900,93140,13.81,14030,-9060,-6140
2000-01-05,15900,15200,239560,13.2,56860,57340,-114200
2000-01-06,16000,14700,210390,12.77,85660,-47820,-32800
2000-01-07,14500,16900,382700,14.68,-46140,-68480,119620
2000-01-10,17600,18700,624300,16.24,-156060,-113110,271390
2000-01-11,20000,20650,919130,17.93,-171760,-380410,557760
2000-01-12,20650,19000,209940,16.5,-17690,-51300,68990
2000-01-13,19000,19050,211770,16.54,-30820,-63930,91870
2000-01-14,19700,18200,99940,15.81,-5260,-11660,16920
2000-01-17,17700,17700,119840,15.37,-1070,18270,-17200
2000-01-18,18150,18500,236530,16.07,2100,-41180,39080
2000-01-19,18150,17800,127790,15.46,13810,-10720,-3200
2000-01-20,17700,17600,95180,15.28,-21230,18460,2770
2000-01-21,16800,16500,89620,14.33,18280,-15470,-2200
2000-01-24,15900,16150,550970,14.03,225840,-32220,7330
2000-01-25,15600,14900,185480,12.94,28520,11410,-45930
2000-01-26,15500,15600,685400,13.55,221070,86720,-308200
2000-01-27,15700,17400,503510,15.11,-209010,127020,78540
2000-01-28,17300,17400,298990,15.11,-130360,71850,-1340
2000-01-31,17300,17200,95110,14.94,-51640,55320,-4570
2000-02-01,17500,17900,98740,15.55,-42260,28520,13740
2000-02-02,18000,18600,107490,16.15,-61050,60730,0
2000-02-03,18400,18700,119120,16.24,-39890,-10330,29060
2000-02-07,18600,18700,177290,16.24,-10640,-30740,-27600
2000-02-08,18350,18300,112400,15.89,-35040,27290,-2250
2000-02-09,18000,18300,132680,15.89,-24150,-10690,-19000
2000-02-10,18300,17000,94040,14.76,4820,11480,-16300
2000-02-11,17900,17800,123850,15.46,-8650,39290,-30900
2000-02-14,18200,16700,270500,14.5,14550,28420,-42970
2000-02-15,16800,17000,129150,14.76,-42420,67050,-23690
2000-02-16,17500,17500,73620,15.2,-20190,27110,-6660
2000-02-17,16550,17800,79910,15.46,-11920,9350,-24520
2000-02-18,17300,16700,166580,14.5,91060,-37960,-56620
2000-02-21,15100,15800,85470,13.72,-18480,6100,1380
