Symbol,·Ôµ¥Çªµå_½Ã°¡(¿ø),·Ôµ¥Çªµå_Á¾°¡(¿ø),·Ôµ¥Çªµå_°Å·¡·®(ÁÖ),·Ôµ¥Çªµå_PER(IFRS-¿¬°á),·Ôµ¥Çªµå_¼ø¸Å¼ö¼ö·®(°³ÀÎ)(ÁÖ),·Ôµ¥Çªµå_¼ø¸Å¼ö¼ö·®(±â°ü°è)(ÁÖ),·Ôµ¥Çªµå_¼ø¸Å¼ö¼ö·®(¿Ü±¹ÀÎ°è)(ÁÖ)
2000-01-04,33800,31800,2760,2.42,0,0,0
2000-01-05,31400,31500,37490,2.4,-1610,1510,100
2000-01-06,30150,31300,3700,2.38,-2810,2510,300
2000-01-07,32000,30900,11150,2.35,-780,-10,790
2000-01-10,31200,32000,8020,2.44,-990,210,780
2000-01-11,32000,32000,34520,2.44,-2790,2790,0
2000-01-12,32800,33200,11060,2.53,0,0,0
2000-01-13,33300,34500,14710,2.63,0,0,0
2000-01-14,34000,33800,5120,2.57,10,-10,0
2000-01-17,33500,33500,5860,2.55,-2510,2510,0
2000-01-18,34000,33500,4690,2.55,-1470,1470,0
2000-01-19,33000,33000,9900,2.51,-6670,6670,0
2000-01-20,32500,32500,7910,2.47,-6500,6500,0
2000-01-21,34000,32000,8080,2.44,-2960,2960,0
2000-01-24,31500,32500,500,2.47,0,0,0
2000-01-25,31600,31500,1020,2.4,0,0,0
2000-01-26,31500,32000,2250,2.44,-1690,1690,0
2000-01-27,32100,32400,9850,2.47,1430,-1430,0
2000-01-28,32500,32700,1710,2.49,-680,680,0
2000-01-31,33200,31500,11040,2.4,9870,0,130
2000-02-01,32700,31700,5640,2.41,3450,-3450,0
2000-02-02,31300,32200,5100,2.45,-100,0,100
2000-02-03,32000,33800,11620,2.57,-2700,2720,-20
2000-02-07,33800,36000,21570,2.74,3990,-3980,-10
2000-02-08,36000,35000,6920,2.66,-1500,1500,0
2000-02-09,35000,35000,5580,2.66,0,0,0
2000-02-10,34500,33800,3390,2.57,0,0,0
2000-02-11,32000,32350,7630,2.46,-890,-10,900
2000-02-14,32800,32500,8600,2.47,-7280,7280,0
2000-02-15,32600,32000,2480,2.44,-700,0,700
2000-02-16,32100,31000,7600,2.36,-690,-1510,2200
2000-02-17,31500,31950,3520,2.43,0,0,0
2000-02-18,31950,31600,2050,2.41,0,0,0
2000-02-21,30000,31000,6350,2.36,-3090,2990,100
2000-02-22,30950,30400,2000,2.31,-460,0,460
2000-02-23,30500,30950,6560,2.36,0,0,0
2000-02-24,31300,31000,2310,2.36,-880,0,880
2000-02-25,31000,31000,4750,2.36,0,0,0
2000-02-28,31000,31500,5210,2.4,0,0,0
2000-02-29,31500,31300,1900,2.38,0,0,0
2000-03-02,31100,31450,3250,2.39,-20,-10,30
2000-03-03,31600,31200,3350,2.38,0,0,0
2000-03-06,31900,33000,30910,2.51,-930,-18520,19450
2000-03-07,35000,35100,9010,2.67,10,-10,0
2000-03-08,35000,33700,4820,2.57,0,0,0
2000-03-09,33700,35300,56980,2.69,27120,-27120,0
2000-03-10,36000,35800,14920,2.73,10,-10,0
2000-03-13,36600,37000,22350,2.82,2230,-30,-2200
2000-03-14,37200,36200,13660,2.76,-3460,2460,0
2000-03-15,36000,36250,11650,2.76,-1870,1870,0
2000-03-16,36300,35500,7130,2.7,-3410,3410,0
2000-03-17,35450,35300,4920,2.69,-1140,1140,0
2000-03-20,36300,36000,4330,2.74,0,0,0
2000-03-21,35600,35500,4440,2.7,0,0,0
2000-03-22,35500,36300,3480,2.76,0,0,0
2000-03-23,35600,35800,2050,2.73,0,0,0
2000-03-24,36000,36600,10770,2.79,0,0,0
2000-03-27,37800,38700,12550,2.95,1710,-2160,0
2000-03-28,39900,39000,9980,2.97,310,-10,0
2000-03-29,39000,38400,5380,2.92,1130,-30,0
2000-03-30,39000,37500,4290,2.85,0,0,0
2000-03-31,37100,36300,5630,2.76,750,0,-700
2000-04-03,36300,36650,9240,2.79,3520,0,-3520
2000-04-04,37000,36500,7160,2.78,0,0,0
2000-04-06,36600,35000,7840,2.66,1890,-10,-1880
2000-04-07,34500,34800,5700,2.65,0,0,0
2000-04-10,34400,35450,5610,2.7,100,0,0
2000-04-11,34750,35000,3770,2.66,0,0,0
2000-04-12,34800,35450,2960,2.7,0,0,0
2000-04-14,34500,34200,4130,2.6,0,0,0
2000-04-17,30550,29400,7860,2.24,-120,0,120
2000-04-18,32000,30050,15290,2.29,10000,-10000,0
2000-04-19,32000,32000,13160,2.44,2860,0,-2860
2000-04-20,34900,33000,10070,2.51,3950,0,-3950
2000-04-21,33050,33650,6430,2.56,10,-10,0
2000-04-24,34900,33900,6240,2.58,0,0,0
2000-04-25,34000,34100,2550,2.6,0,0,0
2000-04-26,34900,33650,4420,2.56,0,0,0
2000-04-27,32500,32000,7030,2.44,0,0,0
2000-04-28,32000,32400,5530,2.47,10,-10,0
2000-05-02,31700,32500,3930,2.47,0,0,0
2000-05-03,32000,33800,3200,2.57,0,0,0
2000-05-04,33100,34750,6030,2.65,0,0,0
2000-05-08,35500,34800,5360,2.65,-200,200,0
2000-05-09,34600,34500,2980,2.63,0,0,0
2000-05-10,33500,34000,3530,2.59,0,0,0
2000-05-12,34000,33050,4970,2.52,0,0,0
2000-05-15,32050,31700,5810,2.41,0,0,0
2000-05-16,32500,31700,7210,2.41,4520,-4530,0
2000-05-17,31700,30600,8060,2.33,1960,-2160,200
2000-05-18,29100,29500,11170,2.25,-2360,-200,2560
2000-05-19,29750,29600,6170,2.25,-1790,0,1150
2000-05-22,29500,28000,7850,2.13,-1600,0,1250
2000-05-23,25300,26300,11920,2,480,-3180,2500
2000-05-24,26000,26500,7910,2.02,-1230,310,920
2000-05-25,27000,29000,14960,2.21,5000,-5000,0
2000-05-26,29000,29000,27790,2.21,1280,-1280,0
2000-05-29,30000,31000,18760,2.36,10,-10,0
2000-05-30,34000,33000,30430,2.51,6610,-6610,0
2000-05-31,33400,33200,35730,2.53,7560,-7560,0
2000-06-01,32800,32400,21400,2.47,-3000,3000,0
2000-06-02,33000,31900,25220,2.43,11060,-11060,0
2000-06-05,33800,36450,110630,2.77,42730,-17330,-19970
2000-06-07,36900,35700,64500,2.72,2710,-10,0
2000-06-08,34300,34000,37740,2.59,-2930,2960,0
2000-06-09,32600,33200,20030,2.53,-1760,1760,0
2000-06-12,33200,32750,18000,2.49,-30,30,0
2000-06-13,33050,33400,38120,2.54,-40,0,0
2000-06-14,33500,32600,9740,2.48,0,0,0
2000-06-15,32650,31000,10290,2.36,20,0,0
2000-06-16,31000,31900,18800,2.43,-300,300,0
2000-06-19,31200,31500,4860,2.4,0,0,0
2000-06-20,30800,32200,34120,2.45,-7360,7360,0
2000-06-21,31700,31650,11070,2.41,-980,980,0
2000-06-22,31500,31250,7720,2.38,-3000,3000,0
2000-06-23,31300,31500,6940,2.4,-2130,2120,0
2000-06-26,31700,31350,6650,2.39,0,0,0
2000-06-27,31500,32500,14100,2.47,-1910,1920,0
2000-06-28,32400,32600,9220,2.48,-2510,2510,0
2000-06-29,32600,31800,13350,2.42,960,-960,0
2000-06-30,31200,31700,4770,2.41,10,-10,0
2000-07-03,33300,35000,32980,2.66,5980,4020,0
2000-07-04,37000,35000,34910,2.66,-1750,4020,0
2000-07-05,35500,34200,16200,2.6,-2000,2000,0
2000-07-06,35100,36000,45560,2.74,2390,-2390,0
2000-07-07,36500,35900,22850,2.73,20,0,0
2000-07-10,35500,35750,29870,2.72,-980,-20,0
2000-07-11,35750,35000,19950,2.66,3950,-3950,0
2000-07-12,35100,34500,20240,2.63,6960,-6980,0
2000-07-13,34000,34250,8720,2.61,2140,-2140,0
2000-07-14,34500,34250,15800,2.61,2090,-2090,0
2000-07-18,34700,34700,24640,2.64,2000,-2000,0
2000-07-19,34400,33800,13850,2.57,300,-300,0
2000-07-20,32300,32400,14710,2.47,0,0,0
2000-07-21,33000,32050,13800,2.44,0,0,0
2000-07-24,31550,29050,19230,2.21,0,0,0
2000-07-25,28100,29500,15600,2.25,-3000,3000,0
2000-07-26,29100,29600,11050,2.25,-1320,-10,1330
2000-07-27,28700,28650,7640,2.18,-2120,1020,1100
2000-07-28,29000,27950,10680,2.13,-4420,3420,1000
2000-07-31,27500,28100,6650,2.14,-250,-10,260
2000-08-01,28100,29500,9010,2.25,-2190,2190,0
2000-08-02,29600,28700,6400,2.18,-650,0,650
2000-08-03,29000,28400,6110,2.16,-420,0,420
2000-08-04,28000,27550,4740,2.1,-1000,0,1000
2000-08-07,27100,25900,9850,1.97,-1000,0,1000
2000-08-08,27300,26500,8330,2.02,-620,420,200
2000-08-09,26800,29000,16870,2.21,-3920,5720,200
2000-08-10,27900,27700,6000,2.11,-530,400,130
2000-08-11,27200,27800,8570,2.12,-2300,2300,0
2000-08-14,28600,28400,9550,2.16,-1110,540,570
2000-08-16,28700,29500,12550,2.25,-4630,3630,0
2000-08-17,30000,29300,11660,2.23,-2010,2000,10
2000-08-18,28900,29850,20780,2.27,-6970,5970,0
2000-08-21,29850,28450,3050,2.17,0,0,0
2000-08-22,28300,29500,16750,2.25,-1100,1100,0
2000-08-23,30000,28800,7080,2.19,10,-10,0
2000-08-24,28550,28100,13990,2.14,2440,-1440,0
2000-08-25,28400,27800,13100,2.12,3000,-3000,0
2000-08-28,28000,27900,6150,2.12,0,0,0
2000-08-29,28500,29500,20220,2.25,-4830,4830,0
2000-08-30,30200,31300,50330,2.38,-4340,2740,0
2000-08-31,30500,29300,16710,2.23,500,-500,0
2000-09-01,29800,30000,11930,2.28,-650,570,0
2000-09-04,30500,30150,16160,2.3,-2160,2160,0
2000-09-05,30000,29900,11570,2.28,-1560,3060,0
2000-09-06,29600,29850,10330,2.27,-200,100,0
2000-09-07,29500,29200,7090,2.22,-2350,2350,0
2000-09-08,28500,28500,4600,2.17,-200,0,0
2000-09-14,28500,27900,3420,2.12,-100,100,0
2000-09-15,27700,28000,4180,2.13,-1000,1000,0
2000-09-18,27900,25900,7030,1.97,10,-10,0
2000-09-19,24000,25500,3590,1.94,0,0,0
2000-09-20,25400,26000,14800,1.98,-1000,-2010,0
2000-09-21,25900,24900,14030,1.9,-500,0,0
2000-09-22,25200,23250,5550,1.77,0,0,0
2000-09-25,23000,23700,12610,1.8,5730,-6230,0
2000-09-26,23500,24000,6820,1.83,-1000,1000,0
2000-09-27,24500,24800,6990,1.89,610,0,0
2000-09-28,25500,24250,4780,1.85,10,-10,0
2000-09-29,24000,25000,31720,1.9,6240,-2840,0
2000-10-02,24900,25000,5970,1.9,-1530,1530,0
