Symbol,메리츠종금증권_시가(원),메리츠종금증권_종가(원),메리츠종금증권_거래량(주),메리츠종금증권_PER(IFRS-연결),메리츠종금증권_순매수수량(개인)(주),메리츠종금증권_순매수수량(기관계)(주),메리츠종금증권_순매수수량(외국인계)(주)
2000-01-04,7100,7530,374690,11.77,0,0,0
2000-01-05,7300,7050,248950,11.03,0,0,0
2000-01-06,7100,6450,156550,10.08,20,-20,0
2000-01-07,6510,6770,249390,10.59,-88190,-10,0
2000-01-10,6610,6700,180790,10.47,-270,-30,300
2000-01-11,6630,6500,181910,10.16,0,0,0
2000-01-12,6350,6200,165590,9.69,-1000,0,0
2000-01-13,6000,6300,129520,9.85,0,0,0
2000-01-14,6350,6080,138760,9.5,-10420,0,400
2000-01-17,6190,6100,177000,9.53,-47320,-30,-2650
2000-01-18,6150,5820,170520,9.09,44130,-42130,0
2000-01-19,5760,5300,179210,8.28,2700,0,300
2000-01-20,5050,5300,216370,8.28,-25000,0,0
2000-01-21,5100,5150,147390,8.05,0,0,0
2000-01-24,5000,5010,172040,7.84,0,0,0
2000-01-25,5020,5060,148500,7.91,40,-40,0
2000-01-26,5110,5400,313070,8.44,2120,0,-120
2000-01-27,5460,6210,623770,9.71,-99820,100000,-180
2000-01-28,6300,6360,496300,9.94,200,0,-200
2000-01-31,6000,6600,660390,10.31,-190,-10,200
2000-02-01,6780,6600,446360,10.31,200,0,-200
2000-02-02,6550,6670,302330,10.43,-1500,0,1500
2000-02-03,6610,6560,242580,10.26,-390,-10,400
2000-02-07,6560,6490,254040,10.15,500,0,-500
2000-02-08,6310,6200,297930,9.69,88480,-87880,400
2000-02-09,6110,6070,289220,9.49,12150,-12150,0
2000-02-10,5850,5880,242110,9.19,0,0,0
2000-02-11,5910,5650,210370,8.83,40,-40,0
2000-02-14,5500,5510,236180,8.62,0,0,0
2000-02-15,5650,5900,347320,9.22,10,-10,0
2000-02-16,6010,5850,323620,9.14,0,0,0
2000-02-17,5850,5790,261750,9.06,20000,0,-20000
2000-02-18,5610,5550,218320,8.67,1100,0,-1100
2000-02-21,5450,5290,261630,8.27,0,0,0
2000-02-22,5010,5340,259960,8.35,-180,0,180
2000-02-23,5460,6140,572170,9.6,1000,0,-1000
2000-02-24,5710,5670,309480,8.86,-90,-10,100
2000-02-25,5810,5850,332540,9.14,120,-20,-100
2000-02-28,5650,5800,260610,9.07,-88880,88880,0
2000-02-29,6210,6000,385200,9.38,-175150,175150,0
2000-03-02,5810,5950,279700,9.3,10,-10,0
2000-03-03,5950,5570,141000,8.7,-100,0,100
2000-03-06,5600,5870,327540,9.17,28260,-28160,-100
2000-03-07,5640,5730,200120,8.96,8000,-8000,0
2000-03-08,5690,5630,325170,8.8,79820,-80020,200
2000-03-09,5520,5400,470200,8.44,43500,-28000,500
2000-03-10,5400,5270,284310,8.24,0,0,0
2000-03-13,5320,5080,291080,7.94,120,-120,0
2000-03-14,4980,5100,290320,7.97,0,0,0
2000-03-15,5120,5100,237820,7.97,-57940,57940,0
2000-03-16,5210,5100,220340,7.97,-46650,45050,1600
