Symbol,무학_시가(원),무학_종가(원),무학_거래량(주),무학_PER(IFRS-연결),무학_순매수수량(개인)(주),무학_순매수수량(기관계)(주),무학_순매수수량(외국인계)(주)
2000-01-04,2700,2700,19365,,19300,-19300,0
2000-01-05,2510,2690,733,,0,0,0
2000-01-06,2370,3010,844,,0,0,0
2000-01-07,3370,3370,1826,,0,0,0
2000-01-10,3770,3770,19510,,0,0,0
2000-01-11,4220,4220,47,,0,0,0
2000-01-12,4720,4720,86,,0,0,0
2000-01-13,5280,5280,40,,0,0,0
2000-01-14,5910,5910,40,,0,0,0
2000-01-17,6610,6610,947,,0,0,0
2000-01-18,7400,7400,1370,,0,0,0
2000-01-19,8280,6520,6291,,0,0,0
2000-01-20,5740,5740,713,,0,0,0
2000-01-21,5060,6420,1650,,0,0,0
2000-01-24,5650,6100,2788,,0,0,0
2000-01-25,6830,6800,1482,,0,0,0
2000-01-26,6800,6000,462,,0,0,0
2000-01-27,5500,5970,1507,,0,0,0
2000-01-28,5300,5800,700,,0,0,0
2000-01-31,5770,6060,729,,0,0,0
2000-02-01,6000,6200,1782,,0,0,0
2000-02-02,6900,6700,435,,0,0,0
2000-02-03,6980,6200,1547,,0,0,0
2000-02-07,5520,6540,2093,,0,0,0
2000-02-08,5760,6000,656,,0,0,0
2000-02-09,6000,6000,739,,0,0,0
2000-02-10,6000,6000,359,,0,0,0
2000-02-11,5280,6100,955,,0,0,0
2000-02-14,5430,5970,922,,0,0,0
2000-02-15,5880,5720,249,,0,0,0
2000-02-16,5960,5960,400,,0,0,0
2000-02-17,5600,5600,0,,0,0,0
2000-02-18,5600,5900,449,,0,0,0
2000-02-21,5260,5700,2503,,-2000,2000,0
2000-02-22,6380,5620,1980,,-30,30,0
2000-02-23,5120,5930,603,,-1,1,0
2000-02-24,5220,5820,941,,0,0,0
2000-02-25,5780,6510,2033,,0,0,0
2000-02-28,7290,7290,3214,,0,0,0
2000-02-29,8160,8160,5777,,0,0,0
2000-03-02,9130,9130,974,,0,0,0
2000-03-03,10100,9300,3639,,0,0,0
2000-03-06,8500,10300,3169,,0,0,0
2000-03-07,10300,10100,6,,0,0,0
2000-03-08,9500,11150,1696,,0,0,0
2000-03-09,9960,10200,13461,,2031,-2031,0
2000-03-10,10000,10300,2318,,0,0,0
2000-03-13,10700,9930,2016,,0,0,0
2000-03-14,10250,9660,948,,0,0,0
2000-03-15,9660,10800,11537,,0,0,0
2000-03-16,11950,12050,7456,,0,0,0
2000-03-17,13450,13450,20385,,0,0,0
2000-03-20,14900,15050,26933,,0,0,0
2000-03-21,16700,13250,20705,,0,0,0
2000-03-22,11700,11700,41164,,0,0,0
2000-03-23,11900,10300,24515,,0,0,0
2000-03-24,10900,9500,11314,,0,0,0
2000-03-27,10000,10600,3076,,0,0,0
2000-03-28,11850,10900,31078,,0,0,0
2000-03-29,9600,9700,6583,,0,0,0
2000-03-30,8700,9200,3622,,0,0,0
2000-03-31,8600,10300,17131,,0,0,0
2000-04-03,11000,11500,10479,,0,0,0
2000-04-04,11600,10150,13681,,0,0,0
2000-04-06,11050,9900,3879,,0,0,0
2000-04-07,9510,10000,17043,,0,0,0
2000-04-10,9520,10100,12785,,0,0,0
2000-04-11,10100,9250,8511,,0,0,0
2000-04-12,8530,9230,8509,,0,0,0
2000-04-14,8990,10300,12068,,0,0,0
2000-04-17,9600,9110,20342,,0,0,0
2000-04-18,9600,10200,7972,,0,0,0
2000-04-19,11400,11400,2435,,0,0,0
2000-04-20,12750,12750,31117,,0,0,0
2000-04-21,14250,13100,77065,,0,0,0
2000-04-24,12100,13550,27416,,-50,0,0
2000-04-25,13300,11950,16215,,-20,0,0
2000-04-26,12000,13350,33152,,70,0,0
2000-04-27,14500,14950,82337,,0,0,0
2000-04-28,14500,14900,57421,,0,0,0
2000-05-02,14900,13150,38937,,0,0,0
2000-05-03,12700,12300,48122,,0,0,0
2000-05-04,11700,13750,33001,,0,0,0
2000-05-08,14400,15400,15228,,0,0,0
2000-05-09,17200,17200,77587,,0,0,0
2000-05-10,17150,15150,145065,,-20,0,0
2000-05-12,15900,15200,83224,,20,0,0
2000-05-15,15200,14600,36533,,0,0,0
2000-05-16,13800,14150,15619,,0,0,0
2000-05-17,13800,13200,24663,,0,0,0
2000-05-18,12700,14750,58276,,0,0,0
2000-05-19,14400,13000,46112,,-5,0,0
2000-05-22,12500,11450,22344,,-4,0,0
2000-05-23,11450,10100,15112,,9,0,0
2000-05-24,8900,9350,26029,,0,0,0
2000-05-25,9700,10450,25653,,0,0,0
2000-05-26,11000,11600,47658,,0,0,0
2000-05-29,11900,10800,19331,,0,0,0
2000-05-30,10800,11650,11575,,0,0,0
2000-05-31,11650,12500,23635,,0,0,0
2000-06-01,11700,11400,11472,,0,0,0
2000-06-02,11600,11600,12756,,0,0,0
2000-06-05,12000,11850,14543,,0,0,0
2000-06-07,11800,11400,11352,,0,0,0
2000-06-08,11400,10600,11428,,0,0,0
2000-06-09,10600,10500,9281,,0,0,0
2000-06-12,10700,10950,8872,,0,0,0
2000-06-13,10950,12250,24765,,0,0,0
2000-06-14,12250,13000,45415,,0,0,0
2000-06-15,12950,14550,62049,,-10,0,0
2000-06-16,15400,14700,51012,,-5,0,0
2000-06-19,14500,12950,29241,,-19,0,0
2000-06-20,13250,13300,12533,,21,0,0
2000-06-21,12400,13000,15015,,13,0,0
2000-06-22,12500,13100,9740,,0,0,0
2000-06-23,12400,12300,7772,,-100,0,0
2000-06-26,11600,12800,12511,,50,0,0
2000-06-27,12350,13000,13832,,0,0,0
2000-06-28,13400,14550,15399,,50,0,0
2000-06-29,15000,15100,45422,,0,0,0
2000-06-30,14800,15300,14228,,0,0,0
2000-07-03,14300,14850,21854,,0,0,0
2000-07-04,14000,14850,14226,,0,0,0
2000-07-05,14250,13550,10419,,0,0,0
2000-07-06,12050,15150,21632,,0,0,0
2000-07-07,14100,14700,8680,,0,0,0
2000-07-10,15000,16450,32150,,0,0,0
2000-07-11,16400,17300,55417,,0,0,0
2000-07-12,17300,17400,20998,,0,0,0
2000-07-13,17400,16250,32719,,0,0,0
2000-07-14,14800,14300,36348,,0,0,0
2000-07-18,14300,14600,23985,,0,0,0
2000-07-19,14700,15650,41349,,0,0,0
2000-07-20,16500,14900,34132,,0,0,0
2000-07-21,15000,15000,32791,,0,0,0
2000-07-24,14500,14450,20082,,0,0,0
2000-07-25,14200,13150,12198,,0,0,0
2000-07-26,13350,14700,8727,,0,0,0
2000-07-27,16450,13800,95432,,0,0,0
2000-07-28,14000,12800,52236,,0,0,0
2000-07-31,12300,14300,33870,,0,0,0
2000-08-01,13800,14600,46909,,0,0,0
2000-08-02,14650,14000,20507,,0,0,0
2000-08-03,14000,13950,31189,,0,0,0
2000-08-04,14200,13400,20571,,0,0,0
2000-08-07,13400,13600,21954,,0,0,0
2000-08-08,13200,13600,16095,,0,0,0
2000-08-09,13200,13350,12135,,0,0,0
2000-08-10,13200,13400,9550,,0,0,0
2000-08-11,13400,13900,41783,,0,0,0
2000-08-14,14700,15550,28311,,0,0,0
2000-08-16,17400,13900,111883,,0,0,0
2000-08-17,14300,14250,42482,,0,0,0
2000-08-18,14450,15050,144392,,0,0,0
2000-08-21,15100,14350,40024,,0,0,0
2000-08-22,14100,14450,34319,,0,0,0
2000-08-23,14550,14000,19156,,-5,0,0
2000-08-24,13550,13600,15500,,0,0,0
2000-08-25,12900,13400,14940,,0,0,0
2000-08-28,13100,13600,19310,,0,0,0
2000-08-29,13700,13750,13416,,5,0,0
2000-08-30,13750,13700,9880,,0,0,0
2000-08-31,13400,13200,6099,,0,0,0
2000-09-01,13050,13100,5460,,0,0,0
2000-09-04,13200,12850,6259,,0,0,0
2000-09-05,12550,12650,5807,,0,0,0
2000-09-06,12250,12800,7438,,0,0,0
2000-09-07,12600,12450,3069,,0,0,0
2000-09-08,11650,11950,7830,,0,0,0
2000-09-14,11350,10700,9570,,0,0,0
2000-09-15,10300,10050,8196,,0,0,0
2000-09-18,9090,10600,46671,,0,0,0
2000-09-19,11000,9350,55738,,0,0,0
2000-09-20,9400,9300,12189,,0,0,0
2000-09-21,9150,8190,17745,,0,0,0
2000-09-22,7420,7210,4908,,0,0,0
2000-09-25,6350,6370,19961,,0,0,0
2000-09-26,5810,6120,29007,,0,0,0
2000-09-27,6400,6850,23627,,0,0,0
2000-09-28,6900,7290,26612,,0,0,0
2000-09-29,7450,7450,15795,,0,0,0
2000-10-02,7390,7670,34850,,0,0,0
2000-10-04,7430,7700,6964,,-50,0,0
2000-10-05,7700,8050,11925,,-50,0,0
2000-10-06,8050,7900,12157,,0,0,0
2000-10-09,8200,8750,32489,,100,0,0
2000-10-10,8500,8300,12632,,-540,540,0
2000-10-11,8000,7500,13379,,0,0,0
2000-10-12,7890,7790,5965,,0,0,0
2000-10-13,7350,7360,2196,,0,0,0
2000-10-16,7650,8000,1459,,0,0,0
2000-10-17,8350,7640,10879,,0,0,0
2000-10-18,7120,7160,8216,,0,0,0
2000-10-19,7050,6950,6158,,0,0,0
2000-10-20,7500,7030,8186,,0,0,0
2000-10-23,7200,7380,9937,,0,0,0
