Symbol,미래에셋대우_시가(원),미래에셋대우_종가(원),미래에셋대우_거래량(주),미래에셋대우_PER(IFRS-연결),미래에셋대우_순매수수량(개인)(주),미래에셋대우_순매수수량(기관계)(주),미래에셋대우_순매수수량(외국인계)(주)
2000-01-04,12900,14700,1542810,6.97,-20820,-11910,1640
2000-01-05,14000,13800,2894840,6.54,832650,-74360,-859290
2000-01-06,14000,12700,1573760,6.02,79530,-197030,119970
2000-01-07,13100,12700,1729660,6.02,45110,-39230,-30580
2000-01-10,13000,12500,1384090,5.93,74360,8940,-85350
2000-01-11,12300,12800,1692940,6.07,41410,-21560,4600
2000-01-12,12500,12200,1141620,5.78,23350,-43070,1120
2000-01-13,12050,12200,1510710,5.78,163710,-5950,-139480
2000-01-14,12200,11300,1745380,5.36,257950,-47190,-208770
2000-01-17,11500,11100,2195290,5.26,275270,-284810,9540
2000-01-18,11300,10650,2363580,5.05,30270,-53420,-1730
2000-01-19,10350,9440,2263490,4.48,35680,-78720,29270
2000-01-20,9250,8900,2190320,4.22,185890,-215150,29260
2000-01-21,8610,8410,2965120,3.99,856640,-302340,-553980
2000-01-24,8700,8810,3884110,4.18,257750,-72980,-175560
2000-01-25,8500,8950,2075670,4.24,-171300,-67800,191100
2000-01-26,9490,10250,2229810,4.86,36780,1490,1230
2000-01-27,11350,11750,4875210,5.57,-344850,-104060,388450
2000-01-28,12400,12500,6760150,5.93,58000,-70070,73410
2000-01-31,11700,13250,6089780,6.28,22420,-24280,-37740
2000-02-01,13850,13200,3680030,6.26,42380,-20180,-21000
2000-02-02,13100,14000,4229480,6.64,-279580,15460,206120
2000-02-03,14100,14050,2311750,6.66,102410,-3330,-52080
2000-02-07,13700,13050,3922140,6.19,471820,-17340,-402660
2000-02-08,12700,12400,3957920,5.88,65520,55390,-126790
2000-02-09,12500,12350,2372720,5.85,-71020,-24480,102800
2000-02-10,12750,13800,5336370,6.54,-122480,-197540,313300
2000-02-11,14000,12600,2822920,5.97,97550,-155230,65280
2000-02-14,12000,13000,3164750,6.16,-342660,25000,306060
2000-02-15,13000,12050,2654300,5.71,487950,69510,-556960
2000-02-16,12400,12100,1723560,5.74,-240690,9710,230090
2000-02-17,11900,12300,1873310,5.83,-163310,14950,143060
2000-02-18,11400,11600,2552640,5.5,-5660,-207920,213880
2000-02-21,11100,12250,2646120,5.81,-748780,1940,746830
2000-02-22,11600,11500,1983930,5.45,-76520,74380,2260
2000-02-23,12400,12800,4462660,6.07,143350,-132400,-48000
2000-02-24,12200,11900,2361290,5.64,-141030,-24550,165490
2000-02-25,12100,12100,2401960,5.74,-637770,4100,623500
2000-02-28,11500,12300,1699390,5.83,-522190,50850,487650
2000-02-29,12700,11900,1535560,5.64,19850,15370,-34970
2000-03-02,11400,11850,3720310,5.62,502590,-384720,-117870
2000-03-03,11850,11100,2658480,5.26,538210,-70400,-465660
2000-03-06,11100,11150,2975960,5.29,74360,-106030,29560
2000-03-07,10800,10700,1688810,5.07,22040,-10550,-12040
2000-03-08,10400,10700,3512870,5.07,197680,-67220,-130280
2000-03-09,10700,10100,2407090,4.79,310510,-156370,-146080
2000-03-10,10200,9800,2201030,4.65,23350,-5370,-18000
2000-03-13,9800,9070,2349020,4.3,52410,-32050,-19320
2000-03-14,8520,9050,2255900,4.29,-71460,22300,49960
2000-03-15,9050,8750,1389010,4.15,8960,-380,-8220
2000-03-16,8890,8730,1446830,4.14,-151250,124900,24080
2000-03-17,8500,8490,2134060,4.45,115890,-119650,3200
2000-03-20,8310,8130,1241030,4.26,-51540,28710,20690
2000-03-21,8250,7740,1236600,4.05,-80060,52020,15930
2000-03-22,7750,7580,2842160,3.97,2370,-22100,19110
2000-03-23,7400,7020,3048800,3.68,146820,-169130,14660
2000-03-24,7100,6850,2176540,3.59,26370,-90,-26280
2000-03-27,6680,7490,5969130,3.92,517940,-459070,-3370
2000-03-28,7100,7040,1924120,3.69,-90400,29320,60950
2000-03-29,6820,6100,1947840,3.2,184870,-72040,-104990
2000-03-30,5800,6300,1938650,3.3,107360,-86410,-28700
2000-03-31,5980,5980,1032830,3.13,9010,-16040,6910
2000-04-03,5800,5500,1055120,,-40450,28790,8150
2000-04-04,5600,5790,1358990,,-137340,111500,15210
2000-04-06,5590,5580,728190,,-12700,-4940,16940
