Symbol,보령제약_시가(원),보령제약_종가(원),보령제약_거래량(주),보령제약_PER(IFRS-연결),보령제약_순매수수량(개인)(주),보령제약_순매수수량(기관계)(주),보령제약_순매수수량(외국인계)(주)
2000-01-04,10500,13000,64630,13.1,-500,0,0
2000-01-05,12950,13250,47970,13.35,-1500,2000,0
2000-01-06,13800,12150,31960,12.24,0,0,0
2000-01-07,12200,13100,49160,13.2,-10000,10000,0
2000-01-10,13450,14000,78250,14.11,-2490,2490,0
2000-01-11,12600,13300,50850,13.4,2310,-2310,0
2000-01-12,13700,12500,32470,12.6,2490,-2490,0
2000-01-13,12700,13500,108290,13.61,10,-10,0
2000-01-14,13100,12300,51800,12.4,0,0,0
2000-01-17,12000,12200,29450,12.3,0,0,0
2000-01-18,11800,11800,18040,11.89,0,0,0
2000-01-19,11700,11050,11310,11.14,0,0,0
2000-01-20,10700,11000,13220,11.09,0,0,0
2000-01-21,10550,10900,12070,10.99,0,0,0
2000-01-24,10900,11250,24530,11.34,0,0,0
2000-01-25,10700,10800,8140,10.88,0,0,0
2000-01-26,10700,10600,16290,10.68,6680,-6680,0
2000-01-27,10700,11300,36060,11.39,170,-170,0
2000-01-28,11050,11150,15120,11.24,170,-170,0
2000-01-31,11200,11000,10310,11.09,0,0,0
2000-02-01,11000,10800,32460,10.88,10,-10,0
2000-02-02,10800,11150,20020,11.24,0,0,0
2000-02-03,11300,11000,13770,11.09,0,0,0
2000-02-07,11300,11150,41380,11.24,-10000,0,0
2000-02-08,11500,11100,27330,11.19,0,0,0
2000-02-09,11150,11000,46960,11.09,0,0,0
2000-02-10,11500,10800,22740,10.88,0,0,0
2000-02-11,10600,11300,43970,11.39,0,0,0
2000-02-14,11300,10700,19390,10.78,0,0,0
2000-02-15,10300,9990,17020,10.07,0,0,0
2000-02-16,9730,9800,17440,9.88,0,0,0
2000-02-17,10350,10400,47780,10.48,0,0,0
2000-02-18,10650,11600,66980,11.69,0,0,0
2000-02-21,11600,11000,80430,11.09,10,-10,0
2000-02-22,11000,10850,36140,10.94,0,0,0
2000-02-23,11000,11400,63030,11.49,-200,200,0
2000-02-24,11400,11400,75610,11.49,-1410,0,0
2000-02-25,11400,11300,39950,11.39,10,-10,0
2000-02-28,11500,12450,89960,12.55,10740,0,0
2000-02-29,12600,12450,120370,12.55,-2150,0,2150
2000-03-02,12700,13300,111320,13.4,0,0,0
2000-03-03,13900,12750,106330,12.85,0,0,0
2000-03-06,12800,13300,54950,13.4,0,0,0
2000-03-07,13250,12950,51790,13.05,650,20,0
2000-03-08,13200,12800,25600,12.9,0,0,0
2000-03-09,12150,12700,40750,12.8,-10,-10,0
2000-03-10,12400,13500,84600,13.61,-2000,0,0
2000-03-13,14200,14400,140020,14.51,200,-90,-110
2000-03-14,14400,13300,58380,13.4,110,-110,0
2000-03-15,12600,12450,52320,12.55,110,-110,0
2000-03-16,12650,12650,105990,12.75,28500,-28500,0
2000-03-17,12700,12600,60460,12.7,11450,-11450,0
2000-03-20,12300,12250,66850,12.35,0,0,0
2000-03-21,11850,11700,23360,11.79,0,0,0
2000-03-22,11500,11800,57570,11.89,8000,-6000,0
2000-03-23,11600,11650,30370,11.74,10,-10,0
2000-03-24,11350,11700,85080,11.79,5070,-5070,0
2000-03-27,12200,11650,29020,11.74,-5000,5000,0
2000-03-28,11700,12500,69090,12.6,-3950,3950,0
2000-03-29,12500,12700,88240,12.8,-11990,11990,0
2000-03-30,12700,12100,37970,12.19,-2980,3000,0
2000-03-31,12000,13800,52960,13.91,-30400,30400,0
2000-04-03,13000,12100,41930,12.19,2900,-3000,0
2000-04-04,12100,11000,47340,11.09,22330,-22430,0
2000-04-06,10600,10400,45410,10.48,16360,-16160,0
2000-04-07,10600,10500,34540,10.58,13570,-13570,0
2000-04-10,10800,10750,20250,10.83,8520,-7120,0
2000-04-11,10750,10250,21920,10.33,7840,-6610,0
2000-04-12,10600,10300,7900,10.38,70,-70,0
2000-04-14,9900,10250,14400,10.33,30,-30,0
2000-04-17,10250,9010,15390,9.08,2000,-2000,0
2000-04-18,9800,9010,127190,9.08,72710,-72710,0
2000-04-19,9100,9010,154840,9.08,91370,-91370,0
2000-04-20,9020,9020,53480,9.09,12770,-12770,0
2000-04-21,9000,9150,46120,9.22,50,-50,0
2000-04-24,9250,9200,67220,9.27,0,0,0
2000-04-25,9390,8900,30700,8.97,0,0,0
2000-04-26,9000,8390,29940,8.46,-3990,3990,0
2000-04-27,8390,7980,27260,8.04,-210,-30,240
2000-04-28,7810,8300,25880,8.37,-5920,5920,0
2000-05-02,8200,9000,181750,9.07,-20,-20,0
2000-05-03,9400,8800,52770,8.87,60,-20,0
2000-05-04,8800,9000,78610,9.07,0,0,0
2000-05-08,9300,9050,61060,9.12,-10,-10,0
2000-05-09,9110,9150,32840,9.22,0,0,0
2000-05-10,9000,9200,65050,9.27,20,0,0
2000-05-12,9100,9300,106280,9.37,10,-10,0
2000-05-15,9200,9650,116680,9.73,510,-510,0
2000-05-16,9950,9250,57570,9.32,0,0,0
2000-05-17,9300,9010,70980,9.08,0,0,0
2000-05-18,8730,8490,44530,8.56,-500,500,0
2000-05-19,8270,8500,34150,8.57,17300,-12350,-5000
2000-05-22,8500,7980,43920,8.04,17160,-12160,-5000
2000-05-23,7980,7830,105750,7.89,11220,-10900,-320
2000-05-24,7750,7820,32480,7.88,5960,-5960,0
