Symbol,부광약품_시가(원),부광약품_종가(원),부광약품_거래량(주),부광약품_PER(IFRS-연결),부광약품_순매수수량(개인)(주),부광약품_순매수수량(기관계)(주),부광약품_순매수수량(외국인계)(주)
2000-01-04,4180,5100,216430,31.89,2880,-100,-3590
2000-01-05,4960,5010,340910,31.33,-5960,-1460,7420
2000-01-06,5150,4680,173680,29.28,-1070,1160,0
2000-01-07,4610,5050,265580,31.58,-9690,8590,1100
2000-01-10,5250,4910,281760,30.71,-11450,4250,7750
2000-01-11,4890,4810,185510,30.08,-7640,4010,2940
2000-01-12,4810,4750,117120,29.71,8190,-8990,800
2000-01-13,4750,4420,181980,27.65,53270,-13340,-40830
2000-01-14,4600,4550,138620,28.46,17470,-17470,0
2000-01-17,4600,4990,206300,31.21,1470,-2310,840
2000-01-18,4890,4850,132940,30.33,6040,-4450,-1590
2000-01-19,4850,4950,174360,30.97,13120,-11440,0
2000-01-20,4860,4750,130800,29.71,4780,-5410,630
2000-01-21,4650,4660,103600,29.15,14070,-12990,0
2000-01-24,4610,4600,118900,28.77,-1840,1730,110
2000-01-25,4600,4400,118420,27.52,29510,-26890,-2620
2000-01-26,4500,4400,88420,27.52,1440,3100,0
2000-01-27,4400,4600,224970,28.77,-2010,400,1700
2000-01-28,4600,4610,106610,28.83,4670,-4200,-110
2000-01-31,4610,4600,114490,28.77,5390,-3390,-2000
2000-02-01,4600,4600,85160,28.77,2770,-2640,-130
2000-02-02,4700,4900,259500,30.64,-5200,2810,2390
2000-02-03,5080,5040,303470,31.53,-45060,-140,45200
2000-02-07,5100,5100,250260,31.89,-28550,-1480,30000
2000-02-08,5200,4920,171040,30.77,-31070,1960,29110
2000-02-09,4950,4920,155660,30.77,-1220,1220,0
2000-02-10,4920,4570,151780,28.59,34790,-16220,-18570
2000-02-11,4700,4880,298290,30.52,-730,490,60
2000-02-14,4750,4560,111180,28.52,-6370,5470,900
2000-02-15,4410,4475,99660,27.98,-8090,6980,1110
2000-02-16,4415,4450,95440,27.83,-2220,1770,630
2000-02-17,4445,4530,205040,28.34,-2100,830,270
2000-02-18,4620,5190,693240,32.46,23160,-4950,35190
2000-02-21,5060,5250,528690,32.84,-34820,-1090,35910
2000-02-22,5100,4880,155550,30.52,-1780,1620,0
2000-02-23,4800,5610,806620,35.09,3370,-2530,-450
2000-02-24,5600,5900,725050,36.9,-3070,3160,-90
2000-02-25,5700,6190,675530,38.71,-1240,1390,-180
2000-02-28,6140,6000,440340,37.53,3150,-3150,0
2000-02-29,6390,6210,519540,38.84,2730,-2840,110
2000-03-02,6210,7140,1315500,44.66,-9320,-4570,-1460
2000-03-03,7100,6610,994280,41.34,-204570,201570,-1800
2000-03-06,6690,6430,560040,40.22,-9700,-770,90
2000-03-07,6310,6140,469190,38.41,130,-1360,810
2000-03-08,5810,6650,851140,41.6,-34760,29760,0
2000-03-09,7010,7640,1228940,47.79,-10530,35580,-56670
2000-03-10,7750,8780,703820,54.91,-19150,110,30540
2000-03-13,9500,8190,2564140,51.23,62890,-51060,-15700
2000-03-14,8090,9150,1449400,57.24,-170310,149460,-890
2000-03-15,8400,8500,1078940,53.17,-124910,182780,-3870
2000-03-16,8510,8490,873730,53.1,-221470,215420,3550
2000-03-17,8600,7220,567940,45.16,-43340,38100,4890
2000-03-20,6980,7060,767240,44.16,-53850,50950,2760
2000-03-21,7060,6400,477950,40.04,-37090,32860,3400
2000-03-22,6500,6710,688590,41.96,26440,-13680,280
2000-03-23,6800,7710,1016100,48.22,94030,-138360,44770
2000-03-24,8180,8860,1061880,55.42,19380,-19380,0
2000-03-27,9500,7700,1329810,48.16,19930,-22620,2690
2000-03-28,8000,7350,569730,45.97,31910,-34070,2160
2000-03-29,7410,7510,1129970,46.97,100200,-135400,-1800
2000-03-30,7000,6680,260650,43.76,3220,-3010,0
2000-03-31,6500,6680,485740,43.76,139710,-139780,0
2000-04-03,6500,6260,277010,9.98,5520,-5420,0
2000-04-04,6270,6250,207460,9.96,-12210,11710,0
2000-04-06,6060,5800,265260,9.24,84490,-84520,0
2000-04-07,6060,6100,294320,9.72,-1550,1500,0
2000-04-10,6100,6210,331050,9.9,10780,-7740,-1610
2000-04-11,6390,5900,171620,9.4,3450,570,-110
2000-04-12,6020,6050,192740,9.64,7140,-5960,-1400
2000-04-14,5860,5800,182090,9.24,8140,-7930,0
2000-04-17,5100,4930,359540,7.86,-41780,40490,450
2000-04-18,5300,4970,318000,7.92,52400,-52100,60
2000-04-19,5110,4900,270360,7.81,82920,-81930,-510
2000-04-20,5000,4930,200390,7.86,11770,-11770,0
2000-04-21,4860,5050,215640,8.05,36320,-36790,0
2000-04-24,5100,5210,632040,8.3,128260,-128080,0
2000-04-25,5290,5050,189930,8.05,7320,-7320,0
2000-04-26,5060,4660,226430,7.43,17050,-16910,210
2000-04-27,4660,4600,149530,7.33,-7930,7870,60
2000-04-28,4180,4840,226900,7.71,-8640,-1090,-120
2000-05-02,4880,5100,290000,8.13,18950,-11440,-1110
2000-05-03,5150,5400,574960,8.61,40120,-38460,-1460
2000-05-04,5500,5840,589310,9.31,870,-490,-380
2000-05-08,6110,5600,399840,8.92,650,70,-720
2000-05-09,5600,5410,191050,8.62,3520,0,-3520
2000-05-10,5450,5700,294040,9.08,-810,8300,-7490
2000-05-12,5510,5700,418010,9.08,1760,-880,-880
2000-05-15,5650,5650,286250,9,670,-360,-500
2000-05-16,5700,5370,272880,8.56,150,350,-500
2000-05-17,5300,5050,281000,8.05,6710,-5560,-1150
2000-05-18,4700,4540,196750,7.23,2660,-2770,120
2000-05-19,4540,4700,137670,7.49,-1170,1170,0
2000-05-22,4540,4600,234380,7.33,750,-400,-350
2000-05-23,4550,4500,167890,7.17,-17390,16060,810
2000-05-24,4470,4500,233100,7.17,10310,-10150,-120
2000-05-25,4490,5000,244170,7.97,10780,-9330,-790
2000-05-26,4940,4480,202110,7.14,1140,-1140,0
2000-05-29,4210,4510,182180,7.19,-3630,3090,540
2000-05-30,4600,4760,287080,7.58,8040,-7430,-610
2000-05-31,5000,4900,297190,7.81,6440,-6440,0
2000-06-01,5100,5220,468200,8.32,760,-460,-300
2000-06-02,5260,4985,375120,7.94,105400,-104940,-460
2000-06-05,5010,5100,376340,8.13,1890,-1890,0
2000-06-07,5250,5280,465360,8.42,-25760,25820,-60
2000-06-08,5350,4900,291060,7.81,20630,8370,0
2000-06-09,4900,4780,226240,7.62,13490,1390,40
2000-06-12,5100,5490,699290,8.75,-11390,11870,-400
2000-06-13,5490,5010,399680,7.98,-2810,2810,0
2000-06-14,5280,4980,197970,7.94,3540,-3540,0
2000-06-15,4850,4730,163350,7.54,1190,-1190,0
2000-06-16,4600,4810,215340,7.67,-2070,1950,120
2000-06-19,4750,4710,103750,7.51,-4040,4040,0
2000-06-20,4830,4850,116140,7.73,-2630,2630,0
2000-06-21,4750,4800,183880,7.65,3930,-3810,-120
2000-06-22,4850,4910,183170,7.82,-1000,900,100
2000-06-23,4900,4850,123200,7.73,16750,250,0
2000-06-26,4910,5000,292750,7.97,-9500,9440,60
2000-06-27,5050,4900,198070,7.81,1620,4270,-5650
2000-06-28,4950,4900,170840,7.81,19840,-19860,120
2000-06-29,4930,5100,214440,8.13,6780,-16530,9900
2000-06-30,5000,5200,206960,8.29,-52240,52240,0
2000-07-03,5300,5650,607560,9,-5660,5760,-100
2000-07-04,5700,5500,453930,8.76,2490,-2270,-220
2000-07-05,5500,5570,314180,8.88,-1630,1630,0
2000-07-06,5600,5550,504920,8.85,19030,-21030,0
2000-07-07,5500,5540,363070,8.83,13590,-13950,270
2000-07-10,5540,5250,320220,8.37,4290,-5100,200
2000-07-11,5250,5410,375030,8.62,7130,-7350,220
2000-07-12,5280,5500,467900,8.76,-10480,8890,1380
2000-07-13,5550,5290,249710,8.43,12630,-12070,-560
