Symbol,빙그레_시가(원),빙그레_종가(원),빙그레_거래량(주),빙그레_PER(IFRS-연결),빙그레_순매수수량(개인)(주),빙그레_순매수수량(기관계)(주),빙그레_순매수수량(외국인계)(주)
2000-01-04,9300,9700,41030,5.02,-40,40,0
2000-01-05,9700,9400,63750,4.86,0,0,0
2000-01-06,9400,9340,61280,4.83,1300,-1300,0
2000-01-07,9340,9500,122100,4.92,-24990,-25900,42700
2000-01-10,10450,10450,159210,5.41,18460,-3610,-14850
2000-01-11,10600,10350,88280,5.36,-5280,-140,-4900
2000-01-12,10500,10700,253930,5.54,19060,-1560,-17500
2000-01-13,10950,11600,377080,6,-8550,5950,-5300
2000-01-14,11700,11600,353520,6,4130,-9000,-5030
2000-01-17,12000,11450,214150,5.92,44850,-39820,-5030
2000-01-18,11300,11200,128910,5.79,7920,-1830,-5690
2000-01-19,11000,10200,138160,5.28,4880,-4800,0
2000-01-20,9800,10800,127040,5.59,-720,510,210
2000-01-21,10200,10800,80860,5.59,-6600,7040,0
2000-01-24,10600,10900,66160,5.64,5610,570,-6180
2000-01-25,10700,10750,47480,5.56,620,-620,0
2000-01-26,11000,11100,87270,5.74,-1150,1150,0
2000-01-27,11400,11700,185670,6.05,-30,70,0
2000-01-28,11700,11600,136710,6,-8420,-1420,0
2000-01-31,11600,12100,172410,6.26,-12900,5230,5000
2000-02-01,12200,12400,134000,6.42,200,-150,-50
2000-02-02,12400,12950,238630,6.7,-6210,9110,-2900
2000-02-03,13500,13000,120730,6.73,1190,-1690,500
2000-02-07,13000,12800,101320,6.62,3150,-580,-2600
2000-02-08,12500,12600,82070,6.52,-270,270,0
2000-02-09,12700,12500,86450,6.47,5800,-15800,0
2000-02-10,12500,12150,108870,6.29,4220,-14220,0
2000-02-11,12400,11800,97680,6.11,150,-3130,-100
2000-02-14,12000,11200,95640,5.79,27540,-6090,-31450
2000-02-15,11200,10600,116400,5.48,40700,-12570,-28130
2000-02-16,10600,11150,88130,5.77,5310,-5520,0
2000-02-17,11200,11500,56630,5.95,-320,0,0
2000-02-18,11500,11500,65730,5.95,1300,-1440,0
2000-02-21,11500,11100,69930,5.74,-9390,-310,0
2000-02-22,11100,10850,73140,5.61,-9930,10,0
2000-02-23,12450,11800,137470,6.11,6160,-6150,0
2000-02-24,11050,11150,52820,5.77,60,-60,0
2000-02-25,11800,11800,105770,6.11,-420,410,0
2000-02-28,11800,12000,141460,6.21,-16020,1020,0
2000-02-29,12300,12600,220290,6.52,10830,-10830,0
2000-03-02,12600,12500,126030,6.47,-9210,-1340,0
2000-03-03,12800,12800,284960,6.62,91780,-91700,0
2000-03-06,12900,13600,408170,7.04,49550,-49550,0
2000-03-07,13800,13500,212810,6.98,18180,-18180,0
2000-03-08,13000,13000,210690,6.73,50090,-50090,0
2000-03-09,13400,13100,181190,6.78,41950,-33940,-7920
2000-03-10,13300,13900,362850,7.19,28730,-28730,0
2000-03-13,14100,14400,310720,7.45,51100,-51100,0
2000-03-14,14500,13800,200780,7.14,30820,-30820,0
2000-03-15,13600,13550,136910,7.01,8610,-8610,0
2000-03-16,13550,13300,71510,6.88,-1850,1690,0
2000-03-17,13300,13000,117000,6.73,18770,-18770,0
2000-03-20,12700,13250,109520,6.86,27920,-28920,1000
2000-03-21,13400,13100,89110,6.78,16060,-19140,0
2000-03-22,12900,13500,184010,6.98,51760,-49760,0
2000-03-23,13500,13100,91500,6.78,22990,-22830,0
2000-03-24,13100,13250,105620,6.86,10350,-9350,0
2000-03-27,13400,14050,254950,7.27,49610,-49610,0
2000-03-28,13950,14200,241120,7.35,3570,-2570,-1000
2000-03-29,14600,13800,144860,7.14,3170,-3170,0
2000-03-30,13600,13600,143850,7.04,-610,610,0
2000-03-31,13600,13750,95100,7.11,-1270,1270,0
2000-04-03,13600,14150,215770,7.32,6040,-6000,0
2000-04-04,14250,14000,302040,7.24,-1010,810,0
2000-04-06,13700,13400,155570,6.93,-220,220,0
2000-04-07,13000,13400,117060,6.93,-510,510,0
2000-04-10,13200,13600,122710,7.04,2670,-2630,0
2000-04-11,13500,13100,98720,6.78,-50,590,0
2000-04-12,13100,13200,67040,6.83,2070,-2170,100
2000-04-14,12700,12700,68330,6.57,2190,-2070,0
2000-04-17,11000,10800,154500,5.59,-4140,4240,-100
2000-04-18,11500,12000,131720,6.21,3800,-3790,0
2000-04-19,12000,11850,104710,6.13,2330,-2330,0
2000-04-20,12000,12100,64460,6.26,1400,-320,0
2000-04-21,12150,12300,65730,6.36,640,-640,0
2000-04-24,12300,12050,40000,6.23,1030,-1030,0
2000-04-25,11900,12000,59820,6.21,-700,700,0
2000-04-26,12000,11600,48730,6,-400,400,0
2000-04-27,11500,11100,72410,5.74,-1880,1880,0
2000-04-28,11000,11300,45740,5.85,700,-700,0
2000-05-02,11650,11450,61450,5.92,15350,-13030,-320
2000-05-03,11400,11400,34830,5.9,11340,-10840,-500
2000-05-04,11500,12700,221550,6.57,-48600,48760,-160
2000-05-08,13300,13650,182620,7.06,-85670,85920,-240
2000-05-09,13650,13700,104640,7.09,-27690,27990,-300
2000-05-10,13300,13300,69580,6.88,-14730,15030,-300
2000-05-12,13400,12750,78240,6.6,-1430,1740,-310
2000-05-15,12700,12050,87900,6.23,300,-120,-180
2000-05-16,12050,12500,89120,6.47,1750,-1570,-180
2000-05-17,12500,11850,83250,6.13,-9430,9900,-450
2000-05-18,11200,10350,197130,5.36,-200,170,30
2000-05-19,10000,10100,115930,5.23,-460,460,0
