Symbol,삼성SDI_시가(원),삼성SDI_종가(원),삼성SDI_거래량(주),삼성SDI_PER(IFRS-연결),삼성SDI_순매수수량(개인)(주),삼성SDI_순매수수량(기관계)(주),삼성SDI_순매수수량(외국인계)(주)
2000-01-04,47500,50400,511990,12.24,115850,-94960,-21390
2000-01-05,49000,47500,388150,11.53,44590,-44730,4340
2000-01-06,47600,43000,624043,10.44,315993,-207460,-104003
2000-01-07,43000,41000,542830,9.95,89170,-63980,-26380
2000-01-10,43000,41600,737530,10.1,196920,-81150,-96050
2000-01-11,42100,41850,535690,10.16,44460,-69340,21630
2000-01-12,41500,40100,446193,9.74,82353,-18760,-63093
2000-01-13,40100,42000,594720,10.2,28100,-9200,-33310
2000-01-14,42500,44300,816015,10.76,-118430,105920,5790
2000-01-17,45300,45000,804797,10.93,-106400,135460,-28950
2000-01-18,44900,44300,541262,10.76,-41630,77510,-34110
2000-01-19,44000,42900,569330,10.42,-9350,50020,-30120
2000-01-20,42850,45900,713850,11.14,-119990,136280,8200
2000-01-21,45800,45900,666280,11.14,25720,-21140,-26050
2000-01-24,46500,46900,458851,11.39,-38910,35690,1420
2000-01-25,45700,45300,310950,11,-29370,47080,-38110
2000-01-26,45100,44350,331610,10.77,-54090,108490,-56840
2000-01-27,43500,44800,342013,10.88,-111910,135740,-14690
2000-01-28,44500,45200,288100,10.97,7460,1850,-8010
2000-01-31,44400,44500,308858,10.8,-76440,37870,41670
2000-02-01,45800,45700,888360,11.1,323532,-99972,-210450
2000-02-02,46000,46000,447098,11.17,-73272,68642,6320
2000-02-03,45000,45500,443840,11.05,17422,112190,-132622
2000-02-07,45900,46000,460930,11.17,23110,-56300,9150
2000-02-08,46500,45200,377540,10.97,-5880,-31670,6520
2000-02-09,44700,45400,509894,11.02,-70446,-96569,-83515
2000-02-10,44950,43550,517495,10.57,34210,-190810,3210
2000-02-11,43400,43600,461550,10.59,-81930,-107890,8400
2000-02-14,42050,41400,394870,10.05,-78000,-71830,-3560
2000-02-15,41400,40800,244570,9.91,-89370,21960,1970
2000-02-16,40800,41550,316110,10.09,-29050,-76930,22430
2000-02-17,41550,42400,334070,10.29,-112100,-29340,32800
2000-02-18,42400,41000,587810,9.95,66210,-189340,69700
2000-02-21,40500,39300,418910,9.54,36620,-87070,49300
2000-02-22,39000,38000,437030,9.23,17940,-33340,-21680
2000-02-23,38300,39000,654520,9.47,55300,5080,-64110
2000-02-24,38500,39000,488100,9.47,85090,-70330,-88360
2000-02-25,37800,37400,316380,9.08,103860,-54210,-50800
2000-02-28,35100,33000,753850,8.01,162460,-51070,-229080
2000-02-29,33900,32900,537680,7.99,121120,-184150,4880
2000-03-02,33000,36150,904910,8.78,-107360,29090,-30880
2000-03-03,35500,34550,484180,8.39,-46030,46150,-10260
2000-03-06,34800,35700,805420,8.67,143220,-161610,-101440
2000-03-07,36500,36000,765610,8.74,-84890,80040,-113250
2000-03-08,35000,36100,356750,8.76,-72130,-10180,-22880
2000-03-09,36500,34500,425150,8.38,13280,-36200,-96750
2000-03-10,35500,36000,407840,8.74,-82840,63510,-39660
2000-03-13,35800,34800,315570,8.45,26280,-78170,-8030
2000-03-14,34000,34200,233170,8.3,-44590,7670,-28720
2000-03-15,33950,34500,327060,8.38,6770,-28530,-2900
2000-03-16,35500,35000,432740,8.5,-72400,-32950,78510
2000-03-17,36400,40000,2246540,9.71,-29330,171170,-215230
2000-03-20,40100,38600,730560,9.37,-104680,30050,2800
2000-03-21,38100,37300,397380,9.06,-45650,-8550,2140
2000-03-22,37950,39000,785340,9.47,119140,-56660,-73810
2000-03-23,38700,36800,400090,8.93,2030,11590,-17790
2000-03-24,37100,36800,333620,8.93,-41980,42780,-25450
2000-03-27,37100,37800,506760,9.18,-36360,89410,2900
2000-03-28,37800,41900,1145770,10.17,-118020,157900,-2310
2000-03-29,42000,43500,1499540,10.56,52390,-63540,118780
2000-03-30,44500,43500,1162970,10.56,101930,-110070,70000
2000-03-31,42200,41000,515190,9.95,-84100,75520,-4650
2000-04-03,42000,40000,547910,9.71,40090,44110,-65790
2000-04-04,39000,41500,378270,10.08,-86900,88050,10350
2000-04-06,40600,41400,234900,10.05,-34120,41400,-7070
2000-04-07,41500,43800,895340,10.63,-101690,76830,35650
2000-04-10,45000,45400,983280,11.02,-113410,64550,49650
2000-04-11,45400,46300,1038500,11.24,-117890,49960,131140
2000-04-12,46300,45350,482890,11.01,-122210,115050,-4850
2000-04-14,44500,44000,410450,10.68,31560,-37460,-7150
2000-04-17,39500,41000,549170,9.95,-227030,201720,7020
2000-04-18,44300,43100,513400,10.46,10490,4180,-5420
2000-04-19,44000,45100,1111220,10.95,-62100,-4790,84040
2000-04-20,45550,46250,735000,11.23,65990,19760,-83000
2000-04-21,46900,46950,437410,11.4,-166530,143530,-1420
2000-04-24,46800,44900,332160,10.9,-14970,36560,8260
2000-04-25,43200,45000,254860,10.93,-36930,25260,10300
2000-04-26,46500,42900,463140,10.42,-26320,-93350,115600
2000-04-27,42000,42900,494970,10.42,-91130,1020,64790
2000-04-28,42900,46300,601370,11.24,-223020,-37630,234630
2000-05-02,46500,48100,688650,11.68,-37950,13330,61420
2000-05-03,47800,48600,431830,11.8,-44550,52630,-4480
2000-05-04,48000,49500,629090,12.02,-168630,42420,143710
2000-05-08,50600,50400,610180,12.24,-85880,-48200,123550
2000-05-09,50400,50300,456850,12.21,3000,-141370,73780
2000-05-10,50300,50000,456280,12.14,-64620,-83670,130300
2000-05-12,49100,49000,348390,11.9,-77590,76210,-34890
2000-05-15,47500,47500,354910,11.53,-32980,129490,-101850
2000-05-16,48100,50900,573410,12.36,-86340,-59680,155460
2000-05-17,51600,49900,867300,12.12,-104970,58790,42940
2000-05-18,48150,49500,382270,12.02,-12960,92010,-24700
2000-05-19,49500,49500,395960,12.02,-22540,147140,-146590
2000-05-22,49000,45700,366020,11.1,78270,-32210,-36840
2000-05-23,44700,44900,284690,10.9,-69950,94150,-7070
2000-05-24,44000,44300,329250,10.76,-45080,73590,-16470
2000-05-25,44700,44150,583810,10.72,104150,10530,-111740
2000-05-26,43500,39950,409380,9.7,45640,-52750,3490
2000-05-29,38000,39900,354750,9.69,18910,-21600,-11390
2000-05-30,40500,43700,354960,10.61,-23800,5110,650
2000-05-31,45700,43000,725310,10.44,-69420,128990,-49160
2000-06-01,44400,45900,481740,11.14,-76310,31280,43640
