Symbol,삼성엔지니어링_시가(원),삼성엔지니어링_종가(원),삼성엔지니어링_거래량(주),삼성엔지니어링_PER(IFRS-연결),삼성엔지니어링_순매수수량(개인)(주),삼성엔지니어링_순매수수량(기관계)(주),삼성엔지니어링_순매수수량(외국인계)(주)
2000-01-04,6920,7990,508940,12.07,-7900,5900,2000
2000-01-05,7990,8250,1938140,12.46,5490,-490,-2000
2000-01-06,8490,7480,862810,11.3,37240,-37240,0
2000-01-07,7510,8060,1315290,12.17,-12020,9960,2060
2000-01-10,8320,7800,1405480,11.78,125180,-123120,-2060
2000-01-11,7610,7640,1043980,11.54,120150,-120150,0
2000-01-12,7520,7400,683270,11.17,20,-20,0
2000-01-13,7220,7350,464010,11.1,200,-200,0
2000-01-14,7370,7300,657350,11.02,-110050,-50,100
2000-01-17,7450,7250,563490,10.95,-24940,4980,16160
2000-01-18,7250,7100,667100,10.72,8080,-10080,2000
2000-01-19,7000,6650,685520,10.04,24460,-20050,0
2000-01-20,6610,6400,522890,9.66,58230,-60030,300
2000-01-21,6210,6450,540480,9.74,-10850,16150,-5300
2000-01-24,6400,6500,580370,9.82,4040,-4040,0
2000-01-25,6380,6350,450650,9.59,10220,-10220,0
2000-01-26,6500,6500,595570,9.82,-1380,-220,600
2000-01-27,6650,7200,1301220,10.87,-42180,37780,-600
2000-01-28,7100,7010,631130,10.59,-98890,99890,0
2000-01-31,6890,6930,651790,10.46,39810,-35050,-4760
2000-02-01,7200,7020,592970,10.6,5060,-5060,0
2000-02-02,7000,7400,969560,11.17,-124210,126210,-2000
2000-02-03,7610,7240,779110,10.93,-16990,14960,1630
2000-02-07,7240,7130,667350,10.77,94350,-95950,1600
2000-02-08,7010,6990,935150,10.55,58460,-61660,3200
2000-02-09,7010,6700,721530,10.12,79190,-79190,0
2000-02-10,6590,6410,523080,9.68,1930,-460,1450
2000-02-11,6450,6550,790190,9.89,1280,-1280,0
2000-02-14,6500,6280,595380,9.48,-137910,139990,0
2000-02-15,6190,6300,750040,9.51,73960,-75460,1500
