Symbol,삼성전기_시가(원),삼성전기_종가(원),삼성전기_거래량(주),삼성전기_PER(IFRS-연결),삼성전기_순매수수량(개인)(주),삼성전기_순매수수량(기관계)(주),삼성전기_순매수수량(외국인계)(주)
2000-01-04,76000,81000,607520,,78220,-109150,68860
2000-01-05,77000,78800,492588,,8110,-15870,5430
2000-01-06,79000,76000,473870,,-9230,-58290,22210
2000-01-07,73600,75000,294910,,-24180,-6750,30510
2000-01-10,75000,76300,321110,,-12730,-4860,23150
2000-01-11,76500,79900,739761,,-64380,-7200,-12320
2000-01-12,78000,76200,295561,,190,45480,-55390
2000-01-13,76000,77000,305524,,-22476,43230,-20274
2000-01-14,77000,76000,195540,,6130,-29750,20620
2000-01-17,76100,80000,399958,,-113050,5510,48120
2000-01-18,80000,85000,1163710,,-181170,-208260,323400
2000-01-19,84500,83100,796020,,-58670,-59280,133710
2000-01-20,83100,85000,492354,,-54536,-13544,63440
2000-01-21,85000,84000,281447,,-53470,42780,14350
2000-01-24,84600,84000,247402,,-43478,12818,31870
2000-01-25,82000,80500,287280,,-15760,5560,8490
2000-01-26,80500,78500,211596,,-39090,38400,5340
2000-01-27,77100,78100,214730,,16100,-5580,-10500
2000-01-28,78500,80900,274000,,-23380,37740,10620
2000-01-31,80000,82000,283620,,-70690,44650,5950
2000-02-01,81500,80300,245011,,-9300,-35340,26450
2000-02-02,80000,81700,381528,,-26303,-32820,60163
2000-02-03,82900,81700,207425,,-13840,-22470,36180
2000-02-07,82000,85700,571324,,-45967,697,62370
2000-02-08,87000,85700,576920,,-123080,-27750,163180
2000-02-09,86300,88600,845535,,-208535,15825,254500
2000-02-10,87200,88600,446032,,13820,-56870,210
2000-02-11,89500,86000,261981,,-21520,-3320,19720
2000-02-14,84100,82500,401061,,-48250,-5450,85350
2000-02-15,82500,80000,333620,,-13080,57180,-31700
2000-02-16,80400,79900,347096,,-31570,59200,-11670
2000-02-17,80000,82400,420231,,11676,-32550,78474
2000-02-18,82400,80000,482862,,15310,-122090,95980
2000-02-21,80000,79900,228370,,-6050,25550,-9810
2000-02-22,77100,77000,230460,,-11160,41770,-33230
2000-02-23,80000,77000,297113,,7000,13400,2530
2000-02-24,77500,77500,236498,,14433,-31013,4180
2000-02-25,76800,76000,215029,,-43119,16779,23330
2000-02-28,73600,70500,236389,,-29951,-6229,29220
2000-02-29,71000,68600,370610,,23220,2870,-28950
2000-03-02,72500,78500,551951,,-50139,-2170,49039
2000-03-03,80000,77600,306680,,-85980,-37630,122410
2000-03-06,79000,82500,485205,,-94295,-229620,323535
2000-03-07,81000,80300,237130,,-55450,-25510,89910
