Symbol,삼성전자_시가(원),삼성전자_종가(원),삼성전자_거래량(주),삼성전자_PER(IFRS-연결),삼성전자_순매수수량(개인)(주),삼성전자_순매수수량(기관계)(주),삼성전자_순매수수량(외국인계)(주)
2000-01-04,300000,305500,1483967,16.34,-172847,-202990,296487
2000-01-05,290000,279000,1493604,14.93,33495,-107631,52576
2000-01-06,287500,281000,1087810,15.03,93370,-231580,180640
2000-01-07,278000,277000,806195,14.82,-83534,38610,41404
2000-01-10,280000,288500,937615,15.44,-213476,18480,206576
2000-01-11,291000,288500,1194974,15.44,-222765,-25240,242335
2000-01-12,280500,286000,584492,15.3,-45940,-49570,83030
2000-01-13,280000,285500,823830,15.27,105195,-145069,35324
2000-01-14,286000,291500,987576,15.6,-162101,-187640,363071
2000-01-17,300000,305000,1270138,16.32,-390146,10780,410726
2000-01-18,308000,305000,905231,16.32,-112110,-78840,194300
2000-01-19,300000,298000,804159,15.94,-1220,-124560,139210
2000-01-20,293000,302000,746360,16.16,-53557,75230,4107
2000-01-21,297500,294000,650728,15.73,-35704,1029,29925
2000-01-24,290000,285000,687183,15.25,27435,77388,-98603
2000-01-25,276000,272000,885067,14.55,-31781,-87270,119031
2000-01-26,275000,274000,585734,14.66,-49332,-52070,118682
2000-01-27,274000,276000,558083,14.77,-38726,-17619,64775
2000-01-28,282000,291000,766398,15.57,-109154,-112705,180629
2000-01-31,282000,279000,792689,14.93,116190,102245,-252345
2000-02-01,280000,266000,1429402,14.23,550736,-158955,-313241
2000-02-02,261000,262500,1282143,14.04,235966,-34450,-153686
2000-02-03,262500,256500,2855355,13.72,712356,-3860,-692526
2000-02-07,257000,262000,1282835,14.02,-113249,82222,26687
2000-02-08,267000,271500,1169244,14.53,-323560,-11650,320200
2000-02-09,278000,286000,1021023,15.3,-394029,-30685,431424
2000-02-10,283000,288000,1236979,15.41,-402438,-205620,606838
2000-02-11,298000,285000,693257,15.25,-252390,-5170,263290
2000-02-14,280000,269000,882889,14.39,-59509,37800,50379
2000-02-15,269000,260000,766393,13.91,36155,84323,-117168
2000-02-16,259000,250000,1462389,13.38,478685,-32883,-403942
2000-02-17,247000,254000,1303738,13.59,-10325,-29968,24213
2000-02-18,268500,265000,2175083,14.18,-453016,-454670,1011396
