Symbol,삼성중공업_시가(원),삼성중공업_종가(원),삼성중공업_거래량(주),삼성중공업_PER(IFRS-연결),삼성중공업_순매수수량(개인)(주),삼성중공업_순매수수량(기관계)(주),삼성중공업_순매수수량(외국인계)(주)
2000-01-04,5250,5690,2934630,113.99,437580,-446250,-11200
2000-01-05,5590,5640,2651750,113,-139970,107450,22520
2000-01-06,5970,5530,3368480,110.8,304580,-333860,31780
2000-01-07,5500,5540,2220220,110.99,-51010,48610,-1700
2000-01-10,5650,5460,2512860,109.4,3550,-44130,23270
2000-01-11,5400,5360,2341150,107.39,-34960,38950,-2280
2000-01-12,5260,5100,2926560,102.17,226490,-203960,-4030
2000-01-13,5120,5200,3933240,104.18,-146690,-123100,260540
2000-01-14,5250,5120,2954590,102.59,89430,-80750,8320
2000-01-17,5100,5280,5160160,105.79,-126140,78400,117740
2000-01-18,5300,5170,2382540,103.58,294960,-332480,39760
2000-01-19,5230,5310,8832620,106.39,271560,-442400,187890
2000-01-20,5510,5180,6431080,103.79,795390,-11060,-797630
2000-01-21,5050,5090,4465980,101.99,-51650,77390,-24990
2000-01-24,5110,5190,4089640,103.99,-214500,212320,980
2000-01-25,5300,5510,13262050,110.39,-106120,-124000,229810
2000-01-26,5600,5450,4338030,109.19,-164750,83660,90
2000-01-27,5480,5880,7924400,117.8,-207210,125990,71120
2000-01-28,5880,5750,7093160,115.21,29360,-66810,95470
2000-01-31,5650,5680,4463630,113.8,63740,58220,-84020
2000-02-01,5760,5540,3695660,110.99,90380,-14520,-59360
2000-02-02,5510,5650,5218370,113.2,-439930,869010,-434790
2000-02-03,5650,5690,4607380,113.99,104870,297870,-456740
2000-02-07,5610,5530,3523700,110.8,504770,-482160,-490
2000-02-08,5550,5390,3540270,107.99,31420,-37530,150
2000-02-09,5400,5300,5495870,106.19,504730,-367330,-127690
2000-02-10,5150,5020,4345960,100.58,1135050,-1122170,-17330
2000-02-11,5000,5000,6419800,100.18,-232590,-125720,11340
2000-02-14,4800,4705,6806290,94.28,60770,234280,-8050
2000-02-15,4690,4400,3910460,88.16,207780,-44710,-189170
2000-02-16,4510,4390,4166890,87.95,1180730,-374680,-791110
2000-02-17,4170,4340,3465920,86.96,-165920,146570,5050
2000-02-18,4300,4150,3669100,83.15,142390,-251240,-1830
2000-02-21,4000,3840,3856520,76.94,295340,-27580,-314760
2000-02-22,3750,3940,5472050,78.95,-430,-7940,12180
2000-02-23,4000,4400,6622990,88.16,171100,-146480,-47160
2000-02-24,4210,4000,4141680,80.15,659880,354100,-1041180
2000-02-25,3900,3990,3988340,79.94,529900,196120,-728790
2000-02-28,3900,4095,4561240,82.04,-320300,138360,-10120
2000-02-29,4070,4120,6725010,82.55,250930,200570,-482500
2000-03-02,4190,4210,4557280,84.35,102280,-63380,-33900
2000-03-03,4200,4080,3188800,81.74,117200,-13070,-129990
2000-03-06,4100,4320,5343080,86.54,-116400,187550,-52810
2000-03-07,4400,4600,7229320,92.15,114880,23490,-172070
2000-03-08,4400,4445,3489620,89.06,36370,107040,-268250
2000-03-09,4465,4465,7208520,89.45,546930,29380,-554000
2000-03-10,4615,4400,2797890,88.16,179190,-177230,2040
2000-03-13,4350,4110,2839720,82.34,336630,-455740,9390
2000-03-14,4110,4120,2256960,82.55,-35180,73490,-2710
2000-03-15,4050,4100,3104650,82.13,186360,-159830,-26070
2000-03-16,4160,4030,1819410,80.75,-241180,183590,29770
2000-03-17,4190,4210,3427670,84.35,-60830,17640,13970
2000-03-20,4200,4085,1862520,81.83,-103560,93280,8760
2000-03-21,4100,4055,2031680,81.23,-182660,20530,12300
2000-03-22,4105,4165,2956660,83.45,127600,-132630,24630
2000-03-23,4155,4240,3365940,84.95,72890,-57460,-5730
2000-03-24,4250,4110,2524450,82.34,26230,3570,200
2000-03-27,4115,4115,2167690,82.46,49400,-60930,-400
2000-03-28,4110,4100,2336430,82.13,203810,-15020,-190800
2000-03-29,4050,4040,2472800,80.93,272860,-142340,-105800
2000-03-30,4010,4000,2289240,80.15,62250,-82680,4430
2000-03-31,4000,4030,1641800,80.75,-71690,83990,4060
2000-04-03,4090,3970,2278860,79.55,194950,-437860,243980
2000-04-04,4020,3900,1971030,78.14,-83680,82020,-7300
2000-04-06,4000,4050,2799860,81.14,-461910,142270,302540
2000-04-07,4050,4080,2951950,81.74,260220,-246710,8310
2000-04-10,4050,4150,7231420,83.15,707780,-691040,-5750
2000-04-11,4195,4050,2770960,81.14,-10000,103200,49850
2000-04-12,4030,4050,2161960,81.14,-213050,216380,-10220
2000-04-14,4010,4010,1789830,80.33,4640,16720,0
2000-04-17,3530,3680,2204680,73.73,-439820,386250,50720
2000-04-18,3950,3950,2929040,79.13,-118610,-112340,234020
2000-04-19,4030,4000,3094140,80.15,344510,-283040,-69460
2000-04-20,3970,3995,1612560,80.03,-223400,205920,0
2000-04-21,4045,4190,3528820,83.96,-351760,353980,-5480
2000-04-24,4250,4280,4869720,85.76,-273240,272800,4500
2000-04-25,4200,4240,1994440,84.95,-450690,316390,201800
2000-04-26,4300,4055,2921010,81.23,-231440,105120,120020
2000-04-27,4050,3925,1878340,78.65,-343590,311250,27340
2000-04-28,3930,3950,1832420,79.13,146550,-161040,-210
2000-05-02,3910,3990,1872090,79.94,221590,-195500,-42130
2000-05-03,3910,3935,1743280,78.83,-155770,174860,-21040
2000-05-04,3895,3845,2266000,77.03,522320,16070,-48340
2000-05-08,3935,4245,7264250,85.04,-954910,116360,828690
2000-05-09,4200,4195,6023650,84.05,-327180,26910,309890
2000-05-10,4200,4180,2351780,83.75,-317170,146460,173110
2000-05-12,4100,4015,2288450,80.45,-26570,58260,-28690
2000-05-15,3950,3900,1661500,78.14,-246260,259470,-12830
2000-05-16,3900,3900,1612980,78.14,-160910,150490,-10070
2000-05-17,3920,3620,1560440,72.53,-20950,41970,-14200
2000-05-18,3495,3445,1864110,69.02,-143620,131120,880
2000-05-19,3405,3470,1488940,69.53,-77270,-15920,77460
2000-05-22,3590,3350,2225970,67.13,217580,-234350,-3280
2000-05-23,3300,3380,1471790,67.73,-315230,271350,38950
2000-05-24,3330,3550,2781940,71.12,-422600,364240,51920
2000-05-25,3650,3800,4571010,76.13,12190,-168600,-7140
2000-05-26,3840,3450,2293100,69.11,-329150,203020,130230
