Symbol,삼성증권_시가(원),삼성증권_종가(원),삼성증권_거래량(주),삼성증권_PER(IFRS-연결),삼성증권_순매수수량(개인)(주),삼성증권_순매수수량(기관계)(주),삼성증권_순매수수량(외국인계)(주)
2000-01-04,35000,39550,2137410,14.86,86640,-131960,19370
2000-01-05,38400,39700,3217680,14.92,126330,-31360,-112290
2000-01-06,40400,36300,1516070,13.64,-101560,82370,31070
2000-01-07,37500,36700,2175070,13.79,114750,33400,-118830
2000-01-10,37700,37900,1987830,14.24,-392430,135690,255520
2000-01-11,37900,37000,1346740,13.9,14760,75150,-11700
2000-01-12,36600,36800,1030760,13.83,-44010,68070,-12060
2000-01-13,36600,37200,1148820,13.98,206520,-63520,-150850
2000-01-14,37200,36000,828260,13.53,-4200,11490,-3610
2000-01-17,35600,36800,1130840,13.83,-313430,175560,128370
2000-01-18,37000,36300,867800,13.64,-112060,86740,1710
2000-01-19,35700,33900,958070,12.74,188590,-90990,-73930
2000-01-20,33500,34100,1296010,12.81,1240,-92420,102220
2000-01-21,33200,33500,800930,12.59,9880,-34330,10250
2000-01-24,32800,33250,701970,12.49,-127190,94050,7140
2000-01-25,32600,33250,808300,12.49,-19460,22620,-4040
2000-01-26,33400,34100,1956730,12.81,-61510,69830,-15120
2000-01-27,34800,37950,3390430,14.26,-658940,340180,214240
2000-01-28,38000,38500,2679310,14.47,-1117070,517990,324030
2000-01-31,37500,41400,3106080,15.55,-730560,241570,384630
2000-02-01,42200,41100,2236980,15.44,-258870,73450,168260
2000-02-02,41000,41800,3062490,15.7,-6160,-194090,274350
2000-02-03,42300,42800,1909680,16.08,-599940,14330,544030
2000-02-07,43400,43500,2233750,16.34,-225650,53060,159820
2000-02-08,43500,43650,1649650,16.4,-391670,194920,226110
2000-02-09,44500,46900,3383660,17.62,-1326440,130950,1265840
2000-02-10,46900,45400,2117360,17.06,227780,-72730,-50590
2000-02-11,45400,42300,2257810,15.89,34490,-83220,38110
2000-02-14,41000,40300,2531480,15.14,264380,197310,-488080
2000-02-15,41000,38300,3150780,14.39,754770,285970,-1014940
2000-02-16,39000,39000,1703040,14.65,-167620,182760,-5600
2000-02-17,38700,40300,1502900,15.14,-295500,75260,196700
2000-02-18,39500,38900,1287050,14.62,37310,-149620,110400
2000-02-21,37500,37400,1093450,14.05,-112760,30410,79710
2000-02-22,36500,36000,2067530,13.53,416560,40240,-455740
2000-02-23,38400,40000,4508700,15.03,132370,-197120,122010
2000-02-24,39000,37100,2036820,13.94,-21870,-25320,82390
2000-02-25,36050,37100,1643080,13.94,124730,910,-103520
2000-02-28,35700,35500,1286410,13.34,-92590,67670,-2180
2000-02-29,36400,34600,1770830,13,273740,-74840,-213890
2000-03-02,34300,35700,1949980,13.41,81110,-84240,15030
2000-03-03,35900,34100,1380220,12.81,287630,-59290,-177200
2000-03-06,35000,37000,1838580,13.9,-133080,-48450,165500
2000-03-07,35200,36050,1107620,13.54,-58050,52810,-1270
2000-03-08,35400,35850,1415040,13.47,74050,-5070,-1730
2000-03-09,35600,35150,1519750,13.21,33490,-91970,11720
2000-03-10,35000,34150,1929850,12.83,587590,-211370,-256000
2000-03-13,34000,32200,1442340,12.1,308810,-258320,-48370
2000-03-14,31200,31650,1477970,11.89,122830,-56320,-70410
2000-03-15,31000,30000,1524400,11.27,406330,-131930,-276470
2000-03-16,30500,28800,1689650,10.82,181260,-207570,4540
2000-03-17,30000,31050,3290500,11.67,-50810,-103530,110690
2000-03-20,31000,30200,1174940,11.35,-97260,199990,-83260
2000-03-21,30200,29350,943090,11.03,63710,-17700,-81640
2000-03-22,29850,31000,1495920,11.65,-114530,48320,3130
2000-03-23,30700,31000,1784170,11.65,-144370,101770,-7110
2000-03-24,31700,31050,1076770,11.67,181160,-154020,-3140
2000-03-27,31100,34000,2448280,12.77,254910,-198810,16160
2000-03-28,33500,32500,1452470,12.21,-116100,135990,-18730
2000-03-29,31600,30000,1558530,11.27,200880,-282680,1060
2000-03-30,28550,28000,2109520,10.52,530110,-362720,-242580
2000-03-31,28400,26500,1366880,9.96,232860,-248200,5230
2000-04-03,26500,23100,1455770,12.74,76690,-73740,19770
2000-04-04,23500,23000,2179010,12.68,411450,-255970,-171610
2000-04-06,22700,21900,1587120,12.07,268610,-59750,-279680
2000-04-07,21500,22700,1815330,12.52,35480,-74400,24360
2000-04-10,22100,23950,3140570,13.2,50430,-127530,78470
2000-04-11,24500,23400,1579240,12.9,-193840,268650,-102560
2000-04-12,23500,24100,2371420,13.29,-234100,233580,-3120
2000-04-14,23350,25100,2695190,13.84,-254430,243070,48780
2000-04-17,23150,21350,1870950,11.77,-54330,8380,-2090
2000-04-18,23200,22500,1305550,12.41,-113130,88250,5930
2000-04-19,22700,21850,884910,12.05,-33870,49490,-6120
2000-04-20,21300,21850,792850,12.05,-21370,9060,3140
2000-04-21,22250,22100,752000,12.18,-207920,251530,-53670
2000-04-24,22000,21000,791570,11.58,-150140,120370,-1510
2000-04-25,20300,19700,1126710,10.86,-25530,38450,-16420
2000-04-26,20300,17700,1416960,9.76,94400,-91820,-8360
2000-04-27,17000,17500,2565310,9.65,369950,-43600,-273850
2000-04-28,17650,18700,2944710,10.31,-301200,-35900,315650
2000-05-02,18700,19950,1675310,11,-381590,114840,265060
2000-05-03,19600,21000,1880950,11.58,-160270,-130780,279150
2000-05-04,20800,20950,1599590,11.55,76870,-307240,225870
2000-05-08,21250,20700,906680,11.41,2960,-20870,28460
2000-05-09,21000,19800,592630,10.92,16680,-22680,5950
2000-05-10,19200,19200,803340,10.59,161020,52280,-225780
2000-05-12,19200,18350,2038510,10.12,852060,24060,-817180
2000-05-15,17800,16800,1109370,9.26,36020,12800,-48710
2000-05-16,17000,17000,965920,9.37,63100,-25150,-18010
