Symbol,삼성화재_시가(원),삼성화재_종가(원),삼성화재_거래량(주),삼성화재_PER(IFRS-연결),삼성화재_순매수수량(개인)(주),삼성화재_순매수수량(기관계)(주),삼성화재_순매수수량(외국인계)(주)
2000-01-04,36200,40500,255900,14.7,44850,-52350,-280
2000-01-05,40500,38500,252900,13.97,63960,-73830,8440
2000-01-06,39100,35400,202350,12.84,105780,-101080,-4750
2000-01-07,35700,36800,245660,13.35,20510,-12440,-8900
2000-01-10,39000,42300,744820,15.35,141790,-192230,36140
2000-01-11,42500,41400,949760,15.02,-58180,176680,-105100
2000-01-12,39900,37700,520370,13.68,162720,34540,-180960
2000-01-13,39000,39900,564980,14.48,56170,-18670,-40440
2000-01-14,40400,38550,293750,13.99,59210,14460,-75730
2000-01-17,38100,39200,265330,14.22,-52320,71430,-6110
2000-01-18,38300,38300,653190,13.9,153310,-42100,-123260
2000-01-19,37500,36400,254410,13.21,-13000,-23910,35710
2000-01-20,35400,36000,357970,13.06,26530,-4540,-15650
2000-01-21,35500,37300,372880,13.53,-100770,171250,-51500
2000-01-24,36500,35500,376790,12.88,112070,-53150,-44800
2000-01-25,35000,33900,318700,12.3,60280,-26090,-34030
2000-01-26,34000,32500,519830,11.79,173370,75670,-247840
2000-01-27,32000,34000,692200,12.34,94110,108840,-211050
2000-01-28,34100,35050,678410,12.72,-70480,210080,-152210
2000-01-31,34200,39000,700970,14.15,-249970,178290,50040
2000-02-01,40000,38650,612980,14.02,4750,-34630,44880
2000-02-02,38500,43000,1367590,15.6,-238110,231750,-23610
2000-02-03,43700,46900,1727550,17.02,-483200,-88290,533160
2000-02-07,45100,45000,881460,16.33,-67360,-22310,90420
2000-02-08,44900,44800,504010,16.26,-96340,-14210,112050
2000-02-09,45700,44800,614250,16.26,-159360,-72920,238730
2000-02-10,43300,41500,501650,15.06,-24230,-110890,123710
2000-02-11,41100,40500,465440,14.7,16070,-76160,78690
2000-02-14,40400,38400,419870,13.93,93150,-15440,17280
2000-02-15,38400,38000,575050,13.79,16420,-137880,113580
2000-02-16,39600,39800,1225450,14.44,-1750,-28130,69770
2000-02-17,40000,39600,384120,14.37,-14330,26000,-15590
2000-02-18,38200,38300,390680,13.9,80830,-33290,-59810
2000-02-21,38300,35800,325190,12.99,68320,-19270,-53610
2000-02-22,35900,34000,514940,12.34,210690,-92240,-102410
2000-02-23,35800,36000,718160,13.06,153890,-54670,-75430
2000-02-24,34900,34700,310590,12.59,20470,-14700,-12470
2000-02-25,33700,34300,325740,12.45,78190,-52160,-26130
2000-02-28,33100,32550,348320,11.81,24980,-8090,-160
2000-02-29,33100,32150,355160,11.67,88800,-81330,6840
2000-03-02,31650,32700,420690,11.87,100270,-27420,-28640
2000-03-03,33000,32800,346900,11.9,57920,-50390,-24130
2000-03-06,33100,35000,527210,12.7,35330,-50820,-2490
2000-03-07,34100,33400,424080,12.12,147020,-108330,-39230
2000-03-08,32800,33000,403200,11.97,69200,9060,-62260
2000-03-09,33200,33000,398530,11.97,134530,-126080,-7560
2000-03-10,33000,31850,593180,11.56,319840,-136860,-179580
2000-03-13,31850,30300,555030,10.99,269710,-168520,-61240
2000-03-14,30500,29900,437390,10.85,177560,-168490,-9070
2000-03-15,29500,29150,335300,10.58,44220,-24830,-20390
2000-03-16,29900,29250,444130,10.61,112530,-110400,-2240
2000-03-17,30400,30600,799480,11.1,111910,-49160,-2110
2000-03-20,30800,29900,310760,10.85,-6440,2920,3520
2000-03-21,29800,29100,355800,10.56,77380,-55680,-18700
2000-03-22,29400,29750,645750,10.79,181280,-144820,-29290
2000-03-23,30000,29050,490160,10.54,191090,-185140,2150
2000-03-24,29100,28900,369260,10.49,114200,-107730,12000
2000-03-27,29650,31000,783410,11.25,67300,-48020,-10820
2000-03-28,31000,31400,661820,11.39,-127280,185690,-62210
2000-03-29,31300,31800,886280,11.54,-376700,84100,189010
2000-03-30,30000,28700,474660,11.04,-30880,-16450,-25830
2000-03-31,28000,27100,386980,10.42,113640,-118730,26270
2000-04-03,27000,26500,519400,8.83,-100260,-50450,149710
2000-04-04,26800,25000,414670,8.33,121290,-15290,-113090
2000-04-06,24000,23300,449310,7.77,82390,-38140,-53700
2000-04-07,23550,22700,1419730,7.57,578080,-332550,-240750
2000-04-10,23200,24100,1431850,8.03,329580,-286660,-41380
2000-04-11,24500,23650,545890,7.88,-114060,62150,30260
2000-04-12,23200,24750,1113020,8.25,191480,113690,-323850
2000-04-14,24600,27000,1875310,9,43540,39940,156940
2000-04-17,24150,23300,1147050,7.77,-88970,-14630,107840
2000-04-18,25600,25950,2535340,8.65,352330,-105790,-244570
2000-04-19,26600,26000,1527720,8.67,-219880,-8010,240060
2000-04-20,26150,25100,525750,8.37,-44190,57470,-12700
2000-04-21,25200,25100,483240,8.37,-141460,140420,-40
2000-04-24,24500,24100,311340,8.03,-58190,81410,-14220
2000-04-25,23100,23000,324730,7.67,32180,-16500,-20420
2000-04-26,24000,20700,839230,6.9,277460,-93140,-109330
2000-04-27,21000,21350,1004330,7.12,299120,-74910,-214430
2000-04-28,21500,22700,1434510,7.57,212290,-1010,-214100
2000-05-02,23000,22800,750060,7.6,-80060,82610,-2090
